time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,5101.471530379962,3988.008491220011,5407.715327920017,4297.090085540012,5108.578046100003,4642.236706360036,5621.068268719995,6186.488793079976,15440.099847040237,19470.86709745996,50802,80394,157400,218605,292974,379583,481915,569465,832452,966487
2,3841.586232999951,3557.0473162799954,3568.872496899974,3471.1034814199684,3360.320223019984,5443.00126026,4269.457808920071,4007.8538833200128,14565.48537854011,17071.660714139987,83666,159379,382175,569244,829112,1299561,1785698,2557685,3579668,5072491
3,3858.2687687200387,2958.8351508000087,3208.326288879998,3321.4104440999836,3389.9810226600202,3805.7278469599623,3831.160949939981,4047.4303318600114,17129.343824300067,14704.434114060085,72518,146534,355338,559043,842809,1225613,1936955,2655023,4145921,5440762
4,2905.298029300013,2577.656442919969,3247.6957843400005,2760.6294376199767,4425.4418841200295,3388.602092760004,3646.3490928599895,3695.8850771400394,17356.030775079977,15217.687030840094,70838,140014,354912,551034,838531,1278002,1894321,2650803,3308031,5176243
5,2303.108701740033,2069.7552133000136,2347.3166132400265,2319.4350646799976,2646.1441591999646,2752.772335999988,3220.5826367200125,3318.4231301200107,16876.40787288015,14202.943561540069,79780,161195,366927,570187,770415,1173675,1687142,2365207,3479342,4957606
6,2347.0348327,2440.313090800011,2491.79312356002,2655.1826743399497,2740.357265060039,3186.4184652000085,3211.5387207200374,3244.2244203999744,17091.415035220016,13925.16910212009,65698,125328,309022,479015,733868,1115511,1640603,2306871,3470160,4819247
7,2363.9034521800404,2285.141848399998,2643.074717739958,2450.559486859962,2576.006731179953,2804.629187360021,3359.5256078200127,4076.9155224599945,17682.81020933988,13396.081937300132,67777,145013,313747,495546,750825,1121836,1689928,2397237,3616758,4886070
8,1689.534932160037,1595.9303932800349,1751.9031621000058,2782.7472998399926,2089.698943539999,2210.4677530000235,2711.5477949599554,2911.704368599989,19144.58826976006,13264.975604540072,76235,143488,307660,435218,660608,971374,1501579,2146414,3148946,4337126
9,1416.7073991999941,1621.3941852399957,1774.5899079799565,2452.1020405999716,2118.4317830999853,2590.0693531400093,3051.2042498400224,3215.4178955199723,14168.99064708014,12879.037432200035,78040,151667,337189,524866,790122,1205809,1775773,2496397,3677146,5006741
10,1419.256178460023,1529.3723905599918,2079.3976200000297,2245.271103799978,1928.2973538199876,2099.851953359994,2660.62382814001,2762.7549548599927,13910.098556859954,11248.327184640031,76333,149614,354796,549406,861960,1320143,1923056,2701407,3875941,5150628
11,1277.5960731399873,1301.6800902799705,2548.646588460004,1899.9581968799803,1885.3022145199875,2054.643052219978,2605.0617974399765,2578.269589799972,13674.798096539973,12789.603908080022,65654,131898,300535,459611,624726,935065,1372295,1948213,3023735,4074203
12,1267.1524875999985,1674.1822263000167,2275.44141392,1567.0843216000148,1719.5314051199966,3665.829127079992,2517.2386564400167,2437.5203542399777,13579.225306840086,11224.455875500034,78592,156163,324853,484247,722061,1122877,1602416,2256790,3333023,4564810
13,1253.9075593000216,1319.119045779952,1625.1122405800052,1578.3989848399824,1816.5408594600558,2227.082443200001,2468.31624431997,2529.2536608599867,13854.03413094001,11933.099018519977,71570,140947,334163,524432,753122,1107005,1693968,2350617,3394012,4732357
14,1670.4099474000168,1984.2449098600482,2044.5669083599696,2075.3858734399982,2240.8405381400053,2483.510148899978,2922.719451939991,2946.466542779961,14200.061806860183,13548.862597560073,75027,149252,356838,541845,807717,1220346,1720284,2442164,3581227,4932098
15,1969.2136338200125,3716.224942239972,2108.8604183600182,2133.291236539979,2248.052588919988,2503.68593613997,3208.1137819599617,4154.560446060066,15201.025930120086,13202.515645040054,78727,152916,352006,563665,845844,1324198,2023224,2843425,3954716,5367782
16,2404.7777563400323,2526.545534640005,2496.592811679986,2910.8045474600094,3506.5085630200592,2986.57570423997,3507.477007520012,3719.138626039997,14345.884456439853,11916.673648920036,65039,129268,317610,503882,722665,1115439,1779610,2417295,3519223,4867910
17,2553.5187952799542,2665.466055279985,2837.8260015599753,2755.1951267399545,2929.644094319983,3617.5490594999837,3682.087683199972,4082.81756381996,14929.327267640052,13220.300572219967,68927,141469,322999,508746,748132,1138585,1810572,2492058,3859263,5486201
18,2091.229630200024,2283.197710419974,2804.9163904600036,2588.1959208599765,2697.1072137399806,2938.5537023999495,3195.330668459983,3400.2405538999974,14925.863064620058,13599.473029020002,80564,159693,380789,570705,881564,1294696,1997453,2796042,4235190,5805983
19,2369.6421644999837,2086.3449162400047,2550.926771000024,2147.012638399986,2409.942201739921,2668.887312620017,3103.180327400014,3125.0160132800193,14510.86718868,12144.396926799942,69822,141645,311968,553545,730797,1263057,1724573,2453295,3752551,4880909
20,1556.8215934799891,1662.0840365000386,1890.3721524200246,2030.670246159998,1973.491587059947,2496.647514560056,2638.109237000015,2710.6703354399797,14063.142531419995,10500.494900860056,71507,133609,281522,401676,585809,814814,1228528,1717286,2669385,3656501
21,1482.4932464799704,1628.3407434000083,2005.8675718800214,1966.5987130200165,2122.376672560011,2794.249050579984,2662.5213773799833,2757.633952560006,14200.964470320021,11475.455059900072,73225,147512,379602,609987,898289,1360218,2056647,2882284,4266558,6021081
22,2547.73045875997,2741.9032516799707,2342.933061019986,2640.372260920005,2788.7097657799895,3082.1331061000046,3365.572030060008,3542.508697180064,13199.836185919987,12181.1498990001,75750,151322,356294,559155,819341,1227149,1724921,2454094,3703651,5253825
23,2728.2372466600136,2926.7114531200396,2566.1135549399814,2850.909539500014,2791.5237494599824,2836.031321399979,3457.04922377993,3499.9256090199824,14940.282322439969,13221.30279720009,67565,129121,301780,474552,723138,1087321,1714301,2386894,3507572,4513618
