time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,2251.5933950199897,1716.947197180004,2138.7618536599975,4228.610909619916,4852.582799240015,4639.231093719969,3382.474304840004,17824.11842398013,12587.553939619993,17877.508927319937,16417,16590,29206,21421,73751,175440,820911,831244,1816863,4206411
2,1223.5879183399838,1346.8016588999699,1606.888225659999,1528.991589420003,1411.387974320005,2278.899841600025,2914.107517879961,5078.871440139952,13145.634492640103,16979.767347340116,23351,27226,55539,61249,133085,259937,964341,1007781,2024139,4604895
3,2901.251959999984,2825.1200545799775,2992.188387500052,2475.288685800003,2685.297301760018,3650.7627127999795,5027.704685500048,3619.3578467199895,16574.929991940004,13282.646672159997,80242,159816,388876,617946,899436,1322708,1965250,2767864,4319129,5597750
4,3226.688647119993,3393.4871830399798,3562.7633209999976,3694.4041169400152,4205.235038599976,4058.6898625799877,4445.945915660006,5099.800586660087,18335.026849200098,15039.046967039914,72872,144154,357146,553332,859383,1318449,1918036,2599437,3904467,5569073
5,3214.9714270199747,3200.896546920031,2607.0455713199544,3279.654246499972,4512.842376039995,3682.558399160036,3735.4935772999734,4474.894662919969,18259.94821237986,15092.692372820089,64851,126672,276592,419490,584442,887945,1289591,1874866,2878016,3670677
6,2410.085969020006,2215.6367142800054,2426.98839003991,2693.2561466799734,2709.952514899963,3338.873401840049,3969.102803839998,3524.153834800032,17901.793018159904,15356.27992462003,67615,132363,312233,500318,715717,1075370,1561324,2201522,3652396,4747522
7,2007.7723427200654,2113.3363963800202,2582.432677999969,3840.875824660019,2721.5400903400223,2668.3847297399925,3363.413799359997,4346.653148959995,18164.440514740116,15775.984144060028,80161,160839,345103,513197,734211,1089870,1579713,2299735,3353878,4010456
8,2601.9606555599876,2199.352476599992,3017.2499816199943,2371.697692039984,3065.883817340019,2951.039561219959,3494.6049474000274,3433.4333988800227,18134.475605720054,13200.59192072005,74608,147026,363853,564639,812657,1214534,1657926,2372102,3476034,4187266
9,2567.192164000002,2165.339030379977,2433.943877480003,2679.5288187199876,2810.8265572599394,3045.7739132399665,3667.908693900037,4950.513531620019,18281.34703529993,13075.591074900003,70891,143751,323142,511271,739141,1084771,1558585,2208263,3461245,3942135
10,2297.1505724599656,2406.5096457399213,2320.7384804999974,2219.2864545200264,2831.017683379975,3024.021651079981,3253.617705340028,4759.137192819981,18162.591387579916,13866.473335299961,79115,160429,356252,570392,819396,1243610,1754742,2483553,3748812,4504194
11,1709.0984870000148,1567.1258183200252,2107.307678279998,1657.6007017399752,2384.496276859976,2235.4855834000136,2589.717716739925,3197.377781539997,20107.344888540032,13463.151138720074,67856,136795,332415,522454,758527,1164419,1633823,2303562,3587595,4545950
12,2087.373093140058,1782.1342804999795,1964.3869976199903,1691.825372939984,2077.323537219985,2328.0287806799743,3072.129294839995,3007.643318800001,18029.040190659867,13679.592658539994,73286,147787,357604,587982,897676,1346505,2051836,2960472,4517613,5782633
13,2227.0448598999765,2293.049964480012,2565.7422410000227,2186.133644360041,2423.822457779984,2711.051525379996,3482.587661340025,3382.5764533399497,19967.509627699976,13121.212365099891,70221,139508,333027,523859,775366,1238970,1820446,2547981,3758493,4904399
