time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,5101.471530379962,3988.008491220011,5407.715327920017,4297.090085540012,5108.578046100003,4642.236706360036,5621.068268719995,6186.488793079976,6493.041251059956,6567.6941358399945,50802,80394,157400,218605,292974,379583,481915,569465,684314,771361
2,3841.586232999951,3557.0473162799954,3568.872496899974,3471.1034814199684,3360.320223019984,5443.00126026,4269.457808920071,4007.8538833200128,4160.5025818799895,4032.6693846000035,83666,159379,382175,569244,829112,1299561,1785698,2557685,3877103,5018396
3,3858.2687687200387,2958.8351508000087,3208.326288879998,3321.4104440999836,3389.9810226600202,3805.7278469599623,3831.160949939981,4047.4303318600114,4048.516301240048,4031.449897039992,72518,146534,355338,559043,842809,1225613,1936955,2655023,3956721,5392692
4,2905.298029300013,2577.656442919969,3247.6957843400005,2760.6294376199767,4425.4418841200295,3388.602092760004,3646.3490928599895,3695.8850771400394,3906.0592810199987,4399.216416879992,70838,140014,354912,551034,838531,1278002,1894321,2650803,3950220,5320532
5,2303.108701740033,2069.7552133000136,2347.3166132400265,2319.4350646799976,2646.1441591999646,2752.772335999988,3220.5826367200125,3318.4231301200107,3342.8715849999744,3416.798190879983,79780,161195,366927,570187,770415,1173675,1687142,2365207,3491605,4645281
6,2347.0348327,2440.313090800011,2491.79312356002,2655.1826743399497,2740.357265060039,3186.4184652000085,3211.5387207200374,3244.2244203999744,3402.4565868799955,3449.78840228,65698,125328,309022,479015,733868,1115511,1640603,2306871,3505006,4580818
7,2363.9034521800404,2285.141848399998,2643.074717739958,2450.559486859962,2576.006731179953,2804.629187360021,3359.5256078200127,4076.9155224599945,3487.5408189199925,3343.6721929400046,67777,145013,313747,495546,750825,1121836,1689928,2397237,3586481,4603237
8,1689.534932160037,1595.9303932800349,1751.9031621000058,2782.7472998399926,2089.698943539999,2210.4677530000235,2711.5477949599554,2911.704368599989,2814.33680379996,2769.4237919600027,76235,143488,307660,435218,660608,971374,1501579,2146414,3335633,4412178
9,1416.7073991999941,1621.3941852399957,1774.5899079799565,2452.1020405999716,2118.4317830999853,2590.0693531400093,3051.2042498400224,3215.4178955199723,3296.8708468199793,3381.81991320001,78040,151667,337189,524866,790122,1205809,1775773,2496397,3787510,5181869
10,1419.256178460023,1529.3723905599918,2079.3976200000297,2245.271103799978,1928.2973538199876,2099.851953359994,2660.62382814001,2762.7549548599927,2816.51413827997,2765.9479346599774,76333,149614,354796,549406,861960,1320143,1923056,2701407,4162765,5621242
11,1277.5960731399873,1301.6800902799705,2548.646588460004,1899.9581968799803,1885.3022145199875,2054.643052219978,2605.0617974399765,2578.269589799972,2672.033044379981,2628.128315359969,65654,131898,300535,459611,624726,935065,1372295,1948213,2973288,4019878
12,1267.1524875999985,1674.1822263000167,2275.44141392,1567.0843216000148,1719.5314051199966,3665.829127079992,2517.2386564400167,2437.5203542399777,2798.296730179981,2600.6843387199488,78592,156163,324853,484247,722061,1122877,1602416,2256790,3401617,4544260
13,1253.9075593000216,1319.119045779952,1625.1122405800052,1578.3989848399824,1816.5408594600558,2227.082443200001,2468.31624431997,2529.2536608599867,2557.63724505997,2484.2729242600035,71570,140947,334163,524432,753122,1107005,1693968,2350617,3520642,4690835
14,1670.4099474000168,1984.2449098600482,2044.5669083599696,2075.3858734399982,2240.8405381400053,2483.510148899978,2922.719451939991,2946.466542779961,3993.521746280041,3045.4596089599936,75027,149252,356838,541845,807717,1220346,1720284,2442164,3717999,4959642
15,1969.2136338200125,3716.224942239972,2108.8604183600182,2133.291236539979,2248.052588919988,2503.68593613997,3208.1137819599617,4154.560446060066,3016.8458006199717,2889.950600039947,78727,152916,352006,563665,845844,1324198,2023224,2843425,4380174,5802206
16,2404.7777563400323,2526.545534640005,2496.592811679986,2910.8045474600094,3506.5085630200592,2986.57570423997,3507.477007520012,3719.138626039997,3663.3072722999514,3286.954603759985,65039,129268,317610,503882,722665,1115439,1779610,2417295,3469373,4564274
17,2553.5187952799542,2665.466055279985,2837.8260015599753,2755.1951267399545,2929.644094319983,3617.5490594999837,3682.087683199972,4082.81756381996,3653.60937604,4285.664698960027,68927,141469,322999,508746,748132,1138585,1810572,2492058,3796496,4980269
18,2091.229630200024,2283.197710419974,2804.9163904600036,2588.1959208599765,2697.1072137399806,2938.5537023999495,3195.330668459983,3400.2405538999974,3462.4564115000803,3542.1908519400104,80564,159693,380789,570705,881564,1294696,1997453,2796042,4157974,5330821
19,2369.6421644999837,2086.3449162400047,2550.926771000024,2147.012638399986,2409.942201739921,2668.887312620017,3103.180327400014,3125.0160132800193,3166.281457320002,3344.1461875599725,69822,141645,311968,553545,730797,1263057,1724573,2453295,3677844,4900015
20,1556.8215934799891,1662.0840365000386,1890.3721524200246,2030.670246159998,1973.491587059947,2496.647514560056,2638.109237000015,2710.6703354399797,2741.712089579987,2690.1233082200406,71507,133609,281522,401676,585809,814814,1228528,1717286,2785242,3889262
21,1482.4932464799704,1628.3407434000083,2005.8675718800214,1966.5987130200165,2122.376672560011,2794.249050579984,2662.5213773799833,2757.633952560006,2908.1575948399704,3041.832381180002,73225,147512,379602,609987,898289,1360218,2056647,2882284,4383074,5849786
22,2547.73045875997,2741.9032516799707,2342.933061019986,2640.372260920005,2788.7097657799895,3082.1331061000046,3365.572030060008,3542.508697180064,3384.1788281800327,3319.1473959399746,75750,151322,356294,559155,819341,1227149,1724921,2454094,3697360,5008466
23,2728.2372466600136,2926.7114531200396,2566.1135549399814,2850.909539500014,2791.5237494599824,2836.031321399979,3457.04922377993,3499.9256090199824,3514.52143683996,3445.635116059989,67565,129121,301780,474552,723138,1087321,1714301,2386894,3501306,4529126
24,2409.7128355000186,2314.60096650004,2549.6125437200035,2390.8937390999417,2604.2694780999964,2938.7813387600036,3617.9035135600325,3348.3057424199806,3847.561576560016,3795.7035018000333,75007,154465,388763,624254,927853,1429441,2071411,2827709,4095111,5400528
25,2631.759892420054,2567.178002459993,2628.732788880023,2983.503538220015,2876.0200576799452,3221.6014179599642,3471.768592919998,3855.2508900600433,3413.5853006800007,3757.3278517800272,57467,109029,247290,383135,507416,732834,1074850,1494956,2313408,3138230
26,2303.1392571000333,2505.1516768599804,2656.013483099996,2687.6057610999587,2987.350775780009,2893.8249349200014,3555.593544159964,3455.382329639997,3739.5979274599877,3469.5964476599947,71658,143233,349427,543290,791166,1230771,1834802,2458097,3264115,3899713
27,1605.839813519976,2037.0610787399992,1904.9630575799983,1981.5696717399896,1998.261232980004,2469.3883243799837,2750.871157739988,2997.033638360047,4172.767326939989,2934.6836727999644,73225,148266,340192,540212,778037,1185083,1774807,2483423,3673906,4880444
28,2331.445206520042,2559.9328485999995,2693.092081620018,2878.922259239979,2919.037683199984,3111.366204379965,3538.7442004399227,3385.1210927000056,3611.3216625800032,3486.1842203599763,76517,154411,345380,551279,811809,1247746,1815529,2578935,4007190,5455439
29,2493.557440319959,2485.9350320399735,2865.3810008399787,2908.9862601800214,2831.6859053399476,3178.690453839993,3566.3914944399685,3511.7985798600403,3838.014370959985,3572.0774932799923,74801,146385,341175,551341,815535,1245394,1856960,2617019,3987822,5370915
30,2435.969355479955,2391.9904625800154,2556.2308517399824,2623.11099974001,2703.0160706800234,2923.382280739972,3650.2161267800257,3535.0845395600263,3420.365316780002,3521.7086896400024,71404,144143,351645,568037,847271,1223302,1804909,2503407,3674920,4776045
31,2196.868383479974,2075.834714800021,2286.325212639973,2421.308654979949,3123.4033668000448,2947.283377179997,3346.2982794199497,3429.797889459971,3340.386132360004,3556.049532519989,80556,163183,371405,589074,866344,1233144,1788298,2553084,3786401,5081415
32,1926.1225503800224,2055.6627396400127,2109.584131020036,2350.9999349400414,2359.2290331799886,4121.0453180200175,3381.372960599935,3357.21644395999,3508.6972605200262,3566.699061899957,69480,147524,359047,575490,837310,1238162,1873475,2629502,3972713,5293094
33,1735.819906299982,1761.3030685600133,2040.5227602399736,2194.9306345200066,2263.089048379992,2468.63241620002,2853.753109739968,3098.1430964399997,2876.346147539958,3133.6194363199947,65962,130746,315978,520180,751688,1116617,1720367,2423256,3581248,4731294
34,2194.0539302799834,2066.3983747400034,2250.6749983800373,2248.718300799953,2527.0089155400265,2898.793157539958,3278.06467497997,3173.7342264200333,3179.3933738599735,3183.7643423600093,72574,144020,357706,528615,849120,1291295,1820849,2632897,3986123,5227777
35,2055.0344479600262,2256.012916739962,2085.998599139997,2227.151074499955,2352.5396364999788,2544.009026699998,3013.4157900599866,3112.531561380023,3237.2892149000154,3060.0800836600138,79080,156898,357007,584003,901993,1371635,1991932,2864810,4243202,5576470
36,1899.1317383800015,2004.6089011800295,2056.328731399999,2226.3799943199892,2412.7738135799555,3217.054601840059,3253.17408987993,3126.033761940009,3085.911972679947,4182.226313840005,72167,145949,348908,567800,851422,1308167,2054696,2887767,4210904,5604059
37,2064.768569059992,1976.8451796400068,2225.5414029800277,2174.0201664799843,2383.8342810799923,2558.6656697400194,3176.0410314999344,3547.283143119983,3244.6993929200844,3748.788630859952,85075,164951,384624,604072,941938,1418259,2101652,2936075,4461529,5841685
38,1854.9074045800553,1666.689197779985,2125.5195171199366,2037.4970709799918,2267.4805600999534,2671.319371040012,2941.868200759998,2944.686116340019,3024.6325733600497,3207.0939337400596,68590,134914,339079,558022,828183,1287482,1889409,2633050,3842614,4921397
39,1759.8431996399795,1798.34562971999,1909.413782659999,2173.7423371399927,2215.2844121800053,2629.3797900199443,3442.6868449200138,2893.823426299976,2913.0245334399688,3089.753478179954,69765,147517,312695,471890,699562,1008328,1482304,2079277,3117824,3973698
40,1981.6524406199705,1977.4785203000047,1994.652513879988,2336.6969950799266,2265.4873453400287,2584.8697833000097,2979.5967618000223,3015.542804380011,2908.326606940007,3109.3646649800066,76471,157572,355671,550243,768420,1146953,1731111,2409306,3693456,4889375
41,2233.194445559936,2281.05629314001,2577.5551676199984,2807.9175775800113,2735.4835047399747,2931.6328093400407,3605.448333459969,3425.8573271199984,3420.75805021994,3544.94844793995,70579,131272,318081,487720,749580,1089134,1677009,2322876,3505489,4547646
42,2902.127299260049,2584.261423159962,2383.10370786,2371.457975479997,2580.8850117999773,3040.0962011399824,3196.5392275999648,3237.582578499949,3475.831280999957,3409.7442850399357,74186,151413,363806,579816,817360,1283689,1857625,2660620,3921243,5130777
43,2834.5482721400067,2384.724712159982,2313.9522211799977,2629.5142870999935,3057.9025484800104,2867.01940894002,4612.862194980056,3308.257700380015,3086.3093446799758,3159.876478060004,64148,127576,295457,431867,632154,929546,1381826,1954720,3001391,4047542
44,2503.7982584800066,2427.7980382800015,2592.14091689999,2726.340689879964,3839.5710956200155,2959.3179757399957,3935.548203559978,3459.7855018200353,4042.5485340400073,3388.9722022200185,74341,146370,321898,510900,758613,1115991,1701299,2475509,3701034,4779460
45,0.0,16284945.072907029,2657.000034559969,0.0,2937.4598104051956,2988.8222020806397,4523.3173947389605,0.0,65.31219519716433,15516941.784947561,80555,159338,388284,607517,915101,1423392,2158626,2967004,4290465,5708127
