time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,1468.0816579999755,6424.431467659968,3019.0582271600015,5973.568648379965,6866.369598680065,6871.548976459982,5295.984333780054,5309.0464051400395,8335.830171479964,7149.407497179953,50802,80394,157400,218605,292974,379583,481915,569465,832452,966487
2,1427.4699665000553,1338.511824180012,1574.496167220006,2499.6123407599443,2016.4927930000413,1843.6695105799463,2628.0558022799705,2471.843616199949,2193.153097900058,2920.651241939995,83666,159379,382175,569244,829112,1299561,1785698,2557685,3579668,5072491
3,1105.5446837600084,1209.6568074199713,1278.752469819905,1660.7633341199853,1687.7186220599779,2021.3311425400716,2062.915412600005,3186.356887820013,2462.770170419928,2759.5831690400664,72518,146534,355338,559043,842809,1225613,1936955,2655023,4145921,5440762
4,1117.5952992999664,1233.848920059978,1341.7814795799623,1408.890704419975,1540.5466684000112,2058.63946371999,1810.3150635000384,2119.6750199999915,2420.809480039954,2940.0030781799996,70838,140014,354912,551034,838531,1278002,1894321,2650803,3308031,5176243
5,849.5975933000354,828.5029950000107,1269.9141713000135,1198.3347825599558,1088.7162865999726,1312.2446993800768,1869.7171523800152,1983.9485021399869,1795.7345078399994,2322.294793620009,79780,161195,366927,570187,770415,1173675,1687142,2365207,3479342,4957606
6,982.1419848399801,1182.8133692800366,942.2959186799735,1336.6245738200178,1458.2160025800767,1661.774702900002,1921.2424622400013,2215.3236410400295,2227.6193880999763,2705.541424060064,65698,125328,309022,479015,733868,1115511,1640603,2306871,3470160,4819247
7,2078.0921067599847,1147.997670219902,1277.6684937799655,1353.8517894400175,1464.7663634199798,1724.786452339984,1918.5485761999807,1895.0406761999511,2212.20567294011,2726.9790629399813,67777,145013,313747,495546,750825,1121836,1689928,2397237,3616758,4886070
8,754.147824339946,917.4825391799686,1250.6759946800012,1591.5027365600417,1136.2166200599877,1346.7370225400373,1549.0799344600327,1706.6026840599588,1704.1485636000798,2277.421086260025,76235,143488,307660,435218,660608,971374,1501579,2146414,3148946,4337126
9,1149.1858437399587,751.6531367600219,1093.8931634199307,1116.2523927800212,1486.178874800038,1732.3689075600232,2019.7719980200436,2104.2369487601063,2547.5572797800833,3466.021365700006,78040,151667,337189,524866,790122,1205809,1775773,2496397,3677146,5006741
10,1348.973759400007,963.9667079199626,1541.6068921799906,1465.4994657000898,1489.9304757599857,1752.6111119200195,2000.077735319992,1783.4008195800561,2150.8450190999774,2707.626540699908,76333,149614,354796,549406,861960,1320143,1923056,2701407,3875941,5150628
11,496.3261071199613,1017.5396830200152,1332.246182359977,1446.6755867399897,1435.3664639799335,1666.8286380599839,1519.6750040600073,1438.9199673800013,1710.2881948199665,2232.8054007799983,65654,131898,300535,459611,624726,935065,1372295,1948213,3023735,4074203
12,3704.358663560077,546.5570471000119,1074.1757044999758,945.9857251800477,1166.3496376800758,1373.43476343994,1912.6481066400102,1787.2372803000726,2138.196459800005,2830.5047150800256,78592,156163,324853,484247,722061,1122877,1602416,2256790,3333023,4564810
13,1180.3077963600335,992.3674096600516,1048.881781940012,1291.387949480004,1346.964074759986,1851.5345688799462,1799.432707800026,1902.121121960001,2068.9891370000387,2741.0742172000173,71570,140947,334163,524432,753122,1107005,1693968,2350617,3394012,4732357
14,676.0584199200066,892.4838339200887,1208.6343848600354,1577.1307221999996,1433.958424760025,1784.6533968199528,1469.6076447599826,1659.5685796999987,1723.7632011799906,2236.585780379968,75027,149252,356838,541845,807717,1220346,1720284,2442164,3581227,4932098
15,1507.9950099800026,550.6209041399998,1231.7148951399558,1162.6126379800226,1059.3054547399843,1479.9360160399756,1884.6944280999924,1602.659570599968,2158.5628218600505,2653.92875664006,78727,152916,352006,563665,845844,1324198,2023224,2843425,3954716,5367782
16,994.304646140019,1158.2468162400164,959.617691720031,1387.3535426600338,1562.918022659951,1709.0711633400479,2408.401905799923,2003.6576697399596,2260.795397219981,3198.6487351999385,65039,129268,317610,503882,722665,1115439,1779610,2417295,3519223,4867910
17,903.050239620019,996.5371923600669,1401.9517302200547,1404.6578633199915,1763.7047884199892,2643.722346540011,2049.5812735200234,2051.08767654003,2144.0883650400156,2300.9797015400527,68927,141469,322999,508746,748132,1138585,1810572,2492058,3859263,5486201
18,670.4028824599836,950.8461169199572,1354.0060646199945,999.7263797400065,1291.1366858599522,1262.0809961599643,1892.6656794399842,1875.1296415799861,2642.7549845400117,2623.5853884000426,80564,159693,380789,570705,881564,1294696,1997453,2796042,4235190,5805983
