,VMAF_10,VMAF_9,VMAF_8,VMAF_7,VMAF_6,VMAF_5,VMAF_4,VMAF_3,VMAF_2,VMAF_1
0,100,100,98.99758656,98.99159302,95.07683417,91.00465167,82.36335604,74.28262448,34.8399601,34.84066781
1,99.84478229,99.72134052,97.60798677,97.51870635,90.83948719,82.64972177,67.70148292,55.00154885,30.7432226,30.74292021
2,98.31217781,97.9102251,95.8021126,92.55508115,87.88908271,80.68009646,68.48219125,52.76074958,5.261808958,2.408135625
3,98.39512729,96.73534594,93.29537667,89.90398,82.94947792,71.98930042,55.68502,38.43516302,2.778804271,1.430520729
4,98.04963021,97.79116781,95.69280302,93.46220063,87.74398229,79.24322448,65.84321635,49.88566021,15.63394708,12.79976229
5,99.94790177,99.53130625,97.4304824,96.78336708,89.718635,80.57204885,62.94373021,43.86826729,0,0
6,99.997725,99.91150094,98.86164844,97.82127781,93.73696031,87.74188156,75.24416844,60.06308333,0,0
7,99.98363188,99.81826448,98.29206688,96.92450823,92.1817901,84.88199719,71.14638677,54.97853365,0,0
8,100,99.96694135,98.63379365,97.81514563,93.03354708,86.56780625,73.52054792,57.99235375,0,0
9,99.55504708,99.53098198,97.80692896,95.72197573,90.89860271,82.89812167,68.54120656,50.59362094,0,0
10,98.50167177,96.97645115,93.05279469,90.00444667,82.74326573,71.37796146,53.89693542,37.17549052,0,0
11,98.97389167,99.08758354,97.07055073,93.48733292,88.21152021,78.72609271,63.45976875,44.65741167,7.668047812,6.051954062
12,99.111495,99.0347975,97.51827542,94.06416917,89.8249199,79.75473333,65.24162573,47.07912604,1.043303958,0
13,99.72089938,99.81401552,98.79178146,96.53102792,92.84122615,85.79620125,74.38768802,57.49691927,3.767716042,2.093243958
14,100,99.99920469,99.95928729,99.36263646,97.73697646,94.9141901,88.71441448,78.46039646,26.49799396,13.74737042
15,99.99982104,99.88479469,99.36695531,98.81536146,97.1099051,94.15842073,88.4732625,81.1536476,39.31361333,31.8615624
16,100,99.88868635,98.28586646,98.08539969,91.15505917,83.2522049,68.75458104,54.82660656,0.629431667,0.616059792
17,100,99.93390885,97.99975125,97.37060771,90.08181833,81.29299927,64.65078937,48.22329792,1.155134792,1.135895
18,100,99.94532073,98.54037052,97.0481476,90.79522396,81.44339635,64.26177073,44.6791974,0,0
19,99.714575,99.75982021,98.7582925,97.50812771,92.3961,84.61369552,69.47089021,51.5698376,0.047758125,0
20,99.57108719,99.20746323,97.96014698,97.16904531,93.45967802,88.32776052,77.82303469,64.91150896,2.159974896,0.572490417
21,100,99.99602135,99.93477927,99.58137562,98.02566542,94.04315604,84.75659188,71.68005646,13.98136542,9.63791875
22,99.83993563,99.6185676,98.37546479,97.15905167,91.6957924,82.47745562,66.20797302,47.60253125,4.945258021,3.994761875
23,99.77495448,99.44064281,97.91791188,96.77456646,92.26257333,86.1698674,75.23287167,61.87476812,16.20484781,12.10254427
24,99.45702417,99.31470875,97.72016625,96.45369063,92.31433865,86.65607687,75.31329063,60.84834302,4.073147292,0.490609688
25,99.76755042,99.23537771,97.12209833,95.85025771,90.29703823,83.50955625,69.56996083,53.76894667,2.387406563,0.397852188
26,99.85677906,99.605435,97.41768594,95.26955458,88.96224687,78.88398781,61.31314802,40.90112646,0,0
27,99.94361573,99.53798177,97.5537626,95.46379406,89.03669219,80.10686344,63.34162198,43.28270031,0,0
28,98.72271406,98.29782958,96.33230385,93.12387219,90.35848344,83.70707104,68.48440313,50.68080708,0.104365313,0.005109583
29,99.74120531,99.78094354,98.96868333,98.07237344,94.23788906,89.08139417,78.49574354,66.14429542,2.973252292,0.130930417
30,99.92512719,99.90933625,99.24146677,97.62542531,94.98022479,90.06162792,80.81339458,67.07018448,8.985452083,2.051322917
31,99.33282729,99.35964802,98.41076365,96.69072812,95.04710708,90.988445,83.02876865,69.93951604,14.25144135,6.726443542
32,98.97448958,98.97447094,97.93375844,96.71714667,94.54967792,90.45031031,82.36210896,69.84258677,9.443173438,2.985530104
33,99.59529552,99.36690479,97.7644174,97.01560938,92.56679792,86.82144833,74.82544813,61.00374,3.253536875,1.062237917
34,99.85690438,99.47985646,97.79856948,97.09486531,91.67193688,84.57259927,71.13581781,55.89407094,0.104018333,0
35,99.54560396,99.51886604,98.65100448,97.7867799,94.69152219,90.44689625,80.93677802,68.87835885,4.972434479,1.912109063
36,99.84995385,99.71399615,99.06961021,98.32153042,95.81640844,91.99435219,83.75939719,73.40052896,14.372245,7.907319688
37,99.65205,99.3900351,98.48393146,97.5615599,94.26482167,89.83581854,80.64903979,69.00298344,8.488406979,1.681169583
38,99.99946667,98.32319427,97.87632583,96.77098281,90.02634896,80.36097083,60.81061312,41.23131562,0,0
39,99.87436667,99.61211531,98.44490281,97.40535042,94.03746344,87.86013302,75.30170615,59.85295417,11.22234365,7.610172188
40,100,100,100,99.954445,99.30235229,96.56285854,89.89611833,77.90037885,16.24162,8.733347917
41,100,100,99.9668274,99.72977135,98.19996729,93.64248333,84.34713479,70.7842649,3.905921458,0.767774063
42,99.65852344,99.62914135,98.91161135,97.71923385,94.11937833,87.79490917,73.84798094,56.58095271,0.711493854,0.03425
43,99.54825615,99.58269813,99.19921323,98.7729699,96.85254948,93.2975576,86.18252292,75.37913135,13.10818906,8.640868854
44,99.62072729,99.58218646,98.78516656,97.95223,94.99826188,90.33077292,80.49265396,67.02310417,2.939083021,0.882841771
