,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.8387202876971376,2.0511839685296427,1.6262566068646327,61.99649029605808,60550,61.91017558708636,772.5555110834817,2051.5028439583334,6.273546752768537,2,28.0,26482488.0,34173.47039561456,38122.20656590303,30224.73422532609
3g_report.2010-09-21_1735CEST,-0.15031602194005336,-0.1383212707811336,-0.16231077309897313,-9.760184314530125,31700,40.73569176670298,663.5269990178359,1008.5550949999999,29.914889808363583,4,11.0,13930170.0,65347.19890161492,60132.69561952369,70561.70218370615
3g_report.2010-09-28_1003CEST,4.688259189028207,5.530979825060524,3.845538552995889,137.3527660876166,76150,72.50587106782758,943.8789088231624,2457.0708033333335,4.774668698060942,1,11.0,32307041.0,30275.39230708299,35717.433122757575,24833.35149140841
3g_report.2010-09-28_1407CEST,1.3080803874155773,1.2770419965689617,1.3391187782621932,71.77187057159793,80650,77.50913286278363,746.9571885320961,2272.9461351041664,19.629170844158125,2,24.0,34503568.0,54898.99822389096,53596.34390665332,56201.6525411286
3g_report.2010-09-30_1114CEST,5.549383935475985,6.648138182597904,4.450629688354066,179.47697292810724,202800,187.45846876527455,977.571218318758,3037.351402916667,0.5436827944300212,1,15.0,83649109.0,33661.38726821983,40326.19775079096,26996.57678564869
3g_report.2010-10-22_1458CEST,3.241384832918192,4.054348196853038,2.4284214689833457,74.91941043073942,38000,40.69389682039759,778.6045314556319,1604.6772570833332,0.9710072337241208,1,12.0,16717245.0,24664.927251282068,30851.07399503608,18478.780507528052
3g_report.2010-11-04_0957CET,2.8560801079582716,3.485236868974262,2.2269233469422813,70.74115708166013,37350,38.112391087088554,653.8428691607158,1649.3776690625,2.382027926960258,1,14.0,16501831.0,26031.846547661036,31766.31884469333,20297.374250628745
3g_report.2010-11-10_1424CET,5.387629986180983,6.590619435808329,4.184640536553637,146.6792788494509,104500,100.29318437837561,897.5887884821608,2683.00669875,0.5713522267206478,1,17.0,43486563.0,28653.79404591989,35051.82286702508,22255.7652248147
3g_report.2010-11-16_1857CET,-0.2945785746927765,-0.33000865057950834,-0.25914849880604457,-9.337044232761926,28200,27.763174391385476,567.9261110388393,1051.0585599999997,6.731369952368375,4,23.0,12833849.0,32161.518897483016,36029.70604028111,28293.331754684925
3g_report.2010-11-23_1606CET,2.2997827963892084,2.4217595904666225,2.1778060023117947,92.89123549972643,57900,58.67945856720212,956.2209231859518,2100.269050625,12.342377157036678,2,14.0,25032761.0,40505.252278481974,42653.58594894132,38356.91860802262
3g_report.2010-12-09_1222CET,0.3754634690085673,0.41460152448864035,0.33632541352849427,12.647892224090604,33000,34.12959173714325,679.438499292551,1349.8806416666666,7.538889003561036,2,25.0,14775844.0,34056.12765669919,37606.11513533171,30506.14017806667
3g_report.2010-12-09_1244CET,2.7839292332534065,3.448722680069823,2.1191357864369897,65.64705110746266,40800,40.74086453330353,652.3964414862925,1637.1999473958333,0.858459291084855,1,17.0,18218332.0,25006.69832328953,30978.21835090538,19035.17829567368
3g_report.2010-12-09_1334CET,2.2953016828843005,2.4686434100646126,2.1219599557039888,85.51893285221047,43350,40.12703152857926,648.3379791829797,1862.9784259374997,9.24508278451436,1,11.0,19218698.0,37471.96799628607,40301.859901893586,34642.07609067855
3g_report.2010-12-21_1200CET,1.6837185370784917,2.1094468717829074,1.2579902023740763,38.57326166659006,29200,29.817177821374532,584.4658722547856,1205.5984966666665,1.437033778476041,1,15.0,13174847.0,24474.284615898112,30662.608972466307,18285.96025932992
3g_report.2010-12-22_0800CET,3.247044466553527,3.9143562149392155,2.5797327181678393,83.66822262332278,42600,39.233688674407254,726.8243393416134,1802.7518759375,2.94391079247875,1,13.0,18818891.0,26903.80600615176,32432.90362373086,21374.70838857266
3g_report.2011-01-29_1800CET,1.7897663046934942,1.6832428955657974,1.896289713821191,123.97238716743445,126900,116.69877297121528,1237.721118718064,2705.1451888541665,27.67033580927386,1,13.0,52694221.0,69513.6050402966,65376.29048127839,73650.91959931483
3g_report.2011-01-31_1830CET,5.4279584514667425,6.580826946695103,4.275089956238382,161.74233941402076,136300,123.49446618884426,832.1697842781257,2831.903516770833,0.4724954826804045,1,16.0,56357258.0,31205.74152967328,37833.66924899437,24577.813810352192
3g_report.2011-01-31_2356CET,-0.11026249264478827,-0.09513987781134198,-0.12538510747823456,-10.156077802411126,39000,36.795106753061646,700.8671242620044,1500.9951821875,53.324518762925486,6,12.0,17167684.0,93873.99043790539,80999.07562127429,106748.90525453651
