,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.027607427529336,1.9987756410503703,2.0564392140083014,72.10167073986835,64200,61.36036861225609,773.7011236643393,2077.184281635417,8.79965167977481,2,22.0,26754625.0,35567.167229957115,35061.41598969592,36072.91847021831
3g_report.2010-09-21_1735CEST,0.11379133391249621,0.10395768457320714,0.1236249832517853,5.718564154386655,29050,39.642719004829424,647.4659849580048,1600.45797215625,22.3804288877052,4,25.0,12820670.0,50632.96295909844,46257.35028606422,55008.575632132655
3g_report.2010-09-28_1003CEST,3.3234534578963553,3.5165615926949974,3.1303453230977136,92.54146819386062,77250,73.47526023524878,988.4958583297696,2170.507337604167,4.939041735918744,1,20.0,32081101.0,27939.29922330597,29562.70271877987,26315.89572783207
3g_report.2010-09-28_1407CEST,1.176293535751114,1.0806609511773135,1.2719261203249146,64.89478757429893,84200,78.24365521116083,777.090525736579,2174.7450772916673,22.64177727329249,2,21.0,34726826.0,55535.946835319904,51020.878129086224,60051.015541553585
3g_report.2010-09-30_1114CEST,3.742661359031726,4.370300052771721,3.115022665291732,109.891980454745,204250,186.99542278985368,971.3948937831398,2330.9112723124995,0.7117413264101959,1,20.0,84884169.0,30211.623729631152,35278.067694076715,25145.179765185592
3g_report.2010-10-22_1458CEST,3.67663382347438,4.234638583132749,3.118629063816011,78.88320565830581,38000,40.537668393668675,778.0631257298327,1913.9623597708332,1.3262399600897978,1,20.0,16651312.0,21961.138821693137,25294.193071420585,18628.084571965694
3g_report.2010-11-04_0957CET,3.0014717768599137,2.9740080132596636,3.028935540460164,78.6667266903215,37350,37.56418238268732,696.0469135892201,1919.5606522083335,2.806937820742332,1,19.0,16200149.0,26211.5786547592,25971.740117774258,26451.417191744138
3g_report.2010-11-10_1424CET,4.302554749446461,5.020939983022824,3.584169515870097,106.17399566379012,106900,100.72160447277263,888.2221728445849,2264.1036793437497,0.7515303643724697,1,19.0,43633386.0,25384.639200930324,29623.039645214772,21146.238756645875
3g_report.2010-11-16_1857CET,1.0149235886122048,1.0734978003368805,0.9563493768875293,28.672184051044923,28800,28.342222523842672,580.1266097706537,1634.05760659375,6.268749999966704,3,27.0,12777030.0,28344.994957778392,29980.86760338517,26709.122312171618
3g_report.2010-11-23_1606CET,0.8858177861164146,0.7772623274128806,0.9943732448199486,41.82052337743444,61350,60.18348789217492,943.1329063895893,1892.9347913749998,17.654581985390866,2,24.0,26012964.0,47931.035399431436,42057.16876966746,53804.90202919541
3g_report.2010-12-09_1222CET,1.4600781694556586,1.4446453312125866,1.4755110076987303,51.06882261000465,34500,33.585121341282644,706.1378582968699,1842.9451232083336,10.516375807883726,2,23.0,14800925.0,34980.68105945016,34610.93976496573,35350.422353934584
3g_report.2010-12-09_1244CET,3.8944053362027624,4.517087186605222,3.2717234858003033,83.42037993031666,41400,40.62041992851001,737.909875058309,1981.1367822916663,1.1643944146079483,1,20.0,17802229.0,21982.55914708598,25497.38090409282,18467.737390079143
3g_report.2010-12-09_1334CET,2.080071764178273,2.1146139254263456,2.0455296029301997,70.69195595540954,43350,40.221158833825065,732.9467644243651,1952.9650093125,9.44020632005732,1,20.0,18968460.0,33994.71934714036,34559.243657067615,33430.1950372131
