,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,4.488129857665327,5.41789776781045,3.558361947520204,86.37420035773825,52200,71.44860129846748,1541.1010941196887,1953.4183271666664,1.2881071098799632,0,18.0,22375521.0,20107.983798384754,24273.584765015763,15942.382831753743
3g_report.2010-09-21_1735CEST,1.9719143463113697,2.039547104735317,1.9042815878874222,57.99990948637941,25350,34.41450315811017,693.5844714635485,1758.07946015625,7.923611832611831,3,18.0,11122256.0,29447.63720977434,30457.63287073711,28437.64154881157
3g_report.2010-09-28_1003CEST,4.760357686135686,5.651140528777794,3.8695748434935786,94.51420390808353,59700,82.36778524788532,1737.8210999551864,2023.72721671875,1.3786629732225302,0,17.0,25226066.0,20574.879891365505,24424.958226871513,16724.8015558595
3g_report.2010-09-28_1407CEST,4.880850596786374,5.806059592034197,3.95564160153855,95.57144319292469,59700,90.37181751938787,1822.2806109433654,2023.72721671875,0.5326796018744433,0,17.0,25226066.0,20310.715998275926,24160.79433378193,16460.637662769925
3g_report.2010-09-30_1114CEST,4.683413916482443,5.588626214680873,3.778201618284012,89.10242239821031,67950,172.40702841698212,2077.6404710620973,2066.423400114583,0.2518892369229864,0,21.0,28589399.0,19763.40907507251,23583.289458935476,15943.528691209547
3g_report.2010-10-22_1458CEST,4.037489697386798,4.923949037613451,3.151030357160145,72.82493222995019,31050,38.42792503007009,868.9246872666138,1793.6868476875002,0.7386633607573537,0,20.0,13514620.0,18950.705373915873,23111.466401606933,14789.944346224815
3g_report.2010-11-04_0957CET,4.275087345502162,5.105592698735572,3.4445819922687524,82.55802047525651,36150,38.39316549529914,884.6618342157861,1839.5074003645836,0.7774961212555198,0,17.0,15872622.0,20068.80766930895,23967.500457400984,16170.114881216916
3g_report.2010-11-10_1424CET,4.489705032821343,5.324030477242865,3.655379588399821,88.4741708639609,63000,100.71158687674418,1945.4242301414556,2062.156290947916,0.37980096439930233,0,21.0,26411949.0,20410.859603923323,24203.825820095295,16617.893387751352
3g_report.2010-11-16_1857CET,2.9419600086614195,3.262695258303979,2.62122475901886,69.4648322613048,27750,29.129165127028088,614.1259622995296,1777.1649943541668,3.843843538808117,3,15.0,12178084.0,23895.767441280477,26500.906502693764,21290.62837986719
3g_report.2010-11-23_1606CET,3.612500579904248,4.330588514694348,2.8944126451141474,66.89038793859943,39900,55.327366591773995,1305.9284522994633,1746.1057697708331,0.7472359858431328,0,20.0,17591111.0,19278.101990242787,23110.17679234934,15446.027188136237
