,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.7079251308519714,2.719245485494124,2.696604776209819,72.2408097206737,59900,61.719905360498466,882.290667809774,1906.9464077187502,1.4976968239864807,1,22.0,24913067.0,26678.016837980656,26789.543042422003,26566.49063353931
3g_report.2010-09-21_1735CEST,0.8514996707151568,0.8519820754249388,0.8510172660053748,19.620538364812163,23100,33.80201373501873,1053.9640561114759,1303.1050033541667,0.867610161049311,1,25.0,10132319.0,23042.339694376707,23055.3939955999,23029.285393153517
3g_report.2010-09-28_1003CEST,1.5087670037527863,1.5036024048956758,1.513931602609897,44.11276853387898,74550,67.81171226240505,826.9109235638517,1766.67554440625,2.6769763180405493,3,27.0,30892728.0,29237.97068353416,29137.887377363742,29338.05398970458
3g_report.2010-09-28_1407CEST,1.5156171797298352,1.4615099163736307,1.56972444308604,51.94692530969473,81650,74.15384724622766,783.1736537122113,1845.8197889895832,5.68112682308125,2,25.0,33567569.0,34318.1745800926,33093.02186030074,35543.32729988446
3g_report.2010-09-30_1114CEST,3.22683218402893,3.360166059174778,3.093498308883082,99.26951181581367,190050,184.7844734225223,1448.9948151678013,2238.6382091354167,0.42880192938339146,1,22.0,78722478.0,30816.381528852053,32089.725580504768,29543.037477199337
3g_report.2010-10-22_1458CEST,1.0519032506108243,1.0587298791841193,1.0450766220375296,26.386149542990253,40050,36.60019873733102,1205.7005061455209,1319.7498424791668,1.4403674864185994,1,22.0,17549813.0,25085.25464576343,25248.05261794738,24922.45667357948
3g_report.2010-11-04_0957CET,0.707764157073471,0.689436473238737,0.726091840908205,18.521956504257986,33150,34.75677749229556,1127.090664402388,1248.6478603645833,2.899719239570507,2,21.0,14263153.0,26187.23305989458,25509.109813285442,26865.35630650372
3g_report.2010-11-10_1424CET,3.3104249153638023,3.3688198397650284,3.2520299909625763,97.09126102542726,111900,100.61214783363013,783.675963380378,2187.597043729166,0.68836359905612,1,21.0,45644394.0,29338.071019834966,29855.585986366925,28820.556053303008
3g_report.2010-11-16_1857CET,0.7949701972080352,0.8035019222715913,0.7864384721444789,19.418307722361988,27000,29.785245898598337,1175.865756588684,1336.868307770833,1.534562312517044,1,24.0,11904505.0,24429.273729754455,24691.451919196796,24167.095540312115
3g_report.2010-11-23_1606CET,0.9797628327530121,1.0046818014802184,0.954843864025806,25.550505625634813,58050,49.105895752632385,930.7585563907382,1442.8402939791667,1.403641981666495,1,26.0,24225176.0,26095.135853793516,26758.831038520737,25431.44066906629
3g_report.2010-12-09_1222CET,1.316654569233852,1.3175804952800472,1.315728643187657,30.20772269974701,28200,37.36314599984238,1273.9823685686265,1443.2753148125,0.522524673967798,1,24.0,12392379.0,22942.796345222363,22958.930670204012,22926.662020240714
3g_report.2010-12-09_1244CET,1.445588398693877,1.50628946708123,1.3848873303065237,34.36493919514976,41450,41.63364245834441,985.6183839443278,1461.2377555,0.5821569208620909,1,22.0,17099714.0,23814.274354914454,24814.249103964004,22814.299605864904
3g_report.2010-12-09_1334CET,2.1529855961995796,2.145926210927137,2.1600449814720224,56.64622587442641,48600,51.035362188607564,974.1155385833067,1806.84155465625,1.557162271732501,1,25.0,20657841.0,26310.828548165235,26224.558451474135,26397.098644856334
3g_report.2010-12-21_1200CET,1.45791890313137,1.4678850109131736,1.4479527953495661,33.77245217714351,26900,35.849851307593646,1140.967732712487,1382.9220415104166,0.5864349311412407,1,21.0,11774776.0,23165.9184360503,23324.277065945465,23007.559806155128
3g_report.2010-12-22_0800CET,0.8835757139266971,0.8925759555347266,0.8745754723186676,21.598933211895826,41100,42.86226378371023,1146.9724138829895,1338.79683484375,1.0982398901004549,1,24.0,17389209.0,24447.45160146212,24696.477200112764,24198.426002811473
3g_report.2011-01-29_1800CET,2.4066647466458297,2.3469507201886937,2.466378773102966,88.56475280597328,113400,129.23995552236656,1281.564783647527,2189.5077948854164,7.528490850304989,1,21.0,46339037.0,36822.457242658966,35908.82056390286,37736.09392141507
3g_report.2011-01-31_1830CET,2.6959869786698456,2.754833936287086,2.637140021052605,74.44165573088831,105900,118.20278337404815,1507.5765599599442,1997.6740125833335,0.5982075986978654,1,24.0,43651211.0,27625.18534197777,28228.177167921174,27022.193516034364
3g_report.2011-01-31_2356CET,-0.44513933508291836,-0.3581355481159371,-0.5321431220498996,-43.36462148044728,44150,37.94208698818266,934.731056171148,1414.0255895520834,55.07785445310447,4,22.0,18991050.0,101287.45259503552,81490.52328892252,121084.38190114853
3g_report.2011-02-01_0629CET,2.7076430205909947,2.765115496570935,2.650170544611054,74.47500553781173,109050,129.54524621085557,1728.1764303682262,1998.7762235833336,0.6395527141475383,1,24.0,44982777.0,27517.872314242435,28101.96713160657,26933.777496878305
3g_report.2011-02-01_0740CET,1.8957646613257912,1.884649294993879,1.9068800276577034,57.87244273701372,97200,99.13092409091493,1511.809908324204,1733.6827382083334,3.1097071279191355,1,21.0,40133433.0,30528.27891363971,30349.283592896376,30707.27423438305
3g_report.2011-02-01_0840CET,1.3874533693988629,1.2859286722817513,1.4889780665159744,59.261396622397186,109400,119.13111088412067,1611.5160421361866,1993.0433289583336,10.312741626793068,2,24.0,45278281.0,42942.27986629805,39800.04672672014,46084.51300587597
3g_report.2011-02-02_1251CET,1.3526219984635541,1.3520803887744193,1.3531636081526892,31.823766814284213,36000,42.087920482790544,1088.4859769344891,1467.5955038229167,0.6148595138231183,1,26.0,15571879.0,23527.468836673455,23518.048093038327,23536.889580308587
3g_report.2011-02-10_1611CET,1.5940711972580934,1.5299394124394747,1.658202982076712,53.621066530359116,75000,76.65849634290932,937.1152534337712,1868.260178427083,5.719814198958777,2,26.0,31041582.0,33692.34493558882,32336.85327426247,35047.83659691517
3g_report.2011-02-14_2032CET,1.2996765872529101,1.3212923300366546,1.2780608444691655,33.765042283635054,63650,58.050298731882506,924.0319157871672,1471.0844633958332,1.2750583301973013,1,24.0,26882007.0,25986.76085069283,26418.963095343985,25554.55860604168
3g_report.2011-02-14_2124CET,1.9975646808702232,2.055246049270137,1.9398833124703092,52.51380530514225,79550,73.11616039300979,914.8335248129887,1700.3867390625003,0.5486043938675519,1,25.0,33184876.0,26310.851967783357,27070.60005494325,25551.103880623465
4g_report_bus_0001,3.1168489898293186,3.6180051146366656,2.6156928650219715,110.61682795650617,504150,1223.8067876961609,2011.2298448415333,2365.719130635417,0.11692395827333425,1,21.0,214516884.0,36431.83427226879,42289.68524390458,30573.983300632994
