,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.691429692970713,4.074887439135651,3.307971946805775,81.93124038434215,41850,56.93229576802716,1626.3820474893778,1993.5301884270832,1.3334797487081473,1,21.0,18167158.0,22437.098603579198,24767.815961515673,20106.381245642722
3g_report.2010-09-21_1735CEST,2.2762431940805636,2.7467410866824524,1.805745301478675,41.227073201313225,15750,29.32185368806621,1048.8724264806272,1461.8109940625,0.9662799199834449,1,21.0,7190673.0,18920.253341010975,22831.05661000669,15009.450072015265
3g_report.2010-09-28_1003CEST,3.1014378580673343,3.2502670262640416,2.9526086898706274,79.44069594549303,51200,69.67521882961559,1907.5113772336222,1995.0864138749996,4.939041735918744,1,20.0,22130363.0,25673.270013501642,26905.257109764123,24441.282917239158
3g_report.2010-09-28_1407CEST,4.922125552588069,5.855712635058495,3.9885384701176436,102.65270286449703,66050,85.90245476796356,1504.9059733804,2185.540255781249,0.6972852217880946,1,18.0,27922823.0,21633.636848773804,25736.921840813848,17530.35185673376
3g_report.2010-09-30_1114CEST,4.432490550697748,5.138807246743904,3.726173854651593,108.61679543406848,120700,157.15669107396928,1763.8390586653434,2291.4599716562498,0.7117413264101959,1,19.0,49241234.0,25143.13121305116,29149.685353107187,21136.577072995136
3g_report.2010-10-22_1458CEST,3.2453243231855464,3.6393653979619067,2.851283248409186,64.33491469134503,22500,32.64958115259152,1519.564043250494,1640.5505353333333,1.3262399600897978,1,17.0,10045880.0,20120.501905665777,22563.494779846707,17677.509031484842
3g_report.2010-11-04_0957CET,0.8522152918809935,0.8464456146537467,0.8579849691082403,19.99204825099912,21600,34.10390232835249,1859.075824082575,1329.2962968645834,2.806937820742332,1,25.0,9763262.0,23459.99283761139,23301.163739241445,23618.821935981337
3g_report.2010-11-10_1424CET,4.740508578744783,5.5482088920457135,3.9328082654438523,102.36445941488208,73200,94.58573516533372,1635.8094198645001,2204.965023760417,0.7515303643724697,1,19.0,30631438.0,22239.169049548673,26028.337133625646,18450.0009654717
3g_report.2010-11-16_1857CET,1.535370050690084,1.7895370504477524,1.2812030509324157,28.242524097483475,16500,25.037431607813964,1497.3403205647037,1405.5685865625,1.3710070451719851,1,24.0,7619572.0,18912.890767806013,22043.753390166792,15782.028145445232
3g_report.2010-11-23_1606CET,1.0860924400638154,1.0979101282465278,1.074274751881103,26.181018925700386,24450,38.77284417691535,1733.6355193581194,1311.7466185208332,3.405743121360886,1,20.0,10984215.0,24108.554681991485,24370.878008494805,23846.231355488166
3g_report.2010-12-09_1222CET,1.6344196773869655,1.9298959849633792,1.3389433698105517,29.687021376787,17850,30.2689713929745,1672.344109158359,1391.7103594375,1.3580361810075334,1,22.0,8128800.0,18777.341113491348,22171.976833484336,15382.70539349836
3g_report.2010-12-09_1244CET,3.086419292722123,3.533773635413997,2.6390649500302485,59.487677944187034,23550,35.367684928745334,1561.0734160252507,1685.2408554270833,1.1643944146079483,1,21.0,10427384.0,19687.61631149351,22541.19510908786,16834.03751389916
3g_report.2010-12-09_1334CET,0.6286794218965309,0.6358553001979692,0.6215035435950926,19.30951381526271,21150,33.303624810904445,1942.899034165347,1340.6426948333333,9.44020632005732,1,21.0,9590149.0,30718.406224782368,31069.032532890575,30367.779916674164
3g_report.2010-12-21_1200CET,1.8441922405094284,1.9457815626793589,1.7426029183394978,39.30602502561465,17100,26.424057365343874,1583.7598068833026,1466.9432320729168,1.9963927729772193,1,21.0,7810833.0,21378.28171748858,22555.92746457054,20200.635970406616
3g_report.2010-12-22_0800CET,2.588383339184443,2.528157299623892,2.648609378744994,63.07453383256615,24750,34.12527166161779,1679.7276748883226,1724.9160006354166,3.249596376749378,1,19.0,10929084.0,24381.512347887958,23814.20768903761,24948.817006738307
