,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,4.24100184520718,4.460862807881769,4.021140882532591,151.30359740120002,65300,60.15726300971587,778.4278126457119,3159.531034895833,8.054149688848314,2,25.0,26772401.0,35772.52199679581,37627.03218343998,33918.011810151635
3g_report.2010-09-21_1735CEST,0.567531702262631,0.5306377536190096,0.6044256509062526,30.646044787454017,30300,39.012750777347904,644.4795485924304,1686.8746350000001,22.651925316263075,4,19.0,12765112.0,54227.99227430401,50702.75350078958,57753.23104781844
3g_report.2010-09-28_1003CEST,7.614809478305945,8.75038406106332,6.479234895548571,215.52820420803658,80450,72.04057334776853,873.8506299685253,3459.071695833333,4.570882059019112,2,11.0,32993983.0,28947.583294344815,33264.45293040864,24630.71365828099
3g_report.2010-09-28_1407CEST,3.393231618220728,3.1832346654061574,3.6032285710352983,196.53042783856964,85850,77.11903805127571,786.3186069721731,3483.2936795833334,22.76930026580331,2,10.0,34684444.0,58141.04543851651,54542.87008556371,61739.2207914693
3g_report.2010-09-30_1114CEST,10.058956204624973,11.933779361131473,8.184133048118472,311.6515338187673,207600,184.1979135373441,1012.5782056145944,4160.5312517708335,0.28398961529384,1,1.0,83102646.0,32097.521677681987,38079.96912885181,26115.074226512163
3g_report.2010-10-22_1458CEST,7.076023373918606,8.51745397117949,5.63459277665772,155.82843197893135,40000,40.54474514421869,756.3126682688644,2635.4073210416664,0.42208231479171865,1,12.0,17034876.0,22975.429033161927,27655.668857646237,18295.18920867762
3g_report.2010-11-04_0957CET,6.220981746180447,7.5008578328171645,4.94110565954373,137.60964403731418,37700,37.24593676160835,669.6018906016765,2586.275411770833,1.0081498224087828,1,16.0,16164051.0,23097.912055573768,27849.969929609095,18345.854181538445
3g_report.2010-11-10_1424CET,10.55181296870534,12.830068159535697,8.273557777874982,269.3851160950274,108800,98.29666900842463,920.5953150626789,3814.867776770833,0.2929311740890688,1,4.0,43184314.0,26778.078706609012,32559.767312607986,20996.390100610042
3g_report.2010-11-16_1857CET,1.4169652802025139,1.5108809278027637,1.3230496326022638,44.075354770726115,29700,27.944873395520847,576.7098546701291,1907.2989571875003,6.590542462369301,3,28.0,12845145.0,31242.706575114018,33313.45528136818,29171.957868859856
3g_report.2010-11-23_1606CET,3.8560502486907295,3.757916304384057,3.954184192997402,182.6076404690584,62800,59.80770170879369,962.1897918751073,3172.4013642708333,17.722797067858714,2,9.0,25890601.0,47386.827102724135,46180.863499592255,48592.790705856016
3g_report.2010-12-09_1222CET,3.219677487364677,3.629367624245964,2.80998735048339,87.49214082975135,33600,32.750062465486785,697.5249486829996,2250.3355278125,3.7171985302360344,3,23.0,14212341.0,27621.425531617166,31136.13334049367,24106.71772274066
3g_report.2010-12-09_1244CET,6.9890511416058185,8.39442378249414,5.583678500717497,154.52280920436937,41850,40.418775565598516,738.6887230262549,2693.563725625,0.38571170784103115,1,14.0,17810183.0,23040.904227225845,27674.016185658493,18407.792268793193
3g_report.2010-12-09_1334CET,5.459468401515538,6.014219926869069,4.9047168761620075,161.0498945559429,43350,39.61344537926076,687.6358626751509,2815.8999242708333,5.035748487760503,2,11.0,18550052.0,29806.95098320372,32835.716846099815,26778.185120307622
3g_report.2010-12-21_1200CET,2.753628431799827,3.1359689082970394,2.371287955302615,72.44460972302913,30650,29.428170100204053,629.7858630569463,2057.7788621874997,3.5768940008053525,2,24.0,13105067.0,26825.9660575355,30550.7433464714,23101.188768599604
3g_report.2010-12-22_0800CET,6.008988794057086,7.027291126111591,4.990686462002581,145.38280083870688,43350,38.840628790873126,736.6365815238863,2746.6357556249995,2.47154881085258,1,18.0,18836505.0,24909.56786240199,29130.82237195282,20688.313352851157
3g_report.2011-01-29_1800CET,3.7276804532505845,3.5176017827685158,3.9377591237326532,230.6772736615741,124450,118.29331324548215,1335.162819409881,3688.998784791667,24.2770269116045,2,4.0,49160800.0,62079.42235030785,58580.84926304789,65577.9954375678
3g_report.2011-01-31_1830CET,10.663787389051222,12.854087680756242,8.473487097346204,292.48116796891424,139500,121.79106810681027,885.7462562083178,3978.9996082291664,0.2609849678981969,1,2.0,55050589.0,28635.578123773324,34517.214059429665,22753.942188116984
3g_report.2011-01-31_2356CET,0.2914735268607928,0.25375960319911534,0.3291874505224703,24.55145049527027,35750,34.59556926711189,786.619461397831,1933.6411044791666,46.57466368068723,7,14.0,15464658.0,85666.39952258681,74581.97588122939,96750.82316394425
3g_report.2011-02-01_0629CET,10.28758841971062,12.437355485532343,8.137821353888897,287.90687689460987,149000,132.5302809373026,972.0537456794164,3994.4601039583335,0.2514946532446271,1,4.0,58467370.0,29263.712409676038,35378.864240737494,23148.560578614582
3g_report.2011-02-01_0740CET,6.540442931648962,7.063147130766817,6.017738732531107,260.01741880925897,136950,116.28380431439108,863.0411242363247,3848.2580797916667,8.079399361904182,2,6.0,53995222.0,40010.87249597393,43208.4924863286,36813.25250561925
3g_report.2011-02-01_0840CET,3.1055268042583544,3.0429654463997196,3.1680881621169896,164.13059738596598,110350,104.89583842223645,748.488144394604,3221.4840417708333,18.02843242252319,4,16.0,43312067.0,52872.58604847343,51807.45894277454,53937.713154172314
