,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,10.085017093603467,12.234384931709648,7.935649255497284,223.26748320081654,60900,66.98171857627635,1295.2347080187878,3223.8031681249995,1.1302311886966672,0,2.0,25286702.0,23191.963051710933,28134.74688868738,18249.17921473449
3g_report.2010-09-21_1735CEST,3.852645154671638,4.450800914664891,3.254489394678385,104.18580753091825,28800,33.482084183801554,636.9300447388804,1994.8996354166668,4.192655453755119,1,10.0,12387003.0,27710.63917814286,32012.95038824795,23408.327968037775
3g_report.2010-09-28_1003CEST,9.73056583784252,11.82618593303035,7.634945742654687,217.09277148850688,70200,79.9821113392524,1533.0427595357114,3311.9640777083328,1.1694773776546632,0,8.0,28987929.0,23395.52528853302,28434.09485880947,18356.95571825657
3g_report.2010-09-28_1407CEST,10.34676871218129,12.588374958359646,8.105162466002934,235.31131533749746,78700,88.31110527837006,1614.0503240519618,3431.5955292708336,0.1817280508113551,0,6.0,31862924.0,23862.511880677623,29032.276197363062,18692.747563992183
3g_report.2010-09-30_1114CEST,11.869180200333647,14.705600880811867,9.032759519855427,269.181978791814,102750,176.46647617814583,2047.1170094247984,3688.7506840625,0.11862766724018765,0,2.0,41515410.0,24052.680470770763,29800.636029345143,18304.72491219638
3g_report.2010-10-22_1458CEST,7.691344283848305,9.481534532499504,5.901154035197106,160.31904029260252,40350,41.99003004714388,702.773505139447,2522.3499415624997,0.2280175814268004,0,8.0,16345543.0,22037.97947255333,27167.404771403777,16908.554173702883
3g_report.2010-11-04_0957CET,7.242343788197088,9.08282016964509,5.401867406749084,152.70280069438712,40650,38.46222026256437,863.9674138528275,2467.7939041666664,0.23674424155627163,0,9.0,16920514.0,22540.39401720412,28268.520716299052,16812.26731810919
3g_report.2010-11-10_1424CET,10.757770158266496,13.175065213175278,8.340475103357715,245.45483838267472,86200,102.64450186061893,1686.6322122768736,3535.9966816666665,0.14737252487945007,0,5.0,34997587.0,24029.807664463944,29429.359280007844,18630.25604892004
3g_report.2010-11-16_1857CET,2.5124588921706876,3.0440887314575362,1.9808290528838388,60.72635074451598,26400,26.661088498846414,939.8288082050194,1418.7670992708331,2.6046805967383184,2,11.0,10426955.0,25302.98999449396,30657.03759549873,19948.942393489193
3g_report.2010-11-23_1606CET,7.772631994411008,9.645544719669594,5.899719269152422,166.11988176394863,50650,53.297768932146475,1287.948886081098,2592.6624246874994,0.22994405754081515,0,8.0,20514722.0,22689.84941423371,28157.25192765216,17222.446900815263
