,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,4.7479937339350435,5.829575483187956,3.6664119846821306,119.12133647151852,59700,63.256400693140215,1048.1218150220893,2173.941589908,1.1632823101063186,1,11.0,26032348.0,26461.92904131282,32489.893926049357,20433.964156576276,0
3g_report.2010-09-21_1735CEST,-0.014525669093072513,-0.014912558548036779,-0.014138779638108247,-0.6027115360225199,23100,38.122019448425135,674.6440804047485,702.3682830260001,13.93609151234893,2,9.0,10558113.0,41522.31538623101,42628.25727886951,40416.3734935925,0
3g_report.2010-09-28_1003CEST,4.439309407312946,5.302589457184666,3.576029357441226,124.26497190901003,70800,75.18514229866464,1526.3400763981729,2303.386264492,4.774668698060942,1,13.0,30491129.0,29092.099326557578,34749.427224480605,23434.77142863455,0
3g_report.2010-09-28_1407CEST,1.5632489942458592,1.5678658698247299,1.5586321186669883,77.55255548407055,79200,74.47171829120403,552.3445325567477,2087.1237619769995,16.599683752597283,3,16.0,33476858.0,49610.28743732914,49756.80569857431,49463.769176083966,0
3g_report.2010-09-30_1114CEST,5.657163021110097,6.8192020980370485,4.495123944183147,185.91968584358116,213100,191.33355062273972,754.033577327546,3131.5072586700007,0.5436827944300212,1,15.0,88210919.0,34312.221598698496,41360.30244153066,27264.14075586634,0
3g_report.2010-10-22_1458CEST,3.065597345362696,3.8172166060892168,2.313978084636175,70.57894779322677,38300,42.573848253996424,823.3413098316912,1600.000737202,0.9710072337241208,1,14.0,17205234.0,24495.38359602761,30501.13061218721,18489.636579868005,0
3g_report.2010-11-04_0957CET,1.5942885216579903,1.9644064517878448,1.2241705915281358,38.09454215168791,34900,36.590603077715194,892.0239019616758,1400.25425377,2.382027926960258,1,21.0,15582292.0,25255.523997616998,31118.65487973729,19392.393115496707,0
3g_report.2010-11-10_1424CET,5.858394670024069,7.150409369902319,4.566379970145818,162.94271717547304,109000,100.87549642488597,616.2893239081945,2811.3544855400005,0.5713522267206478,1,13.0,45822855.0,29235.50683615728,35683.127168734005,22787.886503580557,0
3g_report.2010-11-16_1857CET,1.3912998913071828,1.7722706147691818,1.0103291678451836,30.125742314060314,26850,28.45850444208423,705.2753991531642,1173.9399211520001,1.0021384169084129,1,17.0,12320027.0,23408.06853702372,29817.749771900668,16998.387302146773,0
3g_report.2010-11-23_1606CET,3.523674342309536,4.329518238599722,2.717830446019349,88.2302422569064,50350,56.475485654132996,1283.7932155438496,1780.730692498,2.999267496289531,1,12.0,22162532.0,26421.124825948427,32463.48291746168,20378.766734435176,0
3g_report.2010-12-09_1222CET,1.85917177035161,2.3258807975054463,1.3924627431977739,41.79389284044318,30900,35.79499813277711,754.288859200322,1320.361267808,0.9931184338646031,1,17.0,14015680.0,23991.715572938636,30014.370613941173,17969.0605319361,0
3g_report.2010-12-09_1244CET,3.036185483012905,3.6216704396768082,2.450700526349002,80.1572541786955,37650,41.86166885290121,847.071729467439,1528.82831794,2.9149483510846617,2,5.0,16779000.0,27420.284646435357,32707.894464001256,22132.67482886946,0
3g_report.2010-12-09_1334CET,2.17103709241578,2.3336166726370795,2.0084575121944805,78.48237361757113,37950,40.70550861903634,1228.3298777943282,1690.1034957200002,9.24508278451436,1,9.0,17021393.0,36353.58163681435,39075.94417161443,33631.21910201427,0
3g_report.2010-12-21_1200CET,1.1448115037757107,1.4453171586717553,0.8443058488796661,25.56331346817284,27300,31.968928757759056,918.4443493639144,1103.4704305030002,1.437033778476041,1,16.0,12364772.0,23982.153254484743,30277.31420088294,17686.99230808655,0
3g_report.2010-12-22_0800CET,3.295469094787262,3.997080216403241,2.5938579731712825,82.20363074114486,38100,42.32445530003058,1246.986858301061,1678.2667085420003,2.94391079247875,1,11.0,17121405.0,26128.783248178624,31691.64680232731,20565.91969402994,0
3g_report.2011-01-29_1800CET,1.7074831036109455,1.605204581707107,1.8097616255147837,115.03798849515948,114600,119.3822399778047,1693.9849738624644,2523.4163515599994,27.67033580927386,1,12.0,48260208.0,67615.44774506557,63565.271178980336,71665.6243111508,0
