,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,2.2361158526717713,2.188123523274056,2.284108182069486,79.71228695297677,64750,62.56757128471044,765.449829446953,2095.0524503089996,8.495033648878062,2,19.0,27024399.0,35664.08327629142,34898.64778679376,36429.518765789086,0
3g_report.2010-09-21_1735CEST,0.3271419747709553,0.2942758107036594,0.3600081388382513,15.288307043669782,29200,39.39602946693798,659.4944686873558,1541.48219534,19.013738120562603,2,22.0,12861794.0,47209.43287518959,42466.55948669731,51952.306263681865,0
3g_report.2010-09-28_1003CEST,3.304185800214851,3.4017061314031465,3.2066654690265564,94.7090743691071,79050,74.80582686378679,970.7002295900538,2204.5870327169996,4.939041735918744,1,19.0,32789999.0,28688.35224432046,29535.065407947845,27841.639080693076,0
3g_report.2010-09-28_1407CEST,1.0739486505658338,0.9519062259577467,1.1959910751739211,61.62585069619835,85400,78.22285788345026,767.8000407258702,2177.4756285610006,23.103929507478767,2,21.0,35092804.0,58133.214469987375,51527.015523286165,64739.41341668859,0
3g_report.2010-09-30_1114CEST,3.3507324757111023,3.6810462997547297,3.0204186516674754,107.45706224219197,214300,190.5634783488648,931.0822362821841,2339.4590526869997,0.7117413264101959,1,21.0,88382744.0,32384.432782628555,35576.8767958271,29191.988769430012,0
3g_report.2010-10-22_1458CEST,2.388921332882466,2.5756820004829533,2.2021606652819785,55.29131353486256,39850,41.82339241446293,793.1907453680626,1907.684289969,1.3262399600897978,1,30.0,17338651.0,23287.212812218826,25107.75639877425,21466.6692256634,0
3g_report.2010-11-04_0957CET,3.3459697736432537,3.518022532382174,3.173917014904333,82.36294241040704,38550,38.930795059866426,666.8815986084467,1985.6726410699998,2.806937820742332,1,19.0,16698240.0,24680.825558993154,25949.935686295692,23411.715431690616,0
3g_report.2010-11-10_1424CET,3.5959932755772335,3.8727156549163406,3.3192708962381263,97.54523046787864,110650,100.53077553249683,893.9324776656736,2259.4184593090004,0.7515303643724697,1,22.0,44812526.0,27287.67921439926,29387.54730095422,25187.811127844303,0
3g_report.2010-11-16_1857CET,0.8271404854273057,0.8194012637001507,0.8348797071544607,25.644252467249743,30150,29.26034374935233,578.4767874661144,1686.7755885479999,6.999823243763675,4,27.0,13204111.0,31006.21740309352,30716.104664531405,31296.330141655635,0
3g_report.2010-11-23_1606CET,1.072664054709104,0.9696403313929484,1.1756877780252597,48.20783011812387,62300,61.53774703121346,967.4754085767147,1923.1459237669997,16.860264254522257,2,23.0,26506470.0,45360.58393149263,41003.93915729565,49717.2287056896,0
