,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,3.689920182762422,4.005914680541894,3.37392568498295,89.46115842766733,60900,63.2511829218099,1048.7990089146197,2002.294989969,1.3334797487081473,1,18.0,25869927.0,24423.858867358933,26515.45018488438,22332.26754983349,0
3g_report.2010-09-21_1735CEST,0.5730923977236448,0.5323912855918268,0.6137935098554629,25.395341457990952,25550,39.594585114187375,663.1769646292248,1659.5101715629999,18.47712225774943,4,20.0,11357938.0,44537.46293277312,41374.40531746757,47700.52054807867,0
3g_report.2010-09-28_1003CEST,2.6607862060246066,2.9572192936649264,2.3643531183842867,67.99498094883367,73150,74.99765014852127,1537.696946106262,1907.8221235519998,4.939041735918744,1,22.0,30542081.0,25875.632029401488,28758.386562536383,22992.877496266592,0
3g_report.2010-09-28_1407CEST,1.864202994766217,1.8728755076264287,1.8555304819060054,70.19954055169323,80900,73.17020336574792,542.0448971997328,2125.3697976030003,10.544664133589926,5,20.0,33239274.0,37657.41180627605,37832.598944741716,37482.22466781039,0
3g_report.2010-09-30_1114CEST,3.6332698626255224,4.220484318040883,3.046055407210161,108.88233729997236,213100,191.63248452546128,757.926272979469,2347.3837714509996,0.7117413264101959,1,21.0,87653313.0,30771.948839982997,35745.3567792111,25798.540900754895,0
3g_report.2010-10-22_1458CEST,3.423435432832823,3.9499163269708517,2.896954538694794,72.897252591137,37650,41.55669818845258,765.4857288333509,1880.0364684699998,1.3262399600897978,1,21.0,16456273.0,21809.40041597822,25163.40923457516,18455.391597381284,0
3g_report.2010-11-04_0957CET,2.654035324448194,2.6272412197942403,2.6808294291021477,68.64120433437886,37800,37.93414050371361,785.8001847493067,1835.2676477659998,2.806937820742332,1,20.0,16404885.0,25865.59433413136,25604.46539016392,26126.723278098798,0
3g_report.2010-11-10_1424CET,4.310237185948125,4.975718238553692,3.644756133342558,107.53411648263143,111700,102.00758464920396,630.5297047399922,2299.128401659,0.7515303643724697,1,20.0,45491799.0,25557.783429248982,29503.789155850412,21611.777702647552,0
3g_report.2010-11-16_1857CET,2.1751350462891783,2.5234304763631643,1.8268396162151923,44.62925511152361,27750,29.308331686202635,664.1821252545475,1681.1100628959998,1.3710070451719851,1,25.0,12267099.0,21057.853467607136,24429.760946385406,17685.945988828862,0
3g_report.2010-11-23_1606CET,1.164797170309515,1.0600743317463264,1.2695200088727037,42.99295233456847,54700,57.81586987316682,1285.5353982307909,1778.277302332,10.722677150672554,2,24.0,23300980.0,37211.0313494094,33865.51770282451,40556.54499599429,0
