,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,3.7839722341798265,4.168333628715067,3.399610839644586,89.4653344476967,61550,62.212815764859535,776.667052404884,2063.578751071,1.3334797487081473,1,20.0,25925368.0,23889.719655154353,26316.345801818276,21463.09350849043,0
3g_report.2010-09-21_1735CEST,0.9569237574918388,0.9119965136886053,1.0018510012950723,36.74654765385794,23550,38.773613219987446,691.0684662889132,1634.3250949790001,14.200793468221045,3,19.0,10633432.0,38485.53830286836,36678.655415182926,40292.42119055379,0
3g_report.2010-09-28_1003CEST,3.097479565422061,3.2823534090218,2.9126057218223216,85.84088952538457,77350,74.83265113617212,1098.6991961777048,2105.8432658280003,4.939041735918744,1,20.0,31879947.0,27812.21778476985,29472.196968588232,26152.23860095147,0
3g_report.2010-09-28_1407CEST,2.2694107421349097,2.368956202907691,2.169865281362129,75.96578838836885,81050,74.3737935479595,578.7644295286926,2113.64091792,7.735428808709994,4,20.0,33258568.0,33538.32377531677,35009.44922289436,32067.198327739174,0
3g_report.2010-09-30_1114CEST,3.7207368210028484,4.2846723550862205,3.156801286919477,110.50577943277516,209500,191.71837838816035,865.5489533303911,2342.7070466099995,0.7117413264101959,1,20.0,86155865.0,30398.284962954018,35005.61783558153,25790.952090326507,0
3g_report.2010-10-22_1458CEST,3.9068284808217633,4.453478039385459,3.3601789222580676,83.68728116030816,35850,40.19186531274601,943.8189253889086,1835.61289856,1.3262399600897978,1,14.0,15768778.0,21848.523111321752,24905.602676678187,18791.443545965318,0
3g_report.2010-11-04_0957CET,2.0563711842340364,2.0217217194861514,2.091020648981922,52.62355516378445,36650,38.15553436692909,1010.820815588689,1670.5936561059998,2.806937820742332,1,21.0,15926225.0,25597.761963268662,25166.444525263705,26029.079401273615,0
3g_report.2010-11-10_1424CET,4.234736954921468,4.870575839515715,3.5988980703272206,106.51131204592774,112350,101.86846043691448,673.5011662721853,2293.960949369,0.7515303643724697,1,20.0,45738994.0,25731.927359032466,29595.534512107886,21868.32020595705,0
3g_report.2010-11-16_1857CET,2.1995679161576662,2.550984161974687,1.8481516703406458,44.73249235975822,26850,29.86378577130185,808.6553693143353,1661.9379952789998,1.3710070451719851,1,25.0,11969834.0,20869.646905398567,24203.90765413385,17535.386156663284,0
3g_report.2010-11-23_1606CET,0.7173522359630001,0.6540526155691869,0.7806518563568133,26.654344147554404,55000,58.49641303803528,1263.8006905952204,1756.3822699469997,10.949948724718988,2,30.0,23456987.0,37448.15050873236,34143.701741703764,40752.59927576096,0
