,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,2.054485634325697,2.0252716502335404,2.0836996184178536,73.05745911891901,64950,62.26461803542573,783.4309496843382,2095.516644849,8.79965167977481,2,22.0,27086715.0,35567.167229957115,35061.41598969592,36072.91847021831,0
3g_report.2010-09-21_1735CEST,0.1351983791442259,0.12351477015545234,0.1468819881329994,6.794371575781682,30900,40.71539508924471,673.5046994097556,1620.50281297,22.3804288877052,4,25.0,13535478.0,50632.96295909844,46257.35028606422,55008.575632132655,0
3g_report.2010-09-28_1003CEST,3.362089065941254,3.5574421096278583,3.1667360222546495,93.61727561476567,79100,74.37325558924576,999.0455381869015,2190.5521784359994,4.939041735918744,1,20.0,32795909.0,27939.29922330597,29562.70271877987,26315.89572783207,0
3g_report.2010-09-28_1407CEST,1.1936183122922295,1.0965772245621717,1.2906594000222873,65.85057595469667,84950,78.84781951868203,786.6328348665451,2193.077440501,22.64177727329249,2,21.0,35058916.0,55535.946835319904,51020.878129086224,60051.015541553585,0
3g_report.2010-09-30_1114CEST,3.78005368097854,4.413963010998776,3.146144350958304,110.98989338844409,210250,191.50259797941698,991.2658095669848,2351.424631133,0.7117413264101959,1,20.0,87069293.0,30211.623729631152,35278.067694076715,25145.179765185592,0
3g_report.2010-10-22_1458CEST,3.726775674614772,4.292390490900423,3.1611608583291213,79.95901308039441,39850,41.720229675344335,803.3524332380067,1934.0072005900001,1.3262399600897978,1,20.0,17366120.0,21961.138821693137,25294.193071420585,18628.084571965694,0
3g_report.2010-11-04_0957CET,3.042022748501977,3.014187939500759,3.069857557503195,79.72954268205822,38550,38.258221271590635,710.0232598656751,1938.73895817,2.806937820742332,1,19.0,16712725.0,26211.5786547592,25971.740117774258,26451.417191744138,0
3g_report.2010-11-10_1424CET,4.346550406303727,5.072281468595418,3.6208193440120358,107.25967497582909,109750,101.90301572347306,907.0298324952029,2284.3452795690005,0.7515303643724697,1,19.0,44601844.0,25384.639200930324,29623.039645214772,21146.238756645875,0
3g_report.2010-11-16_1857CET,1.0562623296996412,1.1172223212012928,0.9953023381979893,29.84002762685361,29550,29.48327939431876,588.4459752654542,1652.3899697909999,6.268749999966704,3,27.0,13109120.0,28344.994957778392,29980.86760338517,26709.122312171618,0
3g_report.2010-11-23_1606CET,0.9086049076379263,0.7972569260610981,1.0199528892147545,42.89633079881487,63200,61.47772700044677,969.678985537875,1912.979632225,17.654581985390866,2,24.0,26727772.0,47931.035399431436,42057.16876966746,53804.90202919541,0
3g_report.2010-12-09_1222CET,1.4890744302755037,1.4733351052892916,1.5048137552617158,52.08301824085513,35700,34.08743692915891,712.2571032769549,1862.123429168,10.516375807883726,2,23.0,15313501.0,34980.68105945016,34610.93976496573,35350.422353934584,0
3g_report.2010-12-09_1244CET,3.941752146061336,4.572004343314783,3.3114999488078896,84.43457555863864,42600,41.48626251694919,750.3993367262609,2000.3150882400003,1.1643944146079483,1,20.0,18314805.0,21982.55914708598,25497.38090409282,18467.737390079143,0
3g_report.2010-12-09_1334CET,2.1099139104757665,2.144951637428422,2.0748761835231115,71.70615158462175,44550,41.01821737050088,738.7695589135366,1972.1433152680002,9.44020632005732,1,20.0,19481036.0,33994.71934714036,34559.243657067615,33430.1950372131,0
3g_report.2010-12-21_1200CET,1.359620067529339,1.341370756912824,1.377869378145854,42.35801032381842,31950,30.945685126487316,673.7242281819099,1732.7608815899998,7.359475323890351,2,24.0,13766228.0,31159.91291954121,30741.67333685721,31578.152502225214,0
3g_report.2010-12-22_0800CET,2.992596817706067,3.031969114848694,2.95322452056344,79.3921285813511,44400,40.329085078095034,756.3873860771528,1999.6570626700002,3.249596376749378,1,21.0,19234530.0,26534.103387760966,26883.20106667814,26185.00570884379,0
3g_report.2011-01-29_1800CET,0.8879035012301963,0.7978741516669827,0.9779328507934099,57.42881984484503,129100,119.32689558697018,1387.1758258398247,2117.4128395919997,27.88434969437041,1,21.0,52914062.0,65350.998760294344,58724.70670992621,71977.29081066247,0
3g_report.2011-01-31_1830CET,3.957019131409435,4.507033024841111,3.407005237977759,105.93879582382885,141600,127.29740524962023,887.576948294802,2295.358809334,0.6093729575948637,1,21.0,57444332.0,27299.81100989811,31094.403566784425,23505.218453011792,0
3g_report.2011-01-31_2356CET,-0.4938555060174147,-0.41183849266833855,-0.5758725193664908,-43.078943198789545,39750,38.3479424192298,784.1724071799067,1481.506011423,56.86401157332902,6,21.0,17316802.0,89703.96726478467,74806.38813288067,104601.54639668867,0
3g_report.2011-02-01_0629CET,3.9368727394310064,4.5126609439427074,3.3610845349193057,106.34534437536644,149050,137.72951928329095,970.9308322522375,2301.4914186160004,0.567142011215995,1,21.0,61001930.0,27603.091077726953,31640.187347421066,23565.994808032843,0
3g_report.2011-02-01_0740CET,1.8113962988910441,1.757989005648537,1.8648035921335515,79.55077823202502,139250,118.87630345212558,882.0678727428918,2219.3033151759996,11.089031420223487,1,24.0,57062432.0,43955.037701112604,42659.06531261542,45251.01008960979,0
3g_report.2011-02-01_0840CET,0.6658954400475365,0.6069880181491697,0.7248028619459033,39.318836752895116,106400,103.61251244546924,722.0802998528361,2146.8387217560003,23.983816179287988,7,25.0,43814124.0,59512.29300136773,54247.62899988347,64776.957002851996,0
3g_report.2011-02-02_1251CET,2.6181244388429503,3.0376930787460728,2.1985557989398274,55.79918842173036,43100,44.079758542665815,660.6117303874611,1912.855921164,1.004463389083553,1,29.0,18572025.0,21874.43190413963,25379.928245913736,18368.93556236553,0
3g_report.2011-02-10_1611CET,0.7990212915538848,0.7099445658157516,0.8880980172920181,51.41192303810016,86400,88.72761976978784,752.3753254920402,2171.4733430649994,29.47520194814586,2,23.0,35611134.0,65153.366547229874,57889.9198478846,72416.81324657516,0
3g_report.2011-02-14_2032CET,3.0541880914256687,3.5126762163849277,2.59569996646641,72.5204344427827,68300,61.313321029284914,692.0957269683857,2011.211789399,1.8921237907315187,2,24.0,28726603.0,24292.01635664254,27938.681426847084,20645.35128643799,0
3g_report.2011-02-14_2124CET,3.9886599536255467,4.685485366006426,3.291834541244667,93.00504513483355,87250,81.80926983292042,739.6037715210907,2183.775793057,0.8103082229887616,1,22.0,36113004.0,24051.4318869139,28253.25634370057,19849.607430127227,0
4g_report_bus_0001,1.9434886542015266,3.1408217332018293,0.7461555752012238,115.16088645697225,528150,836.8027693145659,2005.712658100543,2395.3571653870004,0.1941640239322135,1,20.0,223550713.0,95502.41043464678,154338.97471839646,36665.8461508971,88.0
4g_report_bus_0004,1.9443278910361013,3.1448894558782374,0.7437663261939649,115.05390973154952,525150,992.073825771243,2103.2795181377314,2395.2409030070003,0.2679946596940873,1,20.0,222210642.0,95637.67091278122,154690.93676277154,36584.4050627909,87.6
4g_report_car_0001,1.9405171821254754,3.135402094488622,0.7456322697623288,115.09745784163441,528150,887.1052727096061,1995.0326750669435,2395.3571653870004,0.24491843176856493,1,20.0,223550713.0,95535.61079216283,154362.22721197657,36708.9943723491,88.0
4g_report_car_0002,1.9409179573094664,3.136123887582937,0.7457120270359958,115.10883597235288,528150,779.7155738649775,1808.3323296481112,2395.3571653870004,0.23581386147604516,1,20.0,223550713.0,95532.57463401814,154360.97554960923,36704.17371842704,88.0
4g_report_car_0003,1.942203242672744,3.1384950531426776,0.7459114322028104,115.12794395498146,528150,1169.6271099839944,2147.4208260496143,2395.3571653870004,0.22052400628852067,1,20.0,223550713.0,95513.92932454142,154345.32705174925,36682.5315973336,88.0
4g_report_foot_0001,1.94408801581654,3.1444426290181706,0.7437334026149091,115.05159629188516,525150,994.7004159545455,2106.362083692108,2395.2409030070003,0.2698458314342234,1,20.0,222210642.0,95641.77102197226,154694.6740423015,36588.86800164301,87.6
4g_report_foot_0002,1.9455251852574496,3.1360410044458797,0.7550093660690192,114.27476153716056,519000,800.5883408764709,1936.6182087054628,2390.533591357,0.4148960343680831,1,20.0,219624714.0,93897.30103596109,151355.42242626182,36439.179645660355,86.0
4g_report_foot_0003,1.9785633811688352,3.170157717451358,0.7869690448863125,114.08367509595801,505300,852.499725621657,2028.1254456383308,2385.760177437,0.3814911175328059,1,20.0,213068347.0,90476.32480493252,144965.89902394297,35986.75058592206,82.0
4g_report_foot_0005,1.9412201440832986,3.136679982008719,0.7457603061578784,115.11375646766017,528150,899.6960622971011,2063.6894214909807,2395.3571653870004,0.23187657190645733,1,20.0,223550713.0,95528.40784372721,154357.58046807392,36699.2352193805,88.0
4g_report_foot_0006,1.940486640157536,3.1352654692057373,0.7457078111093348,115.12179038885854,528150,1018.4015917873554,2117.131594775975,2395.3571653870004,0.225447976376585,1,20.0,223550713.0,95548.787588028,154379.22021709857,36718.35495895745,88.0
4g_report_train_0003,1.9659004181832223,3.1589154979622642,0.7728853384041804,114.55278731903151,514450,857.0191392517263,2000.9083314659574,2391.676691547,0.37129712483165667,1,20.0,217141530.0,92238.89650788448,148214.46549310285,36263.32752266611,84.0
4g_report_tram_0001,1.9545447592193674,3.1502341998971146,0.7588553185416204,114.87373764641687,522150,874.8117511666289,1992.995786780627,2394.345438107,0.3215099970982852,1,20.0,221015186.0,93921.39790228222,151377.65373666084,36465.14206790359,86.0
hd_trace0000,2.6327900419818038,3.902204817933697,1.3633752660299103,100.10181239445255,256750,391.3260995414925,1532.2326679374441,2211.657465986,1.0627022435031086,1,20.0,110797180.0,49537.34148572876,73422.05399247464,25652.628978982873,35.800000000000004
hd_trace0001,2.5791319177234264,3.825469994286514,1.3327938411603386,97.21819193120788,248250,405.8513614116742,1531.776227650306,2142.685190236,1.2898284278188585,1,19.0,107455913.0,49178.27812890475,72943.15814557571,25413.398112233786,35.800000000000004
hd_trace0003,2.4631024077517467,3.6490220342927784,1.2771827812107148,93.33929585772711,252350,511.30829648200125,1538.3158967465342,2141.689484376,0.9748232833739979,1,21.0,109225543.0,49330.71934322596,73082.17526174714,25579.263424704783,35.800000000000004
hd_trace0004,2.689589633647091,3.9816786639935065,1.3975006033006756,102.83269700654095,262400,408.2629159100833,1523.1471707259705,2226.999853826,0.8045171073309255,1,20.0,112959890.0,49704.88078200657,73583.2934623902,25826.46810162294,35.800000000000004
pen_trace_215252_http---www.msn.com,4.501666438654835,5.292180838822323,3.7111520384873473,101.71895593359626,79750,79.10696962982175,1027.6602383765724,2222.2838351850005,0.8254316700350118,1,20.0,33067690.0,23314.80474569619,27408.997227463784,19220.612263928597,0
pen_trace_216826_http---www.amazon.com,4.116406425537303,4.750530290905309,3.4822825601692955,91.15335361512304,65750,74.99886398336196,990.4446798374397,2080.306308483,1.3499256846177339,1,20.0,27809768.0,22682.180354085438,26176.32315589333,19188.037552277547,0
pen_trace_28919_http---www.google.com-mobile-,4.647251545344249,5.474838809680939,3.819664281007557,102.7854650470259,75050,77.25126346946602,1044.6513950485135,2216.4664415049997,0.7817196351160873,1,19.0,31365079.0,22841.854195829517,26909.554737075738,18774.1536545833,0
pen_trace_663494_http---www.facebook.com,4.296088924245122,5.042238318880001,3.549939529610244,102.65053583963318,99700,88.02168482603315,809.705874650465,2239.6076331490003,0.7137277938320148,1,20.0,41298758.0,24637.13249815862,28916.13645342951,20358.128542887727,0
pen_trace_665192_http---www.facebook.com,4.276612291799098,5.002277516321323,3.5509470672768733,103.58637249984673,98100,83.23195872475327,720.5184429240277,2224.2959454770007,0.7669971178563082,1,19.0,40439919.0,24939.659758419904,29171.47750650205,20707.84201033776,0
pen_trace_6780_http---www.facebook.com,-0.29010412050990014,-0.2656914416532129,-0.3145167993665874,-10.040196033993091,19050,16.885674209188196,478.16618548809817,1372.268948038,10.017451724276377,5,29.0,8693694.0,34855.76966584425,31922.60653234826,37788.93279934024,0
pen_trace_7256_http---www.facebook.com,1.0973089103646576,1.083559994815787,1.1110578259135282,28.12913476979412,24000,21.709552826625906,537.2991903175435,1557.8806801729997,2.9892111852665453,3,26.0,10843281.0,25638.679557227515,25317.435432909107,25959.92368154592,0
pen_trace_7289_http---www.yahoo.com,3.2913989632894864,3.3310289001949602,3.251769026384012,84.6868116047734,45300,43.586543341545905,859.9284359390155,2000.3478324330001,2.210638596491228,1,19.0,19669669.0,25733.462151071064,26043.304711265322,25423.619590876802,0
pen_trace_797466_http---www.amazon.com,1.5897449888228947,1.548435795459704,1.6310541821860856,47.72113253235307,64300,68.88968934909889,905.6958165021069,1830.6135795959997,4.905070844186634,2,27.0,26911458.0,30038.387538880597,29257.846277303255,30818.92880045794,0
pen_trace_797700_http---www.yahoo.com,2.2764496171947437,2.2809321907178983,2.2719670436715886,56.3183442168416,26100,26.16914325531254,696.9056221899159,1697.4465680569997,2.256053079888819,1,21.0,11598232.0,24739.648160940968,24788.363182341294,24690.933139540644,0
pen_trace_799296_http---www.amazon.com,4.544067560008465,5.348255968665608,3.739879151351322,101.76579969101991,78450,78.59450194400101,1040.952942160628,2210.2095597550006,0.8169050495967629,1,19.0,32781360.0,23119.416879840595,27210.986123508592,19027.847636172603,0
pen_trace_805936_http---www.youtube.com,2.9496909495145633,2.9472308556403926,2.9521510433887346,72.68957391070501,29550,30.240647376124127,850.2330301598298,1827.2836360069996,1.8500867553499132,1,19.0,12968786.0,24643.1323540841,24622.579550423554,24663.685157744647,0
pen_trace_806172_http---www.amazon.com,4.1774031984596585,4.833498452220831,3.5213079446984863,91.03969453073864,49950,53.173443463250514,889.6685686906158,2064.1069551230003,1.416775442180528,1,19.0,21686943.0,22344.54915526473,25853.942898633355,18835.155411896107,0
pen_trace_866_http---www.amazon.com,4.232564070782308,4.870489379981741,3.5946387615828757,97.44050496641047,82600,91.35798804913237,934.5667195158078,2167.572125185,1.0276891099398708,1,20.0,34549469.0,23556.741333381622,27107.175833018387,20006.30683374486,0
pen_trace_87304_http---www.msn.com,2.413928721896302,2.44017598973056,2.3876814540620446,61.69459991331217,40800,36.46021164390778,615.3550015824928,1895.700999263,1.6570614586972026,2,25.0,17814478.0,25560.777428134512,25838.706335116098,25282.848521152922,0
pen_trace_909_http---www.yahoo.com,3.77534121083037,4.292961787292787,3.257720634367953,90.73313538533418,63150,55.14589059093814,670.0420598571233,2121.3982373649997,1.684502815005699,2,19.0,26795105.0,24493.523570332705,27851.72381822046,21135.323322444947,0
pen_trace_939592_http---www.facebook.com,4.271816565658955,4.950515845445896,3.593117285872014,95.67365233480926,60600,53.96170175843702,699.5964458322039,2101.8695310250005,1.0174098661287365,1,18.0,25774523.0,22976.4591026314,26626.921617892644,19325.996587370155,0
pen_trace_942092_http---www.facebook.com,4.393734807944261,5.126270048060543,3.66119956782798,102.67082725503843,88100,81.77986860851261,982.3898505148912,2229.3043326290003,0.8183109459040862,1,19.0,36499866.0,24035.658164286033,28042.947496562792,20028.36883200927,0
sd_trace0000,1.0071296161223082,1.4446952548404688,0.5695639774041474,32.5813109206099,154450,192.36163539096322,1444.674917979195,1540.5901874120002,4.004947368421052,1,25.0,65438222.0,39878.16454917351,57203.95287128749,22552.376227059533,22.8
sd_trace0003,1.0982542290353317,1.5553170217355223,0.641191436335141,35.34178585056737,151000,187.88949164994685,1420.7874817085183,1527.2519555540002,4.432163742690059,1,23.0,64126158.0,38921.06692634965,55118.929929211896,22723.203923487406,20.8
sd_trace0006,0.9250441018386517,1.3263345664965283,0.5237536371807752,34.74040780871013,198300,250.8517232858834,1404.7724886010683,1607.4224951730002,4.756674855589986,2,24.0,85459071.0,46261.23370684008,66329.67361469485,26192.793798985305,29.4
syn_trace_10,0.9763723791537346,1.1498830117055765,0.8028617466018927,56.56649110709544,186500,321.34958011235017,1228.5506766867036,2012.672644002,15.514384828899368,2,23.0,77471257.0,59824.66854555192,70456.07957598273,49193.2575151211,20.6
syn_trace_12,2.6529076275844865,3.17242718976082,2.1333880654081536,73.76992061473348,145750,219.07759862532995,1026.6101011708752,2175.379617584,1.0814382024537548,2,29.0,59615232.0,28916.11344198038,34578.76314716331,23253.463736797454,1.2
syn_trace_18,1.3969157386736097,1.6268891711874407,1.166942306159779,70.15810129334433,174600,261.87763126972243,981.0048202037152,2174.500839803,10.996804050831393,3,24.0,73368101.0,51622.69626954365,60121.31098770723,43124.08155138008,14.2
syn_trace_22,2.9609434216125305,4.109451663063334,1.812435180161727,103.78116178086765,182650,238.19550315085806,795.4295846652664,2271.9747881149997,1.3233211735781527,2,19.0,76009047.0,41257.44002946654,57260.619809645854,25254.260249287225,17.0
syn_trace_36,1.680124769283497,1.893086292972813,1.467163245594181,63.92492514930102,143050,237.35083170171296,971.4745443993684,1883.381151315,4.462860973176529,2,22.0,59255550.0,38668.99748355856,43570.424314584234,33767.57065253288,7.6
syn_trace_39,1.0224571702489509,1.327067428679395,0.7178469118185067,72.4166060980366,283700,390.2249939118378,886.6001260176123,2269.636195327,15.242014352907727,2,25.0,116050892.0,77724.59461753274,100880.29203132616,54568.89720373934,36.599999999999994
