,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,2.6136024673960714,2.5819584137794194,2.6452465210127234,72.80161235587536,60200,63.11919350442062,820.065098197178,1931.0429384459999,2.4035202393194366,2,21.0,25123700.0,27858.97504965921,27521.67398296153,28196.27611635689,0
3g_report.2010-09-21_1735CEST,0.8514996707623661,0.8519820754721749,0.8510172660525575,19.620538365899975,23100,33.80201373501873,1053.9640561114759,1303.10500336,0.867610161049311,1,25.0,10132319.0,23042.339694376707,23055.3939955999,23029.285393153517,0
3g_report.2010-09-28_1003CEST,1.508767003800188,1.503602404942915,1.513931602657461,44.11276853526489,74550,67.81171226240505,826.9109235638517,1766.675544412,2.6769763180405493,3,27.0,30892728.0,29237.97068353416,29137.887377363742,29338.05398970458,0
3g_report.2010-09-28_1407CEST,1.515617179780559,1.4615099164225438,1.5697244431385746,51.946925311433255,81650,74.15384724622766,783.1736537122113,1845.819789007,5.68112682308125,2,25.0,33567569.0,34318.1745800926,33093.02186030074,35543.32729988446,0
3g_report.2010-09-30_1114CEST,2.7623384491202465,3.25873726305899,2.2659396351815033,99.30568411583309,188500,184.41123755550723,1511.0465654596226,2238.6665176310003,0.42880192938339146,1,22.0,78122998.0,37149.529114747245,43825.38818509993,30473.670044394567,10.0
3g_report.2010-10-22_1458CEST,1.0519032506518635,1.058729879225425,1.0450766220783023,26.386149544019688,40050,36.60019873733102,1205.7005061455209,1319.7498424739997,1.4403674864185994,1,22.0,17549813.0,25085.25464576343,25248.05261794738,24922.45667357948,0
3g_report.2010-11-04_0957CET,0.7077641570931503,0.6894364732579067,0.726091840928394,18.521956504772987,33150,34.75677749229556,1127.090664402388,1248.647860352,2.899719239570507,2,21.0,14263153.0,26187.23305989458,25509.109813285442,26865.35630650372,0
3g_report.2010-11-10_1424CET,3.3104249154733614,3.3688198398765197,3.252029991070203,97.0912610286405,111900,100.61214783363013,783.675963380378,2187.597043741,0.68836359905612,1,21.0,45644394.0,29338.071019834966,29855.585986366925,28820.556053303008,0
3g_report.2010-11-16_1857CET,1.0331465547155838,1.0427929173941306,1.023500192037037,25.510915659199945,27900,29.551696214209624,1159.9587184795923,1355.172023978,1.534562312517044,1,22.0,12317777.0,24694.59895002898,24925.16939193382,24464.028508124135,0
3g_report.2010-11-23_1606CET,0.9797628327856533,1.0046818015136898,0.9548438640576169,25.550505626486036,58050,49.105895752632385,930.7585563907382,1442.8402939829998,1.403641981666495,1,26.0,24225176.0,26095.135853793516,26758.831038520737,25431.44066906629,0
