,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,3.712763601011223,4.098437467480356,3.327089734542089,82.40474623258649,42150,57.44771245596477,1675.6381265509747,2006.374528833,1.3334797487081473,1,21.0,18316412.0,22437.098603579198,24767.815961515673,20106.381245642722,0
3g_report.2010-09-21_1735CEST,2.29795078499165,2.7729356216088754,1.822965948374425,41.62023876545103,15900,30.339040339674494,1088.3826789646942,1473.7891945620001,0.9662799199834449,1,21.0,7270351.0,18920.253341010975,22831.05661000669,15009.450072015265,0
3g_report.2010-09-28_1003CEST,3.1410329885077726,3.291762214225465,2.99030376279008,80.4548915741622,52400,70.4740928209534,1963.056122771803,2014.2647198440002,4.939041735918744,1,20.0,22642939.0,25673.270013501642,26905.257109764123,24441.282917239158,0
3g_report.2010-09-28_1407CEST,4.97075552611215,5.91356633004557,4.02794472217873,103.6668984938326,67250,86.90471865166045,1561.8259651334981,2204.7185617750006,0.6972852217880946,1,18.0,28435399.0,21633.636848773804,25736.921840813848,17530.35185673376,0
3g_report.2010-09-30_1114CEST,4.47679551561136,5.190172201087453,3.7634188301352665,109.70247475040176,123550,159.36531977249697,1822.0119268936692,2311.7015719010005,0.7117413264101959,1,19.0,50209692.0,25143.13121305116,29149.685353107187,21136.577072995136,0
3g_report.2010-10-22_1458CEST,3.269209954464654,3.6661511769253887,2.872268732003919,64.80842054088734,22800,32.99422284815156,1578.637663698103,1653.394875766,1.3262399600897978,1,17.0,10195134.0,20120.501905665777,22563.494779846707,17677.509031484842,0
3g_report.2010-11-04_0957CET,0.8723997632053517,0.8664934328510681,0.8783060935596353,20.465554099206578,21900,34.41428274571623,1917.0393472404735,1342.140637284,2.806937820742332,1,25.0,9912516.0,23459.99283761139,23301.163739241445,23618.821935981337,0
3g_report.2010-11-10_1424CET,4.790329330381545,5.606518234313095,3.974140426449996,103.44026683601129,75050,96.47964016749336,1693.630008988746,2225.0098646069996,0.7515303643724697,1,19.0,31346246.0,22239.169049548673,26028.337133625646,18450.0009654717,0
3g_report.2010-11-16_1857CET,1.561111613201945,1.8195399020929877,1.3026833243109022,28.716029946592194,16800,25.374146119892554,1556.2572814319756,1418.412926992,1.3710070451719851,1,24.0,7768826.0,18912.890767806013,22043.753390166792,15782.028145445232,0
3g_report.2010-11-23_1606CET,1.128165294786053,1.1404407744602842,1.115889815111822,27.195214555012036,25650,39.72676790336926,1790.647994573283,1330.92492449,3.405743121360886,1,20.0,11496791.0,24108.554681991485,24370.878008494805,23846.231355488166,0
3g_report.2010-12-09_1222CET,1.6604885533106992,1.960677686673038,1.3602994199483605,30.16052722569723,18150,30.632335225011072,1731.0948586499983,1404.554699864,1.3580361810075334,1,22.0,8278054.0,18777.341113491348,22171.976833484336,15382.70539349836,0
3g_report.2010-12-09_1244CET,3.110986356701943,3.5619015191387167,2.66007119426517,59.96118379399555,23850,35.67496805183808,1619.8628944792642,1698.08519586,1.1643944146079483,1,21.0,10576638.0,19687.61631149351,22541.19510908786,16834.03751389916,0
3g_report.2010-12-09_1334CET,0.6440958319694026,0.6514476763970969,0.6367439875417082,19.783019664055807,21450,33.6405270696978,2001.6143775843007,1353.487035274,9.44020632005732,1,21.0,9739403.0,30718.406224782368,31069.032532890575,30367.779916674164,0
3g_report.2010-12-21_1200CET,1.8664085753340172,1.9692217083119288,1.7635954423561055,39.77953087463151,17400,26.912371178323212,1640.952961071904,1479.7875725039999,1.9963927729772193,1,21.0,7960087.0,21378.28171748858,22555.92746457054,20200.635970406616,0
3g_report.2010-12-22_0800CET,2.6276059315300486,2.566467267721569,2.688744595338528,64.03032221616908,25500,34.86141562981819,1736.6462554865727,1743.2483638599997,3.249596376749378,1,19.0,11261174.0,24381.512347887958,23814.20768903761,24948.817006738307,0
3g_report.2011-01-29_1800CET,0.21771499028243801,0.1925199157180197,0.24291006484685634,12.927628720239106,61000,83.52623290450236,2080.2043347993254,1647.274246012,27.88434969437041,1,24.0,26010636.0,60184.690342414135,53219.815030675585,67149.56565415268,0
3g_report.2011-01-31_1830CET,4.835628171054217,5.7342753033293645,3.9369810387790687,103.22823074846883,76100,108.44518606412691,1768.617783483169,2220.252243377,0.6093729575948637,1,19.0,31617842.0,22111.057813811174,26220.149330585,18001.966297037347,0
3g_report.2011-01-31_2356CET,-0.7857427615894101,-0.6463716513965976,-0.9251138717822228,-66.26103975854518,12600,21.211489466628723,1496.248534224199,1148.14573183,56.86401157332902,6,19.0,5939440.0,87068.51580374784,71624.73915875236,102512.29244874333,0
3g_report.2011-02-01_0629CET,4.800413268879739,5.696491424325226,3.9043351134342523,104.81387379038088,87250,115.47012541710646,1824.42666217174,2241.640835369,0.567142011215995,1,19.0,36009821.0,22622.618162005005,26845.51165439962,18399.72466961039,0
3g_report.2011-02-01_0740CET,1.9102445596623059,1.8203558430769309,2.0001332762476807,73.5880212278787,69200,94.58149630586105,1945.9260041294317,2066.879354037,11.089031420223487,1,22.0,29060308.0,38608.3168766461,36791.558893481524,40425.07485981067,0
3g_report.2011-02-01_0840CET,3.1256603515072934,3.4188568589637724,2.832463844050814,90.49993715679443,86450,113.5488933974062,1570.51445300475,2202.85832326,4.272622980621165,2,21.0,35627665.0,29210.888600916463,31950.959355360046,26470.817846472877,0
3g_report.2011-02-02_1251CET,3.1977888963914065,3.776337813757871,2.619239979024942,61.84473585721679,29550,42.94901016965844,1606.488300586512,1824.735416842,1.004463389083553,1,24.0,12985173.0,19994.30905577227,23611.710401671397,16376.907709873149,0
3g_report.2011-02-10_1611CET,4.469529700972753,5.33821888815006,3.600840513795448,92.13228324859995,65000,94.12006559372979,1589.780867698288,2140.049936038,0.5734352009054896,1,21.0,27106862.0,21422.66013117049,25586.32710769197,17258.99315464901,0
3g_report.2011-02-14_2032CET,2.9934222184089103,3.480750078070775,2.506094358747046,59.451775911301944,38100,52.72727167997336,1714.555712182666,1709.3609129420001,1.314205589019453,1,21.0,16821203.0,20401.521133958406,23722.8800678621,17080.162200054714,0
3g_report.2011-02-14_2124CET,4.8001056286136565,5.691179372076064,3.9090318851512493,97.0896264109368,53050,75.23603963068102,1698.550473716718,2088.950217373,0.8103082229887616,1,17.0,22843525.0,20948.461728698305,24837.256196282004,17059.667261114602,0
4g_report_bus_0001,1.9434886542015266,3.1408217332018293,0.7461555752012238,115.16088645697225,528150,836.8027693145659,2005.712658100543,2395.3571653870004,0.1941640239322135,1,20.0,223550713.0,95502.41043464678,154338.97471839646,36665.8461508971,88.0
4g_report_bus_0004,1.9443278910361013,3.1448894558782374,0.7437663261939649,115.05390973154952,525150,992.073825771243,2103.2795181377314,2395.2409030070003,0.2679946596940873,1,20.0,222210642.0,95637.67091278122,154690.93676277154,36584.4050627909,87.6
4g_report_car_0001,1.9405171821254754,3.135402094488622,0.7456322697623288,115.09745784163441,528150,887.1052727096061,1995.0326750669435,2395.3571653870004,0.24491843176856493,1,20.0,223550713.0,95535.61079216283,154362.22721197657,36708.9943723491,88.0
4g_report_car_0002,1.9530201592558285,3.159682802634064,0.7463575158775926,115.09810673657513,525150,776.6049240011449,1809.006575871535,2395.2180692370002,0.23581386147604516,1,20.0,222142440.0,95320.10434438664,154213.10067634122,36427.108012432065,87.8
4g_report_car_0003,1.942203242672744,3.1384950531426776,0.7459114322028104,115.12794395498146,528150,1169.6271099839944,2147.4208260496143,2395.3571653870004,0.22052400628852067,1,20.0,223550713.0,95513.92932454142,154345.32705174925,36682.5315973336,88.0
4g_report_foot_0001,1.94408801581654,3.1444426290181706,0.7437334026149091,115.05159629188516,525150,994.7004159545455,2106.362083692108,2395.2409030070003,0.2698458314342234,1,20.0,222210642.0,95641.77102197226,154694.6740423015,36588.86800164301,87.6
4g_report_foot_0002,1.949205920025547,3.1450322450412798,0.7533795950098139,114.26532827852493,516000,801.9862440093242,1937.6416964234859,2390.4112965370005,0.4148960343680831,1,20.0,218142421.0,94001.16533244708,151670.3253384988,36332.00532639536,86.0
4g_report_foot_0003,2.010449192479994,3.219653733709182,0.8012446512508064,114.0687799497393,496300,845.7108334449174,2042.32304007313,2384.9446077670004,0.3814911175328059,1,20.0,209856854.0,88896.68955017549,142364.48227350897,35428.89682684202,79.2
4g_report_foot_0005,1.9412201440832986,3.136679982008719,0.7457603061578784,115.11375646766017,528150,899.6960622971011,2063.6894214909807,2395.3571653870004,0.23187657190645733,1,20.0,223550713.0,95528.40784372721,154357.58046807392,36699.2352193805,88.0
4g_report_foot_0006,1.940486640157536,3.1352654692057373,0.7457078111093348,115.12179038885854,528150,1018.4015917873554,2117.131594775975,2395.3571653870004,0.225447976376585,1,20.0,223550713.0,95548.787588028,154379.22021709857,36718.35495895745,88.0
4g_report_train_0003,2.0130334876007683,3.25305431542674,0.7730126597747966,114.56364577162249,502450,851.7481538130186,2002.8444115731543,2391.736039337,0.37129712483165667,1,20.0,211454399.0,91710.67802734651,148204.10031188693,35217.25574280609,83.4
4g_report_tram_0001,1.9545447592193674,3.1502341998971146,0.7588553185416204,114.87373764641687,522150,874.8117511666289,1992.995786780627,2394.345438107,0.3215099970982852,1,20.0,221015186.0,93921.39790228222,151377.65373666084,36465.14206790359,86.0
hd_trace0000,3.2367023522606004,4.421335449237853,2.052069255283348,94.49359230262208,158750,234.33104796280608,1690.3187893798408,2118.7240928930005,1.0627022435031086,1,20.0,67745704.0,33710.069120875785,46047.95479457368,21372.183447177893,15.2
hd_trace0001,3.449141231678232,4.432846366260038,2.465436097096427,89.08044203693629,113100,171.10121244294285,1727.548938138407,2015.7873627270003,1.2898284278188585,1,19.0,47733438.0,28113.629110851205,36131.71809313873,20095.540128563684,8.8
