,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,10.085017093711926,12.234384931841223,7.9356492555826295,223.2674832032177,60900,66.98171857627635,1295.2347080187878,3223.80316817,1.1302311886966672,0,2.0,25286702.0,23191.963051710933,28134.74688868738,18249.17921473449,0
3g_report.2010-09-21_1735CEST,3.852645154626262,4.450800914612469,3.254489394640055,104.18580752969117,28800,33.482084183801554,636.9300447388804,1994.8996354029996,4.192655453755119,1,10.0,12387003.0,27710.63917814286,32012.95038824795,23408.327968037775,0
3g_report.2010-09-28_1003CEST,9.73056583789208,11.826185933090585,7.634945742693576,217.09277148961263,70200,79.9821113392524,1533.0427595357114,3311.96407772,1.1694773776546632,0,8.0,28987929.0,23395.52528853302,28434.09485880947,18356.95571825657,0
3g_report.2010-09-28_1407CEST,10.346768712231817,12.588374958421122,8.105162466042515,235.3113153386466,78700,88.31110527837006,1614.0503240519618,3431.59552929,0.1817280508113551,0,6.0,31862924.0,23862.511880677623,29032.276197363062,18692.747563992183,0
3g_report.2010-09-30_1114CEST,11.869180200404056,14.705600880899102,9.032759519909009,269.1819787934108,102750,176.46647617814583,2047.1170094247984,3688.75068408,0.11862766724018765,0,2.0,41515410.0,24052.680470770763,29800.636029345143,18304.72491219638,0
3g_report.2010-10-22_1458CEST,7.6913442838506425,9.481534532502385,5.9011540351989,160.31904029265124,40350,41.99003004714388,702.773505139447,2522.349941569,0.2280175814268004,0,8.0,16345543.0,22037.97947255333,27167.404771403777,16908.554173702883,0
3g_report.2010-11-04_0957CET,7.242343788166854,9.082820169607174,5.4018674067265335,152.70280069374965,40650,38.46222026256437,863.9674138528275,2467.793904152,0.23674424155627163,0,9.0,16920514.0,22540.39401720412,28268.520716299052,16812.26731810919,0
3g_report.2010-11-10_1424CET,10.757770158314255,13.175065213233768,8.340475103394743,245.45483838376444,86200,102.64450186061893,1686.6322122768736,3535.9966817,0.14737252487945007,0,5.0,34997587.0,24029.807664463944,29429.359280007844,18630.25604892004,0
3g_report.2010-11-16_1857CET,2.512458892187828,3.0440887314783036,1.9808290528973522,60.72635074493027,26400,26.661088498846414,939.8288082050194,1418.767099265,2.6046805967383184,2,11.0,10426955.0,25302.98999449396,30657.03759549873,19948.942393489193,0
3g_report.2010-11-23_1606CET,7.772631994369862,9.645544719618533,5.8997192691211895,166.1198817630692,50650,53.297768932146475,1287.948886081098,2592.6624247,0.22994405754081515,0,8.0,20514722.0,22689.84941423371,28157.25192765216,17222.446900815263,0
3g_report.2010-12-09_1222CET,6.502742753144397,7.922738805719018,5.082746700569777,139.36442985004703,31950,35.69570610652402,521.6915221043914,2266.6765159190004,0.1290068844567996,0,8.0,13582406.0,22504.776829487644,27419.11766612809,17590.435992847197,0
3g_report.2010-12-09_1244CET,8.605275207675174,10.405669582280343,6.804880833070003,186.43386540400223,42900,42.40687334704278,619.1961857643345,2800.45171915,0.1356107888385485,0,4.0,17654728.0,22656.823039783576,27397.08012195904,17916.565957608113,0
3g_report.2010-12-09_1334CET,9.449636729605801,11.561749260715729,7.337524198495874,203.15724311629117,48450,53.13725218619641,856.5861572018315,2983.85060825,1.1788004161733576,0,3.0,20225463.0,22629.467310573677,27687.437563468146,17571.497057679208,0
3g_report.2010-12-21_1200CET,5.97428445748308,7.520400347855568,4.428168567110591,122.88421427226994,30600,32.66671957798949,534.9019917113842,2146.867898747,0.13608455215116902,0,11.0,13196347.0,22045.34442378379,27750.57281806521,16340.116029502367,0
3g_report.2010-12-22_0800CET,9.191997849021096,11.185224118002703,7.198771580039491,196.79320645744804,41850,41.64149273237663,711.0634687461468,2838.3501109199997,0.19276380183738304,0,1.0,17919603.0,22465.543621663754,27337.053866677692,17594.033376649815,0
3g_report.2011-01-29_1800CET,10.16054170104215,12.709148800673754,7.611934601410549,233.9021559587773,94950,119.03985347078711,1820.548986085689,3461.2706797140004,5.123324863883848,0,7.0,38661956.0,24566.29001862129,30728.345447875166,18404.234589367414,0
3g_report.2011-01-31_1830CET,11.363509920966344,13.988490931772915,8.73852891015977,265.8747579684587,97350,118.5776869082502,1790.4418227605156,3616.87618772,0.1373883026370409,0,2.0,39312734.0,24716.126538310597,30425.57399556599,19006.679081055205,0
3g_report.2011-01-31_2356CET,1.0452827677259093,0.9374664318558106,1.153099103596008,72.67582125589841,30600,36.60638299744081,661.0889835994161,2037.095495724,35.622525615202726,5,4.0,13343550.0,70275.08484367389,63026.51786759225,77523.65181975551,0
3g_report.2011-02-01_0629CET,11.41849162984248,14.10344644407032,8.73353681561464,265.46643780446243,100650,128.59523080932757,1873.9056033828344,3648.63981783,0.14196701974568873,0,3.0,40677430.0,24609.50912303545,30396.21214280983,18822.806103261068,0
3g_report.2011-02-01_0740CET,9.437636877834427,11.9408409903302,6.934432765338655,213.39482363561567,86800,97.83910534359042,1801.1148140569842,3077.056403772,1.2717705646566746,0,6.0,35067354.0,24322.112170683125,30773.21979416353,17871.004547202723,0
3g_report.2011-02-01_0840CET,11.246046149040756,13.837670458498652,8.654421839582861,267.1257641169169,97550,124.87315072159019,1888.1356015135814,3607.54634469,0.34949009951780036,0,1.0,39498572.0,25085.02828268835,30865.812768122738,19304.243797253956,0
3g_report.2011-02-02_1251CET,7.979652255903159,9.779262292037275,6.180042219769042,170.92985100957446,41250,41.116036728586856,649.9669971124692,2548.8698584320005,0.13923239976548055,0,4.0,16945638.0,22568.58564982091,27658.362990271347,17478.808309370474,0
3g_report.2011-02-10_1611CET,9.04301543778927,10.739580673969906,7.346450201608635,231.7522664818682,79350,91.94743330007647,1381.300686193566,3361.84556657,1.2951849442379726,1,4.0,32140582.0,26562.711086724597,31546.156323379415,21579.26585006978,0
3g_report.2011-02-14_2032CET,9.791594633804642,11.886074720666254,7.697114546943029,212.4683331220562,56100,63.586244829048184,1225.0353137213456,3075.2968649199993,0.211790677838543,0,2.0,23560058.0,22739.516728350674,27603.63404055611,17875.399416145236,0
3g_report.2011-02-14_2124CET,9.869077624570696,12.124153430883187,7.614001818258205,218.40171176922814,70450,80.99109966134806,1472.053957374672,3326.93799437,0.13189505294768453,0,8.0,29339973.0,23348.99557775399,28684.22112081793,18013.770034690053,0
4g_report_bus_0001,11.268888269848357,15.50258833557125,7.0351882041254665,286.7258248824431,148950,966.3032552303837,2171.999911517805,3914.6309266099997,0.08408910115805353,0,2.0,59317436.0,29625.65417683057,40755.95656620895,18495.351787452182,8.0
4g_report_bus_0004,10.84548941669647,14.628226022073987,7.062752811318952,273.7523907179369,138800,1264.939767077872,2172.99895613519,3858.66006324,0.09213450549044427,0,6.0,53945103.0,28736.998597712467,38760.01299085736,18713.984204567572,6.0
4g_report_car_0001,9.630702462631419,13.723309150400652,5.538095774862187,266.0331294075145,163950,1081.1967871481716,2169.4905393487347,3866.33225658,0.08359609876840682,0,9.0,65058334.0,33711.21301388073,48036.93186655563,19385.49416120584,11.8
4g_report_car_0002,11.476583924423698,15.395926926650755,7.557240922196642,282.8083845360368,141450,805.2589645543045,2169.931915617197,3906.9838029400003,0.08541386360638438,0,4.0,56789200.0,27895.60656308825,37422.1739716396,18369.039154536906,6.0
4g_report_car_0003,9.97121985691398,14.197486359262856,5.7449533545651015,272.27338265547115,167150,1364.251194232167,2181.6602667408306,3896.6692922199995,0.08365446526705343,0,7.0,64270213.0,33285.532733147986,47393.48883296242,19177.57663333355,12.0
4g_report_foot_0001,11.109023351250318,15.504148434949897,6.7138982675507375,282.65406913990023,148050,1284.2621098051195,2172.2032406276517,3928.60236022,0.08519359934830878,0,5.0,59631827.0,30165.355493242234,42099.84391720814,18230.86706927633,8.2
4g_report_foot_0002,9.55518282717662,13.698311640448209,5.412054013905032,266.9416826374029,169800,806.1104768425125,2172.420756353653,3829.51608335,0.08826350394815491,0,6.0,67466037.0,34405.36980509115,49323.54369552807,19487.195914654236,14.4
4g_report_foot_0003,12.07398905209177,15.941160038599921,8.206818065583619,282.397150221219,129750,966.8082727240687,2144.8359729525023,3853.6150537599997,0.1139509874883673,0,3.0,52541958.0,26062.517256721396,34410.06587016824,17714.968643274555,3.8
4g_report_foot_0005,9.740069771077719,14.032130904248318,5.4480086379071215,263.85500222753006,163950,1007.2102966073662,2170.492375377109,3862.8365148999997,0.08403656810571496,0,9.0,64339314.0,33617.544227618506,48431.45812795392,18803.6303272831,12.0
4g_report_foot_0006,8.975637137701382,13.046699437067137,4.904574838335626,251.60438414429316,171450,1275.1614632056528,2170.1879995465583,3849.6457525399996,0.08712914712523885,0,14.0,66491672.0,35292.422355905874,51299.937800454776,19284.906911356975,14.2
4g_report_train_0003,11.220414294745812,15.154538155562397,7.286290433929227,277.1723572087677,137700,834.7513996669659,2170.4803225766427,3853.6324804299998,0.09518379143905893,0,5.0,55099135.0,28164.99148219645,38040.25652313985,18289.726441253046,6.0
4g_report_tram_0001,12.029054583598084,16.214871884505655,7.843237282690513,284.4211832435075,133950,1054.5246323661768,2167.2917366889933,3916.89964585,0.08420809122614772,0,4.0,53185783.0,26901.99940791092,36263.238378775764,17540.760437046076,4.0
hd_trace0000,8.181570033023547,11.48902110341087,4.874118962636225,226.50866525433014,137850,412.2189928418489,1691.3315094976417,3391.41753033,0.15727692624518255,0,6.0,55578949.0,33093.47105886642,46471.71457871439,19715.22753901845,13.8
hd_trace0001,7.566610422496873,10.773457139055015,4.359763705938731,218.88026395853336,151050,525.8015168405992,1564.0770125661384,3412.01839885,0.19131112806170014,0,11.0,60764859.0,35260.619497651875,50204.616286974844,20316.622708328912,16.0
hd_trace0003,10.49458198435099,13.776905742536703,7.212258226165277,242.3386068377828,101400,760.692590534985,1621.5700586465723,3453.90911636,0.1743675229028202,0,5.0,40629253.0,25595.56948045733,33600.93319435029,17590.205766564362,4.2
hd_trace0004,9.665402104515755,13.069462713549727,6.261341495481782,243.7171019212647,119100,396.47238425973285,1779.4877264215017,3473.89523909,0.14002970953218916,0,4.0,47507835.0,28785.965901996846,38924.10310108981,18647.828702903887,8.4
pen_trace_215252_http---www.msn.com,10.061773379088528,12.307343015621818,7.81620374255524,221.618506198308,67500,76.35162950056184,1482.5635871463498,3288.52423543,0.1472547962108393,0,5.0,28059013.0,23180.37077645118,28353.726885560616,18007.01466734174,0
pen_trace_216826_http---www.amazon.com,10.420809678570713,12.734242621094433,8.107376736046994,219.68586910728507,53550,74.57373205074359,928.8818436873994,3097.7032696799997,0.1965237357579242,0,1.0,22056529.0,22174.309877155207,27097.03474497718,17251.585009333234,0
pen_trace_28919_http---www.google.com-mobile-,9.81371000032482,12.031095371773874,7.596324628875764,216.34342200590558,67500,73.7611485245416,1428.4756123109312,3288.3179451099995,0.15869295964762886,0,7.0,28262873.0,23231.01737113008,28480.012713454013,17982.022028806154,0
pen_trace_663494_http---www.facebook.com,10.126145168662475,12.468990115942463,7.783300221382488,225.7936731172359,74500,84.55341970182091,1564.7998946979642,3395.6926932300003,0.14417217233181434,0,9.0,30860414.0,23559.2171097834,29010.017177151865,18108.417042414938,0
