,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.74906432465996,1.8939836345441396,1.6041450147757803,65.31826694870307,61150,61.403921609206485,810.3197836232172,2082.3454521875,9.072965858110521,2,25.0,26667577.0,37602.83482179634,40718.43028345722,34487.23936013546
3g_report.2010-09-21_1735CEST,-0.31062543754293026,-0.3090172736165829,-0.3122336014692777,-15.065871019786119,29700,38.004579774810466,534.3845158143622,867.5788313541666,18.60473997941112,4,14.0,13110587.0,48503.02976888252,48251.92083392258,48754.13870384246
3g_report.2010-09-28_1003CEST,4.641773858656864,5.460930182328359,3.82261753498537,135.6407429993099,76650,73.33025905949648,947.273983874548,2493.5978100000007,4.993261495844876,1,13.0,32267223.0,30161.06458480994,35483.73379180584,24838.395377814042
3g_report.2010-09-28_1407CEST,1.122800153706474,1.0466525206291788,1.1989477867837692,74.49935583406635,82650,78.13614350983426,804.6029638092706,2335.4345204166666,27.94111623563655,2,20.0,35235342.0,66657.98587951096,62137.281252183784,71178.69050683815
3g_report.2010-09-30_1114CEST,5.686302498777861,6.904364207712807,4.468240789842914,175.88905678175513,166700,184.56816273954362,1307.8180062310587,3004.532184479167,0.7671767760207695,1,16.0,68013142.0,32419.66464416428,39364.27445485513,25475.054833473434
3g_report.2010-10-22_1458CEST,2.9492429365943638,3.6376261887640773,2.26085968442465,69.49843177472123,37250,40.74225639582228,772.7189203066129,1575.5930676041667,1.4524092189789248,1,13.0,16601993.0,24922.630307758045,30739.825321095675,19105.435294420415
3g_report.2010-11-04_0957CET,2.5476112699320677,3.100201210084978,1.9950213297791572,63.57517570481184,36800,39.21660630964882,671.465084864912,1571.5335373958333,2.947097744360902,1,14.0,16185800.0,26186.852727518184,31866.915283481914,20506.79017155445
3g_report.2010-11-10_1424CET,5.536610132432323,6.717914571317347,4.3553056935473,150.41889374494656,103300,99.33271275386639,963.3507733008967,2659.1889309374997,0.8109635627530364,1,14.0,42869532.0,28463.82192328223,34536.931349687584,22390.712496876873
3g_report.2010-11-16_1857CET,0.01751192795186294,0.01980222494240767,0.015221630961318209,0.5436666350521122,28050,27.108147393290587,563.0179827702842,1052.9976789583332,6.757878849129547,4,19.0,12824011.0,31585.769718523923,35716.71369734943,27454.825739698423
3g_report.2010-11-23_1606CET,1.8872191439171533,1.909097568351547,1.8653407194827596,87.5110869187284,58550,60.16471885097127,964.7768471947617,2096.133448541667,16.592555354524176,2,13.0,25414331.0,46376.622424001645,46914.263975856564,45838.98087214673
