,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,4.3059218519387805,5.291054728468602,3.3207889754089583,107.12018690581189,55550,63.39985713147086,1053.7155195834316,2082.9282908333334,1.4828736687678545,1,14.0,24448325.0,26251.488465842307,32257.450774215467,20245.526157469147
3g_report.2010-09-21_1735CEST,-0.11321219551661565,-0.10900873904812289,-0.11741565198510844,-5.992703264208616,24900,40.44793826031079,621.2968658466791,802.672856875,21.97293580990952,3,9.0,11320446.0,53006.44476968355,51038.3680786328,54974.5214607343
3g_report.2010-09-28_1003CEST,4.140489604308019,4.9165285115296875,3.364450697086351,115.95929303708161,68000,77.17021455544425,1686.9040345454187,2245.223066666667,4.993261495844876,1,13.0,29095891.0,29025.821957386688,34466.04021794807,23585.603696825307
3g_report.2010-09-28_1407CEST,1.7434194274578847,1.7710951587927937,1.7157436961229757,83.23600328733642,79000,76.64696554968003,608.8620606365494,2149.5732194791663,15.051676100612788,3,16.0,33486819.0,47754.9936875384,48513.07539431605,46996.91198076076
3g_report.2010-09-30_1114CEST,5.512226022764513,6.717352651224714,4.307099394304312,173.38319394583564,169600,186.37169404231594,1318.8040332137202,2994.9061317708333,0.7671767760207695,1,16.0,69452759.0,33033.22482918884,40255.21077482371,25811.238883553964
3g_report.2010-10-22_1458CEST,3.266851656304636,4.033310667721944,2.500392644887328,75.24620311355267,33900,40.88685996875345,1061.0279697585288,1482.0611909375002,1.4524092189789248,1,8.0,15206518.0,24374.97151911764,30093.754781838827,18656.188256396454
3g_report.2010-11-04_0957CET,2.804399406121437,3.4051094326927966,2.203689379550078,69.11236322436164,34800,37.962905454986135,1057.0113605952063,1486.9274273958333,2.947097744360902,1,10.0,15600054.0,25829.390463390504,31362.11657854981,20296.6643482312
3g_report.2010-11-10_1424CET,5.54483435182323,6.754701660709971,4.33496704293649,154.6923917044805,107550,99.91422116563466,540.1272920130156,2729.4267006249997,0.8109635627530364,1,14.0,45177493.0,29293.115130720875,35684.79071981421,22901.439541627537
3g_report.2010-11-16_1857CET,0.8233068161172092,1.044201082813496,0.6024125494209225,18.181322782980075,26250,28.217659014264164,696.3514462048984,1111.3675893749999,1.4926813095731457,1,20.0,11938925.0,23796.278243336696,30180.849984710854,17411.70650196254
3g_report.2010-11-23_1606CET,3.40944073560551,4.146108835753774,2.6727726354572456,86.59294834999264,47000,55.906723671081494,1231.9897788942326,1691.9976265625,3.5398223541500173,1,10.0,20720163.0,26641.7628574008,32398.172295406905,20885.353419394698
3g_report.2010-12-09_1222CET,1.1735572886591958,1.460179273398975,0.8869353039194166,26.877326007129227,30300,35.587493561475476,786.6602317938784,1312.1048986458331,1.4784072157023522,1,22.0,13677571.0,24355.22985204577,30303.592481161617,18406.867222929926
3g_report.2010-12-09_1244CET,3.0601946232758985,3.82023814975752,2.3001510967942767,70.83033580063011,35700,41.366698438696005,881.5942655419059,1446.4963098958333,1.265309559613319,1,9.0,16041882.0,24667.296017467717,30793.775199962492,18540.816834972942
3g_report.2010-12-09_1334CET,2.172561232918132,2.3332784439092236,2.0118440219270397,78.52132426534583,37050,40.508644462834596,1171.7519503517956,1586.564383125,9.6005874811894,1,6.0,16544243.0,36341.15829910959,39029.52883501096,33652.787763208216
3g_report.2010-12-21_1200CET,0.3410630546369228,0.4219570790542231,0.26016903021962257,7.95903059426184,27600,31.593435799150388,823.3468625764572,1181.3451497916665,2.0651903490978967,1,25.0,12442990.0,24726.97422045912,30591.76792696347,18862.180513954772
3g_report.2010-12-22_0800CET,2.7751704667150907,3.3517638974346857,2.1985770359954957,69.8358676540978,37500,41.220264328425735,1204.8979856142878,1639.3272762500003,3.3504292092384302,1,14.0,16726162.0,26299.839136791234,31764.12129788154,20835.55697570093
3g_report.2011-01-29_1800CET,1.557746610771314,1.4590691312098756,1.6564240903327525,104.02999853769694,103150,118.54604058549108,1853.883064249391,2394.796195729167,27.86000266716048,1,12.0,43071963.0,67051.42312649182,62803.96375833846,71298.88249464518
3g_report.2011-01-31_1830CET,5.7496116445793,7.047389213154526,4.451834076004074,159.0805515756034,114400,124.92285036486544,864.8237750283774,2709.6206041666665,0.6545230863865288,1,11.0,47663047.0,29153.343703658196,35733.71083910492,22572.976568211474
3g_report.2011-01-31_2356CET,-0.24648005515340127,-0.20528491285805264,-0.28767519744874986,-29.115558320856316,37150,42.27701691111705,1082.181524421633,1513.9244036458333,77.81270733577065,5,9.0,16709421.0,121519.91373635147,101209.83170974735,141829.9957629556
3g_report.2011-02-01_0629CET,5.3410424634952705,6.468940087056199,4.213144839934342,156.3722257281364,135900,133.58273743103453,1097.2831109322744,2814.5236521875,0.6080490438538437,1,18.0,55574703.0,30644.047727014786,37115.32161105891,24172.77384297066
3g_report.2011-02-01_0740CET,2.7738175274454253,2.9210020433431794,2.626633011547671,117.65946821259676,93650,112.58896766053566,1822.0706218428356,2415.716077708333,11.31470228185301,1,15.0,39272704.0,42537.65164027366,44794.78773598036,40280.51554456695
