,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.4229961826205706,3.8584344982345,2.987557867006641,111.95686019162864,65500,63.70501831703123,889.7277184514625,2198.1408622916665,6.26604329668969,2,12.0,28400787.0,33245.254894674195,37474.37377800581,29016.136011342587
3g_report.2010-09-21_1735CEST,0.505088322407381,0.5632009087871299,0.44697573602763196,16.260357976227848,30750,35.290856331973984,562.2518514825363,1025.9678869791667,7.8774437905437145,2,15.0,13436258.0,32624.971062776815,36378.6144651544,28871.32766039923
3g_report.2010-09-28_1003CEST,5.091616824837287,6.260233572011906,3.9230000776626666,125.44145063243707,71700,78.03079532433861,993.6028230726781,2186.5741910416664,1.6901902123730381,0,10.0,30508819.0,26006.860408048495,31975.898075223948,20037.822740873045
3g_report.2010-09-28_1407CEST,0.6873354469413246,0.6168588394493921,0.7578120544332572,55.824800234793855,86300,78.18921221774266,886.9442638999711,2315.1733765625,38.80185272258427,8,15.0,37117097.0,82082.1299914387,73665.75908658962,90498.50089628778
3g_report.2010-09-30_1114CEST,5.911652307282177,7.222355457666016,4.600949156898338,181.1085877635944,167050,186.57673462526043,1430.1966556130096,2994.7581827083336,0.45034749488978104,0,15.0,68335789.0,32219.7105222745,39363.30995791444,25076.11108663456
3g_report.2010-10-22_1458CEST,3.447493796282062,4.347253549689958,2.547734042874166,77.28606877656343,40650,40.56695723570614,580.0145065114161,1662.3720040625,1.5259519247619606,0,15.0,17622612.0,24056.67768515373,30335.218463138703,17778.136907168755
3g_report.2010-11-04_0957CET,2.6748398553715154,3.364814964294701,1.98486474644833,59.998073655438645,38850,37.84000935233522,785.8911898426769,1466.38555875,2.470691392223248,0,15.0,16843154.0,24029.40335092129,30227.789456585277,17831.017245257302
3g_report.2010-11-10_1424CET,4.956581181200168,6.028925214533805,3.884237147866531,139.73425518924884,109800,103.78250029448462,987.4861189312414,2511.5962618750004,0.7259423412332001,0,15.0,46201951.0,29576.00247498879,35974.697185005745,23177.307764971836
3g_report.2010-11-16_1857CET,0.02364800314972878,0.030112221727860225,0.01718378457159733,0.5111040237123916,28050,27.20035893435928,574.6711429193759,960.4576053124999,2.008909819324495,1,24.0,12606665.0,23358.349671960717,29743.391019763094,16973.30832415834
3g_report.2010-11-23_1606CET,3.8922561492941794,4.883686811790275,2.900825486798084,92.03745783814075,58700,56.17083892048997,842.893188825777,1889.6656693749999,1.4790936244721393,0,16.0,25969022.0,25286.959931149107,31728.02302551858,18845.896836779633
3g_report.2010-12-09_1222CET,-0.49753039683484523,-0.5691892815474572,-0.42587151212223334,-14.992229607292742,33450,33.980465734398976,547.2128616887487,1077.92299625,5.7163916231418215,1,31.0,14711209.0,30771.632788787763,35203.64518533394,26339.620392241588
3g_report.2010-12-09_1244CET,1.333757196327781,1.5862946007617276,1.0812197918938342,35.380181959645874,40650,41.10711542782984,456.94012550584824,1441.172379375,2.8936428445696234,1,23.0,17727797.0,27513.06694365866,32722.469774323075,22303.664112994244
3g_report.2010-12-09_1334CET,3.6534446928923248,4.537951386716758,2.7689379990678917,84.99875067049179,47850,53.531662105134174,853.1858421755056,1828.3502486458333,1.583444336813404,0,16.0,20847197.0,24713.941207149343,30697.238688300327,18730.643725998358
3g_report.2010-12-21_1200CET,0.17141913658583896,0.18826509246984838,0.15457318070182957,5.835193874539719,32550,31.70316180441789,522.2719778868193,1082.3614969791668,8.384051686536782,2,21.0,14426342.0,34372.46257593523,37750.36424847698,30994.56090339347
3g_report.2010-12-22_0800CET,1.9777897597918797,2.4371572489360074,1.5184222706477517,47.983881207705366,44250,40.6181737038902,374.34408186329364,1592.7784997916667,1.7669248633879957,1,22.0,19246259.0,25644.803807125085,31601.14425036434,19688.463363885832
3g_report.2011-01-29_1800CET,4.102174526697264,4.725756184332596,3.4785928690619325,151.29849242158457,156850,131.86268473472293,638.8501229514624,2872.1932711458335,11.111941385041684,1,16.0,64235006.0,37754.94312599946,43494.165059444,32015.72119255492
3g_report.2011-01-31_1830CET,5.191965993095579,6.333992371638802,4.049939614552355,147.15209516892537,123850,123.79616968395537,937.3147727212923,2618.8946096875,0.6302173865548054,0,16.0,50732026.0,29783.258121320527,36334.39240431497,23232.123838326086
3g_report.2011-01-31_2356CET,-0.16390374507026093,-0.14231195715965722,-0.18549553298086463,-14.441187248983102,38850,43.62133101914313,719.7599079231854,1555.7899301041668,60.3807472184023,5,13.0,17257722.0,89663.75636918665,77851.94078216873,101475.57195620459
3g_report.2011-02-01_0629CET,5.340271967155221,6.49011846919524,4.190425465115202,166.2102468405423,157750,136.9112392164489,756.3317976639465,2887.5554692708333,0.6741163981221544,0,17.0,64644871.0,32637.01454020771,39664.28903800414,25609.74004241128
3g_report.2011-02-01_0740CET,5.074399341403382,6.272700123677938,3.8760985591288257,138.11226672040007,111500,105.54929974097556,934.5547184354463,2458.5035859375,3.2373753049843152,0,12.0,45922449.0,28824.883297612298,35631.77370583723,22017.992889387366
3g_report.2011-02-01_0840CET,-0.4289566336548273,-0.3374667903647543,-0.5204464769449003,-102.28230662423869,120050,104.9182979173784,759.3246636261817,2485.8004982291664,154.9909986852376,7,27.0,49191954.0,249808.25628600837,196528.00269616838,303088.50987584837
3g_report.2011-02-02_1251CET,1.7694371401458275,2.198180322147608,1.3406939581440471,40.54915456987205,40650,41.096905640618346,462.04931366152783,1469.8264058333334,0.8791856842105268,2,21.0,17629438.0,24345.795773025027,30244.899906914743,18446.69163913531
