,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.4823955035758427,1.3975996243993878,1.5671913827522974,61.74718873124404,65350,60.25413714964714,837.6162312436688,2103.29978409375,16.02792722902295,3,22.0,27085276.0,41790.3942464719,39399.903171241145,44180.88532170265
3g_report.2010-09-21_1735CEST,-0.013080311863464904,-0.011572336364089778,-0.014588287362840029,-0.6544082891898739,30600,38.02908436860875,548.825619607695,1502.0145109166665,21.403430892210707,3,25.0,13541130.0,50703.919509750434,44858.47261665639,56549.36640284448
3g_report.2010-09-28_1003CEST,3.1328625802477728,3.2179894373553206,3.0477357231402245,90.39577388232325,76650,74.249629879443,984.9473526473714,2181.89290603125,5.494454478301016,1,21.0,32014804.0,28875.369662651072,29659.97779793855,28090.761527363593
3g_report.2010-09-28_1407CEST,1.1638102596100195,1.0303948351809307,1.2972256840391083,65.90740427976426,84750,78.13242745929288,846.4896402951018,2163.242689489584,22.77183100115009,2,20.0,34907403.0,57384.840263590486,50806.42874303228,63963.25178414869
3g_report.2010-09-30_1114CEST,3.4292115625681516,3.6925362647117486,3.165886860424555,105.32998693933544,168150,184.62814657189656,1334.6297091278418,2314.2159172291667,1.2796072692943121,1,21.0,68051330.0,30897.69985856238,33270.294101795655,28525.105615329103
3g_report.2010-10-22_1458CEST,3.3113430489554188,3.498697058202683,3.1239890397081544,80.64151949536316,38150,41.07395841786815,804.1567743008327,1943.3072820416664,2.6758781697283895,1,19.0,16658455.0,24431.325857748656,25813.63713839942,23049.014577097892
3g_report.2010-11-04_0957CET,3.015564045944372,3.1280656000980684,2.903062491790676,77.99407662975693,37050,38.83544140813302,688.1267531607319,1953.2308040520836,4.520646131457677,1,19.0,16170039.0,25899.891252776557,26866.137690907366,24933.644814645744
3g_report.2010-11-10_1424CET,3.651190889666069,3.935759963632614,3.366621815699524,98.97939468309298,105400,99.19835698436357,974.4911790935323,2243.162481864583,1.3603481781376519,1,21.0,42989908.0,27274.474750126792,29400.211874563294,25148.73762569029
3g_report.2010-11-16_1857CET,0.6292628079488121,0.6215463799623213,0.6369792359353028,20.242018361939166,29400,27.839521920078788,609.5745331587249,1611.3503645,8.61138451472316,3,28.0,12930510.0,32172.666821176022,31778.14474943909,32567.188892912956
3g_report.2010-11-23_1606CET,0.9196165782706627,0.8378418960009315,1.0013912605403938,39.77500075522566,58350,59.61057902232186,1003.4172018485926,1837.058206052083,16.424905086020186,2,24.0,24969664.0,43596.449152231435,39719.740247944006,47473.15805651886
3g_report.2010-12-09_1222CET,1.1942950050584362,1.1529907497052767,1.2355992604115957,40.00185410477499,33350,33.022023530557625,742.0659409092835,1786.710896760417,9.069346631391825,2,27.0,14412024.0,33534.22506635835,32374.456173961942,34693.993958754756
3g_report.2010-12-09_1244CET,3.1843746448021664,3.388386743874449,2.980362545729884,77.20081737853573,41050,40.73386589578286,764.4251338865367,1937.90079334375,2.1605342761570054,1,21.0,17728564.0,24343.554118209817,25903.163187024093,22783.945049395545
3g_report.2010-12-09_1334CET,1.442199840064267,1.3515572541280683,1.532842426000466,57.933842170883096,43800,39.70397543256928,762.0405378735385,2020.02096696875,23.716471782728803,1,20.0,19072221.0,40329.77645780887,37795.04089148005,42864.512024137686
3g_report.2010-12-21_1200CET,1.2643670084831276,1.318247927040218,1.2104860899260368,32.491383756335196,29350,29.586314912768774,639.6813240034885,1647.2401846458336,4.113392498185061,3,26.0,12968082.0,25744.500058149606,26841.60026846776,24647.39984783145
3g_report.2010-12-22_0800CET,3.0690358821974586,3.2096533755504035,2.928418388844514,79.57404990677468,42900,38.97406548500573,752.067979271303,1978.9049564270833,4.281578080559092,1,20.0,18690711.0,25982.57377843309,27173.04679205103,24792.100764815146
3g_report.2011-01-29_1800CET,0.9955189215297828,0.8660177200555707,1.1250201230039951,59.437449012307475,122250,118.1409083133156,1235.6294278898781,2076.7838649166665,22.708201800980714,2,21.0,50415611.0,60732.703153778464,52832.34299276299,68633.06331479394
