,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.6386678000399373,2.5377452057488403,2.739590394331034,79.58790765790253,57550,65.25367974210253,1523.5506817288256,1959.5853457187497,7.70941218488127,1,17.0,24409148.0,30206.343302386398,29051.02449716272,31361.66210761007
3g_report.2010-09-21_1735CEST,0.5166864963920655,0.47762100339091657,0.5557519893932145,22.774143318950173,24000,39.4439828798915,647.5650762657051,1629.8322012500003,18.48387794795495,3,22.0,10803969.0,44330.713176046826,40978.96859319499,47682.45775889866
3g_report.2010-09-28_1003CEST,2.481002192393607,2.4217727881482265,2.5402315966389875,72.81663127754959,70450,76.7662948852464,1689.1259503923745,1949.466769645833,5.494454478301016,1,21.0,29703262.0,29366.42113640639,28665.351369494892,30067.490903317885
3g_report.2010-09-28_1407CEST,1.3492808105893053,1.2651012587543269,1.4334603624242834,65.70689317830559,81900,77.48831566771184,617.5840045442194,2159.650225364583,18.44983787835025,2,23.0,33719129.0,48888.00334988866,45837.956110053434,51938.05058972388
3g_report.2010-09-30_1114CEST,3.729989119271157,4.270513341069925,3.189464897472389,106.20617396029422,169600,186.20442037048116,1377.0035477513468,2311.2082906458336,1.2796072692943121,1,21.0,68742644.0,29084.353800947338,33299.057169264124,24869.65043263055
3g_report.2010-10-22_1458CEST,3.323279923408619,3.76329912589564,2.8832607209215984,73.9240065855953,35250,39.72703242572221,819.4830209973576,1851.1272748958331,2.6758781697283895,1,19.0,15497668.0,22641.21693065153,25639.029467292297,19643.404394010766
3g_report.2010-11-04_0957CET,1.982991295990276,1.931022481521599,2.034960110458953,53.48273924894124,35700,38.38507125700391,1076.1564632806417,1705.6800857395835,4.520646131457677,1,22.0,15730823.0,26989.27509620684,26281.95952051319,27696.590671900485
3g_report.2010-11-10_1424CET,4.123476615192118,4.735822971564155,3.5111302588200797,104.57760656473188,110550,100.09861167109759,561.1378232528962,2272.1329251562497,1.3603481781376519,1,20.0,45398527.0,25933.422329241996,29784.59893421195,22082.24572427204
3g_report.2010-11-16_1857CET,2.1499036462584784,2.453812873373959,1.8459944191429976,45.7891362973282,27150,28.687838541637248,719.3400204550343,1679.3977440208334,2.627039322444041,1,24.0,11940847.0,21732.49676585476,24804.59086034821,18660.40267136131
3g_report.2010-11-23_1606CET,1.2577087815117964,1.225580340712145,1.2898372223114478,35.821520063939396,47450,57.183160102663564,1290.5241019220805,1640.4006138437499,5.781942646886991,2,25.0,20600604.0,28500.16750615297,27772.12460944923,29228.210402856712
