,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.567232178310901,2.503486744638651,2.6309776119831514,78.17734903063278,59650,64.50951369543135,1306.5599728480624,2020.8697360729168,7.70941218488127,1,20.0,25242242.0,30470.78469320364,29714.18254361544,31227.386842791842
3g_report.2010-09-21_1735CEST,0.3367151288231598,0.30598281998661614,0.3674474376597034,16.682981562817723,25350,40.24053513258928,619.3604611184252,1614.6007775520832,22.567865381535835,3,21.0,11325754.0,49962.48532542115,45402.3619516106,54522.60869923169
3g_report.2010-09-28_1003CEST,2.7937483631414817,2.7594272424529978,2.8280694838299656,82.84286194899876,73900,75.9048906369197,1452.5394989994252,2048.729024666666,5.494454478301016,1,20.0,30611978.0,29657.419264647608,29293.078696499095,30021.759832796117
3g_report.2010-09-28_1407CEST,1.478965043378762,1.4170821934030142,1.5408478933545096,67.09326240723189,81350,76.26538217537714,654.4019841345096,2122.6502059895834,16.08649458215674,3,21.0,33565361.0,45444.57113867813,43543.079558077734,47346.062719278525
3g_report.2010-09-30_1114CEST,3.822093525471308,4.354995735236396,3.28919131570622,109.44959153256903,170150,186.23016084072518,1362.4873241718833,2312.5278177291666,1.2796072692943121,1,19.0,68875199.0,29203.747581928805,33275.53219842707,25131.96296543054
3g_report.2010-10-22_1458CEST,3.394796031083693,3.601578340048049,3.1880137221193365,81.28238317109286,36600,41.440129031233006,921.1507137160797,1879.9638526458332,2.6758781697283895,1,17.0,15993547.0,24032.395712523088,25496.24633267191,22568.545092374265
3g_report.2010-11-04_0957CET,1.982991295990276,1.931022481521599,2.034960110458953,53.48273924894124,35700,38.38507125700391,1076.1564632806417,1705.6800857395835,4.520646131457677,1,22.0,15730823.0,26989.27509620684,26281.95952051319,27696.590671900485
3g_report.2010-11-10_1424CET,4.0830385279709756,4.6633879254101815,3.5026891305317696,104.72469527626801,109200,99.84256253984138,666.8125418676722,2272.5072276875,1.3603481781376519,1,20.0,44667654.0,26177.576943174092,29898.369901975562,22456.783984372618
3g_report.2010-11-16_1857CET,1.7519864433498382,1.9896137054800034,1.514359181219673,37.71157936919008,26700,28.89081229089646,731.7123000177555,1656.4291167604167,2.627039322444041,1,28.0,11851898.0,21928.443371235964,24902.664993133913,18954.221749338016
3g_report.2010-11-23_1606CET,1.2577087815117964,1.225580340712145,1.2898372223114478,35.821520063939396,47450,57.183160102663564,1290.5241019220805,1640.4006138437499,5.781942646886991,2,25.0,20600604.0,28500.16750615297,27772.12460944923,29228.210402856712
3g_report.2010-12-09_1222CET,2.4593340022718455,2.829750979978396,2.088917024565295,52.78427118301285,31200,34.15338438647248,671.7923120942933,1771.7183255416667,2.4287452689197804,2,24.0,13653843.0,21961.02646684425,25268.72564217685,18653.32729151165
3g_report.2010-12-09_1244CET,3.609585913026353,4.085718306831341,3.133453519221365,79.52463196073734,37050,41.82123227536608,994.9682217823987,1910.7502513125003,2.1605342761570054,1,19.0,16201732.0,22421.63990840678,25379.228213507537,19464.051603306023
3g_report.2010-12-09_1334CET,1.0500405701203617,0.9366375882430255,1.1634435519976978,42.45835366705327,38400,40.234287298278396,1227.3846024490497,1843.9060555208332,23.716471782728803,1,21.0,16937653.0,40912.15253484882,36493.69459665653,45330.61047304112
3g_report.2010-12-21_1200CET,2.7025164314744994,3.0853536533920716,2.319679209556927,58.3585859719499,28500,29.711148800346326,577.5563489018226,1789.8429417083335,2.5287684424041847,1,23.0,12618750.0,22036.37843555038,25158.041565194155,18914.71530590661
3g_report.2010-12-22_0800CET,3.1114071941790717,3.188043147325106,3.034771241033038,80.39113475557912,40200,40.48997963407244,945.1791213283961,1945.5441973229165,4.281578080559092,1,19.0,17619898.0,25853.23299320774,26490.01468994214,25216.45129647334
3g_report.2011-01-29_1800CET,0.5582326814648074,0.48651574359470245,0.6299496193349124,35.570534646535805,102800,117.30915539919425,1860.3472506629887,1924.54026046875,28.36626579931895,1,24.0,42674215.0,64789.247378897344,56465.681627191756,73112.81313060292
3g_report.2011-01-31_1830CET,4.105911325149445,4.809275309986976,3.4025473403119144,105.39880558623213,123950,125.34521112618047,961.8879571832921,2249.0608681041663,1.0718788204990197,1,19.0,51113281.0,26446.08804589724,30976.44060304834,21915.735488746133
3g_report.2011-01-31_2356CET,-0.6437592189979903,-0.5046314701688732,-0.7828869678271073,-74.56220391074254,38450,42.37137475896675,1094.40637547512,1498.5016046041665,83.59556740688056,5,22.0,16880042.0,121497.90889385118,95240.06271006014,147755.7550776422
3g_report.2011-02-01_0629CET,3.866600792833346,4.486938823729636,3.2462627619370563,103.0018275260029,139650,134.37105647112398,1023.5123165954503,2264.3111259999996,0.986182730154307,1,21.0,56793618.0,27342.640205016396,31729.356210383092,22955.924199649697
3g_report.2011-02-01_0740CET,1.8208964706766597,1.747794855654421,1.8939980856988985,75.11082036823836,100200,114.19240872350981,1653.045583162946,2072.6555794583332,11.553830207038768,1,21.0,41634619.0,41315.95227657356,39657.28420497423,42974.62034817288
3g_report.2011-02-01_0840CET,1.1891864677616606,1.1434326240175627,1.2349403115057584,56.48038499942846,106800,104.62500544618739,771.2555794175506,2095.10951109375,16.029643202876,5,23.0,43314239.0,47565.38983545138,45735.31568546995,49395.46398543281
3g_report.2011-02-02_1251CET,4.019727360601987,4.648499022177272,3.390955699026702,87.96244680931187,39750,43.15812920846847,714.3485706720953,1991.9765491770834,1.8736061843008347,1,18.0,17373972.0,22431.53736694587,25940.311409718368,18922.763324173375
3g_report.2011-02-10_1611CET,1.4548046909711776,1.4426510222663413,1.4669583596760138,55.970343909202256,75450,81.69582679182827,690.3132006048347,2027.6727119895831,11.6260208388897,6,22.0,31302601.0,38475.43990564735,38154.00998946121,38796.86982183349
3g_report.2011-02-14_2032CET,3.342708853968916,3.750259483351606,2.9351582245862256,76.8782953986823,58250,61.78549339951639,1233.7754576630978,1949.6155015416666,2.506391049119462,1,21.0,24695435.0,23345.837671332512,26192.215041327105,20499.460301337916
3g_report.2011-02-14_2124CET,4.239533112887635,4.9404617818636,3.538604443911671,99.57666210855206,79500,79.10947343591278,948.3964510211583,2138.6271114166666,1.479621675753867,1,18.0,33254766.0,24147.71454433137,28140.09412096857,20155.33496769417
4g_report_bus_0001,3.9258578928070618,4.5322213207762845,3.3194944648378395,112.11939332375759,185200,454.05350753106717,2138.4830603676555,2349.3327296979164,0.22932648999073463,1,20.0,74729211.0,29257.1660048468,33776.044669270064,24738.287340423536
4g_report_bus_0004,3.903827743223302,4.500793748226655,3.3068617382199497,111.93216210307729,185200,546.8179505323296,2146.8748855997487,2349.3327296979164,0.3791454586611354,1,20.0,74729211.0,29358.94126643119,33848.455412995056,24869.427119867327
4g_report_car_0001,3.9099929071839403,4.5096714784410485,3.3103143359268326,111.99068239453364,185200,542.8242379120944,2149.712450812627,2349.3327296979164,0.3323186010439862,1,20.0,74729211.0,29332.13804588378,33830.83025654061,24833.445835226954
4g_report_car_0002,3.912501630724954,4.513275153679005,3.3117281077709024,112.01377118135021,185200,409.0701446955024,2108.813363794097,2349.3327296979164,0.3138433797847259,1,20.0,74729211.0,29321.046395380967,33823.359749404604,24818.73304135733
4g_report_car_0003,3.9219534070521505,4.526680385228812,3.3172264288754882,112.0885602769089,185200,754.5990208370914,2167.7652391518895,2349.3327296979164,0.2539985252584276,1,20.0,74729211.0,29275.800069488323,33789.84301499912,24761.757123977528
4g_report_foot_0001,3.9030960702980906,4.499773922503952,3.3064182180922295,111.92746761357417,185200,602.0080918877891,2149.4688671804834,2349.3327296979164,0.3829019025556929,1,20.0,74729211.0,29362.798121290787,33851.57600485132,24874.020237730256
4g_report_foot_0002,3.868249564348478,4.450527219892682,3.2859719088042745,111.65142316237042,185200,455.6811704396449,2121.248873948705,2349.3327296979164,0.6037875798282316,1,20.0,74729211.0,29532.719498212115,33978.203789027226,25087.235207397007
4g_report_foot_0003,3.8611170993985433,4.441920732079007,3.2803134667180798,111.38393273001158,183750,436.4670399177634,2086.468085175405,2345.956751625,0.6094553034250794,1,20.0,74135314.0,29515.447344457112,33955.271000807756,25075.62368810647
4g_report_foot_0005,3.913858952525807,4.515188103453275,3.3125298015983393,112.02375597322798,185200,534.4393848319185,2147.350706011157,2349.3327296979164,0.3058537335276502,1,20.0,74729211.0,29314.30879219123,33818.188116881254,24810.429467501202
4g_report_foot_0006,3.9152930439606894,4.517333273019356,3.313252814902022,112.04263108522055,185200,617.4215613999269,2158.5768148229704,2349.3327296979164,0.2907502171269759,1,20.0,74729211.0,29309.665598521802,33816.50521242636,24802.825984617244
4g_report_train_0003,3.872281537481401,4.456022114607817,3.288540960354984,111.67019162906739,185200,508.5802001533457,2118.1643480342914,2349.3327296979164,0.5887693990256425,1,20.0,74729211.0,29508.938946194263,33957.36680044668,25060.511091941848
4g_report_tram_0001,3.9039500022813094,4.501043009425417,3.3068569951372013,111.9382698068403,185200,492.3875509795369,2141.450399640658,2349.3327296979164,0.37425818678739586,1,20.0,74729211.0,29359.878892095876,33850.350943947,24869.406840244756
hd_trace0000,3.803960348594436,4.378942742624668,3.228977954564204,96.58369453170558,122350,301.2892873218496,1547.8432231455292,2155.173656489583,1.991785921149168,1,20.0,50578011.0,25983.966574976916,29911.53730089213,22056.3958490617
hd_trace0001,3.5344438785285885,3.97851155237264,3.090376204684537,87.86262233484676,100250,254.8002958548655,1606.1851715289486,2041.66833571875,2.4526760427238896,1,20.0,42003510.0,25257.66952174566,28431.04415626178,22084.294887229542
hd_trace0003,3.7255354533987735,4.263962030118855,3.1871088766786917,90.21709746468488,101150,289.7282765548779,1595.2093145014514,2061.3506845833335,1.813459742070408,1,20.0,42382171.0,24732.46040848414,28306.87653152934,21158.044285438944
hd_trace0004,4.011875734641613,4.6830916147897215,3.3406598544935044,102.50467478140258,133150,310.8485188052752,1493.3445009779655,2239.9499835624997,1.4678701993328005,1,20.0,54725722.0,26286.104653236725,30683.960428812912,21888.248877660535
pen_trace_215252_http---www.msn.com,4.26392492558117,5.002429590550694,3.5254202606116474,98.07031269820499,79350,78.1290834590621,1003.6742048150352,2155.6211837187498,1.510310551934189,1,19.0,33052398.0,23711.29254863866,27818.04875688499,19604.536340392326
pen_trace_216826_http---www.amazon.com,3.9172760700315896,4.41726173816626,3.417290401896919,87.50072049368448,51050,69.08643549779545,1123.2543082138704,1990.6052085208335,2.574626896060267,1,18.0,22279441.0,22707.05376909548,25605.292557259203,19808.81498093176
pen_trace_28919_http---www.google.com-mobile-,4.317551110188191,5.056442824651157,3.578659395725224,98.89233837328877,78000,75.60145024730285,968.6534379639116,2158.03553396875,1.4216089997606447,1,19.0,32585110.0,23595.797857156093,27633.906286643964,19557.68942766822
pen_trace_663494_http---www.facebook.com,4.224629440173835,4.90903808270782,3.5402207976398503,101.36845620256277,93900,86.34252460508698,758.588146713345,2226.3543682187496,1.2836382585626984,1,20.0,39069702.0,24641.36168300681,28633.371192593924,20649.352173419695
pen_trace_665192_http---www.facebook.com,4.295654606846172,5.008026610291484,3.5832826034008596,99.09708986182102,83000,80.97708429129484,1012.216461745644,2161.373529604167,1.3917337003089867,1,19.0,34575017.0,23721.522881015426,27655.393344574302,19787.65241745655
pen_trace_6780_http---www.facebook.com,-0.009730095806199789,-0.009456757429871064,-0.010003434182528512,-0.2546071340269478,16350,16.34859042040796,641.2220505973828,1191.3866134583332,5.873327712874865,1,26.0,7619176.0,26187.63724911945,25451.97273068799,26923.301767550907
pen_trace_7256_http---www.facebook.com,0.3686540121802724,0.36064363803138894,0.3766643863291559,9.61808450166054,21750,21.1446228580808,703.1148776184436,1384.7482093645835,4.915665162907269,1,30.0,9836396.0,26102.056070216917,25534.892203096635,26669.219937337202
pen_trace_7289_http---www.yahoo.com,2.2466268604127078,2.202236633192421,2.2910170876329947,60.22197546992692,41100,42.45561870973086,1207.5495355790265,1793.8964223125,4.321207017543859,1,22.0,18035345.0,26815.977560493367,26286.13107907734,27345.8240419094
pen_trace_797466_http---www.amazon.com,1.5326872814613433,1.4848209382976103,1.5805536246250762,42.56528402399795,45650,63.01413741304323,1222.9293537254737,1736.2208407916664,5.564164957849169,1,27.0,19722296.0,27798.782205437958,26930.61681731607,28666.947593559842
pen_trace_797700_http---www.yahoo.com,1.4899621791539244,1.4562441842094394,1.5236801740984092,38.92006979409581,24900,25.51923124381886,730.524457627891,1526.7080040520834,4.413363220658119,1,22.0,11111349.0,26134.89949976759,25543.464078428115,26726.334921107064
pen_trace_799296_http---www.amazon.com,4.280771179758584,5.008483194588187,3.55305916492898,98.64441403422862,80350,77.60313719030867,941.9376855465841,2157.506023770833,1.4930081209430413,1,19.0,33561128.0,23729.350499645523,27763.23428776913,19695.46671152192
pen_trace_805936_http---www.youtube.com,1.689228319757214,1.6667672085610665,1.7116894309533612,43.838906589037265,29400,29.497943935626427,827.2359463348273,1691.5029570833335,3.5895662232504337,1,26.0,12972254.0,25956.62068181255,25611.48406730552,26301.757296319585
pen_trace_806172_http---www.amazon.com,3.819621674730329,4.276450350104865,3.362792999355794,85.9391362476895,44700,51.09996839917963,1065.8554734785057,1975.1753984479167,2.710280092468147,1,18.0,19525369.0,22825.89234565941,25555.88056242319,20095.90412889563
pen_trace_866_http---www.amazon.com,4.202090002173639,4.880538045437329,3.52364195890995,96.31647372265465,72800,87.19890249136036,913.7918093282921,2108.738913020833,1.920736396704031,1,18.0,30803413.0,23534.579808661925,27334.353162388397,19734.806454935453
pen_trace_87304_http---www.msn.com,2.8384488167697275,2.799744123014149,2.877153510525306,74.2797163624805,35700,35.761752069133,916.1442820284781,1884.6851404791669,3.135833385609435,1,20.0,15591049.0,26173.989757346226,25817.084869037324,26530.894645655128
pen_trace_909_http---www.yahoo.com,3.9780749571657106,4.520498965112436,3.4356509492189855,88.49782999334994,51050,53.85991971230525,1198.9659464872832,1992.9333705,1.960089553371533,1,18.0,22113524.0,22667.841911371164,25758.679010586868,19577.00481215546
pen_trace_939592_http---www.facebook.com,4.028716025520309,4.605268308847841,3.4521637421927758,89.17018896816263,49750,52.21676210250007,1128.6113332838486,1998.1092314583332,1.8998774986246103,1,18.0,21539883.0,22596.43977176905,25830.231596002664,19362.647947535435
pen_trace_942092_http---www.facebook.com,4.2853738630916025,5.007408122066634,3.5633396041165715,98.81533403115895,82000,79.90493490714248,1014.9029964118275,2159.711941770833,1.4958610008166484,1,19.0,34287468.0,23732.465343172233,27731.102002459123,19733.82868388534
sd_trace0000,1.0038096323846502,0.9815084966706855,1.0261107680986148,31.147645926155235,81100,142.98094533568067,1384.458901348312,1512.4222304583334,8.280162049861495,1,22.0,34176340.0,31044.758034036167,30355.052197602294,31734.46387047004
sd_trace0003,0.2169106701536625,0.20636325620442147,0.22745808410290352,7.673616225420943,84450,150.2931229916594,1405.161789467766,1518.3288639895834,11.612914088250935,8,22.0,35558455.0,35460.69496931721,33736.39699677304,37184.992941861376
sd_trace0006,1.0169470428739704,0.9965891860084827,1.037304899739458,31.344856140774922,82550,169.0202294668702,1411.4265065395352,1512.6450192708332,8.136109115835506,1,22.0,34800093.0,30834.862711126792,30217.59190441294,31452.133517840644
syn_trace_10,0.8412818693543772,0.8026375670492877,0.8799261716594667,37.47222779573899,88700,216.83890306249032,1573.7565097482138,1784.017076760417,16.24837053524304,2,24.0,37528403.0,44636.00576625754,42585.649799538885,46686.361732976206
syn_trace_12,4.238049919582091,4.916779098205238,3.5593207409589436,100.43776977665357,105950,171.54281871731342,1146.5464080640018,2178.9619845624998,0.5670303571122132,1,19.0,43426841.0,24322.897326265393,28218.240806697817,20427.55384583297
syn_trace_18,4.044093788028429,4.688619389915496,3.399568186141362,98.68190953632862,109000,224.71906653371332,1505.1469728094012,2208.22373540625,1.067569687577723,1,21.0,44820060.0,25037.44613466585,29027.777686182053,21047.114583149643
