,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,9.78689871335882,11.727521611029166,7.8462758156884735,221.79418944532708,60100,64.12846308445415,1235.9170958369966,3229.5738702083327,0.4258520707095999,1,4.0,24933437.0,23589.864460510376,28267.447468753773,18912.28145226698
3g_report.2010-09-21_1735CEST,0.7458362768790048,0.6882842641430584,0.803388289614951,38.19093166874771,26250,39.11013886967367,639.0390236927719,1528.7257716666666,21.430835847140024,2,13.0,11297501.0,51512.23800765729,47537.32679754632,55487.14921776827
3g_report.2010-09-28_1003CEST,8.842695903584879,10.346543246520216,7.338848560649542,224.70774926083857,70450,78.01514534327488,1695.8146041771952,3260.723349375,3.6360233918128655,1,3.0,28975677.0,26168.54261405847,30618.938026015116,21718.147202101827
3g_report.2010-09-28_1407CEST,4.756547828294327,4.831571404395153,4.681524252193501,201.72019203581527,83350,75.00261833174353,673.642295588644,3232.888161770834,12.23475350992613,4,4.0,33428376.0,42419.50156535598,43088.571407336065,41750.4317233759
3g_report.2010-09-30_1114CEST,10.83122669940635,13.122154852797967,8.540298546014732,310.46327867753575,170600,182.8787948692187,1422.8084808543456,4118.6572065625005,0.2852962001416096,1,0.0,66755112.0,30006.108418770636,36352.74305749079,23659.473780050484
3g_report.2010-10-22_1458CEST,8.08438583748504,9.775135628051466,6.3936360469186155,172.39765174373784,38400,41.800553312463194,849.6891010890748,2687.9904667708333,0.4248441007732601,1,6.0,16283636.0,22300.144434899747,26963.945160254174,17636.343709545323
3g_report.2010-11-04_0957CET,7.270851153528056,8.750277477962063,5.791424829094049,161.09303867438396,36350,37.37625713070538,1057.3594855778506,2508.502272395833,1.017087504036164,1,5.0,15707683.0,23112.918019170385,27815.786862174245,18410.04917616652
3g_report.2010-11-10_1424CET,11.45829237163078,14.022892073241167,8.893692670020393,289.9005343793045,110550,98.57155391205735,826.6447313504713,3896.3803116666663,0.294331983805668,1,0.0,44387147.0,26634.785650640024,32596.194307065,20673.376994215047
3g_report.2010-11-16_1857CET,3.203526439695813,3.8586362049947214,2.5484166743969054,67.96582804694796,27150,28.83771439942235,749.6934576860173,1929.3901315624998,0.4350103605470369,1,24.0,11795948.0,22141.888128861516,26669.825515496752,17613.95074222628
3g_report.2010-11-23_1606CET,6.133383167218675,7.229856233047771,5.036910101389577,143.84943742074438,47450,55.94297164018272,1271.8163900428733,2510.5457227083334,2.374319442858774,1,13.0,20101231.0,24227.823641446405,28559.06389535508,19896.58338753773
3g_report.2010-12-09_1222CET,3.073244762765815,3.426530558599175,2.719958966932455,85.27736593485277,33150,33.9522373167663,661.5755934770149,2114.9423458333335,4.430820704504745,2,20.0,13881722.0,28119.91255668267,31352.445743337,24887.379370028335
3g_report.2010-12-09_1244CET,8.020565288449335,9.746680207543768,6.294450369354901,170.8310981029415,37950,41.84470460195171,1003.3527541703772,2662.6727388541667,0.38809022556390976,1,6.0,16066237.0,22333.530416362282,27139.954734514726,17527.10609820984
3g_report.2010-12-09_1334CET,4.968943661006991,5.471709502732908,4.466177819281074,142.10417813497034,37050,40.03808324399838,1163.53515892461,2526.083806354167,5.037826830303245,2,10.0,16016305.0,28894.28001279952,31817.85049432828,25970.70953127076
3g_report.2010-12-21_1200CET,1.8580258067354718,2.2450301803560087,1.4710214331149352,39.5798818443271,28050,29.413220160148803,675.3453367109088,1848.6132344791667,0.5770306362922231,1,34.0,12343387.0,22268.19680567346,26906.393716178172,17629.999895168745
3g_report.2010-12-22_0800CET,6.899911329994762,8.175352883904859,5.624469776084665,157.5085872442698,38850,40.94530278676862,1221.5275943299955,2606.414340520834,2.4739253885120633,1,9.0,16672487.0,23635.220085856607,28004.166350755197,19266.273820958013
3g_report.2011-01-29_1800CET,3.2982031331388653,3.088719854443087,3.5076864118346434,197.76420698881887,101700,114.27389615009689,1809.9001394867107,3333.771443125,24.278600940959322,2,6.0,40726577.0,60204.06443764841,56380.24149524279,64027.88738005403
3g_report.2011-01-31_1830CET,11.010793263032,13.354027079410562,8.667559446653438,290.5689586133364,126050,123.94269352283425,1016.7890421043583,3938.0461579166663,0.26204913305909044,1,1.0,50233721.0,27641.317778403187,33523.73414935454,21758.901407451835
