,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,8.165840113486954,9.802260154689318,6.529420072284589,173.6355018027024,41550,55.06348222917136,1679.4086693751728,2758.313008229166,0.4258520707095999,1,8.0,17753666.0,22153.306904334684,26592.790765558573,17713.823043110795
3g_report.2010-09-21_1735CEST,1.7207964481374383,2.0647527027050607,1.3768401935698156,34.887047588156,18600,32.60019045785637,916.2822909348024,800.0287008333332,0.34309995171414776,1,4.0,8080908.0,21117.482338923735,25338.48717598974,16896.47750185773
3g_report.2010-09-28_1003CEST,8.643456546235376,10.02881350511549,7.258099587355262,205.64351974135872,52150,70.26906744024014,1892.402048899385,3067.1376403124996,3.6360233918128655,1,3.0,21996065.0,24419.119682475015,28332.97025844364,20505.26910650639
3g_report.2010-09-28_1407CEST,11.249393610586239,13.662916478615864,8.835870742556612,246.1214092176952,64900,81.7450353739369,1554.7304885528802,3427.8061796875,0.2820133302689037,1,0.0,26714398.0,22934.31315592531,27854.799644396033,18013.82666745459
3g_report.2010-09-30_1114CEST,11.947619662346122,14.693218232108109,9.202021092584136,297.49089167258893,119850,151.71358363802798,1811.8074624966648,3977.145565520833,0.2852962001416096,1,0.0,47671646.0,26287.84036959749,32328.864352673067,20246.81638652191
3g_report.2010-10-22_1458CEST,3.18448635045306,3.8515817423291616,2.517390958576958,64.10339098687497,22650,32.40938987734497,1649.3549938073763,1342.7254979166669,0.4248441007732601,1,9.0,9817306.0,21053.805575570914,25464.21753381986,16643.393617321963
3g_report.2010-11-04_0957CET,2.7718523140673312,3.315013753478871,2.228690874655792,56.978095587427106,21300,32.61934598772574,1890.8537073319073,1245.1779617708335,1.017087504036164,1,9.0,9416851.0,21376.807535984066,25565.723912351477,17187.891159616654
3g_report.2010-11-10_1424CET,11.391324748929852,13.789652221489817,8.992997276369888,259.31916484219227,74650,93.50389159582038,1691.692147003357,3616.50719125,0.294331983805668,1,2.0,30350550.0,23820.510911868492,28835.677013222557,18805.344810514427
3g_report.2010-11-16_1857CET,1.325103927765571,1.599497881379834,1.050709974151308,25.756712596976467,16800,24.19453856828335,1588.4429064665437,683.8382136458332,0.4350103605470369,1,4.0,7454685.0,20308.313039191788,24513.627195536035,16102.998882847536
3g_report.2010-11-23_1606CET,3.9411754908384977,4.635020179294658,3.2473308023823373,84.66121087753008,26250,40.333306479159276,1748.5102507461504,1482.6865164583332,2.374319442858774,1,4.0,11608660.0,22168.28457227919,26071.015252101857,18265.553892456523
