,P_10,P_9,P_8,P_7,P_6,P_5,P_4,P_3,P_2,P_1
0,2879.237747,2905.57824,2959.340411,2993.896306,2409.484993,2287.502987,2187.309538,2070.092607,2107.186648,2120.098158
1,4155.105373,4019.149246,3813.058595,3679.084611,2922.809178,2609.334038,2368.929483,2270.496114,2131.073486,2111.630007
2,4679.313525,4506.944463,4389.042172,4330.165617,3245.266381,2940.254587,2688.005136,2576.709737,2400.054708,2389.454626
3,4043.774424,3819.703616,3620.311539,3492.231828,2847.891696,2601.319263,2469.829842,2461.936528,2343.061869,2334.444768
4,3660.007162,3449.129589,3242.144821,3111.109924,2602.431332,2395.8716,2246.719581,2164.970287,2195.986374,2183.280258
5,3642.174778,3446.566172,3210.49332,3083.616187,2573.29121,2376.659433,2226.061451,2147.213466,2174.009174,2170.737269
6,3672.917785,3485.904417,3287.222157,3182.139723,2654.536228,2409.416133,2260.102539,2154.255162,2132.683192,2134.795553
7,3657.133661,3454.24072,3235.198068,3115.537791,2590.575637,2395.638302,2246.252977,2177.223392,2226.227256,2217.396387
8,3775.513324,3526.487122,3292.547123,3161.726603,2629.275516,2419.647998,2264.671014,2186.575858,2238.305325,2226.693941
9,3872.454654,3614.115529,3355.463795,3216.233532,2669.972015,2454.599507,2293.162814,2214.284168,2279.117456,2267.825706
10,3587.257103,3388.617073,3193.137757,3083.15534,2576.977311,2383.103444,2242.93411,2168.589386,2203.860788,2195.352275
11,3611.768512,3400.796129,3193.312214,3071.360357,2564.386488,2365.756792,2216.551066,2141.437267,2169.644841,2159.323627
12,3651.378127,3434.809451,3218.311281,3098.989402,2575.810683,2380.276495,2232.333902,2153.054974,2174.528388,2166.649294
13,3702.581531,3513.464926,3307.046999,3178.52851,2647.996052,2453.484463,2301.483723,2224.524731,2295.486968,2284.435524
14,3996.354099,3745.718,3453.283635,3279.462203,2686.624504,2405.727946,2249.568265,2165.910232,2196.917341,2186.541709
15,3747.719663,3549.885709,3386.381888,3304.691937,2734.92543,2466.609784,2245.068655,2130.423592,2185.013892,2179.697657
16,3713.355114,3534.201248,3339.533411,3241.058953,2736.915366,2480.838242,2299.42347,2140.682763,2092.399428,2085.314236
17,3975.917014,3834.030224,3622.767292,3484.073864,2841.572561,2629.221829,2397.396845,2299.059747,2184.345926,2179.677456
18,3715.384054,3534.902124,3352.483019,3237.729191,2711.054057,2437.775187,2292.411077,2203.257807,2162.319795,2152.926786
19,3544.389336,3347.052474,3157.069535,3064.426264,2572.068971,2398.735912,2258.219282,2192.928884,2124.454284,2116.914022
20,3807.229964,3586.830868,3355.571086,3226.517298,2688.86696,2490.900169,2345.640334,2269.455532,2190.651322,2148.750616
21,3682.498712,3465.361411,3254.081483,3129.907185,2619.559854,2420.891641,2274.014304,2197.54091,2258.918724,2203.953183
22,3685.313584,3513.399875,3332.99335,3238.767543,2609.866946,2346.811477,2195.247834,2079.672097,2134.191701,2131.341231
23,3944.037504,3717.739015,3498.15063,3352.036596,2766.261876,2467.239992,2251.000705,2142.528068,2186.002289,2172.941035
24,3368.648421,3204.345173,3070.293891,3010.164409,2555.593098,2344.95936,2182.491579,2095.10238,2126.138179,2127.042586
25,3524.516258,3461.061985,3345.892061,3275.83208,2706.937509,2425.938771,2224.16244,2117.335414,2156.175498,2147.359358
26,3857.17806,3608.954469,3361.065164,3191.524313,2579.555996,2377.681522,2226.447137,2144.564588,2181.055913,2169.945705
27,3764.255913,3519.850432,3300.996215,3165.583053,2627.290662,2417.465123,2266.454842,2187.778179,2126.639596,2142.854803
28,3745.527776,3511.133023,3288.696772,3162.280649,2617.744233,2408.921345,2257.262539,2178.029758,2213.728038,2207.443565
29,3754.334801,3566.52294,3356.255524,3239.49384,2667.652899,2444.507421,2292.263452,2210.180247,2160.447266,2150.313358
30,3782.631522,3568.297496,3361.640171,3220.660005,2672.944755,2461.38824,2308.238665,2226.853444,2306.974347,2292.531247
31,3819.008337,3580.672979,3339.094121,3203.052078,2660.095895,2453.767664,2301.070979,2218.969932,2273.226978,2259.625867
32,3709.093372,3534.565094,3340.702194,3221.042161,2712.325037,2469.718459,2229.897532,2148.709168,2164.061407,2158.534799
33,3790.305391,3579.855522,3332.396251,3185.356586,2690.639507,2416.099665,2219.739253,2129.089761,2154.29621,2146.618642
34,3899.590829,3665.098995,3408.471917,3237.509366,2694.738304,2417.534145,2227.505515,2143.363913,2160.567901,2150.140082
35,3897.905866,3638.669518,3381.824002,3223.31049,2647.240996,2383.135174,2229.423291,2136.413732,2161.278759,2152.592901
36,4014.953412,3784.687793,3497.731345,3337.12157,2747.424844,2458.352523,2278.7643,2195.620527,2231.287311,2217.887783
37,3889.024974,3726.564306,3485.926735,3335.515807,2765.18152,2486.72874,2230.934589,2134.340878,2116.247066,2094.831043
38,3550.246248,3401.18485,3180.075863,3059.467244,2539.187164,2357.127011,2211.959922,2137.810993,2133.571656,2140.980195
39,3677.953515,3464.320033,3229.76065,3100.704783,2582.045391,2384.129097,2238.818918,2159.488033,2186.328533,2172.628997
40,3705.018218,3551.4738,3336.93032,3202.416224,2653.812558,2403.242607,2208.859767,2120.854542,2145.293374,2142.256812
41,3791.941593,3593.773949,3380.960401,3230.150844,2680.364685,2430.248444,2280.670431,2198.296225,2160.889715,2170.534779
42,3591.64808,3397.949662,3189.988833,3068.813242,2556.925445,2363.599295,2220.196053,2150.881705,2117.236455,2143.706032
43,3710.338744,3536.119679,3312.681554,3170.123331,2681.264117,2459.320534,2252.478558,2157.910111,2084.910125,2102.822406
44,3764.16112,3512.191846,3296.991643,3172.996449,2649.393531,2437.108025,2266.0696,2175.189207,2064.939966,2053.095066
