,P_6,P_5,P_4,P_3,P_2,P_1
0,2993.896306,2409.484993,2287.502987,2187.309538,2070.092607,2107.186648
1,3679.084611,2922.809178,2609.334038,2368.929483,2270.496114,2131.073486
2,4330.165617,3245.266381,2940.254587,2688.005136,2576.709737,2400.054708
3,3492.231828,2847.891696,2601.319263,2469.829842,2461.936528,2343.061869
4,3111.109924,2602.431332,2395.8716,2246.719581,2164.970287,2195.986374
5,3083.616187,2573.29121,2376.659433,2226.061451,2147.213466,2174.009174
6,3182.139723,2654.536228,2409.416133,2260.102539,2154.255162,2132.683192
7,3115.537791,2590.575637,2395.638302,2246.252977,2177.223392,2226.227256
8,3161.726603,2629.275516,2419.647998,2264.671014,2186.575858,2238.305325
9,3216.233532,2669.972015,2454.599507,2293.162814,2214.284168,2279.117456
10,3083.15534,2576.977311,2383.103444,2242.93411,2168.589386,2203.860788
11,3071.360357,2564.386488,2365.756792,2216.551066,2141.437267,2169.644841
12,3098.989402,2575.810683,2380.276495,2232.333902,2153.054974,2174.528388
13,3178.52851,2647.996052,2453.484463,2301.483723,2224.524731,2295.486968
14,3279.462203,2686.624504,2405.727946,2249.568265,2165.910232,2196.917341
15,3304.691937,2734.92543,2466.609784,2245.068655,2130.423592,2185.013892
16,3241.058953,2736.915366,2480.838242,2299.42347,2140.682763,2092.399428
17,3484.073864,2841.572561,2629.221829,2397.396845,2299.059747,2184.345926
18,3237.729191,2711.054057,2437.775187,2292.411077,2203.257807,2162.319795
19,3064.426264,2572.068971,2398.735912,2258.219282,2192.928884,2124.454284
20,3226.517298,2688.86696,2490.900169,2345.640334,2269.455532,2190.651322
21,3129.907185,2619.559854,2420.891641,2274.014304,2197.54091,2258.918724
22,3238.767543,2609.866946,2346.811477,2195.247834,2079.672097,2134.191701
23,3352.036596,2766.261876,2467.239992,2251.000705,2142.528068,2186.002289
24,3010.164409,2555.593098,2344.95936,2182.491579,2095.10238,2126.138179
25,3275.83208,2706.937509,2425.938771,2224.16244,2117.335414,2156.175498
26,3191.524313,2579.555996,2377.681522,2226.447137,2144.564588,2181.055913
27,3165.583053,2627.290662,2417.465123,2266.454842,2187.778179,2126.639596
28,3162.280649,2617.744233,2408.921345,2257.262539,2178.029758,2213.728038
29,3239.49384,2667.652899,2444.507421,2292.263452,2210.180247,2160.447266
30,3220.660005,2672.944755,2461.38824,2308.238665,2226.853444,2306.974347
31,3203.052078,2660.095895,2453.767664,2301.070979,2218.969932,2273.226978
32,3221.042161,2712.325037,2469.718459,2229.897532,2148.709168,2164.061407
33,3185.356586,2690.639507,2416.099665,2219.739253,2129.089761,2154.29621
34,3237.509366,2694.738304,2417.534145,2227.505515,2143.363913,2160.567901
35,3223.31049,2647.240996,2383.135174,2229.423291,2136.413732,2161.278759
36,3337.12157,2747.424844,2458.352523,2278.7643,2195.620527,2231.287311
37,3335.515807,2765.18152,2486.72874,2230.934589,2134.340878,2116.247066
38,3059.467244,2539.187164,2357.127011,2211.959922,2137.810993,2133.571656
39,3100.704783,2582.045391,2384.129097,2238.818918,2159.488033,2186.328533
40,3202.416224,2653.812558,2403.242607,2208.859767,2120.854542,2145.293374
41,3230.150844,2680.364685,2430.248444,2280.670431,2198.296225,2160.889715
42,3068.813242,2556.925445,2363.599295,2220.196053,2150.881705,2117.236455
43,3170.123331,2681.264117,2459.320534,2252.478558,2157.910111,2084.910125
44,3172.996449,2649.393531,2437.108025,2266.0696,2175.189207,2064.939966
