,VMAF_10,VMAF_9,VMAF_8,VMAF_7,VMAF_6,VMAF_5,VMAF_4,VMAF_3,VMAF_2,VMAF_1
0,21.93073754,21.72389331,20.89871603,20.32451127,17.91284845,14.75560938,9.620116688,5.043111854,0,0
1,30.8348022,30.71853982,29.82307492,28.75235511,26.01122817,22.17215704,15.92493606,10.57163051,0.73754401,1.371691479
2,44.23522027,43.96964428,42.63719352,41.27145428,37.89547621,32.83942788,25.21777627,18.14603557,0.42568024,0.996091896
3,71.29996528,71.26365969,70.12516848,69.15899007,66.27233948,62.23236779,54.99549135,48.04745755,21.50735156,19.18828548
4,86.57460996,86.3752145,85.92375667,85.55494818,84.61510778,83.1846149,80.64213213,77.40134905,59.59147648,57.15004947
5,74.28437828,74.1196619,73.62057083,73.34729051,70.42153367,66.88506653,59.84831091,52.28581272,10.95472964,10.68747742
6,97.79080819,97.73726179,97.24311845,97.0503806,92.98905501,88.02331204,76.76625194,64.05170925,0,0
7,99.92481248,99.83945784,99.09890453,98.94851356,94.74286399,89.42443218,77.04974384,62.59029322,0,0
8,86.6027564,86.53839767,86.11027055,85.86178688,83.23925988,79.50204148,71.33538474,62.41677063,14.27549323,12.91358583
9,99.90347061,99.84611475,98.88202601,98.61195752,94.46102003,88.9035142,75.58340954,62.91255592,0,0
10,55.10297378,55.08445065,54.79518271,54.53731575,53.62697988,52.18509257,49.51837775,46.31762681,32.4293021,29.92958866
11,72.58760866,72.62211727,72.15375016,71.5814426,69.70755185,66.579692,58.63718457,48.14289282,1.601134771,0.646423208
12,63.08693526,63.00150337,62.91643576,62.96222454,61.53567286,59.20555279,52.97918275,44.77684797,3.936226281,3.264759719
13,73.31699401,73.21080099,73.06283963,72.96601252,72.40818118,71.77255073,70.67322159,69.24103159,61.74818764,60.7421354
14,99.57889557,99.52989041,99.52567979,99.45918151,99.38129904,99.19137139,98.77126044,97.82815234,91.86333345,91.26157791
15,76.13226603,76.21355954,75.90767522,75.71806539,75.20421419,74.48736927,73.16825888,71.17985271,59.86290902,58.75148711
16,66.50010239,66.43006938,66.29393708,66.17668057,65.65532499,64.67736827,62.63031303,60.00734671,46.2474706,44.65135239
17,78.72285866,78.685856,78.47861941,78.46370636,77.82308402,76.9494848,75.19171047,73.04000621,61.14566061,59.91551904
18,9.433773896,9.53702649,9.329464063,8.884980885,8.613221479,7.950478427,6.593264125,5.399414115,2.285610292,2.126449771
19,23.22572929,23.23510166,23.06211104,22.81203479,22.31877583,21.38263125,19.61134078,17.76534582,6.237027969,5.011405458
20,37.27019484,37.21298569,37.03653359,36.81727224,36.25297636,35.38693256,33.44775052,31.29277724,15.26753948,13.44528693
21,74.4051271,74.29887213,74.0904142,73.94083675,73.3414144,72.55349277,70.78462572,68.4783428,54.43435032,52.14247156
22,71.97459311,71.79760504,71.66261147,71.40554058,70.84164975,69.77578957,68.07628715,66.22342498,56.5598828,54.5760516
23,62.45242827,62.33600575,62.23192993,62.05345572,61.63255267,60.96653821,59.40462633,57.79093408,48.79413174,48.12906414
24,85.33791852,85.24871235,85.04078029,84.94308347,84.01027544,82.45449816,78.58076599,74.06189305,47.02982422,45.5286378
25,82.86128489,82.73899007,82.5155805,82.33846839,81.34504076,79.86665988,76.74111569,72.89852263,50.9294492,48.8091918
26,76.08864101,76.0172755,75.7672183,75.6331653,75.17098268,74.5587236,73.53386947,72.38296431,66.02052538,65.29649372
27,53.69583023,53.73040925,53.58600741,53.4321102,52.94526855,52.22808982,50.35229519,48.15475183,30.60250471,30.10112493
28,97.78728416,97.7195953,97.55780599,97.3859901,96.68724658,95.7424339,93.87216349,91.7286611,81.68692936,80.98319492
29,31.02046764,31.05863776,30.96667564,30.98451646,30.66793745,30.21535151,29.26820265,28.21836225,23.66751904,23.35137392
30,27.22576526,27.20815783,27.19336838,27.15091999,26.92813118,26.62693397,26.11088896,25.32587198,21.90226347,20.31482802
31,19.55028559,19.55303184,19.32774781,19.04452804,18.56309946,17.47083633,15.61926166,13.50959799,7.843783094,6.767588948
32,28.73865134,28.6750607,28.63284251,28.44631582,27.75174625,26.52651403,23.78334132,20.27944589,2.168998573,0.820856281
33,20.8566418,20.93773567,20.69227748,20.57091374,20.19593251,19.36378216,17.80587658,15.91266202,4.821321833,3.255959375
