,P_6,P_5,P_4,P_3,P_2,P_1
0,2872.942026,1913.510765,1768.15252,1769.341377,1678.579928,1741.26235
1,3010.704836,2324.509901,2234.207296,2047.754928,1890.141551,1788.270812
2,3500.719535,2961.372931,2710.367056,2500.096222,2344.953699,2246.981662
3,3498.569509,2876.447722,2596.071788,2396.160327,2315.083333,2315.476122
4,3274.037756,2744.806937,2479.837599,2290.977469,2218.371301,2173.612145
5,3330.874705,2811.181271,2475.34902,2253.095488,2172.654092,2192.056616
6,3354.608669,2844.112906,2584.162228,2296.723885,2183.613069,2206.007698
7,3373.540048,2885.7192,2572.412617,2271.916591,2189.397546,2204.780795
8,3323.838009,2839.315681,2553.612756,2258.308055,2169.15836,2182.685145
9,3421.814663,2894.036424,2581.18432,2289.15755,2205.765528,2245.410081
10,3244.33112,2690.744961,2425.377258,2267.947964,2188.270719,2222.505215
11,3598.902293,3008.04896,2730.587085,2496.085294,2353.131775,2302.2669
12,3484.613981,2929.472159,2649.360754,2410.342143,2313.249571,2326.041482
13,3498.392077,2893.929572,2623.086242,2378.603943,2242.875795,2201.842662
14,3497.014989,2936.953297,2730.003432,2533.720301,2376.447737,2132.905827
15,3302.48383,2867.0864,2511.834491,2221.419566,2065.637715,1958.961726
16,3038.626166,2227.281817,2118.290574,2085.332845,1918.00564,2026.5618
17,3294.65824,2721.848732,2423.054494,2225.86683,2154.882625,2141.860076
18,3493.167492,2864.861323,2573.10962,2302.28886,2215.201682,2261.62332
19,3524.119916,2871.991731,2617.015898,2323.845463,2231.004066,2267.572415
20,3435.58625,2889.462829,2631.831493,2370.257944,2211.614559,2116.36435
21,3663.227209,3028.066751,2808.339878,2582.116635,2398.621607,2218.023989
22,3552.02604,2886.494585,2582.59086,2329.141211,2237.323785,2256.737266
23,3303.176737,2813.525428,2557.72286,2316.790287,2191.107125,2107.151197
24,3364.225242,2871.414424,2600.030585,2316.001492,2185.004942,2109.431878
25,3312.419337,2810.181971,2538.813871,2279.014451,2177.314204,2133.828334
26,3486.51442,2849.797114,2530.92951,2295.59571,2210.665239,2256.859302
27,3475.411372,2833.555405,2548.184973,2291.569372,2202.951023,2239.278204
28,3512.901532,2880.890019,2645.79995,2359.039226,2266.97601,2312.094354
29,3283.333227,2822.707866,2590.686839,2294.087539,2170.979779,2079.155207
30,3676.062257,2942.928071,2717.04187,2494.863543,2266.880347,2138.69452
31,3526.390813,2929.006447,2716.726012,2509.217445,2300.634652,2141.85158
32,3412.142828,2874.070205,2637.848582,2418.631761,2198.052638,2084.808236
33,3256.178578,2799.374233,2541.743038,2298.305123,2157.220257,2112.721202
34,3292.560552,2801.522936,2509.964241,2257.10411,2159.971656,2148.988503
35,3378.476981,2883.156318,2633.695254,2384.76411,2188.738377,2095.894673
36,3459.413679,2923.106995,2673.676982,2442.710704,2266.66929,2101.607908
37,3376.411164,2923.293838,2636.950044,2405.162105,2192.069003,2082.758896
38,3484.882735,2838.840775,2567.384193,2317.779516,2239.415705,2306.928283
39,3483.895679,2946.858911,2711.102604,2491.677903,2359.300703,2243.381165
40,3599.906347,3085.977746,2890.251719,2697.809719,2513.60148,2235.481926
41,3624.084873,3013.902772,2796.657459,2574.814434,2384.139025,2219.225979
42,3522.735289,2899.657049,2644.53829,2346.574199,2214.606787,2212.048206
43,3472.946158,2953.99616,2758.514447,2555.29323,2401.853697,2184.34692
44,3604.545424,2915.540118,2693.162567,2449.079309,2248.991617,2148.970861
