time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,4253.211501660044,5901.65834595999,5206.926330779956,4594.078029199991,4311.7424303400585,4449.63910985998,4721.829697920006,6295.0968542400515,16386.924563420023,14492.527594159943,73054,148243,341102,512215,763629,1149594,1630696,2311337,3267623,4364784
2,2327.029364279988,2058.8381495800395,2201.957872139994,2489.3391731799647,2804.5399108200445,3498.9120804200084,3677.4745150400086,3727.10229463995,16598.01866308002,14083.75944007995,79230,154772,357019,567176,850688,1253636,1842925,2644108,3839564,5179635
3,1506.6880952800138,1732.4920520399883,1767.793561719951,1951.960522119999,2102.930254800007,3855.7600023399655,2712.199590599954,2990.7542055800095,17372.97671876003,13931.73231859996,69210,135257,345571,553353,814499,1270578,1864475,2688380,3951713,5760853
4,1673.2267789399903,1777.4884320400279,1946.6593086799767,2545.8369812600367,2082.9338830000443,2740.116356279953,2576.3571951800186,2916.7847563199566,16582.343587119794,11300.86773262001,66265,136450,307969,491632,736735,1118917,1677782,2331487,3637356,4986868
5,1505.7513587600315,1533.7092333800156,1784.7317324600144,1733.026649320018,1889.7287206000256,2279.088100440009,2691.2566486199767,2729.6670279999908,17410.627470320094,14218.2910142,64931,129599,294446,459604,666933,1003823,1461771,2112844,3083280,4220638
6,1437.3901235199864,1358.491606640032,1663.7527734400082,1624.3671648400086,1743.4169287800196,2194.5688613600214,4011.197171939957,2565.7294404399245,16370.551644539915,13483.168707700155,67729,129060,282158,427279,632405,950067,1343496,1944616,2860402,3964101
7,1381.3734088200017,1532.8650076600134,1709.5449199200075,1581.2201295400164,1802.7633495399614,1942.2640409000496,2391.310116299961,2311.799138900011,17434.70090118012,13200.71545286003,74434,145719,310212,503799,736917,1094983,1662095,2398742,3533034,4736539
8,1400.3825708399772,1482.7415390199785,1919.4758795600092,1660.7188305399877,2172.4621693999925,2050.887719899958,2617.2671306999555,3672.5945998200195,14741.434536440003,11013.306331159953,77112,155987,340623,507388,744866,1170480,1731690,2542020,3795020,5195522
9,1598.013491000017,1396.1057009400074,1583.8041067800168,1681.3377932399926,2838.383138740018,2177.0376777999772,2453.944036440008,6570.322803759953,13998.249420779997,13177.01278726002,77813,152834,359089,548194,858229,1249372,1936090,2780207,4036524,5563726
10,1392.3685778199897,1797.9037809000247,1812.331461440007,1853.2545290600256,3056.5357907200187,2140.9576621399838,2307.6435200999695,8857.299146439967,13990.288303939844,12350.584987779974,68053,137295,286789,468058,699513,1081838,1668355,2397345,3645968,5301118
11,2037.2410397000058,1382.3784421800237,2142.2228880800058,3071.9025123599786,2401.209885739995,1986.5366727400233,2246.938824019977,12494.778397939994,13664.310357039954,11154.897462020013,73977,151303,343625,516448,766074,1206414,1838938,2645136,4005435,5331823
12,1622.862097360031,1586.9924967400011,1814.5212113200023,2493.074319720011,2346.6285168399845,2406.2753306800178,2581.220122419988,7481.267096520089,13699.281972520013,11522.082300700062,71940,144359,338982,509418,759623,1046082,1613186,2253742,3302021,4667243
13,1605.2931800799806,2127.0700385200025,1711.6635744600253,1990.7375464999632,2157.586899399961,2282.726038759989,2670.753265179972,3158.7883027799953,13774.691395119931,12465.803754000153,69294,141133,322650,510055,749694,1149196,1701592,2449545,3777112,5268918
14,1456.2908120400189,1543.329659620018,1845.3115829799963,2437.0497109199923,2124.339371220017,2326.8904109599744,2592.514558739952,2816.6406485599937,14739.978568620088,12044.206848180049,66732,136530,293242,481706,720989,1108173,1723234,2499514,3865380,5043461
15,1467.314200679999,1346.423123940047,1499.5015373599808,1607.054312159983,1808.8824428200078,2076.008454960007,2227.967365919977,2580.1982304799903,14273.358946960041,13342.268934540054,71748,141755,311556,491949,716419,1089392,1609493,2321692,3401382,4579387
16,1327.0611854799909,1443.1179532200558,1579.4523323400044,1817.539312700047,1648.4437708799933,1906.4783554000205,2310.1679347400104,2400.16482729998,14114.572283179888,11467.741718440062,69653,144001,302527,510233,697043,1057388,1521869,2309470,3399984,4528306
17,1637.2043721400187,1526.5756889800332,1587.4351293000173,1707.1756928800287,2054.1892214399877,2231.2301003999264,2607.6278845599827,2923.465675639959,13976.13085184,11749.578858439958,78236,161283,367594,572915,839964,1290084,1834816,2699779,4007692,5550877
18,1677.651639800014,1396.900828359976,1511.0556621399865,2026.4408235799747,1867.114357040009,2060.357249479963,2400.057478540003,2650.493666179973,13769.676711460015,10774.732843400025,68161,133059,326180,513394,757310,1166985,1799437,2410892,3503607,4832139
19,1963.9100918799895,1787.65113199996,2201.07275778003,2077.086428220009,2335.0023270199854,2833.236051140003,2674.7142538800135,4636.934937820017,13756.11959084,12653.193133520053,83171,167561,388546,613628,929817,1390048,2049564,2882310,4287280,5700549
20,1671.768912180024,1704.1338728200108,1765.5023408400002,1928.637631800013,2109.297717159985,2293.2354846800463,2601.049812799997,3200.9297158799973,13618.541394879885,11175.481462500078,62426,121051,293236,456856,680423,1051864,1506053,2190250,3201016,4448930
21,1563.9770071600096,1515.6168153000135,1776.0201790600004,1799.27648675998,1914.3898091399906,2280.778556559978,2480.062677500012,3104.775190460001,13893.947243200095,10800.572984899984,65205,129275,289576,456461,686112,1070519,1545666,2310241,3316932,4354691
