time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,0.0,11690.305759220137,2216.174884619977,1659.2007781999564,2393.87537676003,2520.2167854399777,3424.376072299943,3881.012677520106,4344.084972580085,4763.356048200094,73054,148243,341102,512215,763629,1149594,1630696,2311337,3267623,4364784
2,1099.3394415799503,15596.096187859868,1423.4992865399563,1177.3892402600013,1044.9302010200063,1643.8685654200053,2151.529943079975,2002.3556175200029,2584.0695419801395,2935.045154259995,79230,154772,357019,567176,850688,1253636,1842925,2644108,3839564,5179635
3,1013.3972727399687,11193.048925499847,1252.5728829199797,953.8345718600076,1360.1477228599488,1689.177054859938,1652.6059550200516,2033.181945640039,2076.2150743800503,2693.4802223400366,69210,135257,345571,553353,814499,1270578,1864475,2688380,3951713,5760853
4,727.7537742600143,2788.293714539981,1335.9736904600177,1103.2013451399853,1510.246311139952,1560.8165707000044,1969.6281395999576,1886.2111643399876,1953.5502530599588,2308.745688260009,66265,136450,307969,491632,736735,1118917,1677782,2331487,3637356,4986868
5,1007.662175759986,1067.3203340599903,1158.9408345200263,599.1907393400134,596.0372301799789,1167.5492022200178,1898.167077999995,1425.942623780029,2210.622148820121,2640.804833200071,64931,129599,294446,459604,666933,1003823,1461771,2112844,3083280,4220638
6,987.5772651000452,1135.839155419977,1704.2952746199608,856.2696355800081,1246.7693683599882,2159.470387259984,2012.37008092008,1783.508761340032,1945.3483246199467,2602.2139355200743,67729,129060,282158,427279,632405,950067,1343496,1944616,2860402,3964101
7,1235.516842039924,403.64877469999647,1346.7054438799569,949.794154480016,1173.9474523800072,1493.2640266199269,1572.1558797799298,1870.5268960600424,1805.0854803999955,2266.086846320024,74434,145719,310212,503799,736917,1094983,1662095,2398742,3533034,4736539
8,887.5335908999787,600.1292773199884,859.4673811599268,534.1258688199578,929.7777050399736,1440.1379866200277,1983.0037650599716,1388.9341165200076,2447.3908510200035,3238.5141847999676,77112,155987,340623,507388,744866,1170480,1731690,2542020,3795020,5195522
9,903.8755739000408,566.0789561000374,1121.3782694999863,900.2125844799712,871.1832741199923,1691.1449684999825,1825.5769183399789,2159.8122571199547,2244.0588073400177,2597.9471869400077,77813,152834,359089,548194,858229,1249372,1936090,2780207,4036524,5563726
10,845.5739299800398,523.4879444399758,1313.614948880022,944.6507607999565,1052.3187574200347,1823.4618960399948,1429.1883198599644,1998.6536313400647,2673.6466677200315,2194.654779800152,68053,137295,286789,468058,699513,1081838,1668355,2397345,3645968,5301118
11,529.3147048599567,274.467540980002,996.7645234399606,920.6205307399914,944.559858440015,1430.8065513399833,2304.998653819952,1568.8342418199445,2080.341885080021,2607.481463799979,73977,151303,343625,516448,766074,1206414,1838938,2645136,4005435,5331823
12,815.76395908002,580.6313616600128,1438.5613452400066,883.6226130599407,789.6079018600149,1259.789745320033,1927.0582824600351,1636.08767401996,2231.593765740012,2600.353503479988,71940,144359,338982,509418,759623,1046082,1613186,2253742,3302021,4667243
13,855.5714617799731,608.5820504400062,1315.9103902799816,1475.9185923000223,1895.31140709996,1468.0982033600158,1791.833142359983,1862.7343039599218,1627.666053260029,2184.471423380035,69294,141133,322650,510055,749694,1149196,1701592,2449545,3777112,5268918
14,468.5112722400245,667.4374528600138,1274.2490521199543,1585.6457131000461,1418.1157449799812,1560.9923124000052,1557.7812434800508,1900.8287998600354,2101.5997805600455,2561.2136735200584,66732,136530,293242,481706,720989,1108173,1723234,2499514,3865380,5043461
15,926.1717710200128,1234.1325182400233,1045.2543666399233,1007.2334712199518,1002.459581639976,1299.1078079199942,1786.4181117999688,1723.6321464600387,2076.0987572200684,2585.307385460017,71748,141755,311556,491949,716419,1089392,1609493,2321692,3401382,4579387
16,852.2162739599871,1071.0888421600666,1178.1498863200159,1253.7976183999672,1321.767419420019,2277.795824260076,2019.5400299599896,2129.0227456999837,2038.4627794599783,2894.167247599984,69653,144001,302527,510233,697043,1057388,1521869,2309470,3399984,4528306
17,640.7699248799536,513.9797523200468,1231.2494286999972,1202.0204045799965,1548.8763956400144,1600.6189685999489,1437.2299782199643,1927.3123996200156,2198.154857379983,2529.263406140033,78236,161283,367594,572915,839964,1290084,1834816,2699779,4007692,5550877
18,643.3314739199814,733.5922853000266,1266.7529757600696,1232.4257948399209,1178.8205316799504,1112.8793152799717,1730.6049756400043,1482.1973826799585,2088.6659914000065,2587.167258840076,68161,133059,326180,513394,757310,1166985,1799437,2410892,3503607,4832139
19,896.9644852599858,841.6745249800351,1354.2701148000233,1358.792576120004,1428.0014702000371,1567.483559300039,1957.8749238200016,1875.242056379957,1727.7438582999748,2287.079516800026,83171,167561,388546,613628,929817,1390048,2049564,2882310,4287280,5700549
20,811.9955576799812,734.7404425599725,1275.7939662599874,1249.712770659975,1352.6739743200378,1417.3364455200244,1499.1019379199988,1838.9202734800165,2114.53708773996,2625.3775099200866,62426,121051,293236,456856,680423,1051864,1506053,2190250,3201016,4448930
21,534.2419317198855,1038.8354847999417,989.0493359399889,1357.9670068799442,1427.3775958399892,1373.9128447400344,1910.0034330399612,1588.8622464799537,2056.7802140000003,2614.520470399986,65205,129275,289576,456461,686112,1070519,1545666,2310241,3316932,4354691
22,903.5514438399778,1328.594391439996,1055.4550600400144,1240.1134109400082,944.141673559986,1253.6030849200833,1902.7905267599908,1507.363245760058,1724.9827695000076,2528.877026240123,69333,137655,313873,490389,692613,1053911,1556443,2210396,3273968,4651051
23,1009.0552387799798,1419.2628627400063,1201.813786959925,1296.6209517199604,1298.856716780001,1469.6226359400553,1842.8009930600365,1828.3652508200357,2076.85297112003,2910.515345660022,70464,137866,329583,531749,759216,1137889,1605137,2381503,3630558,4814403
24,517.606345679952,858.933201860008,1271.1839306999973,1257.6398891799945,1330.2783161600455,1894.7281004399574,1801.0974964999714,1986.6433016600313,2487.7590372800187,2627.412576780054,66982,135040,313530,506184,746618,1125589,1741702,2409933,3726928,5081248
25,881.4833589800019,1270.2827608400075,878.1399625400036,926.2060419800473,1011.3513570800351,1459.293711440023,1809.6735318798983,1405.9228979600393,1635.264633879984,2485.2681315599693,73143,145529,333341,535338,784866,1147580,1686522,2392511,3524273,4723190
26,890.1490855000047,1263.4224610600177,1159.6560531200212,1413.8173888800338,1418.5526930599717,1597.9082843800024,2074.2838681199573,1772.3870347000175,2031.7991860199963,2294.4796470799865,73393,148789,363823,600492,887765,1334603,2043860,2926522,4394424,5876717
