time,150,300,750,1200,1850,2850,4300,6000,9000,12000,size_150,size_300,size_750,size_1200,size_1850,size_2850,size_4300,size_6000,size_9000,size_12000
1,7294.4778060199915,3405.057963240026,2518.5326997200773,3118.562054220014,4012.834437859983,2554.797200779967,4091.6491267800084,4063.8658469400234,4823.522519360104,5039.087610599974,16417,16590,29206,21421,73751,175440,820911,831244,1816863,4206411
2,920.6803530800325,1118.7042406800301,1127.1343395600488,1204.293807120026,1423.1554589400166,1486.3515603200485,2075.2054309000087,1874.2978374800368,2231.1570954799226,2156.330394519973,23351,27226,55539,61249,133085,259937,964341,1007781,2024139,4604895
3,1085.4825745599737,1057.8977476600212,1360.9045910600107,1706.831132380008,1668.585146920068,1262.7387887799887,1691.3227004399996,2366.573436060009,2247.7054402399863,2785.4748742200773,80242,159816,388876,617946,899436,1322708,1965250,2767864,4319129,5597750
4,1442.225763600034,1683.6161416999348,1748.0469566799948,1344.6045664799767,1459.7851557800095,1568.3291312000074,2247.727085660057,1636.3397523400417,1800.3467569599998,2816.784400800023,72872,144154,357146,553332,859383,1318449,1918036,2599437,3904467,5569073
5,871.3355958199845,1328.8702470799617,1250.322592020022,1460.0265337400215,1851.2406844000834,1861.687390720048,5703.235602660008,2171.8627977000706,2151.5066591400027,2351.8276964200213,64851,126672,276592,419490,584442,887945,1289591,1874866,2878016,3670677
6,682.6832906800346,1084.9110044599602,1455.8882871199603,1280.4999593999364,1575.3257651999884,1239.4049411800206,1928.0462951199843,1966.0661376599637,2131.7656449999104,2672.5660098000208,67615,132363,312233,500318,715717,1075370,1561324,2201522,3652396,4747522
7,1105.5712159800132,1376.1695000799373,1321.678227959981,1290.67752371996,1079.7822128599964,1653.7822744800778,1819.9575945800334,1597.373048139967,1804.3254330199834,2774.769245819989,80161,160839,345103,513197,734211,1089870,1579713,2299735,3353878,4010456
8,1057.8217144399878,1254.4290134000257,1131.8810705599844,1284.8900401600222,1630.0306035199337,2212.812248540027,1841.715304739957,1971.3743057200172,2451.032384819995,2743.988649220035,74608,147026,363853,564639,812657,1214534,1657926,2372102,3476034,4187266
9,586.2670988000391,1073.0001449400188,1310.155133119968,1833.600752259972,1761.4670118200374,1379.0673141799653,2054.220303119966,2139.3390363400467,2142.552549980028,2772.1734067000307,70891,143751,323142,511271,739141,1084771,1558585,2208263,3461245,3942135
10,1298.939525379983,1404.1437630399814,1713.4991405599485,1424.9297007199966,1137.7428458999875,1356.7262399000138,1482.137711359912,1516.0272750600343,2025.330998740039,2766.452625199963,79115,160429,356252,570392,819396,1243610,1754742,2483553,3748812,4504194
11,958.1555996999514,1258.4854858199942,1005.1354276399779,1232.6905291599887,1798.9309433600156,1464.7487196799866,1681.7600598201425,1934.4522055600028,1886.9618104200217,2202.7043272800147,67856,136795,332415,522454,758527,1164419,1633823,2303562,3587595,4545950
12,597.8156746800441,1184.6454709599802,1511.1542473800419,1298.1030607600114,1545.5546204199873,1543.4162576800445,2258.129153700049,1917.112274260031,2094.30538325994,2585.251666920036,73286,147787,357604,587982,897676,1346505,2051836,2960472,4517613,5782633
13,923.6584129799976,1136.9476883599837,1499.7362428600081,1263.8068716200305,1494.2796587199518,1254.0789911000284,1778.9678551200159,1768.687600239984,1969.868431019997,2645.009513500012,70221,139508,333027,523859,775366,1238970,1820446,2547981,3758493,4904399
14,911.2911940000149,1329.3932657600526,969.3158755199775,858.5103447799474,1126.7010028400055,1591.6238297800428,1968.731341420018,1856.3943392999972,1879.276197020008,2254.060900780012,72486,146634,304833,490567,712707,1104110,1635364,2356370,3661625,4570521
15,932.4506843800309,1159.3456541599535,2250.274117560022,1413.407134219984,1452.0549743199863,1610.3740628400792,1925.88786462005,1927.0916613799527,2163.812291600072,2820.542194840069,71977,142370,325464,505321,755092,1063644,1568193,2293779,3514764,4527580
16,742.8247032400068,798.0672386999977,1241.8612623200788,1237.2108126200455,1511.241968980019,1204.3938580200502,1758.2429554599803,1515.1590359600104,2318.029858399994,3781.1127178199695,68375,139011,288125,449594,663784,1022177,1485552,2263735,3479250,4458533
17,2085.2513236800914,934.3238656999974,901.3882502999959,947.0443867000058,704.7172702799853,1306.948351539986,1333.1573431800007,1777.3019424000086,1526.356141400047,1825.368198140035,58839,77456,144423,174523,256536,412828,1065494,1262986,2236388,4030870
18,1278.0366773199985,1227.876495640061,1468.094016139983,971.9755818399699,1316.0631345799557,1449.8282600399561,1898.6374919800128,2060.2896127800104,2003.6307555000276,2480.077683179974,71804,137450,290202,421551,588040,896004,1530845,2129739,3364311,3695482
19,633.1391011599735,748.9211297800111,1296.4318581399948,1142.8998163000415,1628.3527703599884,1209.6274457399977,1772.683380359933,1599.6117737600161,1920.0756508200084,2563.913682319986,76305,154937,376054,607613,882296,1329279,1814485,2726958,3940125,4532958
20,1235.3357288600073,1079.4480019200637,1261.7504056199923,1226.0231421599947,1537.9162795200373,1567.7100837399903,1412.2413689000496,1922.7543932600074,1672.7683201800646,2188.279764419962,71496,137008,332811,517260,777121,1188238,1741976,2494448,3653577,4402676
21,1038.7073022000513,1255.9667556599743,1567.1728084799743,900.6921553799884,1265.5994453599506,1467.7525585000494,1733.7993714399763,1941.5587389000557,2081.850564940063,2587.4463604400134,72000,144932,322721,508455,749059,1149239,1662271,2452563,3717972,4334364
22,756.2015046399865,913.4569330599916,1134.7152524799803,1089.784270719916,1225.305029979976,1042.235779440016,1676.0999515600306,1480.2810120800914,1853.8448514599932,2535.744349280023,82450,164678,390630,619842,938257,1419936,2126366,2943543,4393617,5709605
23,1205.605891119907,1094.9107969200286,820.7257774399623,1363.0530252999906,1235.629591520008,1334.6665808200687,1418.5187227599927,1920.1118227200022,1789.6287722000143,2028.5681067000078,66888,131045,342968,532978,790351,1251167,1804724,2606904,3780057,4732873
24,884.2380780000103,1320.5405169399655,1115.1641300000192,1297.9714311000225,1031.8602766800159,1594.0221553400697,1711.7889411800825,2205.717778600041,2497.095075800031,2919.736628059958,68423,137121,299156,460058,665047,1023185,1497269,2320650,3602731,4499063
25,631.8303342200097,1785.5196285000184,1215.0281249200125,1240.4085222200556,1397.962504899997,1315.619933619988,2096.9997545199367,1649.8631192400208,2033.069764620006,2567.746879260003,75009,151405,345597,544263,803120,1186270,1692801,2518575,3904597,4320158
26,748.603277779961,941.0340906799465,864.3776895600004,1136.754586159952,1320.6094335199905,1052.7046730600396,1726.8981915799413,1879.8915764599496,1642.078518299997,2225.2466594800044,72864,148563,344514,523547,753472,1087350,1602487,2335505,3826637,4932213
27,828.8128347799766,1042.9831252799722,1048.9441641000194,1319.3161062600338,1220.0379291399768,1385.5998342600633,1379.7944583599783,1750.0124642000137,2008.080956480022,2534.6924646000407,79249,155990,363788,579358,859622,1342097,1914461,2760771,4257980,5368965
28,868.1710977400007,983.3117770600129,1097.8841448999883,969.4649077399881,1358.0234164999692,1532.476853480015,1695.866464799974,1446.539264460036,1981.1403774600112,2473.969832759969,75998,150686,365178,604371,889970,1310352,1930512,2825610,4318187,5672426
29,385.84567992002667,670.3789830799851,1088.6867356799594,1229.689343760052,1360.9892548800872,1037.4585212600232,1640.8566258999817,1755.6686923799443,1503.3835005800538,2279.979004220044,76901,150348,354328,572231,847871,1258467,1765106,2638416,4091095,5168508
30,860.294341780077,1143.3715822600134,1149.5838733200017,1200.532755540029,1504.3852217799358,1666.3539508999093,1373.3028893400096,2144.5349449799887,2075.6662179000214,2601.114479759932,66802,135587,285555,432276,635388,939935,1391274,2038635,3204988,3738122
31,1145.9501128799802,1131.9146666400156,1282.7633029399858,905.1177516400203,1390.503778939923,1810.3498250800276,1743.3097393399967,1690.1499558599644,2084.9197465999932,2669.558377399995,81989,156479,380570,615406,922438,1383568,2044693,2958851,4450185,5305086
32,493.66519972003243,1269.8856211200455,1299.4721533399497,1373.3078114999953,1629.5607348400172,1274.2540894800131,2146.1605291600044,1972.1953669599661,1907.7506264600106,2752.9778186799867,70013,140910,346695,553398,834279,1269106,1822452,2652402,4197491,5097876
33,967.1721500400217,1205.3185922600114,831.0310386200254,1274.3439768399767,1521.4101883999901,1642.12033066,1699.9096417600467,2039.9433732599791,2120.838061699951,2543.434603000089,71372,142295,330608,525743,758877,1153292,1743981,2537174,4070744,4882637
34,922.7874368800176,1454.4482098800236,1160.3520870600314,1084.0083156599667,969.030164079998,1810.894297939969,1664.3813864199747,1838.6488581199737,2084.355206060025,2747.9607941600043,66486,129917,307699,481228,682718,1018219,1482963,2217092,3521044,4316794
35,645.1107672599446,1156.6363097599733,1142.9131195200534,1288.6438935600454,1411.3924788600198,1340.339568779993,1618.7273160000423,1790.973517299979,1520.718842119988,2289.5359409000685,71526,141640,312065,510551,698062,1091194,1556692,2316766,3557920,4407460
36,746.4531938599375,777.9027752999691,839.7506546799541,1311.7787817199842,1422.9778354399532,1203.072542699947,1994.1721019400375,1953.2446824200451,2297.732272460027,2425.888123580078,75107,147055,337352,514770,757219,1101375,1641051,2411201,3670698,4085968
37,814.3062548600656,1096.8203412999737,1250.5594707399869,1228.9165533999821,1024.7255066200141,1407.9427707200357,1646.5450392600178,1730.3292076799808,1983.2195351199753,2584.2320471199473,72771,146013,346434,533209,785741,1185751,1685606,2506078,3682953,4117428
38,882.4967731799634,1053.2019490599941,1197.0430053000182,907.8453082799833,1368.663999219969,1617.730826120076,1725.5336764399926,1682.6772933799602,1800.7622900399838,2339.110002040041,75750,154703,337434,553912,797579,1153271,1625973,2414836,3600706,4202701
39,2699.336823599986,732.4291748400137,731.751058600059,1212.459037099943,1280.9490097400176,1184.9778144400225,1924.2125873600253,1789.4765264599773,1973.4352403800876,2355.666569040044,71143,145513,337208,509213,752145,1133040,1586375,2231313,3195292,4463018
40,1037.0594757800336,1259.5208970600652,1294.7746487399672,1269.9477837799805,1116.4870587199985,1410.7719557800629,1411.526827739919,1642.0239183199792,2014.8257417200184,2532.4119706999863,74844,149063,327752,504619,744678,1150371,1702059,2443162,3700376,4618120
41,833.5474541200201,1263.924818779964,1326.934332040024,1140.299852879998,1255.1478326999968,1439.8458764600127,1765.0389941799967,1575.8712568400315,1705.925196260021,2314.916510560004,75457,151109,352003,539353,811810,1230831,1857548,2616747,3922927,5068524
