,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,4.555562902710641,5.593309363479845,3.5178164419414353,114.2934830499896,58500,62.95884525014272,1037.4118907143059,2110.1360969791667,1.1632823101063186,1,11.0,25424831.0,26461.92904131282,32489.893926049357,20433.964156576276
3g_report.2010-09-21_1735CEST,-0.13087950844290247,-0.1343654684605112,-0.12739354842529374,-5.430564957941543,21900,36.28300118775981,638.1555717009292,638.5627901041667,13.93609151234893,2,9.0,9950596.0,41522.31538623101,42628.25727886951,40416.3734935925
3g_report.2010-09-28_1003CEST,4.300598325463048,5.1369042452009515,3.464292405725146,120.3821768370668,70050,74.30799088671101,1497.423481805508,2247.0504819791668,4.774668698060942,1,13.0,30102845.0,29092.099326557578,34749.427224480605,23434.77142863455
3g_report.2010-09-28_1407CEST,1.5530126508278044,1.5575992945471842,1.5484260071084248,77.04473197431314,78900,74.01245171244638,532.2702591133468,2078.604201770833,16.599683752597283,3,16.0,33317520.0,49610.28743732914,49756.80569857431,49463.769176083966
3g_report.2010-09-30_1114CEST,5.494780814943153,6.6234649278608515,4.366096702025455,180.58308008474236,207100,186.84979086719392,736.1659768364003,3056.8173040625,0.5436827944300212,1,15.0,85243915.0,34312.221598698496,41360.30244153066,27264.14075586634
3g_report.2010-10-22_1458CEST,2.874673569922627,3.5794823820530675,2.169864757792187,66.18332838820146,37100,41.504963207421206,797.4051403811246,1536.1952442708332,0.9710072337241208,1,14.0,16597717.0,24495.38359602761,30501.13061218721,18489.636579868005
3g_report.2010-11-04_0957CET,1.4155024200042272,1.7441147249093194,1.086890115099135,33.822558383967916,34150,35.78281266598443,867.2390959950325,1343.9184712499998,2.382027926960258,1,21.0,15194008.0,25255.523997616998,31118.65487973729,19392.393115496707
3g_report.2010-11-10_1424CET,5.67325662395953,6.924440842025749,4.422072405893311,157.79337200884055,107150,98.92944790004884,602.2362249415805,2741.59156875,0.5713522267206478,1,13.0,44907754.0,29235.50683615728,35683.127168734005,22787.886503580557
3g_report.2010-11-16_1857CET,1.1940064773724735,1.5209536110170572,0.8670593437278897,25.85375854866663,26100,28.183098250137867,692.6561296468872,1117.604138645833,1.0021384169084129,1,17.0,11931743.0,23408.06853702372,29817.749771900668,16998.387302146773
3g_report.2010-11-23_1606CET,3.3180235929300173,4.076836354939399,2.5592108309206356,83.08089709177497,48500,55.19911042481665,1248.165076115467,1710.9677757291668,2.999267496289531,1,12.0,21247431.0,26421.124825948427,32463.48291746168,20378.766734435176
3g_report.2010-12-09_1222CET,1.6691355933000471,2.088139722643932,1.2501314639561618,37.52190907532908,30150,35.079645675837575,734.5037975094839,1264.0254853124998,0.9931184338646031,1,17.0,13627396.0,23991.715572938636,30014.370613941173,17969.0605319361
3g_report.2010-12-09_1244CET,2.8743718676268375,3.4286533823001255,2.3200903529535495,75.88527041135212,36900,41.13654176045458,820.1521697270463,1472.4925354166664,2.9149483510846617,2,5.0,16390716.0,27420.284646435357,32707.894464001256,22132.67482886946
3g_report.2010-12-09_1334CET,2.063628361850602,2.218164566678458,1.9090921570227455,74.59957854628777,37200,39.93411918979308,1198.8126355475954,1633.7677132291667,9.24508278451436,1,9.0,16633109.0,36353.58163681435,39075.94417161443,33631.21910201427
3g_report.2010-12-21_1200CET,0.9534976443590014,1.2037846419257854,0.7032106467922175,21.291329702334085,26550,31.515621911813177,895.9975047615251,1047.1346480208333,1.437033778476041,1,16.0,11976488.0,23982.153254484743,30277.31420088294,17686.99230808655
3g_report.2010-12-22_0800CET,3.1398113575514444,3.8082826752521095,2.471340039850779,78.32083567140039,37350,41.485223648733815,1215.9339829158928,1621.930926041667,2.94391079247875,1,11.0,16733121.0,26128.783248178624,31691.64680232731,20565.91969402994
3g_report.2011-01-29_1800CET,1.6318962578685174,1.534145400596651,1.729647115140384,109.94548791783953,111750,117.55433166804293,1653.608191651648,2451.0690142708327,27.67033580927386,1,12.0,46836816.0,67615.44774506557,63565.271178980336,71665.6243111508
3g_report.2011-01-31_1830CET,5.5212924414461,6.802381248800189,4.240203634092011,154.3504278384081,121050,126.32752315295214,681.8545109068987,2719.543416041666,0.4724954826804045,1,14.0,50087803.0,29546.15048450006,36401.65453314612,22690.646435854003
