,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.2093037559808524,2.1618868775262077,2.2567206344354966,78.75649857435414,64000,61.69175512160892,755.8217845309283,2076.720087104167,8.495033648878062,2,19.0,26692309.0,35664.08327629142,34898.64778679376,36429.518765789086
3g_report.2010-09-21_1735CEST,0.30412165189812235,0.273568213701453,0.3346750900947917,14.212499622226254,27350,37.75928692398674,631.6808981751309,1521.4373545104163,19.013738120562603,2,22.0,12146986.0,47209.43287518959,42466.55948669731,51952.306263681865
3g_report.2010-09-28_1003CEST,3.2666533079154574,3.3630658984073545,3.1702407174235607,93.63326694804437,77200,73.90674635595093,960.1696665103499,2184.5421918854167,4.939041735918744,1,19.0,32075191.0,28688.35224432046,29535.065407947845,27841.639080693076
3g_report.2010-09-28_1407CEST,1.0572922047638722,0.9371426015955749,1.1774418079321693,60.670062315087016,84650,77.61618416027984,758.0910260404994,2159.1432653437505,23.103929507478767,2,21.0,34760714.0,58133.214469987375,51527.015523286165,64739.41341668859
3g_report.2010-09-30_1114CEST,3.316497289639758,3.6434362231751027,2.9895583561044132,106.3591493090621,208300,186.06175259950066,913.57183182257,2318.9456938749995,0.7117413264101959,1,21.0,86197620.0,32384.432782628555,35576.8767958271,29191.988769430012
3g_report.2010-10-22_1458CEST,2.342439903214861,2.525566753863631,2.1593130525660906,54.21550611252302,38000,40.68540261794015,767.7363396557218,1887.6394491458332,1.3262399600897978,1,30.0,16623843.0,23287.212812218826,25107.75639877425,21466.6692256634
3g_report.2010-11-04_0957CET,3.302793193514211,3.4726257738813393,3.132960613147083,81.30012641886432,37350,38.23388669801038,652.8621684464881,1966.4943351145832,2.806937820742332,1,19.0,16185664.0,24680.825558993154,25949.935686295692,23411.715431690616
3g_report.2010-11-10_1424CET,3.5559698372670905,3.8296122939729336,3.2823273805612474,96.45955115346081,107800,99.2461370797376,875.7619813792717,2239.176859072916,0.7515303643724697,1,22.0,43844068.0,27287.67921439926,29387.54730095422,25187.811127844303
3g_report.2010-11-16_1857CET,0.7894723684172816,0.7820855921509897,0.7968591446835736,24.476408890989617,29400,28.190172194632137,570.1423126119269,1668.4432253229168,6.999823243763675,4,27.0,12872021.0,31006.21740309352,30716.104664531405,31296.330141655635
3g_report.2010-11-23_1606CET,1.0487264506342284,0.948001807899952,1.149451093368505,47.132022696769134,60450,60.1138499512678,940.3626584080732,1903.1010829374998,16.860264254522257,2,23.0,25791662.0,45360.58393149263,41003.93915729565,49717.2287056896
3g_report.2010-12-09_1222CET,1.6146606391681657,1.576287356074718,1.6530339222616133,51.7956508766337,33200,33.14750620445176,732.5157313275104,1822.2534393854169,7.595888519002197,2,24.0,14361778.0,32096.479212458325,31333.68903027048,32859.269394646166
3g_report.2010-12-09_1244CET,2.4961457894437715,2.6645849385278018,2.3277066403597413,59.016488659661036,41150,40.7959924710095,735.4168694325473,1888.0159035208328,1.1643944146079483,1,27.0,17729553.0,23751.196858907708,25353.92030781859,22148.473409996823
3g_report.2010-12-09_1334CET,1.9246626802989097,1.790496212755132,2.0588291478426877,69.78654966433055,43200,41.70682418768292,729.5823516167017,1944.879577239583,8.859724850534842,1,21.0,18902445.0,36436.16308143116,33896.231621480256,38976.09454138206
3g_report.2010-12-21_1200CET,1.2265386148133346,1.2445353045398333,1.2085419250868357,35.00766037836455,30250,30.040313257093025,623.0849019856779,1681.1230183750001,5.80222028596477,2,27.0,13233292.0,28547.979133626275,28966.856384274124,28129.101882978426
3g_report.2010-12-22_0800CET,3.224169111313745,3.4197492298111514,3.028588992816339,80.74876215643512,42750,38.92147205468139,731.8667418847208,1975.6684520624997,3.249596376749378,1,20.0,18688879.0,25137.32652204587,26662.17249946002,23612.480544631722
3g_report.2011-01-29_1800CET,0.8609397667551484,0.7541897839272206,0.9676897495830762,56.419258477541284,129650,119.07734926960094,1152.5214421254127,2145.54892140625,26.875697946754457,2,21.0,53286223.0,66555.40893565962,58303.044443582476,74807.77342773679
3g_report.2011-01-31_1830CET,3.5600031601930677,3.7968299363738716,3.323176384012264,103.49091017381352,137150,124.70345049102183,856.2992273228849,2275.115852875,0.6093729575948637,1,21.0,55895951.0,29199.677304093188,31142.165872298036,27257.188735888336
3g_report.2011-01-31_2356CET,-0.47012062844652747,-0.36884960272025075,-0.5713916541728041,-54.37824531217502,45150,42.908229647580036,868.4018578049282,1584.7165430833331,76.35300875582736,5,20.0,19643277.0,121297.34217504159,95168.0776487673,147426.60670131588
3g_report.2011-02-01_0629CET,3.4577838204681504,3.7196138315426763,3.1959538093936244,102.41566780777455,146850,134.78641633595848,905.9141661973694,2285.476600583333,0.567142011215995,1,22.0,60099272.0,29789.68364104514,32045.415520947758,27533.95176114252
3g_report.2011-02-01_0740CET,1.8490200186660735,1.7829309012659114,1.9151091360662356,78.29219539505588,136850,116.45176916548924,785.1324153648563,2215.9030348020833,9.680173542473067,2,24.0,56158776.0,42396.69904114578,40881.32311658926,43912.07496570231
3g_report.2011-02-01_0840CET,0.46075125359477265,0.39393196025342797,0.5275705469361174,32.51179944291968,106900,106.31373960781411,741.1196508570088,2083.8736321354168,31.454543276214864,4,26.0,43860637.0,72078.50557198928,61625.501331969695,82531.50981200888
3g_report.2011-02-02_1251CET,2.7115029975229747,2.924506864582598,2.498499130463351,63.36642657677537,42400,42.44343136863014,633.8102780966043,1931.8663410937502,1.004463389083553,1,26.0,18071304.0,23514.59254414303,25361.796529832674,21667.388558453385
3g_report.2011-02-10_1611CET,2.026913337527762,1.9846206396613923,2.069206035394132,70.84551629821428,76850,82.96661022622432,678.2027316676362,2065.9273792916665,7.369565312317551,4,21.0,31428636.0,34967.63900517965,34238.01935930463,35697.25865105467
3g_report.2011-02-14_2032CET,3.4261527986317866,3.7053459750200988,3.1469596222434744,86.05831363302505,66900,59.94425443337289,673.7220424639802,2020.8732628124997,1.3523356425013742,2,19.0,28149321.0,25285.97029657276,27346.494382941557,23225.44621020396
3g_report.2011-02-14_2124CET,3.1788190752383354,3.4337948358208523,2.9238433146558185,84.35202811962932,86350,79.69581731049138,711.8399516075361,2151.82747015625,1.2813653303309467,2,23.0,35754920.0,26707.479316875528,28849.70877092258,24565.249862828477
4g_report_bus_0001,2.882798521361739,3.3387802718894375,2.42681677083404,107.20741716970406,504450,810.0046836313792,1983.3114637846857,2340.9207598125,0.1941640239322135,1,22.0,214824256.0,38142.95166441499,44176.148136993215,32109.75519183677
