,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.648088610427464,3.960500768742505,3.3356764521124234,88.44696279887883,59700,62.98469200467071,1036.7095025593565,1983.116684,1.3334797487081473,1,18.0,25357351.0,24423.858867358933,26515.45018488438,22332.26754983349
3g_report.2010-09-21_1735CEST,0.5477311483981323,0.508831196178225,0.5866311006180396,24.27151292880287,23700,38.274938345722006,627.0082133505829,1639.4653307395831,18.47712225774943,4,20.0,10643130.0,44537.46293277312,41374.40531746757,47700.52054807867
3g_report.2010-09-28_1003CEST,2.62528681883703,2.9177649878410743,2.3328086498329865,67.0878129283256,72400,74.0418573828366,1509.2107415390647,1889.4897603020831,4.939041735918744,1,22.0,30209991.0,25875.632029401488,28758.386562536383,22992.877496266592
3g_report.2010-09-28_1407CEST,1.851628681391355,1.8602426969233474,1.8430146658593625,69.72603470273442,80600,72.65917398837969,524.6309551807708,2112.5254571458336,10.544664133589926,5,20.0,33090020.0,37657.41180627605,37832.598944741716,37482.22466781039
3g_report.2010-09-30_1114CEST,3.597769878097097,4.179246773443895,3.0162929827502984,107.81846881904025,208800,187.17336154475709,739.1134546916068,2327.139498885416,0.7117413264101959,1,21.0,86198078.0,30771.948839982997,35745.3567792111,25798.540900754895
3g_report.2010-10-22_1458CEST,3.3758062954682995,3.894962433139124,2.8566501577974743,71.88305696067155,36450,40.0569176990645,733.2816596852671,1860.8581625104166,1.3262399600897978,1,21.0,15943697.0,21809.40041597822,25163.40923457516,18455.391597381284
3g_report.2010-11-04_0957CET,2.6170794441769054,2.5906584316647354,2.643500456689076,67.68541595217796,37050,36.98679107337928,767.61091612152,1816.9352845416668,2.806937820742332,1,20.0,16072795.0,25865.59433413136,25604.46539016392,26126.723278098798
3g_report.2010-11-10_1424CET,4.269585680440091,4.928790325157089,3.6103810357230928,106.51992085025496,110500,100.0657202840386,615.0954552735944,2279.9500956874995,0.7515303643724697,1,20.0,44979223.0,25557.783429248982,29503.789155850412,21611.777702647552
3g_report.2010-11-16_1857CET,2.1623924970507176,2.5086475151168055,1.8161374789846298,44.36780445736556,27450,28.901789164847578,650.8819917255638,1668.2657224895834,1.3710070451719851,1,25.0,12117845.0,21057.853467607136,24429.760946385406,17685.945988828862
3g_report.2010-11-23_1606CET,1.1356505922310052,1.0335482205341415,1.2377529639278686,41.91714491162274,52850,56.44385756233893,1248.9050223037425,1758.2324614687498,10.722677150672554,2,24.0,22586172.0,37211.0313494094,33865.51770282451,40556.54499599429
3g_report.2010-12-09_1222CET,2.3842221718569876,2.7846721145871496,1.9837722291268252,49.15670747702217,31050,35.66986979597871,771.9386122174321,1753.3759556875,1.3580361810075334,1,27.0,13594008.0,21216.00632970389,24779.41104088292,17652.601618524863
3g_report.2010-12-09_1244CET,3.7664745102798385,4.394198866841275,3.1387501537184024,78.72161447477433,37350,40.82515331413775,832.4614366894997,1900.0957060416665,1.1643944146079483,1,19.0,16207156.0,21497.728325332373,25080.560930125233,17914.895720539513
3g_report.2010-12-09_1334CET,1.456657042127508,1.4732341244261888,1.4400799598288272,47.738996831520964,37350,39.94261463843782,1210.0809919894104,1673.9214751041666,9.44020632005732,1,20.0,16551349.0,32777.228204167535,33150.24037776026,32404.216030574815
3g_report.2010-12-21_1200CET,2.5528730336322782,2.539125835324018,2.5666202319405382,63.718366020775235,27450,31.423223635693724,775.3428133009154,1762.6990251458335,1.9963927729772193,1,20.0,12140044.0,24960.19698129381,24825.786545210798,25094.60741737683
3g_report.2010-12-22_0800CET,2.9907514767548777,2.9597785030500394,3.0217244504597156,79.49754653123492,40950,40.97382581600712,876.7086913403717,1922.54282753125,3.249596376749378,1,19.0,17889918.0,26583.978752436735,26308.668389382896,26859.289115490577
3g_report.2011-01-29_1800CET,0.5519456378999092,0.49425836056725836,0.6096329152325601,34.864951051927704,111750,117.96527729129403,1676.7583929027385,1864.9446456875003,27.88434969437041,1,22.0,46494429.0,63865.00250981471,57190.07320762458,70539.93181200484
3g_report.2011-01-31_1830CET,4.373331625343727,5.077441352003874,3.669221898683581,109.51277765646671,115050,125.09962898069705,790.1323543684257,2241.08148765625,0.6093729575948637,1,17.0,47255555.0,25707.409325564593,29846.321830728466,21568.496820400724
3g_report.2011-01-31_2356CET,-0.5500997217579721,-0.45775855515564007,-0.6424408883603041,-47.5760867903713,33250,35.46840499537953,964.2485337647435,1433.4938158437499,56.86401157332902,6,21.0,14600941.0,88993.95328131394,74055.19737667896,103932.70918594893
3g_report.2011-02-01_0629CET,3.9889182969147603,4.644599624442196,3.3332369693873245,107.75932138012834,148100,134.3579233754885,778.0184555585697,2274.6676815,0.567142011215995,1,19.0,60399416.0,27764.861790936302,32328.731011265412,23200.99257060719
3g_report.2011-02-01_0740CET,1.9386349853597509,1.8726486661067838,2.004621304612718,81.0176928992158,112600,114.34176616214336,1330.8031435175558,2081.0814482708333,11.089031420223487,1,19.0,46231342.0,41839.57559491685,40415.460372884736,43263.69081694897
3g_report.2011-02-01_0840CET,0.6243955670489578,0.5496786781612789,0.6991124559366368,44.04923972933972,107950,97.92418447841862,666.1823944795474,2062.4237472916666,32.620606645982356,2,22.0,43648794.0,71571.8589001628,63007.373642520346,80136.34415780524
3g_report.2011-02-02_1251CET,3.8770853564588386,4.486993752085432,3.2671769608322454,80.55548796229984,38900,40.57804666827178,627.7995272935796,1940.476629989583,1.004463389083553,1,20.0,16983936.0,21304.55034527355,24655.991679673207,17953.109010873894
3g_report.2011-02-10_1611CET,2.05016418180385,2.094214549326668,2.006113814281031,71.78148067332542,74950,73.46560019634434,593.2216404510217,2011.7258513854167,9.096179890197767,3,20.0,30570748.0,35028.72366024414,35781.36004165402,34276.08727883425
3g_report.2011-02-14_2032CET,4.013391081604365,4.596551276729209,3.4302308864795212,92.20919324018112,64150,61.77763556925069,703.0087972468625,2037.4302035729165,1.314205589019453,1,18.0,27232089.0,23470.926921082217,26881.337231155394,20060.516611009043
3g_report.2011-02-14_2124CET,4.311028273175685,5.108492570604936,3.5135639757464348,98.25818111707751,79050,76.95580116364908,631.9501766214585,2176.5035616249997,0.8103082229887616,1,20.0,32856790.0,23599.834634852923,27965.38836216955,19234.280907536293
4g_report_bus_0001,3.235660595713271,3.9330274780184715,2.5382937134080708,113.89568363263821,516150,833.7412767110062,1951.587566653511,2371.076928479167,0.1941640239322135,1,20.0,220182354.0,36914.872349483994,44870.96313204621,28958.78156692179
4g_report_bus_0004,3.236783724628544,3.9150911727602375,2.5584762764968505,113.72199422351672,510150,976.6043614718521,2050.6266413529297,2370.2478448333336,0.2679946596940873,1,20.0,217187561.0,36748.09869215355,44449.110303742425,29047.08708056468
4g_report_car_0001,3.2301140567339153,3.924758230941954,2.5354698825258764,113.83225501730037,516150,873.5606845685878,1939.676553761661,2371.076928479167,0.24491843176856493,1,20.0,220182354.0,36949.777873735424,44895.9207923617,29003.63495510914
4g_report_car_0002,3.2307442278292493,3.925726412237084,2.5357620434214145,113.84363314801884,516150,772.0122389186349,1755.2645068085099,2371.076928479167,0.23581386147604516,1,20.0,220182354.0,36947.307705692125,44895.23512009574,28999.38029128851
4g_report_car_0003,3.2333380238577463,3.929519835220995,2.5371562124944975,113.86274113064742,516150,1165.3886919753256,2088.8732015923106,2371.076928479167,0.22052400628852067,1,20.0,220182354.0,36927.17219150337,44878.096417523746,28976.247965482995
