,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.537969860278511,2.6864775573194493,2.3894621632375728,89.54155589436496,61900,63.00723007482352,790.8106950627443,2402.5603049999995,8.440072631579032,2,27.0,25586599.0,35401.99382996555,37473.51905043004,33330.46860950105
3g_report.2010-09-21_1735CEST,-1.7492053222410338,-2.0422965065488703,-1.456114137933197,-39.89685903500556,23850,33.39402822452876,1088.5578935036456,972.1718066666666,1.4114950419527137,2,39.0,10701577.0,23467.41660915646,27399.541008258468,19535.29221005445
3g_report.2010-09-28_1003CEST,6.14234225032506,7.442279493351465,4.842405007298656,149.52485400556307,73950,69.58458733168996,915.1136632583809,2497.2467226041667,1.1701163434903046,1,12.0,30245078.0,25484.74619815254,30878.22141687726,20091.270979427823
3g_report.2010-09-28_1407CEST,7.501299540001773,9.219959028350106,5.7826400516534395,181.87910081342736,82500,70.88103439961517,821.773250035721,2760.15644375,0.18280004647380038,1,8.0,33327886.0,25589.63877250227,31452.60628169695,19726.671263307588
3g_report.2010-09-30_1114CEST,10.252913515658882,12.508450429626587,7.99737660169118,273.62244591096476,188500,179.59397630575066,1477.1233203333081,3817.4053104166665,0.11903472007764591,1,5.0,76763988.0,28044.516390961562,34214.02536590595,21875.00741601717
3g_report.2010-10-22_1458CEST,3.444657607464683,4.195039848629746,2.6942753662996193,77.36650156109926,43650,35.807950095768575,1074.7325959459504,1638.0922237500004,0.9461024182076323,2,13.0,17333684.0,23578.759260799437,28715.14267947905,18442.37584211983
3g_report.2010-11-04_0957CET,2.96574135412354,3.6420153885071875,2.2894673197398925,61.749414949549944,38000,34.99947831557866,1101.7544487913447,1464.5553340625,0.23839598997493738,1,15.0,15186554.0,21962.910661630693,26971.083805015976,16954.73751824541
3g_report.2010-11-10_1424CET,10.47929658077517,12.822347666385284,8.136245495165054,264.65443768252175,111000,98.49781217246367,938.9941642105384,3681.7253427083333,0.14808248691905204,1,4.0,44774613.0,26583.96276793148,32527.833364884584,20640.092170978376
3g_report.2010-11-16_1857CET,2.5338813431883294,3.061150308603009,2.0066123777736498,53.65119990227073,28650,29.36280012786074,1170.9753122773595,1445.8087309375,0.24058076225045372,1,17.0,12056953.0,22131.842528811656,26737.201711970454,17526.483345652854
3g_report.2010-11-23_1606CET,5.012995163806514,6.103688785985862,3.9223015416271663,113.000929514125,58050,47.21846237766225,1043.3457497181842,1930.1606240625,0.23152414659207673,1,10.0,24163668.0,23661.69985618876,28809.852662997087,18513.547049380435
3g_report.2010-12-09_1222CET,1.7584064942323767,2.149677263181433,1.3671357252833203,37.07298081287644,30900,37.60317368644248,1234.7311165198414,1378.5464214583333,0.1295233120020896,1,22.0,13077246.0,22181.549988325103,27117.264311993287,17245.83566465692
3g_report.2010-12-09_1244CET,1.676605103831748,2.059273352293968,1.2939368553695278,35.899478269536715,41500,42.01251689996955,1055.000138262168,1643.0018299999997,0.13619680738451115,1,31.0,16979067.0,22588.73123568759,27744.381899752283,17433.080571622893
3g_report.2010-12-09_1334CET,3.181325397406086,3.8162242373425865,2.546426557469585,75.00908202018513,49700,49.65642068796601,1029.5709508108212,1794.3650927083333,1.1792969540415457,1,19.0,20723635.0,24555.959168878686,29456.60529660929,19655.31304114808
3g_report.2010-12-21_1200CET,-0.7796498537103387,-0.9286906506602652,-0.6306090567604121,-16.333823986036442,27300,35.844590585541184,1134.926595726896,1291.7045585416668,0.13667556314721896,1,41.0,11606663.0,21744.838968778164,25901.664130780424,17588.013806775904
3g_report.2010-12-22_0800CET,2.9223859932400935,3.5429025808789953,2.3018694056011917,63.12675681527248,43500,42.6922674182879,1118.6421305605033,1594.5967709375,0.1939520906671246,1,19.0,17064932.0,22620.966883583475,27424.126087111934,17817.80768005501
3g_report.2011-01-29_1800CET,7.950128687494402,8.908121485736224,6.992135889252581,258.3740150688894,111000,126.33811543060045,1303.2060647890755,3681.7253427083333,5.173560798548094,1,4.0,44774613.0,32978.20409762695,36952.087196421475,29004.32099883242
3g_report.2011-01-31_1830CET,10.253890467688663,12.582880756757735,7.924900178619592,248.13185907354648,105900,115.68768664834072,1543.6228392653866,3504.0092488541663,0.1379930523694042,1,5.0,42827732.0,25515.102764488896,31310.40814154048,19719.797387437317
3g_report.2011-01-31_2356CET,0.42402625965914575,0.3578811669750566,0.49017135234323495,40.380900713653375,44800,36.42583893276353,956.9602049169465,1882.2503335416666,52.2788773097469,5,5.0,18822655.0,97607.22915797392,82381.19286370957,112833.26545223828
3g_report.2011-02-01_0629CET,10.015382233808586,12.306503147013014,7.724261320604158,244.15935786104805,117100,125.27668059949552,1775.7021850459066,3427.5148452083336,0.1426200193446413,1,4.0,47418276.0,25724.63833010076,31609.41192004506,19839.864740156463
3g_report.2011-02-01_0740CET,8.680387539900789,10.352052924016395,7.008722155785183,222.37507594171436,96350,96.27170953944638,1537.853834051959,3156.7020190625,1.2741825548971768,1,4.0,38909465.0,26604.79377778692,31728.333781666628,21481.25377390721
3g_report.2011-02-01_0840CET,7.148327181084161,8.281801347004624,6.014853015163697,213.3888900989214,110850,113.89404482022064,1630.785997100158,3252.4058837500006,2.776759538249648,2,8.0,44918304.0,30621.495611265906,35476.99163403645,25765.999588495357
3g_report.2011-02-02_1251CET,3.044686541645694,3.6787769592598787,2.410596124031509,64.57447700180163,40800,42.96071243638018,1056.114803951144,1659.4184116666668,0.13985658232986065,1,20.0,16342122.0,22170.50437134591,26787.76272725707,17553.24601543475
