,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,8.166906703216338,9.803891997055134,6.529921409377541,173.63902097713515,41400,55.062576055989865,1679.3918509783489,2758.3137159374996,0.4230797736491562,1,8.0,17753493.0,22151.260793515976,26591.28802496371,17711.233562068246
3g_report.2010-09-21_1735CEST,1.6441591995219498,2.0400315931542155,1.2482868058896843,33.07179635061402,16350,28.917331841388528,1209.4539583710355,756.7296808333335,0.341190591156791,1,4.0,7062031.0,21352.581020702426,26493.74822722968,16211.413814175168
3g_report.2010-09-28_1003CEST,8.346421575171703,9.762318578765454,6.930524571577953,198.4501883452766,48850,67.8004962143445,1936.0800047746927,2971.3821860416665,3.6090448343079924,1,2.0,21054378.0,24481.202638879513,28634.223325478106,20328.18195228092
3g_report.2010-09-28_1407CEST,11.250013620792206,13.663887686577855,8.836139555006556,246.12305388518155,64750,81.74052872270855,1554.7337223261825,3427.8068873958327,0.2807409790852678,1,0.0,26714225.0,22933.40250787222,27854.138377174935,18012.666638569503
3g_report.2010-09-30_1114CEST,11.94821405197738,14.694162818925612,9.202265285029148,297.49257912244644,119700,151.70906056186092,1811.798475277787,3977.1462732291666,0.28398961529384,1,0.0,47671473.0,26286.909769552418,32328.189843258162,20245.629695846674
3g_report.2010-10-22_1458CEST,3.1850249772005914,3.8523781473435035,2.5176718070576793,64.10689702544006,22500,32.409241084066565,1649.3775722740859,1342.7262056250001,0.42208231479171865,1,9.0,9817133.0,21051.816281618558,25462.76954991989,16640.86301331723
3g_report.2010-11-04_0957CET,2.7550019087815483,3.3109432035471573,2.199060614015939,56.732582427460784,20850,31.872509659275032,1906.8799611578925,1242.32469375,1.0081498224087828,1,9.0,9333229.0,21466.711802127378,25798.553284920763,17134.87031933399
3g_report.2010-11-10_1424CET,11.391984886782534,13.790683420920224,8.993286352644844,259.32097004641264,74500,93.50081276154503,1691.6920327783819,3616.5078989583335,0.2929311740890688,1,2.0,30350377.0,23819.510199717974,28834.950859776494,18804.069539659456
3g_report.2010-11-16_1857CET,1.3254533102707509,1.599984110229011,1.0509225103124908,25.760351122272926,16650,24.19344491029796,1588.4508190567979,683.8389213541665,0.4321425611272275,1,4.0,7454512.0,20306.25559103901,24512.131836069544,16100.37934600848
3g_report.2010-11-23_1606CET,3.413108151813903,4.049308375758966,2.7769079278688404,74.8235197589605,23700,36.59064124791628,1788.8372528842588,1374.2952928125,2.3711592647562507,1,5.0,10630176.0,22711.501741483655,26944.90480150143,18478.09868146588
3g_report.2010-12-09_1222CET,1.3603743211135315,1.649342578215413,1.0714060640116498,26.507722355408543,18300,30.61964182414401,1698.2459487266153,748.3952727083331,0.4292276943576077,1,6.0,8081162.0,20406.375218817153,24741.060598589545,16071.689839044762
3g_report.2010-12-09_1244CET,3.6938810472215424,4.487121260009062,2.900640834434023,75.0509095644064,24000,35.06742231369397,1591.7684848282438,1479.277186875,0.38571170784103115,1,9.0,10396748.0,21299.877377023622,25873.906439385293,16725.848314661955
3g_report.2010-12-09_1334CET,1.7137841131570164,1.8940391700610577,1.533529056252975,46.36219377101217,22200,34.32331471210159,1875.3459815803944,1371.5596914583334,5.035748487760503,2,14.0,9744406.0,27355.151538689068,30232.354308495178,24477.94876888296
