,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,2.6232108169494444,2.930742110493823,2.3156795234050658,87.41599793143347,62100,62.155693015092965,758.9284350030746,2189.0700887659996,6.162818356298315,2,20.0,26879979.0,33788.433258316945,37749.60958453075,29827.25693210314,0
3g_report.2010-09-21_1735CEST,-0.038561262803861844,-0.03694117451335917,-0.04018135109436452,-2.077137336256275,31700,39.88672788363412,645.071222934205,1084.1253352959998,22.099639116291215,4,13.0,13984877.0,53961.15350130564,51694.06402931025,56228.242973301036,0
3g_report.2010-09-28_1003CEST,4.797108920058454,5.673955470038433,3.9202623700784756,139.17393678711107,78250,74.04603880946172,928.3009933410665,2535.4203356110006,4.774668698060942,1,13.0,33176876.0,30014.867786748702,35501.17916835375,24528.556405143652,0
3g_report.2010-09-28_1407CEST,1.8916884130356144,2.0078370924262154,1.7755397336450134,75.5286880531217,80150,76.1877368461561,746.1436384456123,2203.483071162,9.500493764953738,4,23.0,34072508.0,40077.68948521285,42538.438662855784,37616.94030756992,0
3g_report.2010-09-30_1114CEST,5.6322451078443,6.728541731381652,4.535948484306949,184.28027627265976,209450,190.1381319554801,982.2750379288683,3114.4243046200004,0.5436827944300212,1,16.0,86743136.0,34007.23615625904,40626.62459907018,27387.847713447904,0
3g_report.2010-10-22_1458CEST,3.4525040453450098,4.288138537982641,2.6168695527073784,80.34670131822607,40500,41.85547470428482,734.8422598889964,1684.879888855,0.9710072337241208,1,11.0,18048371.0,24720.165009605254,30703.365108551334,18736.964910659175,0
3g_report.2010-11-04_0957CET,2.73504574753988,3.336645350026406,2.133446145053354,67.61891957769282,38550,39.18176962135022,637.1644946256753,1684.3694569660001,2.382027926960258,1,17.0,17116924.0,25980.11622619863,31694.692521053432,20265.539931343825,0
3g_report.2010-11-10_1424CET,5.1931242902212364,6.326206145788515,4.060042434653959,140.79232494453709,106900,99.82190203349914,898.946948497381,2715.6510522,0.5713522267206478,1,20.0,44943135.0,28466.481112172747,34677.55010214245,22255.41212220304,0
3g_report.2010-11-16_1857CET,-0.6259041155641115,-0.6672629889115,-0.584545242216723,-23.356483122404455,29550,28.9919745609726,557.4485589351175,1188.1832419690002,10.597819082661717,5,27.0,13520038.0,37480.04387744004,39956.67304352966,35003.41471135042,0
3g_report.2010-11-23_1606CET,2.037498391372303,2.036290933004122,2.038705849740484,99.1625419851062,62500,60.98783694818694,951.110713630263,2229.1554969700005,17.865552667063685,2,12.0,27143373.0,48668.787779427876,48639.945776252636,48697.62978260311,0
3g_report.2010-12-09_1222CET,1.0862281969820091,1.1938547224486518,0.9786016715153663,37.62078984108548,34200,33.25954454137791,691.1401621021135,1400.6621557160001,9.063272229840413,3,14.0,15390501.0,34977.72400810387,38443.4146559648,31512.033360242935,0
3g_report.2010-12-09_1244CET,2.4164500207047754,3.0041842230154994,1.8287158183940515,56.85882304870056,41300,41.433600974696986,708.8060162780042,1650.5198313480003,0.9460647980543899,2,20.0,18527928.0,25009.37855231962,31092.21371455793,18926.54339008131,0
3g_report.2010-12-09_1334CET,2.5861928879865586,2.8019371349116207,2.3704486410614964,93.78800680991075,43950,42.45391314416859,665.5217472605361,1906.5601434300002,8.605622374798866,1,9.0,19516392.0,36519.03408440697,39565.50890210897,33472.55926670498,0
3g_report.2010-12-21_1200CET,0.8675589305650571,1.0589012982418735,0.6762165628882405,21.77768297081751,30400,30.24159303526741,582.3015950660583,1290.9901771830002,2.761771440711046,3,20.0,13884474.0,26385.745627520115,32205.19012104817,20566.30113399206,0
