,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,3.4662097950869777,4.260709112222865,2.6717104779510903,85.16674483850717,58300,62.389155679979275,795.7816963240116,1951.8407692980002,1.1632823101063186,1,18.0,25157074.0,25933.05104542757,31877.235778863564,19988.866311991576,0
3g_report.2010-09-21_1735CEST,-0.03445383406672538,-0.03560224116925215,-0.0333054269641986,-1.4064724697408781,22650,38.42780184694131,705.625711248287,641.1088032389999,13.613244593196677,2,7.0,10354170.0,40867.347452451635,42229.52827636031,39505.16662854296,0
3g_report.2010-09-28_1003CEST,4.366516188164165,5.189420025759563,3.5436123505687673,123.84165161050336,71550,74.89526652139678,1421.8712620382457,2332.231405738,4.774668698060942,1,13.0,30698966.0,29406.055991228703,34947.85528406519,23864.256698392215,0
3g_report.2010-09-28_1407CEST,1.6365081814413278,1.6816033846591192,1.5914129782235362,74.17785724581783,79200,74.86505744826617,568.8420281095952,2072.591371877,13.51879098868785,4,18.0,33403857.0,45361.3526371343,46611.31853318248,44111.38674108613,0
3g_report.2010-09-30_1114CEST,5.486975120919242,6.582989959543006,4.3909602822954765,181.2419527934175,211200,191.43028200524785,838.6607611536631,3119.4107340899996,0.5436827944300212,1,17.0,87044806.0,34404.006605510076,41276.15399396623,27531.859217053916,0
3g_report.2010-10-22_1458CEST,3.2951033624057455,4.133063498351698,2.457143226459794,74.00854642799007,34950,40.252067427359975,943.0081111712262,1519.66382365,0.9710072337241208,1,10.0,15763282.0,24013.10760609578,30119.752740103882,17906.462472087675,0
3g_report.2010-11-04_0957CET,2.132835647793212,2.610912741059727,1.6547585545266976,51.337049686868895,35350,37.747162349494275,1004.9498399785882,1495.1177979420002,2.382027926960258,1,18.0,15856920.0,25343.1914701851,31023.891398798405,19662.491541571788,0
3g_report.2010-11-10_1424CET,5.761869469494856,6.997049834142231,4.526689104847482,160.69875281962118,108950,101.95499506792295,536.3947900137799,2796.04761877,0.5713522267206478,1,14.0,46010696.0,29233.46446013014,35500.284887586866,22966.644032673415,0
3g_report.2010-11-16_1857CET,0.7800894447522467,0.99478253906176,0.5653963504427335,16.997714308754666,26400,29.043211948825746,804.6325534854468,1054.892683553,1.0021384169084129,1,19.0,12117436.0,23575.112428054013,30063.360500018454,17086.864356089573,0
3g_report.2010-11-23_1606CET,3.572477974488058,4.388999639416299,2.755956309559817,89.33922393962006,50650,55.940208834122245,1244.3994918596213,1753.3229861479997,2.999267496289531,1,11.0,22367419.0,26386.01845986658,32416.77802718482,20355.258892548336,0
3g_report.2010-12-09_1222CET,1.7769420856454055,2.22293207692422,1.3309520943665907,39.53160522190258,30300,34.73807463922636,646.0757850441198,1235.2837075840002,0.9931184338646031,1,15.0,13725475.0,23742.645404650695,29701.749138248244,17783.541671053146,0
3g_report.2010-12-09_1244CET,2.5194518438075315,2.8786638506178672,2.1602398369971954,75.93015678207868,41100,42.29858792767493,571.5483605192403,1686.1091811750002,4.834997962167721,2,10.0,18330490.0,30762.911327453938,35148.94757594328,26376.875078964593,0
3g_report.2010-12-09_1334CET,2.1584308386143936,2.316208116141732,2.0006535610870553,78.41842901010307,38250,40.8101636219077,1096.5760039160998,1691.108467302,9.24508278451436,1,9.0,17212867.0,36526.39442434342,39196.40588223301,33856.38296645384,0
3g_report.2010-12-21_1200CET,0.8823249848744446,1.1056819454216613,0.6589680243272278,19.940338048627456,27750,30.74559542839942,802.4702390567248,1083.9655634330002,1.437033778476041,1,18.0,12626241.0,24147.186391605937,30259.947846461153,18034.42493675072,0
3g_report.2010-12-22_0800CET,3.3483500040548173,4.05611914032352,2.640580867786115,85.29307448215809,41100,40.95415966833539,800.6164067936156,1819.8490480100004,2.94391079247875,1,13.0,18461524.0,26664.561286573764,32300.87573635589,21028.24683679164,0
3g_report.2011-01-29_1800CET,1.7117219034877142,1.6087007064687755,1.8147431005066528,115.60425467904585,116300,120.12432150797498,1618.9731994536407,2560.0496566619995,27.67033580927386,1,13.0,48829458.0,67782.34968120228,63702.820882344524,71861.87848006003,0
3g_report.2011-01-31_1830CET,5.8240523181862915,7.083977530564638,4.564127105807944,164.72255826591126,127500,128.00231740681113,851.5957200256105,2804.286302621,0.4724954826804045,1,12.0,53118914.0,29671.769097742806,36090.703533715896,23252.834661769717,0
3g_report.2011-01-31_2356CET,-0.04227568099126583,-0.036234282732710316,-0.04831707924982134,-3.8407909537026104,33350,37.28238246751097,1000.5301319469138,1321.5742101979997,53.324518762925486,6,5.0,14848866.0,92745.09276152981,79491.37268509068,105998.81283796893,0
3g_report.2011-02-01_0629CET,5.655512366480953,6.885336396888084,4.425688336073822,168.6651013603509,147700,137.94872660013164,826.5462521947483,2951.785759911,0.44312793897384095,1,16.0,61775632.0,31303.37742909376,38110.47876678533,24496.276091402193,0
3g_report.2011-02-01_0740CET,3.2212077914423074,3.382757699757638,3.059657883126977,140.94113333885576,115550,117.59910680819823,1279.4403225965746,2696.74244636,11.131772256191836,1,13.0,48724167.0,43864.45529455117,46064.344028821164,41664.56656028118,0
3g_report.2011-02-01_0840CET,1.074931800797002,1.0664678281537976,1.0833957734402062,59.10775705171007,103700,98.10127140352363,690.6295001801025,1870.621346154,18.935046229718665,2,18.0,43307679.0,54990.85790723005,54557.86195659576,55423.85385786434,0
3g_report.2011-02-02_1251CET,2.0673193744311513,2.5661439442818064,1.5684948045804967,47.70242149278432,38300,42.28295448853952,720.4107993176807,1474.8272592700005,0.7472427121338007,1,19.0,17078219.0,24501.005164687707,30412.865476811454,18589.14485256396,0
3g_report.2011-02-10_1611CET,1.8986475059998327,2.1199975823140007,1.6772974296856649,64.17585974628048,74050,75.32734112701357,625.9554694379772,1588.950342418,6.158876497808975,2,14.0,30589093.0,34266.56658739262,38261.46669664152,30271.666478143725,0
3g_report.2011-02-14_2032CET,4.5922407466632755,5.639753817703576,3.544727675622975,114.18854867819238,60800,62.192016122576085,924.0507962002503,2129.804717738,0.9626384911622395,1,13.0,26716428.0,26230.355579884847,32213.6308138605,20247.080345909188,0
3g_report.2011-02-14_2124CET,5.348526518948223,6.48762984431919,4.209423193577255,140.0010126308369,80550,77.95617789062098,763.2728280807578,2482.78407376,0.6122265494603316,1,12.0,34251499.0,27419.319855183523,33258.954063932244,21579.685646434806,0
4g_report_bus_0001,3.226154574113302,5.225837349435825,1.226471798790779,196.69987202964984,528150,836.7154249228872,2006.908640077314,3326.5967934300006,0.18375777840781216,1,18.0,222425051.0,99009.25533288841,160378.6342446545,37639.87642112232,88.0
4g_report_bus_0004,3.23952447562338,5.2514316605752684,1.2276172906714913,196.61885847572637,525150,987.6383119917411,2104.228915555312,3325.9896120800004,0.2350998535573552,1,18.0,220932228.0,98801.99660964002,160162.9921391693,37441.00108011074,86.2
4g_report_car_0001,3.223353976781163,5.220627953702793,1.2260799998595333,196.6557635548724,528150,872.6642637924444,1997.64052116273,3326.5967934300006,0.2190525661935915,1,18.0,222425051.0,99031.44756542175,160393.90869878183,37668.986432061676,88.0
4g_report_car_0002,3.223647346058705,5.221166231496154,1.2261284606212557,196.6636759456622,528150,776.9835520373308,1809.8433575036493,3326.5967934300006,0.2127212170545904,1,18.0,222425051.0,99030.32045881671,160394.022536608,37666.61838102541,88.0
4g_report_car_0003,3.2243436100545484,5.222480077172556,1.2262071429365402,196.66630523958736,528150,1167.0557963560668,2149.2984298185424,3326.5967934300006,0.21061730456195998,1,18.0,222425051.0,99021.76030129236,160385.87474593223,37657.6458566525,88.0
4g_report_foot_0001,3.2392179189916783,5.2508539489492945,1.2275818890340624,196.61724970191756,525150,989.6369136050345,2107.904171689167,3325.9896120800004,0.23638716467984533,1,18.0,220932228.0,98805.55726270285,160166.3004792521,37444.81404615358,86.2
4g_report_foot_0002,3.249582131463999,5.250013760122636,1.249150502805362,196.40143536935705,519000,798.125871932724,1940.2109555117825,3322.7553477,0.3372555690033038,1,18.0,218652121.0,97318.84962738978,157228.00009148265,37409.69916329691,86.0
4g_report_foot_0003,3.3243178843255836,5.354426223729416,1.2942095449217514,195.8716199921775,497600,845.9818809145036,2042.5907817924015,3317.82491114,0.3140256762518357,1,18.0,208813836.0,93962.92418618914,151344.5954410883,36581.25293128996,80.2
4g_report_foot_0005,3.2240089931448566,5.221844030493169,1.2261739557965439,196.66709767482968,528150,897.2212136801761,2065.336206061511,3326.5967934300006,0.20998321250023058,1,18.0,222425051.0,99026.62322656257,160390.86195324652,37662.38449987863,88.0
4g_report_foot_0006,3.222702284336815,5.219356381589247,1.2260481870843831,196.67192317222202,528150,1016.2007970324652,2118.179496355171,3326.5967934300006,0.20612193850964045,1,18.0,222425051.0,99046.25521544587,160411.250751832,37681.25967905974,88.0
4g_report_train_0003,3.250842679059643,5.22704785683474,1.2746375012845463,196.50036890338018,514450,847.4895389352276,2001.161723948774,3324.9549552000008,0.3069367390655929,1,18.0,216352519.0,95877.37933384051,154161.7665456667,37592.992122014315,84.0
4g_report_tram_0001,3.2437711299254284,5.237526945118137,1.2500153147327198,196.54574307287092,522150,863.0799924192564,1996.685670242594,3325.0308529100002,0.2723146011523953,1,18.0,219910245.0,97380.55425726516,157234.66805276432,37526.440461766,86.0
hd_trace0000,3.8892694325233874,5.846032941825417,1.9325059232213584,163.78146163030365,285450,448.9231350438496,1509.7992382922653,2863.92754847,0.7877422095223385,1,16.0,122219077.0,56383.3247010444,84750.81999091154,28015.829411177263,38.2
hd_trace0001,3.656009054471528,5.442417911643939,1.8696001972991165,147.34136720278755,254400,415.1984727924789,1573.3018234048143,2610.5544421100003,0.9456865303755256,1,15.0,110082980.0,52940.90067053378,78809.02420509023,27072.777135977336,34.2
hd_trace0003,3.6328411635389046,5.404808113072278,1.8608742140055314,146.370483408824,254250,509.4902938864099,1585.7425122752195,2612.6811347010007,0.7266308818403625,1,16.0,110162867.0,52869.18544637897,78656.8389777198,27081.531915038144,34.2
hd_trace0004,3.930811598109731,5.942362093563392,1.9192611026560698,174.26645995662938,305850,501.50460949593196,1453.977268497521,2975.4556482510006,0.6081993879407792,1,15.0,130397364.0,60062.425250674125,90798.72442340525,29326.126077943005,41.8
pen_trace_215252_http---www.msn.com,5.343322541846547,6.512326952575944,4.174318131117149,139.36773485720124,83700,78.77381593956439,805.9048521263892,2554.536713971,0.6227434459594091,1,16.0,35328749.0,27393.77545424919,33386.94619806159,21400.604710436794,0
pen_trace_216826_http---www.amazon.com,4.689717747721511,5.769986231374365,3.609449264068658,116.3151581442398,67650,78.2003984928551,935.3952320333952,2145.50212145,0.987478367097628,1,12.0,29182200.0,26191.918002325918,32225.1816370253,20158.654367626532,0
pen_trace_28919_http---www.google.com-mobile-,5.42581232515697,6.639419427857316,4.2122052224566255,139.41602606801592,81350,77.33429627935246,821.8584794945236,2549.9178003210004,0.5923459482460574,1,16.0,34431798.0,27048.1670500158,33098.10864027804,20998.22545975356,0
pen_trace_663494_http---www.facebook.com,5.650804891730677,6.907735535681424,4.393874247779929,150.6252435278405,97600,87.90928808562127,638.8476671235699,2677.3583477110005,0.5450641906295892,1,15.0,41056896.0,28043.017892574622,34280.73609615618,21805.299688993062,0
pen_trace_665192_http---www.facebook.com,5.5967373626510835,6.8398347392943855,4.353639986007782,145.82551404686552,86350,82.86676943421762,861.070114966078,2588.5340336510003,0.5821078596837432,1,14.0,36883343.0,27407.556714248858,33495.07871930981,21320.03470918791,0
pen_trace_6780_http---www.facebook.com,-1.140785302405964,-1.4593619983937436,-0.8222086064181845,-24.183431165435174,16050,16.855982050190413,682.5727674341089,319.32373614299996,2.1179236420570877,1,14.0,7637376.0,22992.00179279773,29412.768215582517,16571.235370012942,0
pen_trace_7256_http---www.facebook.com,-3.3417770918115837,-4.232225581757847,-2.45132860186532,-73.30612933048758,21000,21.735931418379906,775.3251727802889,726.0515132190001,1.7897383458646616,1,44.0,9834207.0,23612.796581133785,29904.65222602381,17320.940936243765,0
pen_trace_7289_http---www.yahoo.com,3.9362390823757827,4.833660030888831,3.0388181338627342,94.1454835612684,42150,43.30969651455514,1137.6841903934853,1775.4030341620003,1.5860210526315788,1,10.0,18845249.0,25229.0064950562,30980.953585924937,19477.05940418747,0
pen_trace_797466_http---www.amazon.com,3.8308247048556954,4.72892882220315,2.9327205875082405,93.05404943853019,47550,62.78713259374304,1211.9255320792715,1783.021830505,2.011975393028025,1,11.0,21290828.0,25703.608128856136,31729.599415262644,19677.616842449628,0
pen_trace_797700_http---www.yahoo.com,0.4556956724722264,0.5742331961194019,0.33715814882505096,10.054788723809217,24150,26.314677046480718,850.6828768800796,987.650494359,1.6176024388057026,1,19.0,11064401.0,23666.05654530173,29822.173240803317,17509.939849800143,0
pen_trace_799296_http---www.amazon.com,5.537665776308084,6.742876762564526,4.332454790051642,143.35172060070263,84700,80.56654521329166,831.7509894490779,2567.520611251,0.6168140051142271,1,14.0,35998567.0,27173.800882937085,33087.87455321464,21259.727212659527,0
pen_trace_805936_http---www.youtube.com,2.904225806642849,3.6139954938131025,2.194456119472595,66.24415889121238,29100,30.291873053362163,873.0227739283245,1387.0552880120001,1.335292076344708,1,9.0,13299255.0,24258.473154442378,30187.051043487343,18329.895265397416,0
pen_trace_806172_http---www.amazon.com,4.065994165775246,5.020162426929867,3.111825904620625,97.15954711002789,47700,53.9649641143611,859.2133628039178,1950.00091958,1.033965915810978,1,14.0,21299909.0,25288.273051332173,31222.680859414268,19353.865243250075,0
pen_trace_866_http---www.amazon.com,5.10641394737446,6.253590625812117,3.9592372689368034,131.57019527147534,89150,94.66423449326906,792.5039353001705,2470.2234104,0.7633939573899489,1,15.0,38058307.0,27135.170830458344,33231.197408587395,21039.144252329294,0
pen_trace_87304_http---www.msn.com,3.189800840110612,3.9373388459524783,2.442262834268746,75.16804582594784,36300,36.714153812604465,794.0365606449487,1664.8841593700001,1.1798005143968384,1,13.0,16523060.0,24934.555798558355,30778.03288459508,19091.07871252163,0
pen_trace_909_http---www.yahoo.com,4.343335100948269,5.322786831602703,3.3638833702938347,106.21612347820015,55400,55.3981266949387,935.410012546145,2123.2642632499997,0.7768800516070278,1,16.0,24253937.0,25765.21561499188,31575.447715038405,19954.983514945354,0
pen_trace_939592_http---www.facebook.com,4.275985482635777,5.203643045974852,3.3483279192967013,104.88754539296185,51700,53.79241693971834,861.2369021114117,2029.31852032,0.7562457362919494,1,13.0,23182564.0,25740.955413517768,31325.350419977065,20156.56040705847,0
pen_trace_942092_http---www.facebook.com,5.651129257340167,6.885113142500811,4.417145372179523,147.47352252968594,87000,82.06770014015844,801.247809680755,2613.8894633410005,0.6177916701867028,1,14.0,36781939.0,27402.89968892727,33386.612869596145,21419.186508258397,0
sd_trace0000,3.1689477202888394,4.5022548585029165,1.8356405820747623,108.8443051848135,148300,188.72333656034863,1483.300596720823,1833.9506232159997,2.8337894736842104,1,6.0,64048975.0,41735.25390669291,59294.99829524932,24175.509518136492,19.400000000000002
sd_trace0003,3.210378232551006,4.433522166045921,1.9872342990560907,108.25897759865514,142150,187.56470895277957,1472.0989231298722,1829.655478528,3.1308771929824566,1,6.0,61297801.0,39447.743431709794,54477.20867643875,24418.27818698084,14.200000000000003
sd_trace0006,3.027873588341979,4.400493662281819,1.6552535144021392,111.58818566183352,182850,242.35940745282542,1482.8002237055655,1877.369768734,2.884880992289641,1,7.0,79143522.0,46386.332591159895,67414.55897294261,25358.10620937718,25.6
syn_trace_10,1.7819634114440273,2.030210401682776,1.5337164212052787,104.23268072545685,148500,267.8268863816861,1522.534614695734,2284.5434587369996,16.27242581986454,2,12.0,61827492.0,59650.84139139289,67960.85592116506,51340.82686162072,12.6
syn_trace_12,4.638064880144327,5.537052003051591,3.739077757237064,140.20185807880867,134950,221.66737643389723,918.7301119154954,2693.1319354400002,1.6301731735781424,2,18.0,56888287.0,31408.521246237004,37496.37402095878,25320.66847151523,0
syn_trace_18,4.346146981668381,5.862072014879005,2.8302219484577584,145.9744109648852,156800,268.85289460358746,870.8636595184635,2699.18538148,0.4710187682947828,1,17.0,66783026.0,38239.26156232973,51577.01891345639,24901.504211203068,10.0
syn_trace_22,2.963617555389167,4.235993976731488,1.6912411340468456,104.56634862411693,182950,235.225225571592,850.8318352203435,2411.7803625050005,0.45822677991598026,1,26.0,75031109.0,43256.68509712614,61828.172529075055,24685.197665177224,16.6
syn_trace_36,3.990677744468301,5.074834859574197,2.9065206293624057,116.14559700729222,109150,230.78700254352194,1454.5108760093574,2148.645622115,1.953737173121483,1,13.0,45805237.0,31423.465970788453,39960.35529008811,22886.576651488795,1.8
syn_trace_39,2.2995531107388683,2.892293684982698,1.706812536495038,142.45902718322807,237800,360.6794841829464,1072.3910967868142,2944.64802138,12.448752090754992,2,19.0,99384486.0,66359.82093330534,83464.95244039487,49254.68942621582,16.4
syn_trace_4,3.4696703032866476,4.703711148908725,2.2356294576645706,123.0460271864201,188000,326.2467843968089,783.9604282731352,2639.1730401229997,0.804264376143839,2,25.0,78577550.0,40599.00008602298,55038.64997152032,26159.350200525634,11.8
