,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,1.965420737702431,2.1925246246344585,1.7383168507704039,66.26847406205937,61300,62.77622899432759,781.3321653388348,2107.83862646,6.273546752768537,2,28.0,26870772.0,34173.47039561456,38122.20656590303,30224.73422532609,0
3g_report.2010-09-21_1735CEST,-0.07101126132851339,-0.06534478347656342,-0.07667773918046336,-4.61083915093203,33550,41.708448319602,688.0693684636185,1078.318011764,29.914889808363583,4,11.0,14845271.0,65347.19890161492,60132.69561952369,70561.70218370615,0
3g_report.2010-09-28_1003CEST,4.8640216834818135,5.738335854586426,3.9897075123772017,142.50211125269618,78000,73.6404597069096,952.6342220691286,2526.8337201000004,4.774668698060942,1,11.0,33222142.0,30275.39230708299,35717.433122757575,24833.35149140841,0
3g_report.2010-09-28_1407CEST,1.385939556166368,1.3530537075228701,1.4188254048098659,76.04385433968618,81400,78.13982597989569,754.7890650945222,2329.2819176059998,19.629170844158125,2,24.0,34891852.0,54898.99822389096,53596.34390665332,56201.6525411286,0
3g_report.2010-09-30_1114CEST,5.714390475309223,6.845815310473472,4.582965640144974,184.8135786895665,208800,191.88497397188382,998.1889710466136,3112.0413575400003,0.5436827944300212,1,15.0,86616113.0,33661.38726821983,40326.19775079096,26996.57678564869,0
3g_report.2010-10-22_1458CEST,3.4641710136580564,4.333010804573471,2.5953312227426415,80.0687555944607,39850,41.8976919089771,801.7852936537297,1674.440173858,0.9710072337241208,1,12.0,17632346.0,24664.927251282068,30851.07399503608,18478.780507528052,0
3g_report.2010-11-04_0957CET,3.0509982671708262,3.7230929266623036,2.378903607679349,75.56901050233346,38550,38.72185805380763,662.7531277283974,1713.1831619780003,2.382027926960258,1,14.0,17109348.0,26031.846547661036,31766.31884469333,20297.374250628745,0
3g_report.2010-11-10_1424CET,5.5807413511106825,6.826850119475475,4.33463258274589,151.93677348404435,107350,101.55714609032823,915.325927923838,2755.3540360499996,0.5713522267206478,1,17.0,44909955.0,28653.79404591989,35051.82286702508,22255.7652248147,0
3g_report.2010-11-16_1857CET,-0.3179078946557058,-0.3561438758175735,-0.27967191349383813,-10.076496830905917,28950,28.816530243683026,575.9346773726538,1107.3943425049997,6.731369952368375,4,25.0,13222133.0,32161.518897483016,36029.70604028111,28293.331754684925,0
3g_report.2010-11-23_1606CET,2.427269263311305,2.556007735294923,2.298530791327687,98.0405806641836,59750,60.30108566400877,982.3684079519644,2170.0319673900003,12.342377157036678,2,14.0,25947862.0,40505.252278481974,42653.58594894132,38356.91860802262,0
3g_report.2010-12-09_1222CET,0.37330419362085976,0.4122171677098084,0.33439121953191114,12.575154701961033,34200,34.63672065899991,683.438499292551,1413.686134587,9.15766974380888,3,25.0,15383361.0,34056.12765669919,37606.11513533171,30506.14017806667,0
3g_report.2010-12-09_1244CET,2.9886665679464577,3.702350639135369,2.2749824967575463,70.47490452904316,42000,41.57287914020742,659.9403434640071,1701.00544032,0.858459291084855,1,17.0,18825849.0,25006.69832328953,30978.21835090538,19035.17829567368,0
3g_report.2010-12-09_1334CET,2.320141668378489,2.4953593171515065,2.144924019605471,86.44442733834616,44100,40.809192456107496,652.3379791829797,1919.31420844,9.308878431621647,2,11.0,19606982.0,37471.96799628607,40301.859901893586,34642.07609067855,0
3g_report.2010-12-21_1200CET,1.8792387570948732,2.354404391345237,1.4040731228445096,43.052545134530845,30400,30.612476397621656,595.295847712804,1269.403989584,1.437033778476041,1,15.0,13782364.0,24474.284615898112,30662.608972466307,18285.96025932992,0
