,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,4.41216096100165,5.49181541378258,3.3325065082207197,104.36966186625834,56300,69.69021358851585,1521.9280892159138,2078.076117926,1.2260795484241884,0,15.0,24545146.0,25161.625040310108,31318.667078007606,19004.583002612606,0
3g_report.2010-09-21_1735CEST,2.6640125450824548,3.3902289542559245,1.937796135908985,56.97762418787035,25650,39.66284056681493,1088.3148602156825,1096.7004741770002,0.3499093475012453,0,6.0,11540704.0,23104.86779286204,29403.31190264407,16806.42368308001,0
3g_report.2010-09-28_1003CEST,4.872750920547762,6.063674909445726,3.6818269316498,116.18745384898583,66600,78.40830155445231,1764.6997274325158,2155.5646287560003,1.296476454293629,0,13.0,28619820.0,25359.11932014166,31557.011235431175,19161.22740485215,0
3g_report.2010-09-28_1407CEST,5.256217144013389,6.539414513764127,3.9730197742626516,124.44992547642306,69300,88.01959214252469,1970.2083639680718,2136.5450821920003,0.39479493435575697,0,10.0,29712503.0,25177.253104950727,31323.76191093073,19030.744298970723,0
3g_report.2010-09-30_1114CEST,6.081032807831372,7.702533158607054,4.459532457055691,138.75926457073217,83400,172.4093222110222,2122.7546122430076,2375.629298536,0.19953235981823797,0,11.0,35178967.0,24564.98086495485,31115.204543739306,18014.757186170395,0
3g_report.2010-10-22_1458CEST,4.04122905639271,5.042495538908144,3.039962573877275,91.81343314725129,36900,40.154530336199635,988.1239303618111,1615.4408911579999,0.5380367406739547,0,8.0,16418001.0,24205.0472344279,30202.159045053377,18207.935423802424,0
3g_report.2010-11-04_0957CET,3.9805107690103796,4.9793000144062,2.9817215236145587,90.89972483018018,36600,37.36115492359224,963.9530674458823,1607.423005952,0.5650411743644826,0,7.0,16432517.0,24370.587405697355,30485.65203365739,18255.522777737326,0
3g_report.2010-11-10_1424CET,5.457900872865961,6.80436787371264,4.1114338720192825,128.93103919757152,72600,101.01001487324305,2082.1208854812626,2165.840721772,0.28848261003385656,0,9.0,31053040.0,25153.708976705395,31359.142141388387,18948.275812022403,0
3g_report.2010-11-16_1857CET,2.22032780146851,2.8578581110921406,1.582797491844879,45.670822338596224,24150,28.375646533567835,1175.8842768361703,922.3915724130001,0.5717313974591652,0,6.0,10663294.0,22417.641110678534,28854.49501525503,15980.78720610204,0
3g_report.2010-11-23_1606CET,3.725391806172659,4.669235905193087,2.7815477071522308,82.95344231678223,44300,55.29634665067512,1362.1338558820253,1582.3199565510001,0.5439981733074554,0,10.0,19523492.0,23794.36055420615,29822.764536262646,17765.956572149647,0
