,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,3.739317153591512,4.623051397414914,2.8555829097681107,87.25935781764203,42000,57.79007330641067,1672.9794662429865,1796.3305212480002,1.1632823101063186,1,13.0,18701832.0,24716.14978035933,30557.459045980904,18874.84051473776,0
3g_report.2010-09-21_1735CEST,0.008272311049264017,0.010852238749264996,0.005692383349263038,0.16171395191314986,15450,29.897056977304157,1118.0900066179834,227.445963951,0.7206897978892184,1,3.0,7250557.0,21655.13358671414,28408.83018429988,14901.436989128393,0
3g_report.2010-09-28_1003CEST,4.16493583841781,4.937034394203212,3.3928372826324074,110.93940564504476,53050,70.96058548756633,1927.0133614974645,2095.27247512,4.774668698060942,1,10.0,23096860.0,27584.49043419931,32698.121484614785,22470.85938378383,0
3g_report.2010-09-28_1407CEST,5.499396343087867,6.8505077891765715,4.148284896999163,130.65662572587877,66600,88.29206623601426,1480.6930595308538,2373.32853147,0.5336299701218111,1,14.0,29059816.0,25284.54360466169,31496.541093499807,19072.546115823574,0
3g_report.2010-09-30_1114CEST,6.234116636226409,7.60184624007257,4.866387032380248,170.00368032082457,123550,161.5822802413641,1795.5069967709503,2902.99075814,0.5436827944300212,1,14.0,51476208.0,28648.871500249224,34934.270371354396,22363.472629144057,0
3g_report.2010-10-22_1458CEST,0.8773535810759344,1.1227808704780315,0.6319262916738373,17.81765117341181,22350,32.93986637763054,1614.1876240532504,719.114268743,0.9710072337241208,1,10.0,10222133.0,22032.494775813542,28195.77442523664,15869.215126390445,0
3g_report.2010-11-04_0957CET,1.2568624085422944,1.5790662194838492,0.9346585976007395,27.011132492547947,21900,35.04958050913401,1898.3452152673979,750.102703015,2.382027926960258,1,6.0,10156310.0,23002.613493313835,28899.46399881763,17105.762987810038,0
3g_report.2010-11-10_1424CET,5.673770940424776,7.009663445151268,4.337878435698284,138.80157988004208,75700,97.77711385903434,1649.9157253144801,2523.3145349100005,0.5713522267206478,1,14.0,32371031.0,25899.516947591772,31997.572531720496,19801.461363463044,0
3g_report.2010-11-16_1857CET,-0.0038527596239279617,-0.00506230503645641,-0.002643214211399513,-0.07344727712091803,16500,25.186753940324447,1578.7994260373048,226.480408641,1.0021384169084129,1,3.0,7792572.0,21147.885125263612,27787.107380158042,14508.662870369182,0
3g_report.2010-11-23_1606CET,2.4341133629457343,3.0265487323255,1.8416779935659686,54.706220067049394,25950,39.990497242839105,1796.7598643463841,959.481458851,2.999267496289531,1,1.0,11922312.0,23889.999404443035,29704.552184567234,18075.446624318833,0
