,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,4.4881298576680635,5.417897767813753,3.558361947522373,86.3742003577909,52200,71.44860129846748,1541.1010941196887,1953.4183271610002,1.2881071098799632,0,18.0,22375521.0,20107.983798384754,24273.584765015763,15942.382831753743,0
3g_report.2010-09-21_1735CEST,1.9719143463316302,2.0395471047562728,1.9042815879069876,57.999909486975326,25350,34.41450315811017,693.5844714635485,1758.079460158,7.923611832611831,3,18.0,11122256.0,29447.63720977434,30457.63287073711,28437.64154881157,0
3g_report.2010-09-28_1003CEST,4.760357686245323,5.651140528907946,3.8695748435826993,94.51420391026029,59700,82.36778524788532,1737.8210999551864,2023.7272167180001,1.3786629732225302,0,17.0,25226066.0,20574.879891365505,24424.958226871513,16724.8015558595,0
3g_report.2010-09-28_1407CEST,4.880850596897542,5.806059592166438,3.9556416016286455,95.57144319510145,59700,90.37181751938787,1822.2806109433654,2023.7272167180001,0.5326796018744433,0,17.0,25226066.0,20310.715998275926,24160.79433378193,16460.637662769925,0
3g_report.2010-09-30_1114CEST,4.6834139164766375,5.588626214673946,3.778201618279329,89.10242239809986,67950,172.40702841698212,2077.6404710620973,2066.4234001020004,0.2518892369229864,0,21.0,28589399.0,19763.40907507251,23583.289458935476,15943.528691209547,0
3g_report.2010-10-22_1458CEST,4.0374896974164205,4.923949037649578,3.151030357183264,72.82493223048449,31050,38.42792503007009,868.9246872666138,1793.6868476940003,0.7386633607573537,0,20.0,13514620.0,18950.705373915873,23111.466401606933,14789.944346224815,0
3g_report.2010-11-04_0957CET,4.275087345618568,5.105592698874591,3.4445819923625436,82.55802047750446,36150,38.39316549529914,884.6618342157861,1839.5074003749999,0.7774961212555198,0,17.0,15872622.0,20068.80766930895,23967.500457400984,16170.114881216916,0
3g_report.2010-11-10_1424CET,4.489705032806128,5.324030477224824,3.6553795883874334,88.47417086366107,63000,100.71158687674418,1945.4242301414556,2062.1562909380004,0.37980096439930233,0,21.0,26411949.0,20410.859603923323,24203.825820095295,16617.893387751352,0
3g_report.2010-11-16_1857CET,2.941960008701354,3.2626952583482676,2.6212247590544413,69.46483226224774,27750,29.129165127028088,614.1259622995296,1777.1649943529999,3.843843538808117,3,15.0,12178084.0,23895.767441280477,26500.906502693764,21290.62837986719,0
3g_report.2010-11-23_1606CET,3.612500579990436,4.330588514797669,2.894412645183203,66.89038794019531,39900,55.327366591773995,1305.9284522994633,1746.105769784,0.7472359858431328,0,20.0,17591111.0,19278.101990242787,23110.17679234934,15446.027188136237,0
3g_report.2010-12-09_1222CET,4.1702475171568345,5.040432811775745,3.300062222537924,77.78742051130317,31200,37.584883607495904,696.5410405112854,1832.2026457849997,0.2980757103677308,0,19.0,13627795.0,19502.093940109604,23571.501161417644,15432.686718801562,0
3g_report.2010-12-09_1244CET,4.23230266913072,5.185342167101095,3.2792631711603453,78.17934214734068,34800,45.359557753274885,910.0495640107408,1865.108548754,0.3274624211373164,0,20.0,15096057.0,19458.754496705737,23840.520893502257,15076.988099909217,0
3g_report.2010-12-09_1334CET,4.402153081707746,5.263428039785374,3.5408781236301166,87.67589937122676,45300,55.051436812214746,991.2217603042769,1951.008764443,1.3413577297025794,0,18.0,19392165.0,20709.313466541964,24761.061044750455,16657.565888333473,0
3g_report.2010-12-21_1200CET,3.5504650691027457,4.305675447428441,2.795254690777051,65.25315577795067,28500,33.787599825707076,644.142127237387,1761.7364825119998,0.3295706202626241,0,22.0,12487448.0,19249.705456124357,23344.261255782378,15155.149656466336,0
3g_report.2010-12-22_0800CET,4.347785453781763,5.338378205705216,3.3571927018583105,79.6075984171527,34700,42.33349358718606,948.3153523952451,1837.741440804,0.5817875847857817,0,18.0,15030904.0,19312.43426287025,23712.549587364294,14912.31893837621,0
3g_report.2011-01-29_1800CET,4.046724871235058,4.80108637492577,3.2923633675443447,79.3869807926437,66300,119.77532973377618,1961.3599390310992,2064.6255524780004,7.327993533548882,0,21.0,27929883.0,20323.83609382915,24112.46023911862,16535.211948539687,0
3g_report.2011-01-31_1830CET,4.89313608748152,5.81790777201572,3.9683644029473197,94.8571114251036,63600,116.23945445807881,1939.5685012492577,2035.668444168,0.33537217889056387,0,18.0,27036955.0,20103.83042413,23903.32686046998,16304.33398779002,0
3g_report.2011-01-31_2356CET,-0.34058746555131025,-0.2846958655298966,-0.39647906557272394,-27.250044048911022,28850,41.24789073482877,883.6933678015205,1534.664185184,51.46090025396268,4,22.0,12683917.0,82223.21387437428,68730.09552105267,95716.3322276959,0
3g_report.2011-02-01_0629CET,4.902620301038168,5.846158810556424,3.9590817915199135,95.16697379840754,66300,125.80613119467431,1966.7578786874144,2043.8451893780002,0.3557470098374579,0,18.0,27927251.0,20158.09260088801,24037.637717474994,16278.547484301023,0
