,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,4.578173445859916,4.88284426511949,4.273502626600341,157.01605932617946,65400,60.523640337573376,774.9154268820847,3194.0094476179997,7.275591165841565,2,24.0,26954465.0,34449.22589827018,36741.7720417055,32156.679754834866,0
3g_report.2010-09-21_1735CEST,0.2078906846152631,0.20135643824367022,0.214424930986856,9.79330583818603,28450,37.57637245103993,656.5279826101624,1552.4402222969998,17.94608242310639,4,25.0,12530220.0,47154.54378429907,45672.42154685057,48636.66602174757,0
3g_report.2010-09-28_1003CEST,9.471393594207656,11.125753285791212,7.817033902624099,249.3406983776536,79150,73.86535295730948,1000.0269443993342,3610.939325928,3.6090448343079924,1,4.0,32627426.0,27154.113904245394,31897.098245148005,22411.129563342787,0
3g_report.2010-09-28_1407CEST,3.7318809454018425,3.569734947407949,3.894026943395736,199.03578699216993,85600,76.68887396235584,773.3780185301651,3507.00265232,19.57337254245394,2,12.0,34871862.0,53434.780244936075,51113.09959725223,55756.460892619914,0
3g_report.2010-09-30_1114CEST,10.097041397747955,11.961746591561443,8.232336203934464,313.14937442488474,212350,188.48455999397805,1005.7495660269956,4225.18036929,0.28398961529384,1,2.0,85922869.0,32109.089388072556,38038.94382681089,26179.234949334215,0
3g_report.2010-10-22_1458CEST,6.792861742062405,8.216387919946365,5.369335564178445,145.57192578744105,39850,41.499023935076295,794.030257475554,2628.8313685359994,0.42208231479171865,1,15.0,17238993.0,22414.493038401204,27111.72063050502,17717.26544629739,0
3g_report.2010-11-04_0957CET,6.591947247079865,7.8889492811598885,5.294945212999841,147.44136906943748,38950,38.552606420796984,650.7075125544875,2689.826302388,1.0081498224087828,1,16.0,16716149.0,23267.64576553111,27845.683597905416,18689.6079331568,0
3g_report.2010-11-10_1424CET,9.938511351304534,11.905477002765716,7.97154569984335,258.31136908142497,109650,98.63298487949871,920.0345774597025,3861.72504637,0.2929311740890688,1,10.0,44407500.0,27050.51380746245,32404.17590361441,21696.851711310486,0
3g_report.2010-11-16_1857CET,0.9897413561990769,1.0329436952479336,0.9465390171502203,33.65976898817337,30900,28.333122446642726,546.4028894230847,2031.4639711379998,8.347735608398004,3,35.0,13492364.0,34073.573164270696,35560.8890688036,32586.257259737802,0
3g_report.2010-11-23_1606CET,4.6743733983088145,4.717572606983658,4.631174189633971,188.22843605855627,61400,60.27800122030892,986.5822759288387,3166.485621018,12.946229452399528,2,9.0,25719503.0,40271.60387842373,40643.78240832981,39899.42534851766,0
3g_report.2010-12-09_1222CET,3.3497192488276717,3.5518465716177485,3.1475919260375953,109.48252337420266,35150,33.34098711942547,713.0806444626093,2405.8037476,7.479598679297339,2,18.0,15092986.0,32803.530500465786,34782.94707409126,30824.113926840313,0
3g_report.2010-12-09_1244CET,6.239081893892522,7.470438743685478,5.007725044099566,138.88880891872157,42600,41.06308205762745,740.9835324492358,2702.572174787,0.38571170784103115,1,20.0,18322006.0,23163.349251499392,27734.91110147303,18591.787401525755,0
3g_report.2010-12-09_1334CET,4.549826353241655,4.795442641001536,4.304210065481774,149.45275654683147,44850,41.150122929082414,647.7324257474768,2907.2137547959996,7.806969771395212,3,16.0,19559457.0,32944.01993711087,34722.45877249095,31165.58110173079,0
3g_report.2010-12-21_1200CET,2.314491162088935,2.4605849115915537,2.1683974125863164,76.96740527862897,33350,30.66136628183741,624.8870372840216,2286.765173741,7.959388220424367,2,27.0,14309129.0,33387.59491827114,35495.064157463414,31280.125679078872,0
3g_report.2010-12-22_0800CET,7.038538750120937,8.204956036281711,5.872121463960162,170.0449360073004,43800,39.74205479336112,749.6011486329521,2792.4353287539993,2.47154881085258,1,9.0,19092655.0,24841.33435344261,28958.00726380445,20724.66144308077,0
3g_report.2011-01-29_1800CET,3.5353087479089575,3.3054586494628198,3.765158846355096,229.25767255820875,132500,120.50828301024151,1245.1544940227218,3824.048026901,26.16903982062503,2,8.0,53077585.0,65123.26937048178,60889.24316702979,69357.29557393378,0
3g_report.2011-01-31_1830CET,10.92019821785794,13.247536681133873,8.592859754582006,296.13697250143935,142100,125.6762489639855,885.5332325340385,4043.85434801,0.2609849678981969,1,2.0,56671110.0,28408.630578241075,34463.14509480142,22354.116061680732,0
3g_report.2011-01-31_2356CET,0.4415764873512704,0.365405357769139,0.5177476169334019,47.659646183305476,44500,42.62902371117067,882.4534887295428,2401.3969326789997,64.13519135619262,5,12.0,19022903.0,111240.70556415516,92051.88903734917,130429.52209096114,0
3g_report.2011-02-01_0629CET,10.308719239857158,12.511575016736144,8.105863462978173,286.7193421413444,152150,135.66030179386468,984.2154547442691,4048.9577028199997,0.2514946532446271,1,6.0,60052789.0,29144.0856727539,35371.84452351988,22916.326821987914,0
3g_report.2011-02-01_0740CET,6.132292496515785,6.515400457374434,5.749184535657134,254.71870791820282,142150,118.04532079007751,805.8440392060627,3954.090253451,9.314635922519019,2,11.0,56913986.0,41700.027548614846,44305.18908175703,39094.86601547267,0
3g_report.2011-02-01_0840CET,2.0109594865057523,1.8758654620654773,2.1460535109460275,129.29369675287944,110300,104.24437384333324,744.7955059071464,3091.474763326,26.157561139964617,5,21.0,43788981.0,64586.0077109187,60247.19145790728,68924.82396393012,0
3g_report.2011-02-02_1251CET,3.737187215744652,4.506704537213284,2.9676698942760207,82.83571699855872,43350,42.52692734808631,620.6745815745994,2587.5572265749997,0.35493197639126506,2,39.0,18904634.0,23146.632314241644,27912.712649857218,18380.551978626074,0
