,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,8.76493783355519,10.5797736636769,6.950102003433481,198.84250014583765,61150,62.63553612390065,813.2372099361326,3110.462343948,0.4230797736491562,1,9.0,25372014.0,23702.30050135022,28610.011773583425,18794.58922911701,0
3g_report.2010-09-21_1735CEST,0.6103846998934586,0.6350140012630506,0.5857553985238665,21.223593397226427,23300,35.8645791390952,688.3394422257549,1207.8484662610003,9.600040732248603,2,16.0,10058762.0,34827.5524377245,36232.86008240123,33422.24479304778,0
3g_report.2010-09-28_1003CEST,8.382345013373774,9.851259104542473,6.913430922205075,216.30479881221726,73850,75.65963518925811,1546.8717757244888,3239.699593464,3.6090448343079924,1,6.0,30365409.0,26622.345606879553,31287.61988746764,21957.071326291465,0
3g_report.2010-09-28_1407CEST,4.209453157644315,4.209218517374686,4.209687797913944,190.83231502185953,83050,72.3694862782561,545.983045999168,3147.289324364,14.174778215585148,4,5.0,33360947.0,45334.22952295916,45331.702535381366,45336.75651053696,0
3g_report.2010-09-30_1114CEST,10.519922424842479,12.700805845271327,8.33903900441363,322.27324275960933,219200,188.62530225955567,772.6915174487913,4267.23049813,0.28398961529384,1,0.0,87873866.0,32010.282286580026,38646.328742321355,25374.2358308387,0
3g_report.2010-10-22_1458CEST,7.07978992448253,8.611119329549119,5.548460519415942,149.5598320540688,38100,40.36771729541605,806.0991780566615,2481.8051335289997,0.42208231479171865,1,9.0,16221337.0,22161.708204388884,26955.19442387818,17368.22198489959,0
3g_report.2010-11-04_0957CET,4.951758701172702,5.92843103253933,3.975086369806074,108.05080516903826,36000,36.243384322876146,905.8651485843121,2262.534970615,1.0081498224087828,1,18.0,15539990.0,22703.935252954132,27182.001877938957,18225.868627969307,0
3g_report.2010-11-10_1424CET,11.570313101453596,14.080592143525676,9.060034059381517,296.1171786987503,113150,99.87779244530093,611.4724956156072,4005.79209711,0.2929311740890688,1,0.0,45569017.0,26857.028813086996,32683.8924399104,21030.16518626359,0
3g_report.2010-11-16_1857CET,3.0333308255533753,3.623397466033613,2.4432641850731383,65.35088522323284,28200,28.631342820884058,696.8135057072473,1974.390600198,0.4321425611272275,1,27.0,12274239.0,22391.585606099616,26747.36756773463,18035.803644464602,0
3g_report.2010-11-23_1606CET,6.15325852932307,7.316788498188526,4.989728560457615,145.99053292378827,50350,56.32238761884348,1312.332127595914,2575.441676559,2.3711592647562507,1,13.0,21645397.0,24605.51357171487,29258.211374608174,19952.815768821565,0
