,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,4.3743450975204325,4.601118807911197,4.147571387129667,156.06080206664276,66050,61.08789764938803,787.6460730223752,3226.5541390749995,8.054149688848314,2,25.0,27120826.0,35772.52199679581,37627.03218343998,33918.011810151635,0
3g_report.2010-09-21_1735CEST,0.6938527786220157,0.6487469833357666,0.7389585739082647,37.467234420165745,32150,40.128805222851426,670.9400824470301,1777.2054079160002,22.651925316263075,4,19.0,13595099.0,54227.99227430401,50702.75350078958,57753.23104781844,0
3g_report.2010-09-28_1003CEST,7.824245775702037,8.991052989650958,6.657438561753117,221.45605167452396,81650,73.89532414730837,881.4831791815711,3539.5643498030004,4.570882059019112,2,11.0,33559779.0,28947.583294344815,33264.45293040864,24630.71365828099,0
3g_report.2010-09-28_1407CEST,3.475367995084508,3.260287867645487,3.690448122523529,201.28763250431334,86600,77.72694134094135,796.4434216671443,3550.31678376,22.76930026580331,2,10.0,35032869.0,58141.04543851651,54542.87008556371,61739.2207914693,0
3g_report.2010-09-30_1114CEST,10.304236192067963,12.224775483621785,8.38369690051414,319.250919157229,213600,188.6823254095412,1034.4431896018357,4259.31641836,0.28398961529384,1,1.0,85839769.0,32097.521677681987,38079.96912885181,26115.074226512163,0
3g_report.2010-10-22_1458CEST,7.38576721620665,8.89029458802495,5.881239844388351,162.64962160879912,41850,41.6280566783137,777.0627579638976,2725.738093932,0.42208231479171865,1,12.0,17864863.0,22975.429033161927,27655.668857646237,18295.18920867762,0
3g_report.2010-11-04_0957CET,6.490251332569629,7.825525701750685,5.154976963388573,143.56595341819937,38900,37.97535145772931,682.7323553624482,2666.768065756,1.0081498224087828,1,16.0,16729847.0,23097.912055573768,27849.969929609095,18345.854181538445,0
3g_report.2010-11-10_1424CET,10.835253185788963,13.174706309882165,8.49580006169576,276.62127314325454,111650,99.4043967991765,940.1382488608043,3909.8660386700003,0.2929311740890688,1,4.0,44434634.0,26778.078706609012,32559.767312607986,20996.390100610042,0
3g_report.2010-11-16_1857CET,1.4052119782921169,1.4983486237701706,1.312075332814063,43.70976292548756,30450,29.012507230506483,585.053357856016,1974.322061344,6.590542462369301,3,30.0,13193570.0,31242.706575114018,33313.45528136818,29171.957868859856,0
3g_report.2010-11-23_1606CET,4.000090497540892,3.8982908235764224,4.101890171505362,189.42883010060817,64650,61.149379721227135,989.4487465981238,3262.732137185,17.722797067858714,2,9.0,26720588.0,47386.827102724135,46180.863499592255,48592.790705856016,0
3g_report.2010-12-09_1222CET,3.3947408086677617,3.826707001566777,2.9627746157687462,92.24934549440559,34350,33.66231508925818,716.3159582715317,2317.358631968,3.7171985302360344,3,23.0,14560766.0,27621.425531617166,31136.13334049367,24106.71772274066,0
3g_report.2010-12-09_1244CET,7.257167087096404,8.716453028480592,5.797881145712215,160.45065666896406,43050,41.281299377117946,750.2285305909239,2774.0563795759995,0.38571170784103115,1,14.0,18375979.0,23040.904227225845,27674.016185658493,18407.792268793193,0
3g_report.2010-12-09_1334CET,5.660417902321276,6.235588456395638,5.085247348246915,166.97774201941564,44550,40.520947226088836,693.1817797000369,2896.392578225,5.035748487760503,2,11.0,19115848.0,29806.95098320372,32835.716846099815,26778.185120307622,0
3g_report.2010-12-21_1200CET,2.9800284761784415,3.3938045304925675,2.566252421864316,78.40091910263736,31850,30.25964252999474,644.3173716145387,2138.2715161399997,3.5768940008053525,2,24.0,13670863.0,26825.9660575355,30550.7433464714,23101.188768599604,0
3g_report.2010-12-22_0800CET,5.610958836932131,6.561809747880849,4.660107925983413,135.75277622595226,43650,39.7657671789002,743.3730760201707,2749.5748386529995,2.47154881085258,1,22.0,18986266.0,24909.56786240199,29130.82237195282,20688.313352851157,0
3g_report.2011-01-29_1800CET,3.849121608437404,3.632198950992556,4.066044265882251,238.1923262365284,128750,119.69498495612629,1356.6443091340534,3786.9510148090003,24.2770269116045,2,4.0,51057116.0,62079.42235030785,58580.84926304789,65577.9954375678,0
3g_report.2011-01-31_1830CET,10.937784253265507,13.184362431027312,8.691206075503702,299.99622054277694,143800,125.32336917575608,902.1395611066363,4076.9518382300002,0.2609849678981969,1,2.0,56946905.0,28635.578123773324,34517.214059429665,22753.942188116984,0
3g_report.2011-01-31_2356CET,0.37245433083040197,0.32426225537269626,0.4206464062881077,31.372640128305466,37600,36.04982257459837,808.2660301020584,2023.9718773999998,46.57466368068723,7,14.0,16294645.0,85666.39952258681,74581.97588122939,96750.82316394425,0
3g_report.2011-02-01_0629CET,10.556118885769994,12.761999972541288,8.350237798998698,295.42192946864964,153300,135.9170582610859,995.3156842708298,4092.41233397,0.2514946532446271,1,4.0,60363686.0,29263.712409676038,35378.864240737494,23148.560578614582,0
3g_report.2011-02-01_0740CET,6.729475546181968,7.267287000636996,6.191664091726941,267.5324713852541,141250,118.78469630785146,870.9561466687496,3946.210309821,8.079399361904182,2,6.0,55891538.0,40010.87249597393,43208.4924863286,36813.25250561925,0
3g_report.2011-02-01_0840CET,2.960590563342219,2.9009489703435127,3.020232156340925,156.4705534372799,110650,105.20385889499804,752.5985068349364,3224.423124787,18.02843242252319,4,19.0,43461828.0,52872.58604847343,51807.45894277454,53937.713154172314,0
3g_report.2011-02-02_1251CET,5.121951108337166,6.135858008271023,4.108044208403309,114.5415754821777,43750,43.02009748938612,645.0087653614944,2610.319781578,0.34977133981143665,1,28.0,18606539.0,23274.918637708925,27882.264569566803,18667.572705851046,0
3g_report.2011-02-10_1611CET,2.169190094239228,1.8986081503263492,2.4397720381521064,181.96910579290676,93450,90.6000296772558,812.1878194016065,3595.736313526,42.07451147989337,2,10.0,37761502.0,85213.94724382533,74584.47057649326,95843.42391115741,0
3g_report.2011-02-14_2032CET,7.679436945834679,9.295274283454859,6.063599608214498,181.51457483380585,68350,61.70167439278596,705.2659166519783,3156.911222818,0.41937790066159775,1,18.0,28537811.0,24731.3689237867,29935.11883401798,19527.61901355542,0
3g_report.2011-02-14_2124CET,10.527617538546131,12.752584961090948,8.302650116001313,259.5799305801338,87700,79.29500216833792,750.0846598209087,3705.09628458,0.30613997997106934,1,5.0,35946590.0,25809.895649584036,31264.707888853158,20355.083410314914,0
4g_report_bus_0001,5.701244570311454,9.344437632971719,2.0580515076511903,336.88277449264206,528150,795.4698293512141,2031.498539916791,4417.0575030400005,0.16767748214875502,1,0.0,204676649.0,99870.92382844086,163690.15704428073,36051.690612601,88.0
4g_report_bus_0004,5.71090499032537,9.35859412617382,2.063215854476921,336.8586140261866,525150,940.624469775536,2119.2893828670503,4416.934061270001,0.18426901098088855,1,0.0,202095893.0,99631.64785591836,163268.72115452462,35994.5745573121,86.0
4g_report_car_0001,5.699907673185722,9.341898706463672,2.0579166399077726,336.86852054928505,528150,813.4932669015502,2022.171994057935,4417.0575030400005,0.1790832246604502,1,0.0,204676649.0,99876.96056661294,163693.9582569205,36059.962876305355,88.0
4g_report_car_0002,5.699754988685718,9.341605471460046,2.05790450591139,336.87107749034243,528150,721.7799540745906,1852.9589939559155,4417.0575030400005,0.17703720759783492,1,0.0,204676649.0,99878.76723131895,163696.16594097082,36061.3685216671,88.0
4g_report_car_0003,5.738443282330024,9.379076482462702,2.0978100821973475,336.7166167547822,522150,1097.219849295183,2166.1029753611638,4414.820707520001,0.1953089305341069,1,0.0,201079535.0,98204.72795486666,160508.6273596745,35900.82855005882,86.0
4g_report_foot_0001,5.7105170857622,9.357854680430854,2.0631794910935466,336.8580941403628,525150,955.5567280036693,2123.621021537723,4416.934061270001,0.18468501402600332,1,0.0,202095893.0,99634.35500860916,163271.3467706186,35997.36324659972,86.0
