,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,2.8947950898904438,3.138180899624284,2.651409280156603,94.30131307325226,61550,62.47634354695659,779.8393021412032,2406.9723248819996,6.601130003841689,2,26.0,25469065.0,32808.080396654805,35566.48676574084,30049.674027568773,0
3g_report.2010-09-21_1735CEST,-1.1985431623039327,-1.41755456048766,-0.9795317641202052,-26.914871398318233,21900,32.88769786738097,1013.4120228303357,813.497434487,1.4114950419527137,2,28.0,9864478.0,23232.05784372822,27477.282906177734,18986.832781278707,0
3g_report.2010-09-28_1003CEST,6.142342250340831,7.442279493370572,4.84240500731109,149.524854005947,73950,69.58458733168996,915.1136632583809,2497.2467226179997,1.1701163434903046,1,12.0,30245078.0,25484.74619815254,30878.22141687726,20091.270979427823,0
3g_report.2010-09-28_1407CEST,7.5012995400276905,9.219959028381961,5.78264005167342,181.8791008140558,82500,70.88103439961517,821.773250035721,2760.1564437590005,0.18280004647380038,1,8.0,33327886.0,25589.63877250227,31452.60628169695,19726.671263307588,0
3g_report.2010-09-30_1114CEST,8.545914627005946,11.840429229461417,5.251400024550476,273.3838460566779,188650,179.7598546553879,1553.5211182823302,3815.921967309,0.11903472007764591,1,5.0,75517086.0,37574.12282913121,52059.23082960715,23089.014828655265,14.200000000000001
3g_report.2010-10-22_1458CEST,3.4446576073708046,4.1950398485154174,2.6942753662261913,77.36650155899075,43650,35.807950095768575,1074.7325959459504,1638.0922237280001,0.9461024182076323,2,13.0,17333684.0,23578.759260799437,28715.14267947905,18442.37584211983,0
3g_report.2010-11-04_0957CET,3.2386149346355397,3.97112654339869,2.506103325872389,67.140294814623,37250,34.163029038162954,1108.2838136421105,1407.3272585250002,0.23839598997493738,1,11.0,14899250.0,21848.91418237549,26790.71294526577,16907.115419485213,0
3g_report.2010-11-10_1424CET,10.479296580795365,12.822347666409996,8.136245495180734,264.6544376830318,111000,98.49781217246367,938.9941642105384,3681.725342719,0.14808248691905204,1,4.0,44774613.0,26583.96276793148,32527.833364884584,20640.092170978376,0
3g_report.2010-11-16_1857CET,2.5318232017491145,3.0480039953092968,2.015642408188932,53.65488374179603,28800,29.265328325982857,1147.0540293789652,1445.8564890510002,0.24058076225045372,1,17.0,12122465.0,22111.266272394634,26619.24730488544,17603.285239903824,0
3g_report.2010-11-23_1606CET,5.009766603844437,6.081768997454957,3.937764210233916,113.12005812521596,58200,47.24467268567006,1042.4776066699433,1930.83786793,0.23152414659207673,1,10.0,24231485.0,23663.418532227162,28726.976041690486,18599.86102276384,0
3g_report.2010-12-09_1222CET,1.7584064941862283,2.149677263125016,1.3671357252474405,37.07298081190348,30900,37.60317368644248,1234.7311165198414,1378.546421447,0.1295233120020896,1,22.0,13077246.0,22181.549988325103,27117.264311993287,17245.83566465692,0
3g_report.2010-12-09_1244CET,2.3547782518339337,2.8972848140286303,1.8122716896392372,50.35176926203436,41350,42.619839192162765,996.0899779197573,1640.1851825239999,0.13619680738451115,1,25.0,16950756.0,22581.368359621847,27783.786255612544,17378.950463631154,0
3g_report.2010-12-09_1334CET,3.6006798451969955,4.307882626176701,2.89347706421729,83.36818579268623,46550,49.892180980113146,1047.2310273743778,1893.9180539560002,1.1792969540415457,1,18.0,19455800.0,24082.4658131485,28812.457794697617,19352.473831599385,0
3g_report.2010-12-21_1200CET,1.2569067414514565,1.504552951813027,1.009260531089886,26.640399644618526,28500,35.4236710168128,1141.3533342517421,1186.310078129,0.13667556314721896,1,20.0,12363167.0,22051.240423974545,26395.959045232794,17706.5218027163,0
3g_report.2010-12-22_0800CET,2.9235989610768818,3.5278113107127522,2.3193866114410113,63.293951075075334,43650,42.7439834194974,1107.268700754265,1595.5472670899999,0.1939520906671246,1,19.0,17129089.0,22615.256180298755,27289.09047023922,17941.421890358288,0
3g_report.2011-01-29_1800CET,7.9101827731528775,8.861287411068483,6.959078135237273,258.44467449921285,114150,126.5204111619089,1295.0927499083184,3683.492202829,5.173560798548094,1,4.0,46092706.0,33151.68219225379,37137.77449782881,29165.58988667877,0
3g_report.2011-01-31_1830CET,10.25389046774343,12.58288075682494,7.924900178661919,248.13185907487176,105900,115.68768664834072,1543.6228392653866,3504.0092488689997,0.1379930523694042,1,5.0,42827732.0,25515.102764488896,31310.40814154048,19719.797387437317,0
3g_report.2011-01-31_2356CET,0.49895837342346805,0.42479033522221704,0.573126411624719,44.90529418284877,43350,35.35063372403177,891.3605427373238,1841.9395638820001,48.289743410105956,5,4.0,18244044.0,92031.56584772891,78351.46535220678,105711.66634325104,0
3g_report.2011-02-01_0629CET,9.576607475097125,12.057352560112136,7.095862390082114,244.74110987744305,121950,126.09788864907516,1740.5790382451628,3437.816534909,0.1426200193446413,1,4.0,48994786.0,27394.37948116142,34490.67871151471,20298.080250808136,2.2
3g_report.2011-02-01_0740CET,8.680387539941474,10.352052924064918,7.008722155818033,222.37507594275667,96350,96.27170953944638,1537.853834051959,3156.702019079,1.2741825548971768,1,4.0,38909465.0,26604.79377778692,31728.333781666628,21481.25377390721,0
3g_report.2011-02-01_0840CET,8.49737436894291,10.581500606231351,6.413248131654469,227.530568216514,112850,114.52787969880902,1667.9650821557132,3343.680420009,0.3523299476762081,1,8.0,44820583.0,28490.442813304864,35478.21065794571,21502.674968664018,2.0
3g_report.2011-02-02_1251CET,3.044686541606259,3.678776959212231,2.4105961240002873,64.57447700096526,40800,42.96071243638018,1056.114803951144,1659.4184116650003,0.13985658232986065,1,20.0,16342122.0,22170.50437134591,26787.76272725707,17553.24601543475,0
3g_report.2011-02-10_1611CET,2.7362977727579687,2.6566963563663473,2.81589918914959,139.96260892912738,77850,78.9520532620706,974.1899181155859,2594.0354021879994,18.382328947368283,2,9.0,31696517.0,51193.68163201592,49704.41039524448,52682.95286878736,0
3g_report.2011-02-14_2032CET,5.4868761997370665,6.716762454257961,4.256989945216173,121.57042299985235,59450,56.815080351496675,975.441374670282,1999.0530320850003,0.21317946916863179,1,8.0,24280074.0,23328.696627881058,28557.836538107895,18099.556717654224,0
3g_report.2011-02-14_2124CET,6.863055379233658,8.4277139204866,5.298396837980716,161.86571934952076,82800,73.40039231166308,931.5129094593954,2827.697687287,0.13244191559981033,1,18.0,33961718.0,24878.15200828346,30549.942614568252,19206.361401998674,0
4g_report_bus_0001,5.613690808696671,9.228312360868877,1.999069256524464,303.5908197351488,489900,1185.7187916485277,2056.348449645628,4155.025677098,0.08413219152172187,1,5.0,188673837.0,92381.92281017273,151866.08405101724,32897.76156932823,82.0
4g_report_bus_0004,5.722214263469651,9.390916207594506,2.0535123193447964,303.90531380372323,483750,1680.6839243787213,2124.213850623733,4139.838490128001,0.09226237717527383,1,4.0,185215874.0,90177.27993124758,147992.9343207879,32361.625541707283,80.0
4g_report_car_0001,5.604013408804158,9.208397871991123,1.9996289456171934,303.6369064171744,492900,1281.9707995584897,2050.9077692390792,4155.2841394980005,0.08363399394334342,1,5.0,189466498.0,92410.2687323597,151846.62488642643,32973.912578292984,82.0
4g_report_car_0002,5.613065644256404,9.221633583286252,2.0044977052265573,303.641749666429,486900,923.386098163742,1929.533953067131,4155.376460328001,0.08547091412742383,1,5.0,187544786.0,92203.66441542405,151480.21814877063,32927.11068207746,82.0
4g_report_car_0003,5.65451962316597,9.304896666459097,2.0041425798728434,303.63683270695657,492900,1740.3564210993695,2152.6296627285237,4155.2841394980005,0.08369297549981218,1,5.0,189466498.0,92068.27335365087,151504.60638694747,32631.940320354264,82.0
4g_report_foot_0001,5.680844191450922,9.356657018893285,2.005031364008559,303.5894248801535,489900,1672.0841855820477,2119.7906757474766,4155.025677098,0.08524832875607254,1,5.0,188673837.0,91930.07974446549,151413.80345951414,32446.35602941684,82.0
4g_report_foot_0002,5.564699423632389,9.134739457568347,1.994659389696431,303.5855479414642,489900,1009.9814082868473,2015.1216884253872,4155.025677098,0.08835058357190045,1,5.0,188673837.0,92716.68462675501,152199.19225791586,33234.176995594156,82.0
4g_report_foot_0003,5.774188345180573,9.458813217748315,2.08956347261283,300.9476430558706,469950,1309.8690127524928,2060.707526683192,4101.851788768,0.11430875814290145,1,4.0,180572899.0,87920.40395124453,144024.16916273904,31816.63873975003,78.0
4g_report_foot_0005,5.5951930592288734,9.191551005347778,1.9988351131099698,303.636350154737,492900,1197.592265703316,2100.2609060533114,4155.2841394980005,0.08407910488358476,1,5.0,189466498.0,92470.47044056669,151906.65211114482,33034.28876998855,82.0
4g_report_foot_0006,5.726890053547775,9.399862008644629,2.053918098450922,303.9116349993398,483750,1713.7051072795944,2139.8681015428106,4139.838490128001,0.08720427305888484,1,4.0,185215874.0,90149.13679048097,147966.77395683492,32331.49962412704,80.0
4g_report_train_0003,5.639003382920341,9.233532571416754,2.0444741944239286,303.88152630600985,480750,1077.754754633423,2081.0717886578586,4139.5800277280005,0.09534379606347004,1,4.0,184423213.0,90773.09334293785,148635.5401965025,32910.6464893732,80.0
4g_report_tram_0001,5.6836833633499735,9.352313480274946,2.015053246425001,303.61591736886413,486900,1297.0627305461826,2026.5112233261307,4155.168317838,0.08425243549014991,1,5.0,187474399.0,91569.07551289102,150673.8930633834,32464.25796239865,80.39999999999999
hd_trace0000,6.077265308050146,9.46765219886963,2.6868784172306635,261.7806194198014,326650,556.1171984351851,1453.0726494570038,3641.1325585689997,0.15809125945103117,1,4.0,128465782.0,62539.64000604354,97429.27619687974,27650.00381520734,50.0
hd_trace0001,5.109961615611937,7.876053912498798,2.343869318725076,197.83522790404578,270750,531.9488010249647,1675.5782581880749,3035.53792491,0.19248410882278158,1,11.0,106490700.0,54761.98614845936,84405.40021730232,25118.572079616395,42.0
hd_trace0003,5.514633039487066,8.578650168695244,2.4506159102788883,221.70451549329314,299550,979.9137834965657,1763.2706157849498,3133.6040735459997,0.1753619543739896,1,5.0,117258490.0,58156.32438086748,90468.89582466737,25843.752937067595,46.0
hd_trace0004,6.182113170279074,9.606425372187019,2.757800968371128,261.204906959617,319500,588.8359657674739,1536.0101428971896,3649.3524227189996,0.14066229403295472,1,5.0,125674415.0,60952.78436455941,94714.9232143085,27190.64551481032,48.0
pen_trace_215252_http---www.msn.com,8.35479621654512,10.182822662360863,6.526769770729378,200.21634913999824,88250,75.83949289483223,759.738490891462,3177.6991341790003,0.14796351764255494,1,13.0,35723674.0,25169.171818771538,30676.177676422576,19662.165961120503,0
pen_trace_216826_http---www.amazon.com,5.784236087902762,7.066768148183605,4.501704027621919,127.20989079553964,64050,70.42684536018432,1205.6401228592963,2153.95738376,0.19775164623402344,1,11.0,25557930.0,23129.65257841724,28258.16402299994,18001.141133834542,0
pen_trace_28919_http---www.google.com-mobile-,8.464986708508494,10.301660519629042,6.628312897387948,204.0554789248899,88100,73.05363731369522,708.3747208565352,3193.429356683,0.15952221481112036,1,12.0,35900051.0,25296.725315646552,30785.432444702947,19808.01818659016,0
pen_trace_663494_http---www.facebook.com,7.752633965893488,8.914072825391587,6.591195106395389,235.65002932156494,104900,83.85485874918162,634.0063679444531,3507.074832729,3.2015657713161016,4,5.0,42557470.0,31093.988421203274,35752.24606732024,26435.73077508631,0
pen_trace_665192_http---www.facebook.com,9.504979650230267,11.543730180857086,7.4662291196034465,234.24442747179756,93900,79.14870212988201,671.5617093854589,3459.885865099,0.15554674050423237,1,8.0,38458613.0,25832.88907631015,31373.860046266433,20291.91810635387,0
pen_trace_6780_http---www.facebook.com,0.3081627960742669,0.3719694550214244,0.24435613712710935,6.27362554382011,16350,16.47707660654223,1195.9643668101373,599.982660719,0.41824319461420606,1,10.0,7375445.0,21270.0381944543,25674.106726268517,16865.969662640084,0
pen_trace_7256_http---www.facebook.com,0.9645185096099171,1.1755831803993726,0.7534538388204617,19.29942801378963,18150,21.07081942621671,1183.219136061751,723.6016912389999,0.343070680225616,1,8.0,8230743.0,21015.754691989958,25614.612361658474,16416.897022321442,0
pen_trace_7289_http---www.yahoo.com,3.451765409664003,4.184948417927728,2.7185824014002775,74.7289808236795,46500,42.16018709781288,1045.6919251542452,1767.4426363620003,0.20595500695827387,1,19.0,18394573.0,22672.411795322765,27488.21620605959,17856.60738458594,0
pen_trace_797466_http---www.amazon.com,5.915159103104004,7.165138392532028,4.665179813675979,135.77209879978656,66850,64.66844394253036,919.3676868258947,2516.41408259,0.22671840281232386,1,18.0,27986864.0,24026.13932725026,29103.29381126329,18948.984843237227,0
