,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X,Stuttering
3g_report.2010-09-14_2303CEST,8.15394995726322,9.78833818426239,6.519561730264052,173.36354376598217,41700,55.393935333873564,1729.5113877748836,2761.252798931999,0.4230797736491562,1,8.0,17903254.0,22151.260793515976,26591.28802496371,17711.233562068246,0
3g_report.2010-09-21_1735CEST,1.6284980779950562,2.0205996654501464,1.2363964905399663,32.75677732939623,16500,29.72953250501985,1249.603515700274,757.6125226040002,0.341190591156791,1,4.0,7139579.0,21352.581020702426,26493.74822722968,16211.413814175168,0
3g_report.2010-09-28_1003CEST,8.595735089984986,10.05392593836003,7.137544241609942,204.37803580973934,50050,68.58566669377379,1991.3583022662092,3051.874840006,3.6090448343079924,1,2.0,21620174.0,24481.202638879513,28634.223325478106,20328.18195228092,0
3g_report.2010-09-28_1407CEST,11.520968997240587,13.992980962075986,9.048957032405186,252.0509013497243,65950,82.72393073342488,1611.3717578412918,3508.29954135,0.2807409790852678,1,0.0,27280021.0,22933.40250787222,27854.138377174935,18012.666638569503,0
3g_report.2010-09-30_1114CEST,12.23884030413542,15.051581044786541,9.4260995634843,304.7287361697733,122550,153.9311593855377,1869.472445310405,4072.14453513,0.28398961529384,1,0.0,48921793.0,26286.909769552418,32328.189843258162,20245.629695846674,0
3g_report.2010-10-22_1458CEST,3.171338434512483,3.8358238853387214,2.5068529836862443,63.83141981913192,22800,32.74436503040323,1708.5810124654733,1345.6652886360002,0.42208231479171865,1,9.0,9966894.0,21051.816281618558,25462.76954991989,16640.86301331723,0
3g_report.2010-11-04_0957CET,2.7416244068827265,3.2948662096070938,2.1883826041583587,56.45710522117308,21150,32.18055198447039,1964.380198218962,1245.263776765,1.0081498224087828,1,9.0,9482990.0,21466.711802127378,25798.553284920763,17134.87031933399,0
3g_report.2010-11-10_1424CET,11.691640133354921,14.15343413398448,9.229846132725363,266.14215968043396,76350,95.1556686733743,1749.13993558468,3706.8386718799998,0.2929311740890688,1,2.0,31180364.0,23819.510199717974,28834.950859776494,18804.069539659456,0
3g_report.2010-11-16_1857CET,1.3112791177466354,1.5828741278266292,1.0396841076666419,25.48487391499105,16950,24.514801944309923,1647.2500324576945,686.7780043629999,0.4321425611272275,1,4.0,7604273.0,20306.25559103901,24512.131836069544,16100.37934600848,0
3g_report.2010-11-23_1606CET,3.6835095519282284,4.370112348442334,2.9969067554141224,80.75136722361006,24900,37.527393374158564,1845.5199153827418,1454.787946772,2.3711592647562507,1,5.0,11195972.0,22711.501741483655,26944.90480150143,18478.09868146588,0
3g_report.2010-12-09_1222CET,1.346236851468018,1.6322020527933463,1.0602716501426899,26.232245147146823,18600,30.93252613475924,1756.9190790852224,751.3343557129999,0.4292276943576077,1,6.0,8230923.0,20406.375218817153,24741.060598589545,16071.689839044762,0
3g_report.2010-12-09_1244CET,3.6803225168747327,4.470651111404951,2.8899939223445146,74.7754323571341,24300,35.358062430033065,1650.4811090075148,1482.2162698910001,0.38571170784103115,1,9.0,10546509.0,21299.877377023622,25873.906439385293,16725.848314661955,0
3g_report.2010-12-09_1334CET,1.703601064822287,1.8827850731952205,1.5244170564493538,46.08671656449016,22500,34.61995396104995,1933.6527673536127,1374.4987744640002,5.035748487760503,2,14.0,9894167.0,27355.151538689068,30232.354308495178,24477.94876888296,0
3g_report.2010-12-21_1200CET,1.0483553574832598,1.2657014291146254,0.8310092858518944,20.56860017541242,17400,27.139372097566604,1678.222941811279,718.7474050909999,0.5726818538884525,1,7.0,7881241.0,20501.050147499613,24751.34818057645,16250.752114422772,0
3g_report.2010-12-22_0800CET,3.280874623804227,3.881154713323264,2.6805945342851896,71.59765524194178,24750,34.21654195197136,1810.3817684725723,1644.205406872,2.47154881085258,1,14.0,10926970.0,22578.565768102402,26709.617708384267,18447.51382782054,0
3g_report.2011-01-29_1800CET,2.731770503445486,2.524177040503344,2.9393639663876283,156.0050914517383,61650,81.47146405369193,2033.2019549202091,2866.8723910290005,24.2770269116045,2,7.0,25514363.0,57439.38823882312,53074.43829198972,61804.338185656525,0
3g_report.2011-01-31_1830CET,10.956604123326933,13.23718471670613,8.676023529947736,247.7309355146918,75650,104.20573622772183,1815.3790691448603,3639.5039814399997,0.2609849678981969,1,8.0,30707147.0,23634.14319978573,28553.51125542465,18714.775144146803,0
3g_report.2011-01-31_2356CET,-0.7232639770240696,-0.6253852923889998,-0.8211426616591395,-59.5787151311517,12000,20.72360948831392,1439.8205425401982,543.1218545950001,46.57466368068723,7,4.0,5626775.0,83911.53942558824,72555.86381393386,95267.21503724264,0
3g_report.2011-02-01_0629CET,11.977170961114982,14.557265665047701,9.397076257182265,279.67628820100106,88250,112.55017240790364,1866.180022047278,3824.85822323,0.2514946532446271,1,1.0,35644554.0,24487.098987939615,29762.05370125012,19212.144274629107,0
3g_report.2011-02-01_0740CET,6.580612839789028,6.953848562637524,6.207377116940531,226.87333689507437,71950,96.3398890386571,1879.6183468343402,3485.558242271,8.079399361904182,2,5.0,29143254.0,34587.28239340662,36548.985605516886,32625.579181296354,0
3g_report.2011-02-01_0840CET,9.791273593704183,11.944230912740318,7.63831627466805,237.4497798798634,89350,113.64764604194689,1617.063163309768,3492.327480858,0.24019049945048238,1,8.0,35750727.0,25483.2684693418,31086.665089706912,19879.87184897669,0
3g_report.2011-02-02_1251CET,5.448681879815775,6.594045705915394,4.303318053716156,111.60266665684335,30450,43.76677564632952,1594.3892233001313,2120.505290834,0.34977133981143665,1,14.0,13254766.0,21429.430309379153,25934.096728097567,16924.763890660735,0
3g_report.2011-02-10_1611CET,9.674910369907117,11.79201915633956,7.557801583474676,216.4177577506968,65850,90.93402594184322,1632.3653750599935,3150.743681335001,0.25290888511601584,1,5.0,26911891.0,23493.95763564726,28635.014476153978,18352.90079514054,0
3g_report.2011-02-14_2032CET,7.428550529388925,8.956837361717174,5.900263697060676,153.5764055534317,38100,50.62633379667728,1755.5558395973264,2508.04217083,0.41937790066159775,1,9.0,16518694.0,21587.50595706179,26028.73590716608,17146.2760069575,0
3g_report.2011-02-14_2124CET,10.243615121149958,12.460605049575,8.026625192724918,215.38407587089716,53050,72.66403259319605,1743.0673396653833,3194.0921217799996,0.30613997997106934,1,5.0,22476023.0,22059.45248188582,26833.70291989148,17285.202043880156,0
4g_report_bus_0001,5.701244570311454,9.344437632971719,2.0580515076511903,336.88277449264206,528150,795.4698293512141,2031.498539916791,4417.0575030400005,0.16767748214875502,1,0.0,204676649.0,99870.92382844086,163690.15704428073,36051.690612601,88.0
4g_report_bus_0004,5.71090499032537,9.35859412617382,2.063215854476921,336.8586140261866,525150,940.624469775536,2119.2893828670503,4416.934061270001,0.18426901098088855,1,0.0,202095893.0,99631.64785591836,163268.72115452462,35994.5745573121,86.0
4g_report_car_0001,5.699907673185722,9.341898706463672,2.0579166399077726,336.86852054928505,528150,813.4932669015502,2022.171994057935,4417.0575030400005,0.1790832246604502,1,0.0,204676649.0,99876.96056661294,163693.9582569205,36059.962876305355,88.0
