,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.686401845938293,4.515717645840384,2.8570860460362013,91.92926330541445,56850,62.8940138072606,873.3156974819082,2027.1686158333334,1.4828736687678545,1,19.0,24707880.0,26266.750907701593,32175.881938506252,20357.619876896937
3g_report.2010-09-21_1735CEST,-0.03955005312990346,-0.03820787705420133,-0.04089222920560558,-2.0805113615561073,24900,40.662674638266914,646.5652687083873,822.0458722916666,21.695117371658583,2,9.0,11285378.0,52665.167405431974,50877.91499688911,54452.41981397484
3g_report.2010-09-28_1003CEST,4.463840039686744,5.29032038357164,3.637359695801849,127.16270735821429,70900,75.38142881629291,1421.5226507020925,2332.951796145833,4.993261495844876,1,11.0,30355001.0,29498.51578231201,34960.16836195286,24036.863202671153
3g_report.2010-09-28_1407CEST,1.2283380710053828,1.178541589602349,1.278134552408417,72.23024580866024,80000,76.60416070753055,641.8308846239661,2142.130762708333,23.03620677406336,2,19.0,33902142.0,58900.03012439441,56512.2393980784,61287.820850710414
3g_report.2010-09-30_1114CEST,5.5117595193549125,6.69484285156543,4.328676187144394,173.76607205035654,170150,186.28957247224562,1294.4031671444898,3001.2562217708332,0.7671767760207695,1,16.0,69692577.0,33049.10924495837,40143.005514346216,25955.21297557051
3g_report.2010-10-22_1458CEST,3.550714852473051,4.39414408886689,2.7072856160792123,82.7016703916261,36150,41.50996825621807,876.0241308599707,1621.11687125,1.4524092189789248,1,9.0,16051526.0,24684.350732922547,30547.81878219322,18820.88268365188
3g_report.2010-11-04_0957CET,2.804399406121437,3.4051094326927966,2.203689379550078,69.11236322436164,34800,37.962905454986135,1057.0113605952063,1486.9274273958333,2.947097744360902,1,10.0,15600054.0,25829.390463390504,31362.11657854981,20296.6643482312
3g_report.2010-11-10_1424CET,5.538569048918113,6.710141413255278,4.366996684580949,155.56997743688018,107900,100.20026725179218,524.1597923080665,2732.222993958333,0.8109635627530364,1,14.0,45432771.0,29404.1634414482,35624.02004704258,23184.306835853822
3g_report.2010-11-16_1857CET,1.6286771877711668,2.058547421141578,1.1988069544007554,36.72922300080162,26700,28.66373324777215,714.307020137045,1143.1456361458331,1.4926813095731457,1,12.0,12068767.0,24240.223781509314,30638.146422132962,17842.301140885666
3g_report.2010-11-23_1606CET,2.0759292362530406,2.204412903275577,1.9474455692305042,80.06426050483941,53000,58.0953756409663,1142.4296065012445,1950.7489413541668,11.743501083143299,2,14.0,23065478.0,38716.22182961085,41112.45098186506,36319.992677356626
3g_report.2010-12-09_1222CET,1.2797239487648193,1.5982987945709568,0.961149102958682,29.19123369689822,30300,33.98546317035457,642.2008272653351,1206.298196458333,1.4784072157023522,1,18.0,13665944.0,24317.560796509297,30371.18133600661,18263.940257011982
3g_report.2010-12-09_1244CET,3.0073685037438596,3.741649853942547,2.2730871535451715,69.47359631223105,36600,40.66041645028029,757.5642513612553,1448.3456169791666,1.265309559613319,1,9.0,16177210.0,24565.589863248344,30563.5427149716,18567.637011525083
3g_report.2010-12-09_1334CET,2.172561232918132,2.3332784439092236,2.0118440219270397,78.52132426534583,37050,40.508644462834596,1171.7519503517956,1586.564383125,9.6005874811894,1,6.0,16544243.0,36341.15829910959,39029.52883501096,33652.787763208216
3g_report.2010-12-21_1200CET,0.1883682993600646,0.23541072988661768,0.1413258688335115,4.333085445246809,27150,30.12426916676389,712.8638251812488,1025.8802058333333,2.0651903490978967,1,22.0,12351972.0,24533.366798990723,30660.24274969352,18406.490848287925
3g_report.2010-12-22_0800CET,3.0972597245002658,3.7378834119142206,2.456636037086311,78.66542796715177,38850,41.17099086621286,951.6870445318476,1685.7113224999998,3.3504292092384302,1,12.0,17371333.0,26533.525926378235,32021.604657584023,21045.44719517245
3g_report.2011-01-29_1800CET,1.557746610771314,1.4590691312098756,1.6564240903327525,104.02999853769694,103150,118.54604058549108,1853.883064249391,2394.796195729167,27.86000266716048,1,12.0,43071963.0,67051.42312649182,62803.96375833846,71298.88249464518
3g_report.2011-01-31_1830CET,5.425032615652237,6.575080411336523,4.274984819967949,153.91487288168528,122500,125.62841017448592,938.1516302260668,2776.8084113541663,0.6545230863865288,1,17.0,50993439.0,29706.213368197292,36003.606881308,23408.81985508659
