,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.7063962681465692,1.8520520182138744,1.5607405180792642,63.69735232452635,60700,61.406773424454414,827.4963523503685,2067.5994966666667,8.978825616398483,2,26.0,26639912.0,37602.5578129562,40812.26288846267,34392.85273744973
3g_report.2010-09-21_1735CEST,-0.07031381421875843,-0.06816044124966911,-0.07246718718784777,-3.722590966509042,30600,39.59495837477072,570.8417258884244,988.6229729166666,21.62933901685606,4,12.0,13385313.0,52992.22790002389,51369.33156877509,54615.12423127269
3g_report.2010-09-28_1003CEST,4.631560669424855,5.456427817604212,3.8066935212454975,135.8573315447961,75900,73.63128801012346,964.5008198742623,2476.457617708334,4.993261495844876,1,12.0,32161987.0,30293.824848015774,35689.06474518218,24898.58495084937
3g_report.2010-09-28_1407CEST,1.2333412614995254,1.1590059128913774,1.3076766101076733,79.61980765803384,82300,78.44257321442522,814.2077826172512,2370.612498125,26.547065473702784,2,20.0,35143634.0,64791.55122153736,60886.46615119772,68696.636291877
3g_report.2010-09-30_1114CEST,5.74163459513478,6.988462956912899,4.49480623335666,178.04290583043402,167250,186.1441684401612,1300.9536914059763,3021.7155458333336,0.7671767760207695,1,15.0,68449946.0,32543.749009893734,39610.80780505059,25476.69021473688
3g_report.2010-10-22_1458CEST,3.293561362276471,4.0784094540200995,2.5087132705328425,77.61900516668257,37700,41.09874348382837,818.4337354838282,1581.2361724999998,1.4524092189789248,1,10.0,16627912.0,24985.726359910943,30939.767441098018,19031.685278723868
3g_report.2010-11-04_0957CET,2.6571358758243955,3.244685599441274,2.0695861522075174,66.42098148895997,36600,38.53114282904622,686.8460707831687,1594.9807629166664,2.947097744360902,1,14.0,16226184.0,26282.272922103966,32093.847080544212,20470.69876366372
3g_report.2010-11-10_1424CET,5.637885902613695,6.874161911601509,4.401609893625881,152.96965748767389,103300,101.17833915189726,970.1897464870462,2685.4898965624993,0.8109635627530364,1,14.0,42864509.0,28502.980155127025,34753.115606449894,22252.844703804156
3g_report.2010-11-16_1857CET,-0.37246160863562905,-0.39968385857724836,-0.3452393586940098,-13.820644054276137,28950,28.991515660309943,579.9732865464347,1114.27182125,10.387918557521344,4,24.0,13077978.0,37305.50179192248,40032.06386015088,34578.93972369407
3g_report.2010-11-23_1606CET,1.9311614444497804,1.9350516567582603,1.9272712321413004,92.7381831261997,59250,60.54023576119541,965.2930923497845,2187.585343750001,17.680416268079494,2,14.0,25709573.0,48022.16807069897,48118.9059326967,47925.43020870123
3g_report.2010-12-09_1222CET,1.0004229369777593,1.102458743896847,0.8983871300586717,33.75871425292743,32400,34.34171010295901,729.4007236180904,1344.0461295833334,8.015317837130363,2,15.0,14498748.0,34099.15914797282,37577.02344948188,30621.294846463767
3g_report.2010-12-09_1244CET,2.9582845982454633,3.64671953761832,2.2698496588726065,70.49377594556057,40350,41.019643187638735,703.6483205928668,1601.3173763541665,1.265309559613319,1,14.0,17958566.0,25193.660308411032,31056.583712497308,19330.736904324756
3g_report.2010-12-09_1334CET,2.1849233786004856,2.3429564387283666,2.0268903184726046,81.69744627986447,42900,40.3182678864292,704.6094465763165,1842.690694375,9.6005874811894,1,12.0,19128320.0,37588.08763694478,40306.791904472106,34869.38336941746
3g_report.2010-12-21_1200CET,0.74579402163477,0.9184080666897986,0.5731799765797415,18.095717404065972,28900,29.85700138770231,606.9918453017139,1120.437338125,2.6299311560120424,2,19.0,13140393.0,25637.047205377436,31570.74242552239,19703.351985232486
3g_report.2010-12-22_0800CET,2.992690006462311,3.5900660543568215,2.395313958567801,77.89172541784768,42450,39.2190937804372,753.3693093820185,1780.2486056249998,3.3504292092384302,1,15.0,18742392.0,27107.419264340875,32518.378285751096,21696.46024293065
3g_report.2011-01-29_1800CET,1.7786964469964008,1.6708834737349418,1.8865094202578598,123.9032128817735,128800,116.05145743134791,1181.0272200723173,2707.3213040625,27.86000266716048,1,13.0,53434788.0,69916.43308143073,65678.5550876484,74154.31107521307
3g_report.2011-01-31_1830CET,5.443747977529262,6.57590586844427,4.311590086614254,161.8834605904389,132550,124.10830839243232,948.927487521829,2816.2779984374997,0.6545230863865288,1,15.0,54741020.0,31081.891367309232,37546.11578058444,24617.666954034023
3g_report.2011-01-31_2356CET,-0.17779252658420236,-0.14845259910591543,-0.20713245406248926,-21.19440822077604,45000,42.85673444385148,863.8851055293744,1704.4661285416666,77.81270733577065,5,10.0,19784505.0,122545.91541908342,102322.97163042327,142768.85920774358
3g_report.2011-02-01_0629CET,5.5695941889710205,6.756883062984351,4.382305314957691,166.29209519200487,142450,133.77882344848456,1016.5319541710955,2893.7860019791665,0.6080490438538437,1,16.0,58470545.0,31278.514823008227,37946.259614640825,24610.770031375632
3g_report.2011-02-01_0740CET,3.178117604774669,3.3419986166424827,3.0142365929068555,147.7363321127365,133100,117.1964489486424,919.2713576147061,2801.5670360416666,11.31470228185301,1,15.0,55374556.0,46609.41722785526,49012.85203039196,44205.98242531855
3g_report.2011-02-01_0840CET,0.6695542413089157,0.63520799719159,0.7039004854262415,43.69206164763997,106350,106.87731295700556,787.0947902412167,2124.3723847916663,25.95099746305283,8,21.0,43608775.0,65427.61377212916,62071.361722648304,68783.86582161002
3g_report.2011-02-02_1251CET,2.313555062540331,2.8469955270207925,1.7801145980598703,55.33635900831195,41600,43.19930489778048,650.4597505242358,1588.4687305208333,1.0893096846440053,1,19.0,18318769.0,25261.298685939946,31085.84080408223,19436.75656779766
3g_report.2011-02-10_1611CET,0.8503869830697227,0.7890892519592917,0.9116847141801537,56.997648456229335,82750,89.85423778292412,797.8273675299369,2112.4213822916668,28.69282353445397,3,19.0,34529537.0,67375.61477885333,62519.0348918873,72232.19466581935
3g_report.2011-02-14_2032CET,2.7998139217977096,3.3230306499799194,2.2765971936154994,78.61977541441343,65700,61.25419727332055,841.501349274169,2018.9038741666666,2.8449882011292886,2,22.0,28327112.0,29096.478111269567,34533.89806281722,23659.058159721913
