,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.948854738645416,4.865720704963602,3.0319887723272294,93.30480859961779,43350,59.31843536577331,1564.8153248671479,1819.9257404166665,1.4828736687678545,1,12.0,19248468.0,24974.707999532824,30773.467715713497,19175.948283352147
3g_report.2010-09-21_1735CEST,-0.17051443261212446,-0.21461962740394136,-0.12640923782030752,-3.728871821606873,17700,33.31166192339246,781.7008551534112,233.24137020833334,1.9684919445617346,2,3.0,8263881.0,23436.370219409288,29498.412346315352,17374.328092503223
3g_report.2010-09-28_1003CEST,3.9582679117565593,4.662886535952346,3.2536492875607723,106.589602277936,53050,71.59278140843509,1809.6548337342635,2067.887963333333,4.993261495844876,1,11.0,23009126.0,27809.580736133386,32760.015864477245,22859.14560778953
3g_report.2010-09-28_1407CEST,5.243601285483194,6.515176157919323,3.9720264130470646,125.55531047812366,65550,87.44964323914002,1424.346929185176,2309.503906666667,0.7512682142036313,1,14.0,28481891.0,25440.547714922708,31609.888107920786,19271.20732192463
3g_report.2010-09-30_1114CEST,5.9900864987705225,7.287884620624032,4.692288376917013,164.4654058489289,120850,159.11789709640686,1739.7572377851848,2830.624288958333,0.7671767760207695,1,14.0,50082408.0,28808.554754716184,35050.14880542957,22566.960704002802
3g_report.2010-10-22_1458CEST,0.8058439249901836,1.0243903827787462,0.5872974672016211,16.706735969026315,22200,32.41324064355295,1553.358462151896,710.5755766666666,1.4524092189789248,1,10.0,10092387.0,22377.879190505,28446.80405081815,16308.954330191844
3g_report.2010-11-04_0957CET,1.17399215469474,1.464245327120602,0.883738982268878,25.7956562259446,21750,35.07032895534166,1840.4432247192844,741.5640109374999,2.947097744360902,1,6.0,10026564.0,23403.128440353343,29189.22526164661,17617.03161906007
3g_report.2010-11-10_1424CET,5.406233777657149,6.661038145750915,4.151429409563383,133.35131275639742,74000,96.04796159751373,1593.3138116070454,2453.5324862500006,0.8109635627530364,1,14.0,31485522.0,26070.690785500075,32121.78254776645,20019.5990232337
3g_report.2010-11-16_1857CET,-0.024950975706374633,-0.032466279476749196,-0.01743567193600007,-0.4893379734858403,16350,25.18092735425941,1534.3347843896383,227.6022834375,1.4926813095731457,1,3.0,7653110.0,21568.763115577036,28065.33498003517,15072.1912511189
3g_report.2010-11-23_1606CET,2.284575418488102,2.825109541483307,1.7440412954928972,52.92944697694583,27600,43.32542670356162,1690.427744301635,1044.2019376041667,3.5398223541500173,1,4.0,12522595.0,24542.047936942086,30348.734926019642,18735.360947864534
