,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.272677749023829,1.1417782893734907,1.4035772086741676,59.61528518440077,66100,61.517998728774955,850.3873323211162,2108.9528803958337,19.169688649218866,2,23.0,27397155.0,47343.24137173567,42473.81962030713,52212.66312316421
3g_report.2010-09-21_1735CEST,0.12608889505768245,0.11499646146050345,0.13718132865486146,6.388107898704725,31050,39.46727020856377,582.1247252186374,1592.81812940625,22.689481716904755,4,23.0,13657457.0,51058.68201819129,46566.890416820155,55550.473619562435
3g_report.2010-09-28_1003CEST,2.9328782115919787,2.8933477936247662,2.972408629559191,88.53297742000456,77200,74.33132626171344,1008.6834987775142,2172.0129837500003,5.494454478301016,1,21.0,31993510.0,30191.86526907519,29784.928135245664,30598.802402904716
3g_report.2010-09-28_1407CEST,1.172179169917415,1.0725670019697655,1.2717913378650645,66.25649126194332,84400,79.24293751450742,852.943544853195,2197.3903358125003,23.898011271616312,2,20.0,34956825.0,56935.36885303483,52096.982649030324,61773.755057039336
3g_report.2010-09-30_1114CEST,3.855989512430833,4.412873023765005,3.299106001096661,108.89199056301543,167250,186.30480808480993,1340.30365728376,2326.597317083333,1.2796072692943121,1,20.0,68129404.0,28841.250054963355,33006.514651793084,24675.985458133626
3g_report.2010-10-22_1458CEST,3.3085187892941574,3.577975966105588,3.0390616124827274,79.10701241837347,38150,40.77724660696349,841.6427578192804,1922.300137145833,2.6758781697283895,1,19.0,16634075.0,24069.75471775326,26030.078526031553,22109.430909474973
3g_report.2010-11-04_0957CET,2.7996215720199062,2.7508651266918,2.848378017348013,76.75923719880186,37500,38.06304239614149,720.8805030367535,1935.35671959375,4.520646131457677,1,19.0,16211312.0,27426.037051047253,26948.40247021309,27903.671631881418
3g_report.2010-11-10_1424CET,4.210328190816877,4.8895379533666645,3.531118428267088,104.61845377211606,105100,100.85690306610373,960.9638932874327,2258.16005446875,1.3603481781376519,1,19.0,42907502.0,25511.97860697985,29627.568686065853,21396.388527893847
3g_report.2010-11-16_1857CET,1.180194378362987,1.3126297171171395,1.047759039608834,28.637863470446362,28950,27.83403720810674,610.5619146196497,1636.22014746875,4.189068975289483,3,29.0,12763831.0,24574.829155304207,27332.48999802273,21817.16831258568
3g_report.2010-11-23_1606CET,0.9242083871832014,0.8286981559411492,1.0197186184252536,37.80167548590735,57200,59.23354699887374,1026.6351894183474,1842.0811487916665,13.980627755077565,2,27.0,24539109.0,41343.2138271971,37070.69264292172,45615.735011472476
3g_report.2010-12-09_1222CET,1.8750064805830813,2.01043409457536,1.7395788665908025,50.40016657386628,32500,34.07570298667643,764.0260902646364,1801.0639879062503,5.736333097002999,2,25.0,14099170.0,27020.960412248565,28972.625238107015,25069.295586390115
3g_report.2010-12-09_1244CET,3.576574076757252,4.06575863659511,3.0873895169193943,79.67647829895945,40800,40.89600380146868,804.2475208749181,1943.8720683124998,2.1605342761570054,1,20.0,17610259.0,22702.011327571912,25807.070297518163,19596.952357625665
3g_report.2010-12-09_1334CET,1.3549716526526039,1.2321140120615532,1.4778292932436548,55.97027376325639,43800,40.45831480420167,807.3513011573644,1994.36073953125,23.716471782728803,1,20.0,19060855.0,41649.7571240933,37873.30107688451,45426.213171302086
3g_report.2010-12-21_1200CET,1.2522474479534502,1.3241364881705695,1.180358407736331,35.29581680312435,29800,30.618492410705322,665.9933646390872,1682.956138635417,6.946400220869105,2,26.0,13146661.0,28279.175348549936,29902.62666982142,26655.724027278447
3g_report.2010-12-22_0800CET,3.099945628021071,3.2677926649276112,2.932098591114531,80.15014343463545,42900,39.19006136265086,760.6996495723225,1975.3437202499997,4.281578080559092,1,19.0,18715882.0,25931.36138041278,27335.418964943223,24527.303795882337
3g_report.2011-01-29_1800CET,0.8303282661424282,0.7300326402606048,0.9306238920242516,55.28997866970498,128800,117.42392764754548,1253.792647632359,2129.51373846875,28.36626579931895,1,22.0,52922007.0,67574.0219712959,59411.733508625795,75736.31043396599
3g_report.2011-01-31_1830CET,3.9176513192159925,4.4760720716700675,3.359230566761918,104.07667953951278,133550,123.8043097029676,966.3600202165828,2272.674333625,1.0718788204990197,1,21.0,54786330.0,27117.042637111088,30982.297127593716,23251.788146628463
3g_report.2011-01-31_2356CET,-0.6889797133664891,-0.5404427561093955,-0.8375166706235827,-80.36479437368308,45000,42.874926193016854,893.1087431665633,1511.2224880520832,83.59556740688056,5,25.0,19613523.0,122328.91166214008,95956.05340470005,148701.7699195801
3g_report.2011-02-01_0629CET,3.869134356293759,4.426413097659287,3.311855614928231,104.83390559616575,143250,134.28376195905932,1002.1344814287738,2273.0180234375,0.986182730154307,1,21.0,59002823.0,27668.922033558087,31654.1292209798,23683.714846136372
3g_report.2011-02-01_0740CET,1.7664941633945097,1.704249934545538,1.8287383922434814,77.7291550791597,134100,117.3029785037715,969.4127362867841,2196.8643877291665,11.553830207038768,1,24.0,54955496.0,44056.63116066324,42504.25069482037,45609.0116265061
3g_report.2011-02-01_0840CET,0.6589175550683104,0.5863190756803864,0.7315160344562345,43.254868531020044,106350,107.123951758571,783.6148641298954,2138.9876757499997,29.140604029748125,5,23.0,43776626.0,66452.02205692015,59130.44484824333,73773.59926559696
3g_report.2011-02-02_1251CET,3.5881786564576768,4.113167150909575,3.0631901620057786,79.64613069450598,42050,43.032973822613066,669.2240636759138,1982.71145053125,1.8736061843008347,1,21.0,18126589.0,22682.369630589397,26001.040249604896,19363.6990115739
3g_report.2011-02-10_1611CET,0.8520797172594663,0.7552368246392758,0.9489226098796567,53.67299691467678,83100,90.88793508522582,803.8905880567136,2139.1196131875,28.716176713517296,3,21.0,34480357.0,63814.90408034684,56562.038206133206,71067.76995456047
3g_report.2011-02-14_2032CET,2.6752868012829834,3.048694401392321,2.3018792011736458,63.84823725662966,67050,61.81970579628562,872.98712702682,1960.688466125,2.506391049119462,1,27.0,28297823.0,24340.126807359797,27737.44044608237,20942.813168637218
3g_report.2011-02-14_2124CET,4.1381249959907125,4.816698101220463,3.4595518907609617,98.15245297849773,83500,78.68162923412457,795.9261970665858,2175.452491385417,1.479621675753867,1,19.0,34480989.0,24374.487154868628,28371.435399082322,20377.538910654937
4g_report_bus_0001,3.9258578928070618,4.5322213207762845,3.3194944648378395,112.11939332375759,185200,454.05350753106717,2138.4830603676555,2349.3327296979164,0.22932648999073463,1,20.0,74729211.0,29257.1660048468,33776.044669270064,24738.287340423536
4g_report_bus_0004,3.903827743223302,4.500793748226655,3.3068617382199497,111.93216210307729,185200,546.8179505323296,2146.8748855997487,2349.3327296979164,0.3791454586611354,1,20.0,74729211.0,29358.94126643119,33848.455412995056,24869.427119867327
4g_report_car_0001,3.9099929071839403,4.5096714784410485,3.3103143359268326,111.99068239453364,185200,542.8242379120944,2149.712450812627,2349.3327296979164,0.3323186010439862,1,20.0,74729211.0,29332.13804588378,33830.83025654061,24833.445835226954
4g_report_car_0002,3.912501630724954,4.513275153679005,3.3117281077709024,112.01377118135021,185200,409.0701446955024,2108.813363794097,2349.3327296979164,0.3138433797847259,1,20.0,74729211.0,29321.046395380967,33823.359749404604,24818.73304135733
