,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.802191553702784,4.477724666419734,3.1266584409858345,79.9947139182834,58150,68.22651614101053,1160.030109774172,2065.7496752395837,1.4976968239864807,0,25.0,24504436.0,21724.883477982235,25584.730608777685,17865.03634718679
3g_report.2010-09-21_1735CEST,1.6900596546247577,1.7078704888780958,1.6722488203714199,52.40444383266485,28050,35.48293523633778,638.3234227186939,1760.2839670416668,8.774897622845007,2,20.0,12490633.0,31010.89625102393,31337.70716072349,30684.085341324364
3g_report.2010-09-28_1003CEST,4.253156591418221,5.025041745647674,3.481271437188767,89.30165207300217,69400,81.21981616416392,1338.8883965318785,2103.642813625,1.6563693444136656,0,22.0,28723354.0,21711.673789273787,25652.022166107214,17771.32541244036
3g_report.2010-09-28_1407CEST,4.406639167282312,5.218979783437028,3.5942985511275953,93.03395322571842,75000,90.24566251706112,1443.1298432440947,2131.6832443645835,0.998588745594671,0,22.0,31184628.0,21854.919109400355,25883.75781876328,17826.080400037434
3g_report.2010-09-30_1114CEST,5.144457115879731,6.180604735418886,4.108309496340575,104.44169901839663,88350,179.59709041505403,2035.0091361234647,2196.86603165625,0.42880192938339146,0,19.0,36507935.0,21160.17990382835,25422.062069916286,16898.29773774041
3g_report.2010-10-22_1458CEST,4.3021437940956515,4.976464128808264,3.627823459383039,86.80587347440266,35400,40.435634741624646,815.1449286994608,1832.2716149999999,1.4403674864185994,0,14.0,15398129.0,20685.54705113831,23927.81083376234,17443.28326851428
3g_report.2010-11-04_0957CET,3.344960873518439,3.732858345686729,2.957063401350149,74.47922502031855,37550,37.736197608761486,774.6673007179363,1845.7092702708335,3.469299775238808,2,16.0,16301356.0,22569.609518357793,25186.888108761043,19952.330927954543
3g_report.2010-11-10_1424CET,4.588552426075462,5.444566031523927,3.732538820626997,97.93593683951366,81500,104.11240494466446,1617.7947107408609,2169.63497671875,0.68836359905612,0,21.0,33733198.0,22113.12788292338,26238.424178817313,17987.83158702945
3g_report.2010-11-16_1857CET,2.8789589443905657,3.337972476985919,2.419945411795212,57.1434834609049,27600,29.810725863526237,604.0224427050109,1703.4239860416667,1.534562312517044,0,22.0,12305936.0,20366.38091529927,23613.54234784726,17119.219482751283
3g_report.2010-11-23_1606CET,2.0900916960983222,2.4728723684667564,1.7073110237298883,41.30440729341724,46350,56.460434166054895,1005.1405313360424,1678.9447588645833,1.4479581030201063,1,27.0,19894695.0,20447.837636351745,24192.66713523661,16703.008137466884
3g_report.2010-12-09_1222CET,3.8580742313962717,4.4769108382192275,3.239237624573316,76.84355681174353,31200,36.90122582304958,635.2591366441854,1847.5650605312499,0.522524673967798,0,20.0,13773946.0,20443.572215141838,23722.72914737635,17164.41528290732
3g_report.2010-12-09_1244CET,4.241461197093009,5.013136300591511,3.4697860935945064,85.82403171593637,39000,43.417118616780705,822.4004018862548,1943.8136812500002,0.5821569208620909,0,19.0,16916531.0,20927.2516043048,24734.67510702581,17119.828101583793
3g_report.2010-12-09_1334CET,4.594010476087025,5.456147205828862,3.7318737463451876,93.92935810543588,46250,53.31411267643521,868.5976544091724,2009.0109210416665,1.557162271732501,0,16.0,19894070.0,21192.408369591074,25169.48977639601,17215.32696278614
3g_report.2010-12-21_1200CET,3.1962656497492805,3.7204272077232474,2.6721040917753136,63.29580883144768,28700,31.739241505867938,613.0664117942774,1738.2486933125,0.5864349311412407,0,21.0,12702356.0,20350.33850219469,23687.628422212663,17013.048582176718
3g_report.2010-12-22_0800CET,4.465112018581987,5.265176695316722,3.6650473418472522,90.2168373738109,39900,42.592919681738785,822.0314871633451,1959.4259824479166,1.0982398901004549,0,17.0,17369085.0,20875.044886778844,24615.46303746787,17134.626736089813
3g_report.2011-01-29_1800CET,4.02263028545917,4.390599672265551,3.654660898652788,94.46319858596064,84000,121.18432366366746,1808.689618534964,2182.1788656666663,7.528490850304989,0,19.0,34789204.0,23681.098193599944,25847.32242074291,21514.87396645698
3g_report.2011-01-31_1830CET,4.687808842774965,5.513148003713784,3.8624696818361457,99.58651911697383,81600,119.82061758272602,1804.8051382819813,2161.9467355416664,0.5982075986978654,0,20.0,33995874.0,21923.289130449495,25783.119951800443,18063.458309098547
3g_report.2011-01-31_2356CET,-0.497349459889249,-0.4001731451637981,-0.5945257746146999,-42.145431514586406,34900,43.86584742385589,859.7804218321007,1559.1236333020836,59.23138803748138,4,24.0,15194462.0,88103.57421926913,70889.15790387726,105317.99053466099
3g_report.2011-02-01_0629CET,4.786789514483381,5.672238441815945,3.901340587150818,99.35843540314507,81700,130.17840742465134,1893.907094237992,2165.0501638437504,0.6395527141475383,0,20.0,34027691.0,21492.192924694875,25467.767600292333,17516.618249097417
3g_report.2011-02-01_0740CET,3.7164664431524077,4.154634267548539,3.278298618756277,90.15041471002468,78300,107.45505839712159,1722.8593354318725,2083.2271111145833,4.813533267130091,1,18.0,32741283.0,24598.953703209372,27499.146720266137,21698.76068615261
3g_report.2011-02-01_0840CET,4.579837921271868,5.402518949674038,3.757156892869698,98.08984831668941,81700,127.28048221691273,1885.2410367614998,2165.0501638437504,1.654652697317063,0,20.0,34027691.0,22131.891984323913,26107.46665992137,18156.31730872646
3g_report.2011-02-02_1251CET,4.143880415457087,4.79935289999018,3.4884079309239926,85.55687996378498,39800,41.00233975238348,785.3416423974735,1920.8288433854168,0.6148595138231183,0,18.0,17184607.0,21176.403441049297,24526.053620432827,17826.753261665763
3g_report.2011-02-10_1611CET,4.004338001743214,4.674888031627291,3.3337879718591372,89.01756498189718,75200,95.48719215564871,1520.7419877638822,2120.4192292916664,0.7029351822670449,0,23.0,31077865.0,22871.63702226064,26701.62761798411,19041.646426537165
3g_report.2011-02-14_2032CET,4.245040842704342,4.912632548946885,3.5774491364618,88.83117752734269,54500,64.35833568954752,1117.0188171063169,1938.9684523229166,1.2750583301973013,0,18.0,22959656.0,21456.53270913309,24830.870863254055,18082.194555012124
3g_report.2011-02-14_2124CET,4.331365281560013,5.073826826813404,3.588903736306623,91.81715714887986,68650,80.99099191219754,1382.2823454761283,2070.4234820520833,0.5486043938675519,0,21.0,28636045.0,21839.928040788596,25583.62215738052,18096.23392419667
