,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,1.9275351374677663,1.8564405909356763,1.9986296839998563,74.28407471039134,68600,63.91803807673998,911.915866648608,2088.851309270833,11.926854346540425,3,19.0,29132815.0,38590.87562026417,37167.502967196335,40014.24827333201
3g_report.2010-09-21_1735CEST,0.728050748906035,0.6948842804207888,0.7612172173912812,23.347657650568998,31650,35.71729748679997,560.0308165523666,1640.2045978958333,8.855292549555715,3,26.0,13898365.0,32135.412541154335,30671.478675406554,33599.34640690212
3g_report.2010-09-28_1003CEST,3.051052455737688,3.2423045394520296,2.8598003720233462,84.8837122926883,81000,78.18232121685291,906.2524930362298,2102.9212957916666,4.378404565630805,3,19.0,33936149.0,27930.87340548236,29681.691464580083,26180.05534638464
3g_report.2010-09-28_1407CEST,3.537622131016617,4.093718651478872,2.981525610554362,87.57064026026649,80650,81.31138262746929,878.1676849514374,2091.4928085312504,3.00063597045692,1,21.0,33860366.0,25381.27480825888,29371.084370455657,21391.4652460621
3g_report.2010-09-30_1114CEST,3.8360259536818377,4.484564821330869,3.187487086032807,103.9100659409578,167050,187.3808543500444,1463.5880944391217,2272.6353214479163,0.882581138512669,0,22.0,68072369.0,27884.985148506104,32599.36844804155,23170.60184897066
3g_report.2010-10-22_1458CEST,3.102954299749284,3.1230682842399027,3.0828403152586654,77.1151153342726,40650,40.1324390076546,643.0652741058706,1839.0061100625,4.032190611664256,1,16.0,17721151.0,24853.203856348762,25014.307407551296,24692.10030514623
3g_report.2010-11-04_0957CET,2.8700968495381347,2.899543441785437,2.8406502572908323,67.99085993779903,37950,37.59510352148252,730.1588394036423,1836.3521290833332,4.367719739204386,0,21.0,16574908.0,23691.88957664487,23934.96339906443,23448.815754225307
3g_report.2010-11-10_1424CET,4.101916832660098,4.865974797430008,3.3378588678901893,99.8303433576513,112900,104.75160600832533,927.5406295680748,2152.8035687916663,1.3736988178601008,0,20.0,46093357.0,25212.24916636534,29908.497425702295,20516.000907028385
3g_report.2010-11-16_1857CET,1.0122696881397963,1.0423213638317033,0.9822180124478895,23.11236538255489,28950,27.688954582429123,564.8336047730564,1534.6424801666667,3.387794069373017,0,30.0,12512138.0,22852.361916989546,23530.789590138058,22173.93424384103
3g_report.2010-11-23_1606CET,1.9906396898574286,2.0516390027398224,1.9296403769750348,49.33592285707817,62700,57.17744121340736,811.546519392169,1674.882786958333,2.9910799753289474,0,23.0,26318233.0,24807.248128434734,25567.41838830027,24047.0778685692
3g_report.2010-12-09_1222CET,0.4146486552237696,0.3966595432234278,0.43263776722411135,17.37080045796793,35250,33.75131646585036,479.8655313005579,1786.3246585416664,16.268514424951277,6,26.0,15387198.0,41971.815650745375,40150.91093277036,43792.72036872039
3g_report.2010-12-09_1244CET,3.0766145645893594,3.451407884134524,2.701821245044195,66.65282078328438,41550,41.17139503931925,564.3866301050634,1891.2144946041662,1.590734296253962,1,24.0,17779999.0,21990.68340783248,24669.58941326783,19311.77740239713
3g_report.2010-12-09_1334CET,4.067212661960662,4.472599342908688,3.6618259810126355,92.81229043723741,49650,53.91700011902297,835.0371469348406,2056.997103333333,2.1106986689627956,0,19.0,21488247.0,23048.60652713963,25345.904179633148,20751.308874646107
3g_report.2010-12-21_1200CET,0.6561739276489232,0.6926252722511479,0.6197225830466986,18.617318094291548,30750,30.57968621620985,542.387231513622,1513.0236397083331,7.715669719753928,2,26.0,13513690.0,28460.36287129495,30041.374323918513,26879.351418671387
3g_report.2010-12-22_0800CET,2.428372670606774,2.465171617457079,2.391573723756469,71.49937877680452,45150,40.02082371091493,359.8568929436415,1998.7698443541667,6.739531246416714,2,21.0,19406252.0,29450.093163225894,29896.37244571316,29003.813880738628
3g_report.2011-01-29_1800CET,3.083180982890913,3.4023085423238197,2.764053423458007,90.57414844621103,153750,134.84427581595077,809.0914555685911,2192.9752715625,8.042764374520848,0,22.0,62524980.0,29694.98770691931,32768.59545388127,26621.379959957347
3g_report.2011-01-31_1830CET,3.647746106100616,4.266629670342047,3.0288625418591852,100.13067364403967,148450,124.71167356210528,690.1568482512813,2193.846671114583,1.7814231847435393,1,20.0,60368038.0,28263.58366006721,33058.8371906033,23468.330129531118
3g_report.2011-01-31_2356CET,-0.5969223477624819,-0.48388781864087704,-0.7099568768840867,-48.1626898474475,40650,45.262303584217335,718.9525764250453,1573.3075955312497,64.0377703826955,3,26.0,17895983.0,83685.82709330227,67838.8947492524,99532.75943735216
3g_report.2011-02-01_0629CET,3.7316964809481767,4.350177368791376,3.1132155931049783,102.60474508698192,159400,136.956279973512,769.2685269563747,2232.0592121041664,1.4827642330212716,0,21.0,64873654.0,28272.069319794275,32957.80263796272,23586.336001625827
3g_report.2011-02-01_0740CET,3.172452937301137,3.3105598389793585,3.034346035622916,89.61899707696071,113850,109.53132960836808,925.8833452466511,2056.5250434270833,5.798574329034507,0,19.0,46651390.0,28302.755477613624,29534.863863528662,27070.647091698585
3g_report.2011-02-01_0840CET,-0.5157597362320456,-0.39460981800097417,-0.636909654463117,-122.60996532408433,123500,110.11719844581201,886.4258450416635,2136.224378791666,157.85902218022036,8,21.0,50329404.0,251609.76156811923,192507.62563402872,310711.89750220976
3g_report.2011-02-02_1251CET,3.09718951320692,3.6320757342689354,2.5623032921449043,63.08853569440934,39750,41.26874304581465,472.14363563042855,1894.2417740416665,2.2476668464193272,1,25.0,17248385.0,20995.817894489002,24621.8064379092,17369.829351068805
3g_report.2011-02-10_1611CET,0.34042517398442884,0.28800770076755394,0.3928426472013037,31.747739381321296,95050,85.24112059736643,717.4394234356826,2129.6424426354165,51.147055685559046,2,19.0,39123320.0,95523.83407759169,80815.40944573886,110232.25870944453
3g_report.2011-02-14_2032CET,3.5118591733664326,3.654355817570009,3.369362529162857,88.89559598874067,64450,62.035913450926415,780.83737520205,2020.852736270833,2.7274702089045064,0,19.0,27374752.0,25354.716852906655,26383.50584697321,24325.9278588401
3g_report.2011-02-14_2124CET,4.396274736097671,5.254522811833426,3.5380266603619153,94.98363823725134,72600,79.61524387440649,1085.195016975547,2114.1636767187497,1.509953445325324,1,19.0,30315157.0,22461.525197081064,26846.50155449512,18076.548839667008
4g_report_bus_0001,4.448707913293139,5.208153717938286,3.6892621086479918,115.46640876743409,185650,1052.8379889333266,2144.375059749936,2354.3758415520833,0.16496074698266266,0,20.0,74922070.0,26734.14170874891,31297.968365210356,22170.31505228746
4g_report_bus_0004,4.413067755698377,5.184926473897975,3.6412090374987787,112.33022231280475,182550,1482.579000193834,2164.3901558127063,2341.5484225,0.22641833793877642,0,21.0,73646321.0,26257.235519314614,30849.704358079558,21664.766680549674
4g_report_car_0001,4.469051200312682,5.235179630333168,3.7029227702921954,115.47920997553366,185650,1241.5831327221144,2163.4963169272223,2354.3758415520833,0.1547174564232869,0,20.0,74922070.0,26622.135660117267,31185.962316578712,22058.30900365582
4g_report_car_0002,4.4235702389538964,5.174908760899339,3.6722317170084535,115.43201023278245,185650,890.9912137982595,2126.286636770176,2354.3758415520833,0.1924858198126896,0,20.0,74922070.0,26869.922389968,31433.749046429446,22306.095733506558
4g_report_car_0003,4.488047002968597,5.2605238912432775,3.715570114693916,115.47769444191577,185650,1572.5152615819718,2179.9377807801557,2354.3758415520833,0.15593015846515576,0,20.0,74922070.0,26515.57458676571,31079.401243227156,21951.747930304267
4g_report_foot_0001,4.489362222077543,5.262531060619146,3.7161933835359395,115.43772957342613,185650,1518.5569948835957,2161.0198076326496,2354.3758415520833,0.18790930894236607,0,20.0,74922070.0,26499.607793655276,31063.43445011672,21935.781137193833
4g_report_foot_0002,4.350759275881596,5.101800373812295,3.599718177950897,112.29863510723351,182550,929.6850195451644,2149.9543719929598,2341.5484225,0.2516938371032183,0,21.0,73646321.0,26604.03865315165,31196.507491916593,22011.569814386705
4g_report_foot_0003,4.3441344024303845,5.1033078334144575,3.5849609714463107,110.39333198633855,179450,1089.3500074658377,2120.8062446954577,2325.4947444895834,0.785412056664254,0,21.0,72335199.0,26212.587744346914,30793.454340397366,21631.721148296467
4g_report_foot_0005,4.460950224517785,5.224453941944793,3.697446507090778,115.46777283087316,185650,1133.1021341653654,2161.0704749585807,2354.3758415520833,0.1638692485835161,0,20.0,74922070.0,26665.231724622598,31229.05838108404,22101.405068161155
4g_report_foot_0006,4.489472542455392,5.262677848465204,3.7162672364455807,115.43779890139002,185650,1521.177799462129,2171.105450118028,2354.3758415520833,0.18785383398462735,0,20.0,74922070.0,26499.009129212667,31062.835785674113,21935.182472751218
4g_report_train_0003,4.334236839824239,5.086929957900109,3.5815437217483685,110.8806374986811,179450,990.8712523836034,2156.084997876532,2325.4947444895834,0.39547917569871965,0,21.0,72335199.0,26378.028816945807,30958.895412996255,21797.162220895363
4g_report_tram_0001,4.464729061217676,5.229517772534531,3.6999403499008214,115.46331909351882,185650,1194.2423663774339,2147.7966040957435,2354.3758415520833,0.16743304705009718,0,20.0,74922070.0,26642.978906394146,31206.805562855592,22079.1522499327
hd_trace0000,3.9331730948081822,4.351207616391308,3.515138573225056,96.46908856681077,116550,461.24942550822095,1636.8755270184192,2142.3516928333333,1.6856108970021475,0,21.0,48597243.0,24807.270294567363,27443.893478800375,22170.64711033435
hd_trace0001,3.503768301030647,3.7091981026984304,3.2983384993628637,94.74065728195347,131150,606.8761595225827,1537.5389637328149,2132.9069937604168,2.3927519281295027,0,21.0,53892927.0,27132.919079893014,28723.752064942524,25542.0860948435
hd_trace0003,4.216470056376579,5.052080726091936,3.380859386661223,97.0805703911587,129850,947.5806962698048,1496.8784989427982,2170.594765083333,2.137099892588616,1,20.0,53287491.0,23965.359602177425,28714.761333813083,19215.957870541766
hd_trace0004,4.480065290790922,5.355773869908599,3.6043567116732445,100.47036683566832,120550,457.25369301833894,1691.729163824495,2160.8683383229163,1.327259181388121,0,20.0,50083035.0,23316.981815644678,27874.701333050667,18759.262298238693
pen_trace_215252_http---www.msn.com,3.9371495252827224,4.342085343723573,3.5322137068418717,94.91745100751511,76450,79.16977327492208,998.1118651867994,2100.405719520833,1.4773774439367553,0,20.0,32279026.0,24365.910733600922,26871.944589213475,21859.87687798837
pen_trace_216826_http---www.amazon.com,3.640744602261863,3.786037896977879,3.4954513075458467,91.99344419930502,75350,82.62434716654246,742.6694611965826,2075.27311175,2.501056180453156,0,20.0,31936203.0,25308.061421955455,26318.04482606097,24298.07801784994
pen_trace_28919_http---www.google.com-mobile-,3.908671732326579,4.329590915638493,3.4877525490146652,92.95977720176907,71700,75.27103329562041,1034.5536887022843,2097.5915970937494,1.7150323397530305,0,21.0,30258892.0,24062.00117547314,26653.203143104693,21470.799207841585
pen_trace_663494_http---www.facebook.com,4.448653794468765,5.328164231921521,3.5691433570160087,98.64768090612012,83350,86.07330716161934,1001.6956788918905,2123.349873135416,1.413328642670801,0,19.0,34471888.0,23076.710100013377,27639.035768121896,18514.38443190486
pen_trace_665192_http---www.facebook.com,4.233047558814517,5.024286994498552,3.4418081231304827,98.33561963609976,92850,80.90206384231423,1067.27305282419,2137.9106348333335,1.6332938082865986,0,20.0,38130101.0,24071.486612655557,28570.918574815554,19572.054650495564
pen_trace_6780_http---www.facebook.com,0.4886291317690048,0.497209487826883,0.48004877571112664,10.780902536274162,17250,16.43701413635261,685.4677216270643,1191.6510170729166,7.085798899642316,0,22.0,8007492.0,22070.374467494094,22457.93153061109,21682.817404377096
pen_trace_7256_http---www.facebook.com,0.7230137861173896,0.7386702624310635,0.7073573098037158,15.93700282255081,21750,21.337850807131044,711.5583388096047,1300.28519340625,5.49028304956251,0,24.0,9901863.0,22052.801409196116,22530.343012887162,21575.259805505073
pen_trace_7289_http---www.yahoo.com,3.590658127174779,3.6951478680374574,3.4861683863121007,88.54672707860828,49650,44.167576804906794,461.0067844442432,2013.5251280416662,2.6697230128680616,0,19.0,21475750.0,24681.206627938605,25399.44066565266,23962.972590224555
pen_trace_797466_http---www.amazon.com,1.684389551400491,1.6926886856285108,1.676090417172471,45.78658593608452,54850,69.07374858752107,823.8007676718643,1773.1288573854165,5.28549081912063,1,26.0,23532968.0,27183.555875650636,27317.49162633214,27049.620124969133
pen_trace_797700_http---www.yahoo.com,0.5879860575352664,0.6036773899570939,0.572294725113439,13.40837316069026,27150,25.186144141235733,612.2426790874039,1530.9887030312498,6.37921020497847,0,32.0,12002880.0,22820.148330722775,23429.139868504782,22211.15679294077
