,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,2.4523577424559457,2.3793105966813277,2.5254048882305633,70.9416359447006,39300,52.69274123418992,1795.6665608304602,1936.5832403958332,7.70941218488127,1,20.0,17085094.0,28953.619832467142,28091.19293120802,29816.046733726267
3g_report.2010-09-21_1735CEST,2.076894829616751,2.3907144628613333,1.7630751963721687,40.941855432851575,17700,32.9125637285203,899.6582474778155,1475.1825903229167,1.7961233358625923,1,21.0,8114763.0,20173.60351482161,23221.843014465012,17125.364015178206
3g_report.2010-09-28_1003CEST,2.882180848459539,2.8416324389611134,2.9227292579579642,80.14076593861819,51500,69.34941498009128,1866.5341953793406,2030.5852169791665,5.494454478301016,1,21.0,22144416.0,27811.10392446159,27419.839083764633,28202.368765158542
3g_report.2010-09-28_1407CEST,4.785674783400149,5.653503727012275,3.9178458397880243,101.96162549820727,66200,86.02118078535958,1504.8933425411512,2185.540255781249,1.2502725810158584,1,18.0,27998012.0,22030.020771672403,26024.920241303807,18035.121302041
3g_report.2010-09-30_1114CEST,4.324071397126533,4.983331629131478,3.664811165121589,107.9071240579234,120850,157.25984768459017,1767.624467568541,2291.4599716562498,1.2796072692943121,1,19.0,49316423.0,25548.86331024349,29444.115725494226,21653.61089499276
3g_report.2010-10-22_1458CEST,2.0458363866054667,2.1402607542929997,1.9514120189179338,45.25349259689492,22200,32.28737181087681,1604.860693954548,1608.5311657500001,2.6758781697283895,1,23.0,9945469.0,22167.02127657333,23190.127025039117,21143.915528107544
3g_report.2010-11-04_0957CET,0.7618282832448742,0.7473604425896652,0.7762961239000831,18.840680983534256,22200,34.64438142460055,1861.1005013756244,1347.4067441770833,4.520646131457677,1,25.0,10004027.0,24739.79879142956,24269.96658038091,25209.631002478203
3g_report.2010-11-10_1424CET,4.601606609659108,5.346387320702188,3.8568258986160284,101.6036098144958,73350,94.66174097308739,1639.2217654266162,2204.965023760417,1.3603481781376519,1,19.0,30706627.0,22674.001616221678,26343.841408800676,19004.16182364268
3g_report.2010-11-16_1857CET,1.3829377409933934,1.5818247513512462,1.1840507306355406,26.90998102092911,16800,25.001132903772437,1478.3401120091357,1406.9167288541666,2.627039322444041,1,24.0,7755112.0,19869.51852146301,22727.050729055456,17011.986313870562
3g_report.2010-11-23_1606CET,1.0279269538568423,1.0260415295422574,1.0298123781714272,25.74932750515523,27600,42.97643144242181,1685.6888193117848,1377.2059074791666,4.713538366464106,1,22.0,12394932.0,25049.84817947721,25003.901730989757,25095.794627964664
