,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,9.773362838576585,11.750560421205378,7.796165255947791,220.5760897155995,58750,62.547922649700354,1057.652432712007,3199.8978412500005,0.4258520707095999,1,2.0,24551370.0,23532.21672856003,28292.8956062494,18771.537850870664
3g_report.2010-09-21_1735CEST,0.4585377033597828,0.42308932456316695,0.4939860821563986,23.592486675573955,26250,38.768169482082044,628.719894902659,1452.3564871874999,21.58005587983084,2,17.0,11320453.0,51760.920314752744,47759.41575638248,55762.42487312301
3g_report.2010-09-28_1003CEST,8.842695903584879,10.346543246520216,7.338848560649542,224.70774926083857,70450,78.01514534327488,1695.8146041771952,3260.723349375,3.6360233918128655,1,3.0,28975677.0,26168.54261405847,30618.938026015116,21718.147202101827
3g_report.2010-09-28_1407CEST,4.035893542447784,3.952490366782511,4.119296718113058,194.51312784382753,83800,72.47278887390993,482.35082335026857,3175.5474137500005,16.363077328518585,4,3.0,33607407.0,48216.39358563745,47219.984661102266,49212.80251017264
3g_report.2010-09-30_1114CEST,10.824139958849269,13.107633138890845,8.540646778807693,309.80756940837296,169600,182.7396366692836,1442.767205823198,4110.15644875,0.2852962001416096,1,0.0,66451609.0,29955.0731961392,36274.48569552285,23635.660696755553
3g_report.2010-10-22_1458CEST,7.014371446808505,8.532492625086721,5.4962502685302885,147.58578490840577,35700,39.710517277690464,845.6844387271447,2448.8399953125,0.4248441007732601,1,9.0,15124660.0,22074.49963657584,26852.086003694767,17296.913269456916
3g_report.2010-11-04_0957CET,7.270851153528056,8.750277477962063,5.791424829094049,161.09303867438396,36350,37.37625713070538,1057.3594855778506,2508.502272395833,1.017087504036164,1,5.0,15707683.0,23112.918019170385,27815.786862174245,18410.04917616652
3g_report.2010-11-10_1424CET,11.175703008387131,13.549922718894319,8.801483297879946,289.1671688879955,113550,98.98064454128597,583.6271927946,3923.9793435416664,0.294331983805668,1,1.0,45286086.0,27097.61996135283,32854.36773568025,21340.872187025412
3g_report.2010-11-16_1857CET,3.6688061336024713,4.402663671901151,2.934948595303792,78.76414442448217,27600,28.495959397820904,743.9179883845837,1972.3924468750001,0.4350103605470369,1,21.0,11849017.0,22363.3733385847,26836.635077872434,17890.111599296968
3g_report.2010-11-23_1606CET,6.133383167218675,7.229856233047771,5.036910101389577,143.84943742074438,47450,55.94297164018272,1271.8163900428733,2510.5457227083334,2.374319442858774,1,13.0,20101231.0,24227.823641446405,28559.06389535508,19896.58338753773
3g_report.2010-12-09_1222CET,5.953599376862,7.162434177590236,4.744764576133765,128.7015685421581,31650,35.06826404310891,835.1857923689022,2361.777952916667,0.43206477732793525,1,14.0,13651873.0,22546.967280582252,27124.96404764293,17968.970513521574
3g_report.2010-12-09_1244CET,7.060748214459158,8.5422149310892,5.579281497829117,151.34500586919287,37950,41.26901233011814,894.0104183334837,2531.971043645833,0.38809022556390976,1,9.0,16152660.0,22421.778139421935,27126.253788786384,17717.302490057482
