,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,3.9855675574150613,3.990708533344923,3.980426581485199,171.25381590718885,66450,60.90336719568957,861.9647205537408,3211.0172946874995,13.168250050791213,2,16.0,27133868.0,42968.56053223646,43023.98559585784,42913.13546861507
3g_report.2010-09-21_1735CEST,0.5944717523386185,0.5419088436717278,0.6470346610055092,33.84345827428574,33250,40.066413821875436,615.1543941040912,1644.771346875,25.099081591217054,4,15.0,13972009.0,57378.894050874434,52305.47961942579,62452.30848232308
3g_report.2010-09-28_1003CEST,9.062665133025028,10.59779712493201,7.527533141118048,240.43223737217454,77950,74.05666664261597,1010.5282569309677,3534.8895765625,3.6360233918128655,1,5.0,31849499.0,27313.68856032115,31940.375799722307,22687.001320919986
3g_report.2010-09-28_1407CEST,3.9261245420796067,3.763695231013001,4.0885538531462124,211.05440590327188,86400,78.30413385155914,865.3256263318086,3549.705934479167,19.991164020505394,2,8.0,34676699.0,53848.58844097902,51620.796370546006,56076.38051141204
3g_report.2010-09-30_1114CEST,10.470799667115047,12.50686456432757,8.434734769902525,308.9250319974977,172050,183.20999322049613,1364.9389856664664,4129.208426666667,0.2852962001416096,1,1.0,66723004.0,30662.88916215623,36625.34038412541,24700.43794018705
3g_report.2010-10-22_1458CEST,6.244497531951112,7.540415211381171,4.948579852521052,135.5527421296485,39050,40.564091607685704,814.5554332769221,2594.279158541666,0.4248441007732601,1,19.0,16363724.0,22684.53922924851,27392.251144657435,17976.82731383958
3g_report.2010-11-04_0957CET,6.4215767734644285,7.7403698072741545,5.1027837396547016,142.17426606646475,37900,38.074387409689606,706.1631820150866,2588.304607291667,1.017087504036164,1,14.0,16213985.0,23114.9948486746,27862.099065966977,18367.890631382223
3g_report.2010-11-10_1424CET,10.74668169993808,13.080739798604805,8.412623601271356,272.15829959570885,106750,98.49341219103191,982.8713534256028,3802.2272597916663,0.294331983805668,1,3.0,42532594.0,26578.60628730696,32351.179904753964,20806.032669859953
3g_report.2010-11-16_1857CET,0.9712908570196255,1.0087780976108858,0.9338036164283652,32.909615860921846,30300,28.292182949208403,616.9813730804794,1928.3305033333334,8.497837308476685,2,33.0,12989746.0,33932.89535225813,35242.54487982746,32623.2458246888
3g_report.2010-11-23_1606CET,4.434737585788473,4.454489360601861,4.414985810975085,178.3760591822831,58300,58.82891386125023,1031.4886589202824,3017.9737628125,12.949155975928855,2,8.0,24376340.0,40223.258817679154,40402.40825663883,40044.10937871948
3g_report.2010-12-09_1222CET,3.1306784583512512,3.344987373998744,2.9163695427037584,99.68222142105145,34150,33.53605155048337,713.9997852110564,2307.045978229167,7.015229667961531,2,19.0,14511950.0,31990.36062051364,34180.24360816645,29800.477632860828
3g_report.2010-12-09_1244CET,6.940608143661059,8.309579876149503,5.571636411172617,153.88402515969116,41700,40.627849382416564,775.1012808862303,2670.387906770833,0.38809022556390976,1,13.0,17716637.0,23069.024401205632,27619.17932245411,18518.869479957153
3g_report.2010-12-09_1334CET,5.807405293132547,6.379690661348492,5.235119924916601,171.2951303151598,43350,39.75584676794945,704.0543254060283,2816.462090416667,5.037826830303245,2,7.0,18703742.0,29785.225801640823,32720.383252326093,26850.06835095555
3g_report.2010-12-21_1200CET,2.6756526431988035,3.032763887762429,2.318541398635178,70.09373842539544,30650,29.80051208112665,646.0714774755223,1997.7456047916667,3.58212898466535,2,24.0,13077856.0,26671.994973432273,30231.82526163066,23112.16468523389
3g_report.2010-12-22_0800CET,6.485542746084725,7.524304330243495,5.446781161925957,156.67083222530795,42900,38.69691192394161,783.6118349583211,2703.6695779166657,2.4739253885120633,1,12.0,18615960.0,24792.94956200984,28763.930029072413,20821.969094947268
3g_report.2011-01-29_1800CET,3.7350197194822323,3.5167071920865878,3.953332246877877,232.12111093166584,127350,118.95369379392872,1261.7258215680718,3706.0161207291667,24.278600940959322,2,4.0,50264319.0,62360.27402774354,58715.305579231856,66005.24247625521
3g_report.2011-01-31_1830CET,10.675936219511293,12.940235339950025,8.411637099072559,288.0348694871567,135200,121.6954173524405,1005.3652713108055,3942.7228128125,0.26204913305909044,1,2.0,53366579.0,28250.642841289166,34242.42702040897,22258.85866216936
3g_report.2011-01-31_2356CET,0.44060530568434675,0.36270749896446636,0.5185031124042272,48.85930741501595,43900,41.764271151632,868.0569880775954,2306.6492170833335,66.49155846215461,6,7.0,18723240.0,114469.3262677158,94231.4640860343,134707.1884493973
3g_report.2011-02-01_0629CET,10.508833119113454,12.682508133684145,8.335158104542765,292.71381460205623,146350,131.7788389506669,1067.4185108417885,3994.1122104166666,0.2524588108258734,1,2.0,57162710.0,29099.044136881857,35117.96788143989,23080.120392323824
3g_report.2011-02-01_0740CET,6.576957251959373,7.119383705019134,6.034530798899612,255.20879633475178,125400,117.12766293323337,963.1549407824496,3810.4610823958333,8.080345456767278,2,6.0,49899107.0,39069.22081985434,42291.40671239738,35847.034927311295
3g_report.2011-02-01_0840CET,2.4528659461693363,2.3029166323943286,2.602815259944344,152.46233176030847,111250,108.37939486249469,807.4121827725999,3226.9323401041675,24.766455690189645,6,15.0,43512450.0,62389.974874454274,58575.93280115031,66204.01694775824
3g_report.2011-02-02_1251CET,5.273811473531692,6.3463018317085975,4.201321115354786,117.74776545297152,42500,42.43619621949451,674.2893867705909,2609.5251477083334,0.35177112307192143,1,26.0,18057096.0,23290.063605767187,28026.366521386008,18553.760690148363
3g_report.2011-02-10_1611CET,2.700952696053772,2.5042409892891606,2.8976644028183833,160.43144212681753,83850,87.49057210169903,792.5908595300509,3166.7242705208328,24.46120500356994,3,13.0,33758816.0,59714.83823238162,55365.77733804355,64063.8991267197
3g_report.2011-02-14_2032CET,7.757890549637411,9.330111184704528,6.185669914570293,185.0046795379852,67200,59.2021311920005,771.8937811263912,3083.607402395833,0.4221111879134986,1,14.0,28039071.0,24868.683868232005,29908.592293650887,19828.775442813123
3g_report.2011-02-14_2124CET,10.454592891036787,12.728792314138275,8.1803934679353,254.0096221200379,86700,77.95081458515874,811.5178462940053,3620.6574771875007,0.3076799821965061,1,4.0,35027813.0,25503.271859631117,31051.02744943502,19955.51626982721
4g_report_bus_0001,10.548944544196644,12.62730848302442,8.47058060536887,316.9840411636961,185200,439.5450247036797,2143.3139416629588,4189.70744,0.1677583863585214,1,0.0,72005484.0,31262.40875853109,37421.760789665765,25103.056727396423
4g_report_bus_0004,10.54499065645348,12.620956663967414,8.469024648939547,316.96308795881566,185200,523.8712054098925,2149.6916364657636,4189.70744,0.18452475435054766,1,0.0,72005484.0,31270.096113892534,37426.16193690077,25114.0302908843
4g_report_car_0001,10.544854529336167,12.621049752890073,8.46865930578226,316.9696370143209,185200,527.6416609052606,2152.0688503002248,4189.70744,0.1792843209549168,1,0.0,72005484.0,31271.45690501991,37428.54985297369,25114.363957066133
4g_report_car_0002,10.544920531631483,12.62125156475531,8.468589498507656,316.9722209000577,185200,400.46762232062946,2116.0426017736045,4189.70744,0.17721674325687287,1,0.0,72005484.0,31271.665300444653,37429.16349362724,25114.167107262067
4g_report_car_0003,10.539566688370808,12.6128956698532,8.466237706888414,316.9495145433483,185200,728.540681155214,2169.949362891696,4189.70744,0.19538595099962436,1,0.0,72005484.0,31282.94172648272,37436.878754947735,25129.00469801771
4g_report_foot_0001,10.54452747015608,12.62029538626981,8.468759554042348,316.9625625945094,185200,578.2698589723291,2151.029873111546,4189.70744,0.18494514117630476,1,0.0,72005484.0,31271.288013432266,37427.27144062265,25115.30458624188
4g_report_foot_0002,10.565204036574379,12.669490963259591,8.460917109889165,316.56659169721934,183750,435.17820647038957,2128.450567353308,4183.028220833334,0.21788492362042458,1,0.0,71301080.0,31200.845474453185,37415.162870135515,24986.528078770854
4g_report_foot_0003,10.514373214084742,12.551625832255958,8.477120595913528,315.1038834420706,182750,411.8259517835402,2091.6859381719296,4177.8324553125,0.21029892462930502,1,0.0,70939670.0,31137.862625152135,37171.09835549222,25104.62689481205
4g_report_foot_0005,10.5456070861789,12.622246320619238,8.468967851738565,316.97333830659466,185200,515.3781650120759,2149.92561670845,4189.70744,0.17632261516040365,1,0.0,72005484.0,31269.949835501582,37427.62327779108,25112.27639321209
4g_report_foot_0006,10.543730963622103,12.61965433999642,8.467807587247789,316.97323091726884,185200,589.9065541232598,2160.8830933832696,4189.70744,0.17640854611776968,1,0.0,72005484.0,31275.082353129674,37432.73895295153,25117.42575330782
4g_report_train_0003,10.537346837006073,12.609160654252836,8.465533019759311,316.93377062063564,185200,488.27091442370124,2120.3946694004076,4189.70744,0.20798394750399957,1,0.0,72005484.0,31286.667483606656,37438.13530475681,25135.1996624565
