,Efficiency_Avg,Efficiency_X,Efficiency_G,QoE,Bitrate,Throughput,Buffer_Size,VMAF,Rebuffer_Time,Rebuffer_Count,Smoothness_Change,Data,Energy_Avg,Energy_G,Energy_X
3g_report.2010-09-14_2303CEST,8.361091894490617,10.14643174491945,6.575752044061783,189.8135294073765,64450,63.75037177837634,855.3584130622472,3033.2788741666664,1.1307134270631893,0,11.0,26650923.0,23786.546594914915,28865.676220073892,18707.41696975594
3g_report.2010-09-21_1735CEST,4.106093774577765,4.5415337536995,3.6706537954560305,112.49229984324971,31400,36.187862765146534,587.946937188794,2017.2255015624999,4.163787368420464,1,8.0,13484802.0,27708.032466929435,30646.393288984647,24769.671644874223
3g_report.2010-09-28_1003CEST,9.837131478555058,11.842082425307423,7.832180531802692,234.48710329935574,78250,75.33006004839098,1084.1947172551106,3439.679130416667,1.1701163434903046,0,6.0,31963264.0,24870.050588609087,29938.92982257204,19801.171354646132
3g_report.2010-09-28_1407CEST,7.5838063819337505,8.639657314504072,6.527955449363429,220.0871409635434,83300,79.79623489702978,1063.701233682241,3302.259789375,3.104105263157658,2,5.0,33847136.0,29594.30918509652,33714.5592782814,25474.059091911644
3g_report.2010-09-30_1114CEST,11.986962825451997,14.823542449870395,9.1503832010336,276.0471671232442,102600,177.62198952747113,2037.1663485747383,3752.4493008333334,0.11903472007764591,0,1.0,41276933.0,24395.019513312323,30167.825877725292,18622.213148899355
3g_report.2010-10-22_1458CEST,6.646601479480301,8.000769181568414,5.29243377739219,143.9375056649845,42050,40.63697844570785,713.3944807227477,2457.814906979166,0.2295773695480672,0,12.0,17412557.0,22593.652163211056,27196.845859431563,17990.45846699055
3g_report.2010-11-04_0957CET,5.81545633433778,6.895906458387324,4.735006210288237,132.1946045484904,39550,37.02111175258909,686.0559020768197,2274.1181289583333,0.9056831536673202,1,10.0,16410134.0,23544.290870779634,27918.570468029695,19170.011273529573
3g_report.2010-11-10_1424CET,11.603084139769798,14.14464016034638,9.061528119193218,267.244861479424,85250,101.87656278184403,1633.6938296625462,3647.8929522916665,0.14808248691905204,0,1.0,34707298.0,24192.98516031116,29492.25097181708,18893.719348805236
3g_report.2010-11-16_1857CET,2.820240142370357,3.3825915731752945,2.2578887115654194,61.79743059879969,30200,28.90083859152199,607.902706151402,1805.988170625,0.3271697061324496,1,24.0,12553296.0,22819.41010454003,27369.564444101787,18269.25576497828
3g_report.2010-11-23_1606CET,6.888236108502982,7.794522326273159,5.981949890732804,184.58191583988042,59300,56.4749429740755,729.7324997277518,2922.3998113541656,2.7662068685226653,1,9.0,24545994.0,27268.729152994627,30856.479778580808,23680.978527408446
3g_report.2010-12-09_1222CET,4.653554702476515,5.609760004203631,3.6973494007493986,99.28261421957733,32050,36.827529527082255,639.0341678021939,1961.7054784375,0.1295233120020896,0,14.0,13395960.0,22275.284126218008,26852.37543399447,17698.19281844155
3g_report.2010-12-09_1244CET,6.185952935929924,7.4510804440906355,4.920825427769212,133.65689921713596,41050,41.55034912053092,689.3353766969409,2317.100306041667,0.13619680738451115,0,11.0,17116752.0,22549.700733575686,27161.479548305673,17937.9219188457
3g_report.2010-12-09_1334CET,8.2807593910399,9.998227922502123,6.56329085957768,182.81478580407878,50050,52.020106728655854,769.9768729742672,2934.082446666667,1.1792969540415457,0,11.0,20757169.0,23069.426594384327,27854.13441449129,18284.718774277368
3g_report.2010-12-21_1200CET,4.025122839580982,4.824821339672257,3.2254243394897073,86.51707878584804,29600,32.60683560070673,643.7634117893284,1904.3218098958334,0.13667556314721896,0,18.0,12896416.0,22377.568275319296,26823.471791477787,17931.66475916081
3g_report.2010-12-22_0800CET,9.123397068243703,11.041843266131915,7.204950870355491,198.5412367694369,43950,41.65441393043853,628.166583579127,2887.9013259375,0.1939520906671246,0,3.0,18481993.0,22768.51454835365,27556.223538779093,17980.805557928208
3g_report.2011-01-29_1800CET,11.57272257043762,14.216642515023159,8.928802625852082,260.3445455448113,85700,119.54790543234583,1762.8147640038885,3646.579553020834,5.173560798548094,0,1.0,34907487.0,23735.247212358467,29157.834085280436,18312.660339436494
3g_report.2011-01-31_1830CET,11.579839660128442,14.133456661413684,9.026222658843203,264.71491578095845,86600,118.37824238179638,1830.9693335698657,3625.9082214583336,0.1379930523694042,0,1.0,35138436.0,24028.492504721395,29327.31949855137,18729.66551089142
3g_report.2011-01-31_2356CET,0.7534906340144114,0.6322803999225394,0.8747008681062834,70.13221290696752,42150,39.987059614072066,593.3248832983795,2346.229682083333,52.675591557929764,5,6.0,17885929.0,95548.99513583953,80178.51069337898,110919.4795783001
3g_report.2011-02-01_0629CET,11.759239418752191,14.44896017947586,9.069518658028523,270.419888473252,92050,128.8144856019067,1881.700384392663,3668.3380989583334,0.1426200193446413,0,0.0,37268088.0,24265.934964055254,29816.344027681207,18715.525900429297
3g_report.2011-02-01_0740CET,10.290904524341464,12.648437670309635,7.933371378373293,231.11542507026817,80750,103.34858596477854,1705.9292245714953,3443.407414479167,1.2741825548971768,0,8.0,32917636.0,23702.153755301508,29132.05673193349,18272.250778669524
3g_report.2011-02-01_0840CET,11.536442508578101,14.153203799689711,8.919681217466493,266.6556262261802,91600,127.10634566728586,1884.200326045531,3649.2626360416666,0.3523299476762081,0,1.0,37080003.0,24367.9258158936,29895.19689381005,18840.65473797715
3g_report.2011-02-02_1251CET,6.562010990581988,7.877843635128982,5.246178346034994,142.3075729243213,41550,40.75758716314051,676.9804846353519,2330.0338500000003,0.13985658232986065,0,9.0,17244319.0,22595.115116370216,27125.950270424157,18064.27996231628
3g_report.2011-02-10_1611CET,9.445601529747023,11.360457033424106,7.530746026069938,224.58496534233296,77200,91.8070750072808,1433.3130346172225,3240.1549684375004,0.14971320516861017,0,5.0,31267449.0,24795.70696341643,29822.405982735934,19769.007944096928
3g_report.2011-02-14_2032CET,10.13080071489179,12.213191235181093,8.048410194602486,232.83219994624258,66150,59.113709404455335,788.9887435035397,3234.234384687499,0.21317946916863179,0,1.0,27090271.0,23996.480752872838,28928.96787273431,19063.993633011367
3g_report.2011-02-14_2124CET,10.55168103341671,12.856710943476806,8.246651123356614,244.45226009396043,78150,79.42538575842893,1283.931660439503,3463.9291363541665,0.13244191559981033,0,4.0,31794229.0,24328.100966371872,29642.60964085281,19013.592291890935
4g_report_bus_0001,13.118360792305113,16.438971638375104,9.797749946235122,273.4353949875179,94000,930.6970613002374,2180.7983752654413,3761.8706790625006,0.08413219152172187,0,2.0,37543612.0,22270.671133660417,27907.978514249393,16633.36375307144
